Date,Amps
2017-04-29 22:12:03.739590,-0.000000
2017-04-29 22:12:04.189327,-0.000000
2017-04-29 22:12:04.639489,-0.000000
2017-04-29 22:12:05.089606,-0.000000
2017-04-29 22:12:05.539471,-0.000000
2017-04-29 22:12:05.989288,-0.000000
2017-04-29 22:12:06.439794,-0.000000
2017-04-29 22:12:06.889272,-0.000000
2017-04-29 22:12:07.339184,0.000000
2017-04-29 22:12:07.789318,0.000000
2017-04-29 22:12:08.239152,0.000000
2017-04-29 22:12:08.689335,0.000000
2017-04-29 22:12:09.139164,-0.000000
2017-04-29 22:12:09.589306,-0.000000
2017-04-29 22:12:10.039147,-0.000000
2017-04-29 22:12:10.489338,-0.000000
2017-04-29 22:12:10.939173,-0.000000
2017-04-29 22:12:11.389324,-0.000000
2017-04-29 22:12:11.839037,-0.000000
2017-04-29 22:12:12.289215,-0.000000
2017-04-29 22:12:12.739039,-0.000000
2017-04-29 22:12:13.189306,-0.000000
2017-04-29 22:12:13.639137,-0.000000
2017-04-29 22:12:14.088960,-0.000000
2017-04-29 22:12:14.539156,-0.000000
2017-04-29 22:12:14.988937,-0.000000
2017-04-29 22:12:15.439035,-0.000000
2017-04-29 22:12:15.888859,-0.000000
2017-04-29 22:12:16.339113,-0.000000
2017-04-29 22:12:16.788955,-0.000000
2017-04-29 22:12:17.238769,-0.000000
2017-04-29 22:12:17.688950,-0.000000
2017-04-29 22:12:18.139087,-0.000000
2017-04-29 22:12:18.588911,-0.000000
2017-04-29 22:12:19.038797,-0.000000
2017-04-29 22:12:19.488927,-0.000000
2017-04-29 22:12:19.938757,-0.000000
2017-04-29 22:12:20.388930,-0.000000
2017-04-29 22:12:20.838765,-0.000000
2017-04-29 22:12:21.288946,-0.000000
2017-04-29 22:12:21.738738,-0.000000
2017-04-29 22:12:22.188551,-0.000000
2017-04-29 22:12:22.638638,-0.000000
2017-04-29 22:12:23.088841,-0.000000
2017-04-29 22:12:23.538729,-0.000000
2017-04-29 22:12:23.988915,-0.000000
2017-04-29 22:12:24.438699,-0.000000
2017-04-29 22:12:24.888814,-0.000000
2017-04-29 22:12:25.338748,-0.000000
2017-04-29 22:12:25.788565,-0.000000
2017-04-29 22:12:26.238728,-0.000000
2017-04-29 22:12:26.688537,-0.000000
2017-04-29 22:12:27.138714,-0.000000
2017-04-29 22:12:27.588527,-0.000000
2017-04-29 22:12:28.038712,-0.000000
2017-04-29 22:12:28.488528,-0.000000
2017-04-29 22:12:28.938727,-0.000000
2017-04-29 22:12:29.388542,-0.000000
2017-04-29 22:12:29.838734,-0.000000
2017-04-29 22:12:30.288528,-0.000000
2017-04-29 22:12:30.738702,-0.000000
2017-04-29 22:12:31.188527,-0.000000
2017-04-29 22:12:31.638361,-0.000000
2017-04-29 22:12:32.088508,-0.000000
2017-04-29 22:12:32.538247,-0.000000
2017-04-29 22:12:32.988527,-0.000000
2017-04-29 22:12:33.438346,-0.000000
2017-04-29 22:12:33.888470,-0.000000
2017-04-29 22:12:34.338376,-0.000000
2017-04-29 22:12:34.788471,-0.000000
2017-04-29 22:12:35.238292,-0.000000
2017-04-29 22:12:35.688153,-0.000000
2017-04-29 22:12:36.138012,-0.000000
2017-04-29 22:12:36.587737,-0.000000
2017-04-29 22:12:37.037997,-0.000000
2017-04-29 22:12:37.487845,-0.000000
2017-04-29 22:12:37.937927,-0.000000
2017-04-29 22:12:38.387802,-0.000000
2017-04-29 22:12:38.837976,-0.000000
2017-04-29 22:12:39.287848,-0.000000
