si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
22.048,25.008,407,406.882,24.9987,-0.0013,147.00,2.9508
22.059,25.008,407,406.945,24.9994,-0.0006,146.48,2.9408
22.037,25.008,407,406.686,24.9964,-0.0036,149.70,2.9593
22.048,25.008,407,407.230,25.0026,0.0026,143.80,2.9548
22.037,25.008,407,407.267,25.0030,0.0030,142.89,2.9659
22.026,25.008,407,407.200,25.0023,0.0023,143.16,2.9759
22.037,25.019,407,406.848,24.9983,-0.0017,146.99,2.9612
22.059,25.030,407,406.829,24.9981,-0.0019,147.53,2.9395
22.048,25.019,407,406.954,24.9995,-0.0005,146.37,2.9516
22.026,25.008,407,407.188,25.0021,0.0021,143.65,2.9758
22.059,25.030,407,407.296,25.0034,0.0034,141.98,2.9448
22.016,25.019,407,407.352,25.0040,0.0040,140.71,2.9883
22.016,25.019,407,407.255,25.0029,0.0029,141.17,2.9872
22.016,25.008,407,407.125,25.0014,0.0014,142.22,2.9858
21.994,25.030,407,406.950,24.9994,-0.0006,144.07,3.0052
22.005,25.008,407,406.992,24.9999,-0.0001,143.67,2.9950
22.005,25.008,407,407.224,25.0025,0.0025,140.90,2.9976
22.005,25.008,407,407.088,25.0010,0.0010,142.08,2.9961
21.973,25.008,407,407.227,25.0026,0.0026,140.24,3.0298
21.983,25.008,407,407.192,25.0022,0.0022,140.21,3.0187
21.994,24.997,407,407.348,25.0040,0.0040,137.94,3.0098
21.983,25.008,407,407.232,25.0026,0.0026,138.64,3.0192
21.962,25.019,407,407.015,25.0002,0.0002,140.78,3.0381
21.994,24.997,407,406.951,24.9994,-0.0006,141.52,3.0052
21.983,25.008,407,406.810,24.9978,-0.0022,143.31,3.0144
21.994,25.019,407,406.929,24.9992,-0.0008,142.26,3.0050
21.994,25.008,407,406.951,24.9994,-0.0006,142.14,3.0052
21.994,25.008,407,407.330,25.0038,0.0038,137.69,3.0095
21.962,25.008,407,407.534,25.0061,0.0061,134.58,3.0440
21.962,25.019,407,407.205,25.0023,0.0023,137.47,3.0403
21.962,25.008,407,407.145,25.0016,0.0016,137.78,3.0396
21.941,25.008,407,406.956,24.9995,-0.0005,139.75,3.0589
21.930,25.008,407,406.871,24.9985,-0.0015,140.86,3.0687
21.887,24.997,407,406.695,24.9965,-0.0035,143.23,3.1096
21.801,25.019,407,406.707,24.9967,-0.0033,143.70,3.1955
21.758,24.997,407,407.064,25.0007,0.0007,139.99,3.2425
21.726,24.997,407,407.043,25.0005,0.0005,140.12,3.2744
21.662,25.008,407,406.880,24.9986,-0.0014,141.99,3.3369
21.608,25.040,407,406.945,24.9994,-0.0006,141.45,3.3913
21.554,25.008,407,406.859,24.9984,-0.0016,142.59,3.4439
21.490,25.008,407,406.685,24.9964,-0.0036,144.96,3.5063
21.447,25.008,407,406.953,24.9995,-0.0005,142.38,3.5522
21.383,24.987,407,406.884,24.9987,-0.0013,143.29,3.6158
21.329,25.008,407,406.470,24.9940,-0.0060,148.49,3.6647
21.254,25.019,407,406.439,24.9936,-0.0064,149.93,3.7395
21.243,24.997,407,406.471,24.9940,-0.0060,150.67,3.7505
21.201,25.008,407,406.572,24.9951,-0.0049,150.51,3.7946
21.168,25.008,407,406.819,24.9979,-0.0021,148.40,3.8296
21.125,25.008,407,406.795,24.9977,-0.0023,149.05,3.8722
21.083,25.019,407,406.565,24.9951,-0.0049,152.22,3.9125
21.040,25.008,407,406.704,24.9966,-0.0034,151.42,3.9570
21.018,24.997,407,406.652,24.9960,-0.0040,152.63,3.9778
20.965,25.008,407,406.503,24.9944,-0.0056,155.12,4.0298
20.922,25.019,407,406.424,24.9935,-0.0065,157.06,4.0718
20.847,25.008,407,406.485,24.9941,-0.0058,157.48,4.1475
20.814,25.008,407,406.581,24.9952,-0.0048,157.36,4.1808
20.782,24.997,407,406.746,24.9971,-0.0029,156.21,4.2148
20.772,25.008,407,406.695,24.9965,-0.0035,157.34,4.2250
20.750,25.008,407,406.974,24.9997,-0.0003,154.60,4.2496
20.729,25.008,407,406.934,24.9992,-0.0008,155.13,4.2706
20.739,25.008,407,406.779,24.9975,-0.0025,157.13,4.2581
20.729,25.030,407,406.637,24.9959,-0.0041,159.27,4.2672
20.750,25.030,407,406.919,24.9991,-0.0009,156.61,4.2490
20.750,25.019,407,406.907,24.9989,-0.0011,156.92,4.2488
20.729,25.008,407,406.847,24.9983,-0.0017,157.82,4.2696
20.729,25.008,407,407.072,25.0008,0.0008,155.43,4.2722
20.729,25.019,407,406.677,24.9963,-0.0037,160.03,4.2677
20.718,25.040,407,406.676,24.9963,-0.0037,160.69,4.2784
20.739,25.008,407,407.098,25.0011,0.0011,156.27,4.2617
20.750,25.008,407,406.982,24.9998,-0.0002,157.46,4.2497
20.761,25.008,407,406.765,24.9973,-0.0027,160.11,4.2365
20.793,25.008,407,406.604,24.9955,-0.0045,162.50,4.2025
20.782,25.008,407,406.551,24.9949,-0.0051,163.94,4.2126
20.772,24.987,407,406.491,24.9942,-0.0058,165.55,4.2227
20.825,25.008,407,406.662,24.9962,-0.0038,164.52,4.1710
20.825,25.019,407,406.865,24.9985,-0.0015,162.75,4.1733
20.847,25.008,407,407.117,25.0013,0.0013,160.01,4.1547
20.836,25.008,407,407.007,25.0001,0.0001,161.09,4.1642
