timestamp,temp_c,humidity
1496550780.624,26.4739,59.8798
1496550781.602,26.4953,59.4602
1496550782.601,26.4846,59.2542
1496550783.601,26.4846,59.0482
1496550784.600,26.4953,58.8499
1496550785.600,26.4739,58.6515
1496550786.599,26.4739,58.4760
1496550787.603,26.4846,58.3158
1496550788.602,26.4739,58.1098
1496550789.602,26.4525,57.9725
1496550790.601,26.4739,57.8046
1496550791.601,26.4739,57.6368
1496550792.604,26.4632,57.5223
1496550793.604,26.4739,57.3774
1496550794.603,26.4739,57.2629
1496550795.603,26.5595,57.2172
1496550796.602,26.6664,57.2172
1496550797.602,26.7841,57.2782
1496550798.605,26.9766,57.4003
1496550799.605,27.1585,57.5986
1496550800.604,27.3617,57.8199
1496550801.604,27.5756,58.0869
1496550802.603,27.7575,58.3921
1496550803.607,27.9928,58.7202
1496550804.606,28.2281,59.0864
1496550805.606,28.4527,59.4297
1496550806.605,28.7094,59.8035
1496550807.605,28.9769,60.1621
1496550808.608,29.2015,60.5131
1496550809.608,29.4796,60.8564
1496550810.607,29.7256,61.1616
1496550811.606,29.9930,61.4515
1496550812.606,30.2604,61.7414
1496550813.605,30.4958,61.9626
1496550814.609,30.7525,62.1763
1496550815.608,31.0306,62.3441
1496550816.608,31.2659,62.4814
1496550817.607,31.5333,62.6188
1496550818.607,31.7686,62.7027
1496550819.610,32.0467,62.7485
1496550820.610,32.2714,62.7561
1496550821.609,32.5281,62.7485
1496550822.609,32.7741,62.7027
1496550823.608,33.0094,62.6417
1496550824.612,33.2447,62.5501
1496550825.611,33.4694,62.4204
1496550826.611,33.6833,62.2907
1496550827.610,33.9507,62.1152
1496550828.610,34.1539,61.9398
1496550829.609,34.3679,61.7338
1496550830.613,34.5925,61.5125
1496550831.612,34.7850,61.2836
1496550832.612,34.9989,61.0090
1496550833.611,35.2236,60.7648
1496550834.611,35.4375,60.4978
1496550835.614,35.6193,60.2003
1496550836.614,35.8226,59.9180
1496550837.613,36.0365,59.6128
1496550838.612,36.2397,59.3000
1496550839.612,36.4323,58.9719
1496550840.615,36.6034,58.6667
1496550841.615,36.8173,58.3387
1496550842.614,36.9778,58.0106
1496550843.614,37.1489,57.6520
1496550844.613,37.3308,57.3392
1496550845.613,37.5019,57.0112
1496550846.616,37.6837,56.6831
1496550847.616,37.8549,56.3322
1496550848.615,38.0260,55.9965
1496550849.615,38.1865,55.6913
1496550850.614,38.3683,55.3251
1496550851.618,38.5074,55.0046
1496550852.617,38.6892,54.6842
1496550853.617,38.8176,54.3333
1496550854.616,38.9994,54.0128
1496550855.616,39.1705,53.6848
1496550856.619,39.3096,53.3719
1496550857.619,39.4486,53.0515
1496550858.618,39.6091,52.7311
1496550859.618,39.7588,52.4259
1496550860.617,39.8979,52.0902
1496550861.617,40.0476,51.8156
1496550862.620,40.1974,51.4875
1496550863.620,40.3258,51.1976
1496550864.619,40.4648,50.8848
1496550865.618,40.5932,50.5796
1496550866.618,40.7215,50.2820
1496550867.621,40.8606,50.0150
1496550868.621,40.9889,49.7175
1496550869.620,41.1280,49.4581
1496550870.620,41.2563,49.1758
1496550871.619,41.3954,48.8935
1496550872.623,41.5238,48.6265
1496550873.622,41.6307,48.3442
1496550874.622,41.7698,48.0924
1496550875.621,41.8767,47.8330
1496550876.621,41.9944,47.5660
1496550877.624,42.1227,47.3218
1496550878.624,42.2511,47.0777
1496550879.623,42.3581,46.8488
1496550880.623,42.4864,46.5894
1496550881.622,42.5827,46.3453
1496550882.622,42.7217,46.1164
1496550883.625,42.8287,45.8799
1496550884.625,42.9250,45.6434
1496550885.624,43.0640,45.4297
1496550886.624,43.1603,45.2009
1496550887.623,43.2566,44.9872
1496550888.627,43.3635,44.7736
1496550889.626,43.4812,44.5447
1496550890.626,43.5668,44.3387
1496550891.625,43.7165,44.1328
1496550892.625,43.8021,43.9191
1496550893.628,43.8984,43.7208
1496550894.628,43.9946,43.5148
1496550895.627,44.1016,43.3164
1496550896.626,44.2192,43.1257
1496550897.626,44.3048,42.9273
1496550898.629,44.4011,42.7518
1496550899.629,44.4974,42.5458
1496550900.628,44.6043,42.3780
1496550901.628,44.6899,42.1796
1496550902.627,44.7969,41.9965
1496550903.631,44.8931,41.8210
1496550904.630,44.9680,41.6532
1496550905.630,45.0643,41.4625
1496550906.629,45.1605,41.2870
1496550907.629,45.2782,41.1115
1496550908.628,45.3745,40.9437
1496550909.632,45.4600,40.7758
1496550910.631,45.5242,40.6003
1496550911.631,45.6419,40.4478
1496550912.630,45.7167,40.2570
1496550913.630,45.8130,40.1197
1496550914.633,45.9093,39.9595
1496550915.633,45.9842,39.7764
1496550916.632,46.0590,39.6390
1496550917.632,46.1660,39.4941
1496550918.631,46.2302,39.3339
1496550919.635,46.3264,39.1889
1496550920.634,46.4013,39.0287
1496550921.634,46.4869,38.8761
1496550922.633,46.5725,38.7235
1496550923.633,46.6687,38.5938
1496550924.636,46.7436,38.4336
1496550925.636,46.8292,38.3192
1496550926.635,46.8933,38.1589
1496550927.634,46.9789,38.0216
1496550928.634,47.0538,37.8843
1496550929.637,47.1394,37.7698
1496550930.637,47.2142,37.6325
1496550931.636,47.3105,37.4952
1496550932.636,47.3854,37.3502
1496550933.635,47.4603,37.2281
1496550934.639,47.5351,37.0908
1496550935.638,47.6207,36.9764
1496550936.638,47.6528,36.8696
1496550937.637,47.7705,36.7246
1496550938.637,47.8346,36.5949
1496550939.636,47.8774,36.4805
1496550940.640,47.9737,36.3431
1496550941.639,48.0593,36.2287
1496550942.639,48.1234,36.1066
1496550943.638,48.2197,36.0074
1496550944.638,48.2839,35.8777
1496550945.641,48.3481,35.7633
1496550946.641,48.4336,35.6336
1496550947.640,48.4657,35.5268
1496550948.640,48.5727,35.4429
1496550949.639,48.6262,35.3132
1496550950.643,48.6903,35.1987
1496550951.642,48.7545,35.0995
1496550952.641,48.8401,34.9698
1496550953.641,48.8829,34.8783
1496550954.641,48.9685,34.7715
1496550955.640,49.0433,34.6723
1496550956.643,49.0968,34.5731
1496550957.643,49.1717,34.4434
1496550958.642,49.2466,34.3519
1496550959.642,49.3000,34.2374
1496550960.641,49.3749,34.1382
1496550961.645,49.4284,34.0467
1496550962.644,49.5033,33.9704
1496550963.644,49.5888,33.8636
1496550964.643,49.6316,33.7491
