timestamp,temp_c,humidity
1496547862.400,30.0144,63.3207
1496547863.375,29.9181,63.5190
1496547864.379,29.8647,63.6259
1496547865.378,29.8112,63.7327
1496547866.378,29.7684,63.8471
1496547867.377,29.7363,63.9387
1496547868.376,30.0465,64.3964
1496547869.380,30.6348,65.1365
1496547870.379,31.2124,66.0291
1496547871.379,31.7900,67.0209
1496547872.378,32.3141,68.0051
1496547873.378,32.8490,68.9969
1496547874.381,33.3731,69.9048
1496547875.381,33.8758,70.7136
1496547876.380,34.3572,71.4460
1496547877.380,34.8171,72.0792
1496547878.379,35.2663,72.5980
1496547879.379,35.7156,73.0482
1496547880.382,36.1221,73.3533
1496547881.382,36.5606,73.5746
1496547882.381,36.9671,73.7119
1496547883.381,37.3628,73.7653
1496547884.380,37.7372,73.7348
1496547885.384,38.0902,73.6127
1496547886.383,38.4646,73.4220
1496547887.383,38.8283,73.1779
1496547888.382,39.1598,72.8727
1496547889.382,39.4914,72.5294
1496547890.385,39.8337,72.1326
1496547891.385,40.1439,71.7130
1496547892.384,40.4541,71.2476
1496547893.383,40.7429,70.7517
1496547894.383,41.0531,70.2482
1496547895.382,41.3098,69.7065
1496547896.386,41.5986,69.1801
1496547897.385,41.8767,68.6002
1496547898.385,42.1548,68.0433
1496547899.384,42.4009,67.4863
1496547900.384,42.6576,66.9065
1496547901.387,42.9036,66.3267
1496547902.387,43.1496,65.7392
1496547903.386,43.3849,65.1670
1496547904.386,43.6096,64.6100
1496547905.385,43.8021,64.0378
1496547906.389,44.0267,63.4580
1496547907.388,44.0160,62.8019
1496547908.388,43.7914,62.0389
1496547909.387,43.5133,61.2150
1496547910.387,43.5989,60.5054
1496547911.386,43.8235,59.9714
1496547912.390,44.0481,59.4907
1496547913.389,44.2834,59.0787
1496547914.389,44.4974,58.6820
1496547915.388,44.7434,58.3158
1496547916.388,44.9573,57.9801
1496547917.391,45.1391,57.6215
1496547918.391,45.3531,57.2629
1496547919.390,45.5563,56.9120
1496547920.390,45.7488,56.5839
1496547921.389,45.9307,56.2330
1496547922.393,46.1125,55.8973
1496547923.392,46.0162,55.4243
1496547924.391,45.7595,54.8902
1496547925.391,45.4493,54.2875
1496547926.390,45.4065,53.7382
1496547927.390,45.5563,53.3414
1496547928.393,45.7381,53.0286
1496547929.393,45.9414,52.7692
1496547930.392,46.1339,52.5403
1496547931.392,46.3264,52.3115
1496547932.391,46.4976,52.0978
1496547933.395,46.6473,51.8995
1496547934.394,46.8506,51.6859
1496547935.394,47.0217,51.4646
1496547936.393,47.1073,51.2357
1496547937.393,46.8933,50.8695
1496547938.396,46.5725,50.4270
1496547939.396,46.2943,49.9387
1496547940.395,46.4013,49.6107
1496547941.395,46.6045,49.3894
1496547942.394,46.8078,49.2216
1496547943.394,47.0003,49.0461
1496547944.397,47.1928,48.9240
1496547945.397,47.3533,48.8019
1496547946.396,47.5351,48.6875
1496547947.395,47.6849,48.5425
1496547948.395,47.8453,48.4128
1496547949.398,47.7598,48.1840
1496547950.398,47.4603,47.8635
1496547951.397,47.1394,47.4592
1496547952.397,47.0110,47.1235
1496547953.396,47.1180,46.8641
1496547954.400,47.3212,46.7267
1496547955.399,47.5030,46.6199
1496547956.399,47.7170,46.5284
1496547957.398,47.9095,46.4521
1496547958.398,48.0807,46.4063
1496547959.397,48.2411,46.3148
1496547960.401,48.4015,46.2308
1496547961.400,48.5406,46.1469
1496547962.400,48.7117,46.0401
1496547963.399,48.8508,45.9333
1496547964.399,48.9791,45.8036
1496547965.402,49.1289,45.6815
1496547966.402,49.2786,45.5442
1496547967.401,49.3642,45.3840
