timestamp;value;unit;mode;current;operation;peak;battery_low;relative;hold
2017-06-03 22:44:16.508313;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:17.008321;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:17.508442;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:18.008446;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:18.508449;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:19.008454;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:19.508465;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:20.008466;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:20.508465;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:21.008461;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:21.508470;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:22.008473;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:22.508478;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:23.008478;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:23.508480;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:24.008478;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:24.508608;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:25.008608;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:25.508615;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:26.008614;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:26.508624;99990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:27.008619;99990.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:27.508621;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:28.008626;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:28.508626;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:29.008634;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:29.508683;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:30.008641;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:30.508642;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:31.008766;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:31.508772;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:32.008771;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:32.508773;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:33.008775;99980.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:33.508778;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:34.008781;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:34.508783;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:35.008916;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:35.508913;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:36.008916;99970.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:36.508931;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:37.008921;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:37.508924;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:38.008927;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:38.508929;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:39.008929;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:39.508934;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:40.008936;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:40.508941;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:41.008942;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:41.508946;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:42.008947;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:42.508949;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:43.008957;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:43.508954;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:44.009081;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:44.509083;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:45.009085;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:45.509093;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:46.009090;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:46.509092;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:47.009094;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:47.509097;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:48.009108;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:48.509135;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:49.009111;99960.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:49.509112;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:50.009236;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:50.509240;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:51.009241;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:51.509245;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:52.009248;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:52.509249;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:53.009252;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:53.509254;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:54.009257;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:54.509260;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:55.009262;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:55.509264;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:56.009273;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:56.509270;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:57.009402;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:57.509404;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:58.009402;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:58.509411;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:59.009407;99950.0;W;resistance;;normal;;0;0;0
2017-06-03 22:44:59.509410;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:00.009413;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:00.509415;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:01.009417;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:01.509420;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:02.009423;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:02.509426;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:03.009428;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:03.509556;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:04.009558;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:04.509561;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:05.009570;99940.0;W;resistance;;normal;;0;0;0
2017-06-03 22:45:05.509566;99960.0;W;resistance;;normal;;0;0;0
