timestamp,v
1519628472.9,15.0
1519628593.0,14.9
1519628713.0,14.8
1519628833.1,14.7
1519628953.2,14.6
1519629073.3,14.5
1519629193.4,14.4
1519629313.4,14.3
1519629433.5,14.2
1519629553.6,14.1
1519629673.7,14.0
1519629793.8,13.9
1519629913.9,13.8
1519630034.0,13.7
1519630154.1,13.6
1519630274.2,13.5
1519630394.3,13.4
1519630514.4,13.3
1519630634.5,13.2
1519630754.6,13.1
1519630874.7,13.0
1519630994.7,12.9
1519631114.8,12.8
1519631234.9,12.7
1519631355.0,12.6
1519631475.1,12.5
1519631595.2,12.4
1519631715.3,12.3
1519631835.4,12.2
1519631955.4,12.1
1519632075.5,12.0
1519632195.6,11.9
1519632315.6,11.8
1519632435.7,11.7
1519632555.8,11.6
1519632675.9,11.5
1519632796.0,11.4
1519632916.0,11.3
1519633036.1,11.2
1519633156.1,11.1
1519633276.2,11.0
1519633396.3,10.9
1519633516.4,10.8
1519633636.4,10.7
1519633756.5,10.6
1519633876.6,10.5
1519633996.7,10.4
1519634116.7,10.3
1519634236.8,10.2
1519634356.9,10.1
1519634477.0,10.0
1519634597.0,9.9
1519634717.1,9.8
1519634837.2,9.7
1519634957.3,9.6
1519635077.4,9.5
1519635197.5,9.4
1519635317.6,9.3
1519635437.7,9.2
1519635557.8,9.1
1519635677.9,9.0
1519635798.0,9.0
1519635918.1,9.1
1519636038.2,9.2
1519636158.3,9.3
1519636278.4,9.4
1519636398.4,9.5
1519636518.5,9.6
1519636638.5,9.7
1519636758.6,9.8
1519636878.6,9.9
1519636998.7,10.0
1519637118.8,10.1
1519637238.9,10.2
1519637359.0,10.3
1519637479.1,10.4
1519637599.1,10.5
1519637719.2,10.6
1519637839.3,10.7
1519637959.4,10.8
1519638079.4,10.9
1519638199.5,11.0
1519638319.6,11.1
1519638439.7,11.2
1519638559.8,11.3
1519638679.9,11.4
1519638800.0,11.5
1519638920.1,11.6
1519639040.1,11.7
1519639160.2,11.8
1519639280.3,11.9
1519639400.4,12.0
1519639520.5,12.1
1519639640.6,12.2
1519639760.7,12.3
1519639880.8,12.4
1519640000.9,12.5
1519640121.0,12.6
1519640241.1,12.7
1519640361.2,12.8
1519640481.3,12.9
1519640601.4,13.0
1519640721.4,13.1
1519640841.5,13.2
1519640961.6,13.3
1519641081.7,13.4
1519641201.8,13.5
1519641321.9,13.6
1519641442.0,13.7
1519641562.1,13.8
1519641682.2,13.9
1519641802.3,14.0
1519641922.4,14.1
1519642042.5,14.2
1519642162.6,14.3
1519642282.7,14.4
1519642402.8,14.5
1519642522.9,14.6
1519642643.0,14.7
1519642763.1,14.8
1519642883.2,14.9
1519643003.3,15.0
1519643123.4,15.0
1519643243.5,14.9
1519643363.5,14.8
1519643483.6,14.7
1519643603.7,14.6
1519643723.8,14.5
1519643843.9,14.4
1519643964.0,14.3
1519644084.1,14.2
1519644204.1,14.1
1519644324.2,14.0
1519644444.3,13.9
1519644564.4,13.8
1519644684.5,13.7
1519644804.6,13.6
1519644924.6,13.5
1519645044.7,13.4
1519645164.7,13.3
1519645284.8,13.2
1519645404.9,13.1
1519645525.0,13.0
1519645645.1,12.9
1519645765.2,12.8
1519645885.3,12.7
1519646005.4,12.6
1519646125.5,12.5
1519646245.6,12.4
1519646365.7,12.3
1519646485.7,12.2
1519646605.8,12.1
1519646725.9,12.0
1519646846.0,11.9
1519646966.1,11.8
1519647086.2,11.7
1519647206.3,11.6
1519647326.4,11.5
1519647446.4,11.4
1519647566.5,11.3
1519647686.6,11.2
1519647806.7,11.1
1519647926.8,11.0
1519648046.9,10.9
1519648167.0,10.8
1519648287.0,10.7
1519648407.1,10.6
1519648527.2,10.5
1519648647.3,10.4
1519648767.4,10.3
1519648887.5,10.2
1519649007.6,10.1
1519649127.6,10.0
1519649247.7,9.9
1519649367.8,9.8
1519649487.9,9.7
1519649608.0,9.6
1519649728.0,9.5
1519649848.1,9.4
1519649968.2,9.3
1519650088.3,9.2
1519650208.4,9.1
1519650328.5,9.0
1519650448.6,9.0
1519650568.7,9.1
1519650688.8,9.2
1519650808.8,9.3
1519650928.9,9.4
1519651049.0,9.5
1519651169.1,9.6
1519651289.2,9.7
1519651409.3,9.8
1519651529.4,9.9
1519651649.4,10.0
1519651769.5,10.1
1519651889.6,10.2
1519652009.7,10.3
1519652129.8,10.4
1519652249.9,10.5
1519652370.0,10.6
1519652490.1,10.7
1519652610.2,10.8
1519652730.2,10.9
1519652850.3,11.0
1519652970.4,11.1
1519653090.5,11.2
1519653210.6,11.3
1519653330.7,11.4
1519653450.8,11.5
1519653570.9,11.6
1519653691.0,11.7
1519653811.1,11.8
1519653931.2,11.9
1519654051.3,12.0
1519654171.4,12.1
1519654291.5,12.2
1519654411.6,12.3
1519654531.6,12.4
1519654651.7,12.5
1519654771.7,12.6
1519654891.8,12.7
1519655011.9,12.8
1519655132.0,12.9
1519655252.1,13.0
1519655372.2,13.1
1519655492.3,13.2
1519655612.4,13.3
1519655732.5,13.4
1519655852.6,13.5
1519655972.7,13.6
1519656092.7,13.7
1519656212.8,13.8
1519656332.9,13.9
1519656453.0,14.0
1519656573.0,14.1
1519656693.1,14.2
1519656813.2,14.3
1519656933.3,14.4
1519657053.4,14.5
1519657173.5,14.6
1519657293.5,14.7
1519657413.6,14.8
1519657533.7,14.9
