timestamps,resistance,ppm,temp_c,ambient_c,savgol_151_2
1517941234.52,70003.287,-0.69,26.336,21.04,-0.742198302496
1517941235.52,70003.287,-0.69,26.299,21.029,-0.726086274859
1517941236.52,70003.287,-0.69,26.288,21.008,-0.716482702064
1517941237.52,70003.279,-0.81,26.266,21.018,-0.706600598371
1517941238.52,70003.279,-0.81,26.221,21.018,-0.696446412869
1517941239.52,70003.279,-0.81,26.207,21.008,-0.683624309229
1517941240.52,70003.279,-0.81,26.196,21.008,-0.673169448054
1517941241.52,70003.284,-0.73,26.174,21.008,-0.662781997283
1517941242.52,70003.284,-0.73,26.132,20.997,-0.652468318854
1517941243.52,70003.284,-0.73,26.119,21.018,-0.639827277727
1517941244.53,70003.282,-0.76,26.109,20.997,-0.627027275287
1517941245.53,70003.282,-0.76,26.093,21.008,-0.614072669025
1517941246.53,70003.282,-0.76,26.055,21.018,-0.601352182102
1517941247.52,70003.276,-0.85,26.034,20.997,-0.588459835688
1517941248.52,70003.276,-0.85,26.027,21.008,-0.575400335876
1517941249.52,70003.276,-0.85,26.016,21.008,-0.56150574884
1517941250.52,70003.276,-0.85,25.991,20.997,-0.552016403344
1517941251.52,70003.279,-0.81,25.958,20.997,-0.542712207689
1517941252.53,70003.279,-0.81,25.942,20.986,-0.533601092511
1517941253.53,70003.279,-0.81,25.939,20.986,-0.521929419085
1517941254.53,70003.274,-0.88,25.938,20.976,-0.510109111603
1517941255.53,70003.274,-0.88,25.94,20.954,-0.498145834804
1517941256.53,70003.274,-0.88,25.941,20.976,-0.492958493145
1517941257.53,70003.294,-0.59,25.943,20.965,-0.48775738181
1517941258.53,70003.294,-0.59,25.945,20.965,-0.482554178879
1517941259.53,70003.294,-0.59,25.953,20.954,-0.47736056243
1517941260.53,70003.294,-0.59,25.948,20.954,-0.466568849683
1517941261.53,70003.269,-0.95,25.946,20.954,-0.456094536664
1517941262.53,70003.269,-0.95,25.944,20.954,-0.44594424676
1517941263.53,70003.269,-0.95,25.943,20.965,-0.433610461119
1517941264.53,70003.322,-0.19,25.941,20.954,-0.421552548305
1517941265.53,70003.322,-0.19,25.941,20.965,-0.409774952961
1517941266.53,70003.322,-0.19,25.94,20.954,-0.403921220028
1517941267.53,70003.302,-0.48,25.939,20.965,-0.398111715641
1517941268.53,70003.302,-0.48,25.938,20.954,-0.392355939131
1517941269.53,70003.302,-0.48,25.937,20.954,-0.386663389833
1517941270.53,70003.302,-0.48,25.936,20.976,-0.371343676277
1517941271.53,70003.32,-0.22,25.936,20.954,-0.356176605671
1517941272.53,70003.32,-0.22,25.934,20.976,-0.341163136662
1517941273.53,70003.32,-0.22,25.934,20.965,-0.325463118622
1517941274.53,70003.358,0.32,25.932,20.986,-0.309825804894
1517941275.53,70003.358,0.32,25.932,20.976,-0.294251456928
1517941276.53,70003.358,0.32,25.93,20.976,-0.288706156004
1517941277.53,70003.358,0.32,25.931,20.976,-0.282891082741
1517941278.53,70003.335,-0.01,25.93,20.976,-0.276815387874
1517941279.53,70003.335,-0.01,25.932,20.976,-0.270488222135
1517941280.53,70003.335,-0.01,25.931,20.954,-0.260417360597
1517941281.53,70003.332,-0.05,25.932,20.943,-0.250064220719
1517941282.53,70003.332,-0.05,25.93,20.943,-0.239434902989
1517941283.53,70003.332,-0.05,25.931,20.954,-0.23141414564
1517941284.53,70003.353,0.25,25.929,20.954,-0.224118474982
1517941285.54,70003.353,0.25,25.93,20.954,-0.217556083103
1517941286.53,70003.353,0.25,25.93,20.965,-0.215290544504
1517941287.53,70003.353,0.25,25.929,20.954,-0.206039440533
1517941288.53,70003.327,-0.12,25.929,20.965,-0.196822499301
1517941289.53,70003.327,-0.12,25.93,20.922,-0.187644775498
1517941290.53,70003.327,-0.12,25.93,20.933,-0.176710537898
1517941291.53,70003.353,0.25,25.931,20.965,-0.166396240704
1517941292.54,70003.353,0.25,25.929,20.933,-0.156705108462
1517941293.54,70003.353,0.25,25.931,20.954,-0.152921419601
1517941294.54,70003.325,-0.15,25.93,20.922,-0.14960097573
1517941295.53,70003.325,-0.15,25.932,20.911,-0.146751707483
1517941296.53,70003.325,-0.15,25.932,20.922,-0.143708905581
