timestamp,run6-ltz1000-3
1517472414.979,7172008.500
1517472418.320,7172007.200
1517472421.661,7172007.500
1517472425.017,7172006.000
1517472428.358,7172007.500
1517472431.699,7172006.200
1517472435.039,7172007.200
1517472438.396,7172007.200
1517472441.737,7172006.500
1517472445.078,7172008.000
1517472448.434,7172006.000
1517472451.775,7172007.000
1517472455.116,7172005.700
1517472458.457,7172004.700
1517472461.814,7172004.900
1517472465.154,7172002.900
1517472468.495,7172003.900
1517472471.852,7172002.200
1517472475.194,7172002.700
1517472478.534,7172002.700
1517472481.875,7172002.200
1517472485.232,7172002.200
1517472488.573,7172000.900
1517472491.914,7172001.900
1517472495.270,7171999.400
1517472498.611,7171999.400
1517472501.952,7172000.900
1517472505.293,7172000.600
1517472508.650,7171999.100
1517472511.991,7171999.400
1517472515.332,7171999.600
1517472518.689,7171998.400
1517472522.030,7171998.100
1517472525.370,7171999.100
1517472528.711,7171997.800
1517472532.068,7171998.100
1517472535.408,7171997.100
1517472538.750,7171998.400
1517472542.106,7171997.300
1517472545.447,7171998.400
1517472548.788,7171997.300
1517472552.129,7171997.100
1517472555.485,7171997.800
1517472558.827,7171997.800
1517472562.167,7171997.600
1517472565.524,7171995.600
1517472568.865,7171996.300
1517472572.206,7171995.800
1517472575.547,7171995.800
1517472578.903,7171996.300
1517472582.244,7171996.100
1517472585.585,7171994.500
1517472588.942,7171995.600
1517472592.282,7171996.600
1517472595.623,7171994.800
1517472598.964,7171995.300
1517472602.321,7171994.500
1517472605.661,7171996.300
1517472609.003,7171994.500
1517472612.359,7171993.500
1517472615.700,7171994.800
1517472619.041,7171994.500
1517472622.382,7171994.000
1517472625.739,7171993.500
1517472629.080,7171993.000
1517472632.421,7171993.300
1517472635.777,7171992.500
1517472639.119,7171992.800
1517472642.460,7171993.000
1517472645.800,7171993.300
1517472649.157,7171992.500
1517472652.498,7171992.500
1517472655.839,7171992.800
1517472659.196,7171993.300
1517472662.537,7171993.000
1517472665.877,7171992.000
1517472669.219,7171991.800
1517472672.575,7171992.300
1517472675.916,7171992.800
1517472679.257,7171992.300
1517472682.614,7171992.300
1517472685.954,7171992.000
1517472689.296,7171992.000
1517472692.636,7171991.300
1517472695.993,7171991.500
1517472699.334,7171992.300
1517472702.675,7171991.800
1517472706.031,7171991.300
1517472709.372,7171991.300
1517472712.713,7171991.500
1517472716.054,7171990.500
1517472719.411,7171990.700
1517472722.751,7171990.700
1517472726.093,7171990.700
1517472729.449,7171991.300
1517472732.790,7171990.000
1517472736.131,7171990.200
1517472739.472,7171989.700
1517472742.828,7171989.700
1517472746.169,7171989.700
1517472749.510,7171990.500
1517472752.867,7171989.200
1517472756.208,7171990.500
1517472759.549,7171990.200
1517472762.890,7171990.500
1517472766.246,7171989.500
1517472769.588,7171989.500
1517472772.928,7171989.700
1517472776.269,7171989.500
1517472779.626,7171989.200
1517472782.967,7171988.700
1517472786.307,7171989.200
1517472789.664,7171990.200
1517472793.005,7171989.200
1517472796.346,7171990.500
1517472799.687,7171990.500
1517472803.044,7171988.700
1517472806.385,7171990.700
1517472809.725,7171989.500
1517472813.082,7171990.000
1517472816.423,7171990.500
1517472819.764,7171990.000
1517472823.105,7171989.500
1517472826.461,7171989.700
1517472829.802,7171990.500
1517472833.143,7171990.000
1517472836.499,7171989.500
1517472839.840,7171989.500
1517472843.182,7171990.000
1517472846.538,7171990.200
1517472849.879,7171989.500
1517472853.220,7171989.200
1517472856.560,7171988.200
1517472859.917,7171989.700
1517472863.258,7171989.200
1517472866.599,7171988.500
1517472869.956,7171988.500
1517472873.297,7171989.000
1517472876.638,7171987.400
1517472879.979,7171987.400
1517472883.335,7171988.200
1517472886.676,7171989.700
1517472890.017,7171988.700
1517472893.373,7171987.200
1517472896.714,7171987.700
1517472900.055,7171987.700
1517472903.396,7171987.400
1517472906.752,7171988.700
1517472910.093,7171987.400
1517472913.434,7171988.700
1517472916.790,7171987.700
1517472920.132,7171987.700
1517472923.473,7171988.200
1517472926.813,7171987.200
1517472930.170,7171987.400
1517472933.511,7171989.000
1517472936.852,7171986.400
1517472940.209,7171988.700
1517472943.550,7171987.200
1517472946.890,7171989.200
1517472950.231,7171988.200
1517472953.588,7171987.600
1517472956.929,7171989.000
1517472960.270,7171988.000
1517472963.626,7171988.700
1517472966.967,7171989.000
1517472970.308,7171988.500
1517472973.649,7171986.900
1517472977.005,7171988.000
1517472980.347,7171987.200
1517472983.687,7171987.700
1517472987.044,7171987.400
1517472990.385,7171987.200
1517472993.726,7171987.700
1517472997.067,7171988.200
1517473000.424,7171987.400
1517473003.765,7171988.000
1517473007.106,7171989.500
1517473010.462,7171987.700
1517473013.803,7171986.200
1517473017.144,7171986.900
1517473020.485,7171987.700
1517473023.841,7171986.700
1517473027.182,7171987.700
1517473030.523,7171988.200
1517473033.879,7171988.000
1517473037.220,7171987.400
1517473040.561,7171986.700
1517473043.902,7171986.200
1517473047.259,7171988.500
1517473050.600,7171986.400
1517473053.940,7171987.200
1517473057.297,7171986.900
1517473060.638,7171987.400
1517473063.979,7171987.700
1517473067.319,7171987.700
1517473070.676,7171987.700
1517473074.017,7171988.000
1517473077.358,7171986.900
1517473080.715,7171987.200
1517473084.056,7171987.200
1517473087.397,7171987.700
1517473090.737,7171988.000
1517473094.094,7171985.700
1517473097.435,7171986.900
1517473100.776,7171988.000
1517473104.133,7171987.700
1517473107.473,7171988.200
1517473110.814,7171987.200
1517473114.155,7171987.200
1517473117.512,7171988.000
1517473120.853,7171986.700
1517473124.194,7171987.400
1517473127.550,7171986.400
1517473130.891,7171985.900
1517473134.232,7171987.200
1517473137.573,7171987.200
1517473140.930,7171987.200
1517473144.271,7171986.400
1517473147.612,7171987.700
1517473150.968,7171987.200
1517473154.309,7171987.700
1517473157.650,7171987.400
1517473160.991,7171988.200
1517473164.348,7171989.500
1517473167.688,7171988.000
1517473171.029,7171986.900
1517473174.386,7171986.700
1517473177.727,7171987.400
1517473181.068,7171988.200
1517473184.409,7171987.400
1517473187.765,7171986.700
1517473191.106,7171987.700
1517473194.447,7171988.000
1517473197.804,7171987.400
1517473201.145,7171987.200
1517473204.486,7171987.200
1517473207.827,7171986.400
1517473211.184,7171986.400
1517473214.524,7171986.900
1517473217.865,7171986.900
1517473221.222,7171987.700
1517473224.563,7171987.400
1517473227.904,7171986.700
1517473231.245,7171988.000
1517473234.601,7171987.200
1517473237.942,7171988.200
1517473241.283,7171988.200
1517473244.640,7171986.400
1517473247.981,7171987.700
1517473251.322,7171987.200
1517473254.663,7171987.700
1517473258.019,7171986.200
1517473261.360,7171987.400
1517473264.701,7171988.200
1517473268.058,7171986.400
1517473271.398,7171988.700
1517473274.739,7171986.700
1517473278.080,7171986.200
1517473281.437,7171985.400
1517473284.778,7171987.700
1517473288.119,7171988.000
1517473291.475,7171986.700
1517473294.816,7171985.200
1517473298.157,7171987.400
1517473301.498,7171986.200
1517473304.855,7171986.900
1517473308.195,7171987.700
1517473311.536,7171988.000
1517473314.893,7171989.200
1517473318.234,7171988.200
1517473321.575,7171988.500
1517473324.916,7171987.700
1517473328.273,7171988.000
1517473331.614,7171989.000
1517473334.954,7171987.700
1517473338.311,7171988.000
1517473341.652,7171986.700
1517473344.993,7171987.400
1517473348.334,7171988.000
1517473351.690,7171987.700
1517473355.031,7171986.900
1517473358.372,7171988.500
1517473361.728,7171990.000
1517473365.070,7171989.200
1517473368.411,7171989.200
1517473371.752,7171988.200
1517473375.108,7171988.200
1517473378.449,7171988.200
1517473381.790,7171988.700
1517473385.147,7171987.400
1517473388.488,7171988.000
1517473391.829,7171988.500
1517473395.170,7171989.700
1517473398.526,7171989.000
1517473401.867,7171988.000
1517473405.208,7171988.500
1517473408.565,7171988.000
1517473411.906,7171988.500
1517473415.246,7171988.500
1517473418.588,7171989.000
1517473421.944,7171988.700
1517473425.285,7171987.400
1517473428.626,7171986.900
1517473431.982,7171989.000
1517473435.323,7171988.700
1517473438.664,7171987.400
1517473442.005,7171988.500
1517473445.362,7171988.000
1517473448.703,7171987.200
1517473452.044,7171987.400
1517473455.400,7171986.900
1517473458.741,7171988.000
1517473462.082,7171987.700
1517473465.423,7171986.900
1517473468.779,7171988.200
1517473472.121,7171987.200
1517473475.462,7171989.000
1517473478.818,7171988.200
1517473482.159,7171988.700
1517473485.500,7171988.200
1517473488.841,7171988.500
1517473492.197,7171988.700
1517473495.538,7171988.000
1517473498.879,7171987.400
1517473502.235,7171987.400
1517473505.576,7171987.700
1517473508.917,7171988.000
1517473512.258,7171988.500
1517473515.615,7171987.600
1517473518.956,7171987.400
1517473522.297,7171988.700
1517473525.653,7171988.500
1517473528.994,7171987.700
1517473532.335,7171987.400
1517473535.676,7171988.200
1517473539.033,7171987.700
1517473542.373,7171988.700
1517473545.714,7171986.900
1517473549.070,7171987.200
1517473552.412,7171987.400
1517473555.753,7171989.000
1517473559.094,7171989.200
1517473562.450,7171989.200
1517473565.791,7171988.200
1517473569.132,7171988.700
1517473572.488,7171989.200
1517473575.829,7171988.500
1517473579.170,7171988.500
1517473582.511,7171988.200
1517473585.868,7171988.700
1517473589.209,7171987.700
1517473592.550,7171988.000
1517473595.906,7171988.000
1517473599.247,7171987.200
1517473602.588,7171986.400
1517473605.929,7171988.200
1517473609.286,7171988.000
1517473612.626,7171988.000
1517473615.968,7171988.000
1517473619.324,7171988.700
1517473622.665,7171989.200
1517473626.006,7171989.000
1517473629.347,7171988.200
1517473632.703,7171989.000
1517473636.044,7171987.700
1517473639.385,7171988.200
1517473642.742,7171988.000
1517473646.083,7171988.200
1517473649.424,7171986.400
1517473652.764,7171987.700
1517473656.121,7171987.700
1517473659.462,7171986.900
1517473662.803,7171986.900
1517473666.159,7171989.000
1517473669.500,7171987.400
1517473672.841,7171988.500
1517473676.182,7171988.200
1517473679.539,7171988.700
1517473682.880,7171987.700
1517473686.220,7171988.000
1517473689.577,7171988.500
1517473692.918,7171988.000
1517473696.259,7171988.700
1517473699.600,7171987.200
1517473702.956,7171988.500
1517473706.297,7171987.700
1517473709.638,7171988.700
1517473712.995,7171988.700
1517473716.336,7171987.400
1517473719.677,7171988.700
1517473723.018,7171987.200
1517473726.374,7171988.000
1517473729.715,7171988.000
1517473733.056,7171988.700
1517473736.412,7171987.400
1517473739.754,7171988.000
1517473743.094,7171987.400
1517473746.436,7171988.000
1517473749.792,7171988.200
1517473753.133,7171988.500
1517473756.474,7171986.900
1517473759.830,7171988.200
1517473763.172,7171988.700
1517473766.513,7171987.700
1517473769.854,7171988.000
1517473773.210,7171988.000
1517473776.551,7171986.900
1517473779.892,7171987.700
1517473783.249,7171988.500
1517473786.590,7171988.000
1517473789.931,7171987.700
1517473793.271,7171988.000
1517473796.628,7171987.400
1517473799.969,7171987.700
1517473803.310,7171988.200
1517473806.667,7171987.200
1517473810.008,7171987.700
1517473813.348,7171987.200
1517473816.689,7171987.700
1517473820.046,7171987.700
1517473823.387,7171987.700
1517473826.728,7171988.200
1517473830.084,7171987.200
1517473833.425,7171988.200
1517473836.766,7171989.000
1517473840.107,7171988.500
1517473843.464,7171988.000
1517473846.805,7171988.500
1517473850.146,7171988.000
1517473853.502,7171988.000
1517473856.843,7171989.200
1517473860.184,7171989.200
1517473863.525,7171988.700
1517473866.881,7171988.200
1517473870.223,7171987.700
1517473873.564,7171988.200
1517473876.920,7171988.200
1517473880.261,7171988.700
1517473883.602,7171987.200
1517473886.943,7171988.700
1517473890.300,7171988.700
1517473893.640,7171987.400
1517473896.981,7171987.200
1517473900.338,7171988.200
1517473903.679,7171986.900
1517473907.020,7171987.200
1517473910.360,7171988.000
1517473913.717,7171987.200
1517473917.058,7171988.200
1517473920.399,7171988.500
1517473923.756,7171986.900
1517473927.097,7171989.000
1517473930.437,7171988.200
1517473933.778,7171988.000
1517473937.135,7171986.900
1517473940.476,7171988.700
1517473943.817,7171987.200
1517473947.173,7171987.400
1517473950.514,7171988.000
1517473953.855,7171988.500
1517473957.196,7171987.200
1517473960.553,7171987.700
1517473963.894,7171986.700
1517473967.235,7171986.700
1517473970.591,7171985.700
1517473973.932,7171986.700
1517473977.273,7171986.200
1517473980.614,7171986.700
1517473983.970,7171986.900
1517473987.311,7171986.200
1517473990.652,7171987.400
1517473994.009,7171985.700
1517473997.350,7171986.700
1517474000.691,7171985.400
1517474004.032,7171986.900
1517474007.388,7171985.900
1517474010.729,7171986.200
1517474014.070,7171986.400
1517474017.427,7171986.700
1517474020.768,7171985.700
1517474024.109,7171984.700
1517474027.449,7171985.700
1517474030.806,7171986.700
1517474034.147,7171986.400
1517474037.488,7171986.200
1517474040.845,7171985.900
1517474044.186,7171987.700
1517474047.527,7171986.200
1517474050.868,7171985.700
1517474054.224,7171985.400
1517474057.565,7171985.700
1517474060.906,7171985.400
1517474064.262,7171986.400
1517474067.604,7171986.400
1517474070.945,7171985.200
1517474074.285,7171986.700
1517474077.642,7171986.700
1517474080.983,7171986.200
1517474084.324,7171984.900
1517474087.681,7171985.200
1517474091.022,7171986.700
1517474094.362,7171986.200
1517474097.703,7171985.900
1517474101.060,7171986.400
1517474104.401,7171988.000
1517474107.742,7171987.700
1517474111.098,7171986.700
1517474114.439,7171988.000
1517474117.780,7171987.400
1517474121.121,7171988.500
1517474124.478,7171988.700
1517474127.819,7171987.400
1517474131.160,7171987.700
1517474134.516,7171988.500
1517474137.857,7171988.500
1517474141.198,7171988.000
1517474144.539,7171988.500
1517474147.896,7171988.000
1517474151.237,7171988.200
1517474154.577,7171988.700
1517474157.934,7171987.700
1517474161.275,7171987.700
1517474164.616,7171988.500
1517474167.957,7171986.200
1517474171.313,7171986.700
1517474174.654,7171988.000
1517474177.995,7171986.900
1517474181.351,7171986.700
1517474184.692,7171987.700
1517474188.033,7171988.700
1517474191.374,7171987.200
1517474194.731,7171985.900
1517474198.072,7171987.200
1517474201.413,7171988.000
1517474204.770,7171985.900
1517474208.110,7171988.500
1517474211.451,7171987.400
1517474214.792,7171987.200
1517474218.149,7171988.000
1517474221.489,7171988.500
1517474224.830,7171987.200
1517474228.187,7171987.700
1517474231.528,7171987.200
1517474234.869,7171988.000
1517474238.210,7171988.500
1517474241.566,7171988.500
1517474244.907,7171987.700
1517474248.248,7171988.000
1517474251.605,7171987.400
1517474254.946,7171987.700
1517474258.287,7171986.700
1517474261.627,7171986.700
1517474264.984,7171988.500
1517474268.325,7171986.900
1517474271.666,7171988.700
1517474275.022,7171988.700
1517474278.363,7171987.200
1517474281.704,7171988.200
1517474285.045,7171988.500
1517474288.402,7171986.900
1517474291.743,7171986.400
1517474295.084,7171986.700
1517474298.440,7171986.900
1517474301.781,7171985.900
1517474305.122,7171986.400
1517474308.463,7171986.400
1517474311.819,7171985.900
1517474315.160,7171984.700
1517474318.501,7171986.200
1517474321.858,7171986.400
1517474325.199,7171986.200
1517474328.540,7171985.200
1517474331.881,7171985.200
1517474335.237,7171986.900
1517474338.578,7171985.400
1517474341.919,7171985.900
1517474345.276,7171985.700
1517474348.617,7171986.200
1517474351.958,7171987.700
1517474355.299,7171985.700
1517474358.656,7171985.400
1517474361.996,7171986.700
1517474365.337,7171986.900
1517474368.694,7171985.900
1517474372.035,7171986.700
1517474375.376,7171986.400
1517474378.717,7171986.900
1517474382.073,7171985.900
1517474385.414,7171985.700
1517474388.755,7171986.200
1517474392.112,7171985.900
1517474395.453,7171985.400
1517474398.794,7171986.700
1517474402.135,7171985.400
1517474405.491,7171986.400
1517474408.832,7171986.700
1517474412.173,7171986.400
1517474415.530,7171986.200
1517474418.871,7171986.900
1517474422.211,7171985.700
1517474425.552,7171985.700
1517474428.909,7171985.400
1517474432.250,7171985.700
1517474435.591,7171986.200
1517474438.948,7171987.200
1517474442.289,7171986.200
1517474445.629,7171986.700
1517474448.970,7171985.700
1517474452.327,7171984.700
1517474455.668,7171984.900
1517474459.009,7171986.700
1517474462.365,7171986.400
1517474465.706,7171986.700
1517474469.047,7171987.200
1517474472.388,7171986.400
1517474475.745,7171984.700
1517474479.086,7171984.200
1517474482.427,7171986.200
1517474485.783,7171986.200
1517474489.124,7171985.200
1517474492.465,7171986.200
1517474495.806,7171987.400
1517474499.162,7171985.900
1517474502.503,7171986.900
1517474505.844,7171986.900
1517474509.201,7171986.200
1517474512.542,7171986.400
1517474515.883,7171985.900
1517474519.224,7171985.900
1517474522.580,7171986.700
1517474525.921,7171985.700
1517474529.262,7171985.900
1517474532.618,7171986.200
1517474535.960,7171986.200
1517474539.300,7171983.900
1517474542.641,7171984.900
1517474545.998,7171985.900
1517474549.339,7171985.700
1517474552.680,7171986.400
1517474556.036,7171986.200
1517474559.377,7171986.200
1517474562.718,7171986.700
1517474566.059,7171985.900
1517474569.416,7171988.200
1517474572.757,7171988.000
1517474576.098,7171987.700
1517474579.454,7171989.500
1517474582.795,7171988.000
1517474586.136,7171988.000
1517474589.477,7171986.700
1517474592.833,7171988.000
1517474596.175,7171988.500
1517474599.515,7171986.900
1517474602.872,7171987.700
1517474606.213,7171986.400
1517474609.554,7171986.700
1517474612.895,7171987.200
1517474616.252,7171986.900
1517474619.593,7171986.700
1517474622.934,7171988.000
1517474626.290,7171988.200
1517474629.631,7171988.200
1517474632.972,7171989.200
1517474636.313,7171987.700
1517474639.670,7171987.400
1517474643.010,7171987.700
1517474646.351,7171988.200
1517474649.708,7171987.700
1517474653.049,7171988.500
1517474656.390,7171988.200
1517474659.730,7171986.900
1517474663.087,7171987.200
1517474666.428,7171985.900
1517474669.768,7171987.700
1517474673.125,7171986.400
1517474676.466,7171986.900
1517474679.807,7171986.900
1517474683.148,7171987.400
1517474686.504,7171987.700
1517474689.845,7171989.200
1517474693.186,7171986.900
1517474696.542,7171986.700
1517474699.883,7171988.200
1517474703.224,7171985.700
1517474706.581,7171986.700
1517474709.922,7171985.900
1517474713.263,7171985.900
1517474716.604,7171986.200
1517474719.960,7171985.700
1517474723.301,7171985.900
1517474726.642,7171985.700
1517474729.999,7171986.400
1517474733.340,7171987.400
1517474736.680,7171984.700
1517474740.021,7171986.700
1517474743.378,7171984.400
1517474746.719,7171986.200
1517474750.060,7171985.400
1517474753.416,7171985.700
1517474756.758,7171986.200
1517474760.098,7171986.200
1517474763.439,7171986.400
1517474766.796,7171986.200
1517474770.137,7171986.400
1517474773.478,7171986.700
1517474776.834,7171987.700
1517474780.175,7171986.900
1517474783.516,7171986.900
1517474786.857,7171986.400
1517474790.214,7171985.700
1517474793.555,7171985.900
1517474796.895,7171985.700
1517474800.252,7171985.400
1517474803.593,7171986.400
1517474806.934,7171986.200
1517474810.275,7171986.200
1517474813.631,7171985.900
1517474816.972,7171984.900
1517474820.313,7171985.900
1517474823.670,7171985.700
1517474827.011,7171986.900
1517474830.352,7171986.200
1517474833.693,7171985.900
1517474837.050,7171986.900
1517474840.390,7171985.700
1517474843.731,7171984.200
1517474847.088,7171985.900
1517474850.429,7171986.700
1517474853.769,7171985.400
1517474857.110,7171985.900
1517474860.467,7171985.200
1517474863.807,7171986.200
1517474867.148,7171986.400
1517474870.505,7171986.400
1517474873.846,7171986.900
1517474877.187,7171985.700
1517474880.528,7171987.200
1517474883.885,7171989.000
1517474887.225,7171987.400
1517474890.566,7171986.700
1517474893.923,7171987.400
1517474897.264,7171988.000
1517474900.605,7171988.200
1517474903.946,7171988.000
1517474907.302,7171988.200
1517474910.643,7171989.000
1517474913.984,7171986.700
1517474917.341,7171988.700
1517474920.682,7171988.500
1517474924.023,7171987.400
1517474927.364,7171988.200
1517474930.721,7171987.700
1517474934.061,7171987.400
1517474937.402,7171985.400
1517474940.759,7171985.900
1517474944.100,7171986.200
1517474947.441,7171986.200
1517474950.781,7171985.900
1517474954.138,7171986.400
1517474957.479,7171986.200
1517474960.820,7171985.200
1517474964.177,7171985.700
1517474967.517,7171985.400
1517474970.858,7171984.900
1517474974.199,7171985.200
1517474977.556,7171985.700
1517474980.897,7171984.700
1517474984.238,7171986.900
1517474987.594,7171985.900
1517474990.936,7171986.700
1517474994.277,7171986.700
1517474997.617,7171986.200
1517475000.974,7171986.200
1517475004.315,7171985.700
1517475007.656,7171986.700
1517475011.013,7171985.200
1517475014.353,7171985.700
1517475017.694,7171986.200
1517475021.035,7171984.400
1517475024.392,7171986.700
1517475027.733,7171986.900
1517475031.074,7171985.400
1517475034.430,7171986.700
1517475037.772,7171986.200
1517475041.112,7171985.900
1517475044.453,7171985.700
1517475047.810,7171984.900
1517475051.151,7171984.700
1517475054.492,7171986.700
1517475057.833,7171983.900
1517475061.190,7171986.200
1517475064.531,7171986.700
1517475067.871,7171986.200
1517475071.228,7171985.400
1517475074.569,7171985.900
1517475077.910,7171984.700
1517475081.251,7171986.200
1517475084.607,7171985.700
1517475087.948,7171986.200
1517475091.289,7171985.200
1517475094.646,7171985.400
1517475097.987,7171985.200
1517475101.328,7171985.700
1517475104.669,7171984.700
1517475108.026,7171984.200
1517475111.367,7171985.900
1517475114.708,7171984.900
1517475118.064,7171984.200
1517475121.405,7171984.400
