timestamp,v
1519625315.3,9.0
1519625320.3,8.9
1519625325.3,8.8
1519625330.3,8.7
1519625335.3,8.6
1519625340.3,8.5
1519625345.3,8.4
1519625350.3,8.3
1519625355.3,8.2
1519625360.3,8.1
1519625365.3,8.0
1519625370.3,8.0
1519625375.3,8.1
1519625380.3,8.2
1519625385.3,8.3
1519625390.3,8.4
1519625395.3,8.5
1519625400.3,8.6
1519625405.4,8.7
1519625410.4,8.8
1519625415.4,8.9
1519625420.4,9.0
1519625425.4,9.0
1519625430.4,8.9
1519625435.4,8.8
1519625440.4,8.7
1519625445.4,8.6
1519625450.4,8.5
1519625455.4,8.4
1519625460.4,8.3
1519625465.4,8.2
1519625470.4,8.1
1519625475.4,8.0
1519625480.4,8.0
1519625485.4,8.1
1519625490.4,8.2
1519625495.4,8.3
1519625500.5,8.4
1519625505.5,8.5
1519625510.5,8.6
1519625515.5,8.7
1519625520.5,8.8
1519625525.5,8.9
1519625530.5,9.0
1519625535.5,9.0
1519625540.5,8.9
1519625545.5,8.8
1519625550.5,8.7
1519625555.5,8.6
1519625560.5,8.5
1519625565.5,8.4
1519625570.5,8.3
1519625575.5,8.2
1519625580.5,8.1
1519625585.5,8.0
1519625590.5,8.0
1519625595.6,8.1
1519625600.6,8.2
1519625605.6,8.3
1519625610.6,8.4
1519625615.6,8.5
1519625620.6,8.6
1519625625.6,8.7
1519625630.6,8.8
1519625635.6,8.9
1519625640.6,9.0
1519625645.6,9.0
1519625650.6,8.9
1519625655.6,8.8
1519625660.6,8.7
1519625665.6,8.6
