timestamp,lm399,temp_c,humidity
1516415946.31,-0.000,21.596,48.794
1516415947.31,-0.000,21.586,48.764
1516415948.31,-0.000,21.564,48.756
1516415949.31,-0.000,21.554,48.749
1516415950.31,-0.000,21.554,48.749
1516415951.31,-0.000,21.554,48.718
1516415952.31,-0.000,21.543,48.718
1516415953.31,-0.000,21.543,48.718
1516415954.31,-0.000,21.521,48.710
1516415955.31,-0.000,21.554,48.703
1516415956.31,-0.000,21.532,48.695
1516415957.31,-0.000,21.532,48.680
1516415958.31,-0.000,21.532,48.649
1516415959.31,-0.000,21.500,48.680
1516415960.31,-0.000,21.500,48.680
1516415961.31,-0.000,21.500,48.665
1516415962.31,9984.626,21.489,48.657
1516415963.31,9984.627,21.511,48.649
1516415964.31,9984.631,21.479,48.649
1516415965.31,9984.631,21.500,48.649
1516415966.31,9984.635,21.457,48.649
1516415967.31,9984.636,21.447,48.642
1516415968.31,9984.639,21.436,48.604
1516415969.31,9984.638,21.425,48.604
1516415972.31,9984.640,21.414,48.619
1516415975.31,9984.642,21.393,48.604
1516415979.31,9984.642,21.361,48.611
1516415982.31,9984.642,21.329,48.626
1516415985.31,9984.645,21.297,48.649
1516415989.3,9984.647,21.275,48.680
1516415992.31,9984.648,21.254,48.695
1516415995.3,9984.650,21.243,48.703
1516415999.3,9984.650,21.201,48.749
1516416002.3,9984.651,21.179,48.787
1516416006.3,9984.652,21.147,48.840
1516416009.3,9984.653,21.136,48.871
1516416012.3,9984.652,21.094,48.909
1516416016.3,9984.654,21.083,48.985
1516416019.3,9984.655,21.083,49.016
1516416022.3,9984.656,21.051,49.054
1516416026.3,9984.656,21.040,49.092
1516416029.3,9984.655,21.029,49.138
1516416032.3,9984.656,21.029,49.176
1516416036.3,9984.657,20.997,49.214
1516416039.29,9984.656,20.976,49.260
1516416042.3,9984.656,20.976,49.283
1516416046.3,9984.660,20.944,49.351
1516416049.29,9984.657,20.976,49.389
1516416052.3,9984.660,20.944,49.382
1516416056.29,9984.661,20.922,49.443
1516416059.29,9984.661,20.912,49.458
1516416063.29,9984.662,20.901,49.489
1516416066.29,9984.664,20.890,49.527
1516416069.29,9984.665,20.912,49.550
1516416073.29,9984.664,20.858,49.573
1516416076.29,9984.663,20.848,49.611
1516416079.29,9984.665,20.848,49.649
1516416083.29,9984.665,20.826,49.664
1516416086.29,9984.665,20.826,49.695
1516416089.29,9984.666,20.815,49.717
1516416093.29,9984.666,20.805,49.756
1516416096.29,9984.666,20.805,49.786
1516416099.29,9984.666,20.805,49.809
1516416103.29,9984.666,20.794,49.817
1516416106.29,9984.666,20.815,49.855
1516416109.28,9984.667,20.783,49.862
1516416113.28,9984.665,20.783,49.878
1516416116.29,9984.665,20.794,49.916
1516416120.28,9984.667,20.762,49.962
1516416123.28,9984.666,20.773,49.954
1516416126.28,9984.666,20.751,49.984
1516416130.28,9984.667,20.741,50.007
1516416133.28,9984.666,20.762,50.015
1516416136.28,9984.666,20.751,50.038
1516416140.28,9984.667,20.741,50.046
1516416143.28,9984.666,20.719,50.053
1516416146.28,9984.667,20.730,50.084
