resistance,ppm,temp_c
9984.8503,-0.12,25.005
9984.8503,-0.12,24.999
9984.8503,-0.12,25.037
9984.8503,-0.12,25.07
9984.8503,-0.12,25.153
9984.8503,-0.12,25.238
9984.8503,-0.12,25.328
9984.8503,-0.12,25.435
9984.8503,-0.12,25.552
9984.8503,-0.12,25.648
9984.8503,-0.12,25.733
9984.8475,-0.40,25.811
9984.8475,-0.40,25.906
9984.8475,-0.40,25.961
9984.8475,-0.40,26.041
9984.8475,-0.40,26.09
9984.8475,-0.40,26.133
9984.8475,-0.40,26.163
9984.8475,-0.40,26.191
9984.8475,-0.40,26.19
9984.8475,-0.40,26.19
9984.8475,-0.40,26.187
9984.8475,-0.40,26.174
9984.8475,-0.40,26.166
9984.8473,-0.42,26.14
9984.8473,-0.42,26.117
9984.8473,-0.42,26.093
9984.8473,-0.42,26.056
9984.8473,-0.42,26.034
9984.8473,-0.42,26.02
9984.8473,-0.42,25.986
9984.8473,-0.42,25.973
9984.8473,-0.42,25.957
9984.8473,-0.42,25.949
9984.8473,-0.42,25.936
9984.8473,-0.42,25.943
9984.8473,-0.42,25.92
9984.8473,-0.42,25.907
9984.8453,-0.62,25.92
9984.8453,-0.62,25.925
9984.8453,-0.62,25.914
9984.8453,-0.62,25.913
9984.8453,-0.62,25.932
9984.8453,-0.62,25.935
9984.8453,-0.62,25.94
9984.8453,-0.62,25.962
9984.8453,-0.62,25.966
9984.8453,-0.62,25.962
9984.8453,-0.62,25.972
9984.8453,-0.62,25.975
9984.8453,-0.62,25.998
9984.8432,-0.83,25.993
9984.8432,-0.83,26.005
9984.8432,-0.83,25.995
9984.8432,-0.83,26.012
9984.8432,-0.83,26.004
9984.8432,-0.83,26.017
9984.8432,-0.83,26.017
9984.8432,-0.83,26.009
9984.8432,-0.83,26.011
9984.8432,-0.83,25.998
9984.8432,-0.83,25.994
9984.8432,-0.83,26.001
9984.8432,-0.83,26.004
9984.8432,-0.83,26.0
9984.8445,-0.70,25.987
9984.8445,-0.70,25.99
9984.8445,-0.70,26.011
9984.8445,-0.70,26.0
9984.8445,-0.70,26.002
9984.8445,-0.70,26.001
9984.8445,-0.70,26.008
9984.8445,-0.70,26.001
9984.8445,-0.70,25.997
9984.8445,-0.70,25.993
9984.8445,-0.70,26.0
9984.8445,-0.70,25.99
9984.8445,-0.70,25.986
9984.8437,-0.78,26.004
9984.8437,-0.78,25.991
9984.8437,-0.78,26.0
9984.8437,-0.78,26.012
9984.8437,-0.78,25.994
9984.8437,-0.78,26.004
9984.8437,-0.78,26.001
9984.8437,-0.78,26.005
9984.8437,-0.78,26.017
9984.8437,-0.78,26.0
9984.8437,-0.78,26.005
9984.8437,-0.78,26.008
9984.8437,-0.78,26.019
9984.8437,-0.78,26.011
9984.8404,-1.11,26.008
9984.8404,-1.11,26.019
9984.8404,-1.11,26.022
9984.8404,-1.11,26.002
9984.8404,-1.11,26.009
