timestamp,temp_c
1514588532.643,22.1312
1514588533.642,22.1312
1514588534.642,22.1419
1514588535.641,22.1098
1514588536.641,22.1312
1514588537.640,22.1419
1514588538.640,22.1205
1514588539.639,22.1312
1514588540.639,22.1632
1514588541.638,22.1312
1514588542.638,22.1205
1514588543.637,22.1312
1514588544.637,22.1419
1514588545.640,22.1419
1514588546.636,22.1312
1514588547.639,22.1312
1514588548.639,22.1312
1514588549.638,22.1419
1514588550.638,22.1525
1514588551.637,22.1525
1514588552.637,22.1525
1514588553.636,22.1419
1514588554.636,22.1312
1514588555.635,22.1312
1514588556.635,22.1419
1514588557.634,22.1525
1514588558.634,22.1419
1514588559.637,22.1632
1514588560.637,22.1525
1514588561.636,22.1419
1514588562.636,22.1419
1514588563.636,22.1419
1514588564.635,22.1419
1514588565.635,22.1525
1514588566.634,22.1525
1514588567.634,22.1525
1514588568.633,22.1632
1514588569.633,22.1525
1514588570.632,22.1632
1514588571.632,22.1632
1514588572.631,22.1525
1514588573.635,22.1632
1514588574.634,22.1525
1514588575.634,22.1525
1514588576.633,22.1525
1514588577.758,22.1419
1514588578.632,22.1525
1514588579.632,22.1419
1514588580.631,22.1525
1514588581.631,22.1525
1514588582.630,22.1632
1514588583.630,22.1419
1514588584.629,22.1632
1514588585.629,22.1419
1514588586.632,22.1525
1514588587.628,22.1419
1514588588.631,22.1632
1514588589.631,22.1525
1514588590.630,22.1525
1514588591.630,22.1419
1514588592.629,22.1419
1514588593.629,22.1525
1514588594.628,22.1419
1514588595.628,22.1632
1514588596.628,22.1525
1514588597.627,22.1419
1514588598.630,22.1419
1514588599.626,22.1419
1514588600.630,22.1312
1514588601.629,22.1632
1514588602.628,22.1632
1514588603.628,22.1525
1514588604.628,22.1419
1514588605.627,22.1419
1514588606.627,22.1525
1514588607.626,22.1312
1514588608.626,22.1525
1514588609.625,22.1312
1514588610.625,22.1525
1514588611.624,22.1525
1514588612.624,22.1525
1514588613.627,22.1419
1514588614.627,22.1525
1514588615.626,22.1632
1514588616.626,22.1632
1514588617.625,22.1525
1514588618.625,22.1419
1514588619.624,22.1312
1514588620.624,22.1525
1514588621.623,22.1419
1514588622.623,22.1525
1514588623.622,22.1632
1514588624.622,22.1205
1514588625.621,22.1632
1514588626.621,22.1525
1514588627.624,22.1205
1514588628.624,22.1525
1514588629.623,22.1632
1514588630.623,22.1419
1514588631.622,22.1632
1514588632.622,22.1632
1514588633.622,22.1525
1514588634.621,22.1419
1514588635.621,22.1525
1514588636.620,22.1632
1514588637.620,22.1632
1514588638.619,22.1525
1514588639.623,22.1632
1514588640.618,22.1739
1514588641.621,22.1525
1514588642.621,22.1632
1514588643.621,22.1525
1514588644.620,22.1739
1514588645.620,22.1739
1514588646.619,22.1632
1514588647.618,22.1846
1514588648.618,22.1525
1514588649.618,22.1632
1514588650.617,22.1525
1514588651.617,22.1525
1514588652.616,22.1525
1514588653.620,22.1419
1514588654.619,22.1525
1514588655.619,22.1419
1514588656.618,22.1632
1514588657.618,22.1632
1514588658.617,22.1632
1514588659.617,22.1632
1514588660.616,22.1525
1514588661.616,22.1632
1514588662.615,22.1525
1514588663.615,22.1739
1514588664.614,22.1632
1514588665.614,22.1525
1514588666.613,22.1739
1514588667.613,22.1525
1514588668.616,22.1632
1514588669.616,22.1525
1514588670.615,22.1419
1514588671.615,22.1419
1514588672.614,22.1632
1514588673.614,22.1632
1514588674.613,22.1632
1514588675.613,22.1525
1514588676.612,22.1739
1514588677.612,22.1525
1514588678.612,22.1846
1514588679.611,22.1632
1514588680.615,22.1739
1514588681.610,22.1525
1514588682.613,22.1525
1514588683.613,22.1739
1514588684.613,22.1739
1514588685.612,22.1632
1514588686.612,22.1525
1514588687.611,22.1525
1514588688.611,22.1632
1514588689.610,22.1739
1514588690.610,22.1632
1514588691.609,22.1632
1514588692.609,22.1525
1514588693.608,22.1632
1514588694.612,22.1632
1514588695.611,22.1739
1514588696.611,22.1846
1514588697.610,22.1846
1514588698.610,22.1632
1514588699.609,22.1739
1514588700.609,22.1846
1514588701.608,22.1846
1514588702.608,22.1846
1514588703.607,22.1739
1514588704.607,22.1846
1514588705.606,22.1632
1514588706.606,22.1632
1514588707.609,22.1953
1514588708.605,22.1953
1514588709.608,22.1846
1514588710.608,22.1846
1514588711.607,22.1846
1514588712.607,22.1846
1514588713.606,22.1846
1514588714.606,22.1953
1514588715.605,22.1846
1514588716.605,22.1846
1514588717.605,22.1953
1514588718.604,22.1953
1514588719.603,22.1739
1514588720.603,22.1953
1514588721.607,22.2060
1514588722.606,22.2060
1514588723.606,22.1953
1514588724.605,22.1846
1514588725.605,22.1953
1514588726.604,22.1846
1514588727.604,22.2274
1514588728.603,22.1846
1514588729.603,22.2060
1514588730.602,22.2060
1514588731.602,22.2060
1514588732.601,22.2167
1514588733.605,22.1953
1514588734.600,22.1846
1514588735.604,22.2060
1514588736.603,22.2060
1514588737.603,22.1953
1514588738.602,22.2060
1514588739.602,22.1846
1514588740.601,22.1953
1514588741.601,22.1953
1514588742.600,22.1953
1514588743.600,22.1953
1514588744.599,22.2167
1514588745.599,22.2060
1514588746.598,22.1846
1514588747.598,22.2167
1514588748.601,22.1953
1514588749.601,22.2060
1514588750.600,22.2060
1514588751.600,22.1846
1514588752.600,22.1846
1514588753.599,22.2060
1514588754.598,22.1953
1514588755.598,22.1953
1514588756.597,22.1953
1514588757.597,22.1846
1514588758.597,22.1846
1514588759.596,22.2274
1514588760.596,22.1846
1514588761.595,22.1846
1514588762.599,22.2274
1514588763.598,22.1953
1514588764.598,22.1953
1514588765.597,22.1846
1514588766.596,22.2060
1514588767.596,22.2060
1514588768.596,22.2060
1514588769.595,22.2274
1514588770.595,22.2060
1514588771.594,22.1953
1514588772.594,22.2274
1514588773.593,22.2060
1514588774.597,22.2060
1514588775.592,22.2167
1514588776.596,22.2167
1514588777.595,22.2274
1514588778.595,22.2274
1514588779.594,22.2167
1514588780.594,22.2274
1514588781.593,22.2274
1514588782.593,22.2274
1514588783.592,22.2488
1514588784.592,22.2274
1514588785.591,22.2167
1514588786.591,22.2274
1514588787.591,22.2274
1514588788.590,22.2274
1514588789.593,22.2488
1514588790.593,22.2274
1514588791.592,22.2274
1514588792.592,22.2274
1514588793.591,22.2274
1514588794.591,22.2274
1514588795.590,22.2381
1514588796.590,22.2274
1514588797.590,22.2488
1514588798.589,22.2060
1514588799.588,22.2488
1514588800.588,22.2274
1514588801.592,22.2381
1514588802.587,22.2595
1514588803.590,22.2595
1514588804.590,22.2488
1514588805.590,22.2488
1514588806.589,22.2595
1514588807.589,22.2381
1514588808.588,22.2595
1514588809.588,22.2595
1514588810.587,22.2381
1514588811.587,22.2381
1514588812.586,22.2595
1514588813.909,22.2488
1514588814.585,22.2488
1514588815.589,22.2488
1514588816.588,22.2381
1514588817.588,22.2274
1514588818.587,22.2381
1514588819.587,22.2809
1514588820.586,22.2702
1514588821.586,22.2595
1514588822.585,22.2488
1514588823.585,22.2702
1514588824.584,22.2702
1514588825.584,22.2702
1514588826.583,22.2702
1514588827.583,22.2809
1514588828.582,22.2702
1514588829.586,22.2702
1514588830.586,22.2595
1514588831.585,22.2595
