timestamp,ltz1000-3-to-4-lipo-3s
1515466777.542,17594.8
1515466780.891,17594.9
1515466784.233,17595.3
1515466787.579,17595.0
1515466790.924,17595.0
1515466794.269,17595.0
1515466797.615,17594.8
1515466800.960,17595.3
1515466804.306,17595.3
1515466807.652,17595.0
1515466810.997,17594.9
1515466814.342,17595.0
1515466817.687,17595.0
1515466821.033,17595.1
1515466824.379,17595.5
1515466827.723,17595.4
1515466831.069,17595.0
1515466834.414,17595.6
1515466837.760,17595.5
1515466841.105,17596.2
1515466844.450,17596.0
1515466847.796,17595.2
1515466851.141,17595.3
1515466854.487,17595.6
1515466857.833,17595.9
1515466861.178,17595.8
1515466864.532,17595.7
1515466867.868,17595.8
1515466871.214,17595.7
1515466874.559,17595.7
1515466877.905,17595.6
1515466881.251,17595.6
1515466884.595,17596.1
1515466887.941,17595.6
1515466891.286,17596.0
1515466894.632,17596.8
1515466897.978,17596.6
1515466901.322,17596.9
1515466904.668,17597.2
1515466908.014,17596.8
1515466911.359,17596.6
1515466914.704,17596.8
1515466918.049,17596.6
1515466921.395,17596.8
1515466924.741,17596.8
1515466928.086,17596.5
1515466931.431,17596.6
1515466934.777,17596.9
1515466938.122,17596.9
1515466941.468,17596.3
1515466944.813,17596.5
1515466948.159,17596.6
1515466951.504,17596.3
1515466954.850,17596.4
1515466958.194,17596.5
1515466961.540,17596.4
1515466964.886,17596.0
1515466968.230,17596.2
1515466971.576,17596.4
1515466974.922,17596.4
1515466978.268,17596.4
1515466981.612,17596.4
1515466984.958,17596.3
1515466988.304,17596.4
1515466991.648,17596.4
1515466994.994,17596.5
1515466998.340,17596.5
1515467001.685,17596.5
1515467005.030,17595.9
1515467008.376,17596.0
1515467011.721,17595.8
1515467015.066,17595.7
1515467018.412,17595.5
1515467021.758,17595.6
1515467025.103,17595.8
1515467028.448,17595.9
1515467031.794,17595.9
1515467035.139,17595.8
1515467038.484,17595.7
1515467041.830,17596.0
1515467045.175,17595.8
1515467048.520,17595.7
1515467051.866,17595.7
1515467055.212,17595.6
1515467058.557,17595.5
1515467061.902,17596.0
1515467065.248,17596.1
1515467068.594,17595.8
1515467071.938,17595.8
1515467075.284,17595.6
1515467078.630,17595.8
1515467081.974,17596.0
1515467085.320,17596.0
1515467088.666,17596.1
1515467092.011,17596.3
1515467095.356,17596.4
1515467098.702,17596.2
1515467102.048,17596.7
1515467105.392,17596.4
1515467108.738,17596.5
1515467112.084,17596.3
1515467115.429,17596.0
1515467118.774,17596.7
1515467122.120,17596.7
1515467125.465,17596.5
1515467128.810,17596.7
1515467132.156,17596.2
1515467135.502,17595.9
1515467138.846,17596.0
1515467142.192,17595.8
1515467145.538,17596.0
1515467148.883,17596.2
1515467152.228,17595.9
1515467155.574,17596.2
1515467158.919,17595.9
1515467162.265,17596.1
1515467165.610,17596.2
1515467168.955,17596.3
1515467172.301,17596.5
1515467175.647,17596.4
1515467178.992,17595.7
1515467182.337,17595.9
