timestamp,temp_c
1515466773.525,22.9120
1515466774.525,22.9227
1515466775.524,22.9227
1515466776.524,22.9120
1515466777.523,22.9120
1515466778.523,22.9227
1515466779.522,22.9227
1515466780.522,22.9227
1515466781.525,22.9334
1515466782.525,22.9120
1515466783.524,22.9013
1515466784.524,22.9120
1515466785.523,22.9120
1515466786.523,22.9120
1515466787.522,22.9227
1515466788.522,22.9227
1515466789.521,22.9441
1515466790.521,22.9120
1515466791.520,22.9334
1515466792.520,22.9227
1515466793.523,22.9120
1515466794.519,22.9334
1515466795.522,22.9334
1515466796.522,22.9227
1515466797.521,22.9227
1515466798.521,22.9334
1515466799.520,22.9334
1515466800.520,22.9120
1515466801.519,22.9334
1515466802.519,22.9441
1515466803.518,22.9120
1515466804.518,22.9227
1515466805.518,22.9441
1515466806.521,22.9441
1515466807.520,22.9441
1515466808.520,22.9334
1515466809.520,22.9441
1515466810.519,22.9548
1515466811.519,22.9548
1515466812.518,22.9334
1515466813.518,22.9655
1515466814.517,22.9655
1515466815.517,22.9441
1515466816.516,22.9334
1515466817.516,22.9548
1515466818.519,22.9548
1515466819.515,22.9441
1515466820.518,22.9441
1515466821.518,22.9441
1515466822.517,22.9441
1515466823.517,22.9441
1515466824.516,22.9655
1515466825.516,22.9655
1515466826.515,22.9548
1515466827.515,22.9548
1515466828.514,22.9548
1515466829.514,22.9548
1515466830.517,22.9655
1515466831.517,22.9655
1515466832.516,22.9655
1515466833.516,22.9548
1515466834.515,22.9441
1515466835.515,22.9548
1515466836.514,22.9762
1515466837.514,22.9548
1515466838.513,22.9655
1515466839.513,22.9655
1515466840.512,22.9762
1515466841.512,22.9548
1515466842.512,22.9762
1515466843.515,22.9655
1515466844.515,22.9762
1515466845.514,22.9655
1515466846.513,22.9548
1515466847.513,22.9762
1515466848.513,22.9548
1515466849.512,22.9655
1515466850.512,22.9762
1515466851.511,22.9869
1515466852.511,22.9762
1515466853.510,22.9976
1515466854.510,22.9762
1515466855.513,22.9655
1515466856.513,22.9548
1515466857.512,22.9655
1515466858.512,22.9869
1515466859.511,22.9976
1515466860.511,22.9869
1515466861.510,22.9762
1515466862.510,22.9869
1515466863.509,22.9762
1515466864.509,22.9762
1515466865.508,22.9869
1515466866.508,22.9976
1515466867.507,22.9976
1515466868.511,22.9976
1515466869.510,22.9869
1515466870.510,23.0083
1515466871.509,23.0083
1515466872.509,22.9976
1515466873.508,22.9976
1515466874.508,23.0297
1515466875.508,23.0083
1515466876.507,22.9869
1515466877.507,23.0083
1515466878.506,22.9869
1515466879.506,22.9976
1515466880.509,22.9976
1515466881.509,23.0083
1515466882.508,23.0190
1515466883.508,23.0190
1515466884.507,23.0083
1515466885.507,22.9976
1515466886.506,22.9976
