timestamp,temp_c,humidity
1496550093.644,25.7893,61.7261
1496550094.622,25.7465,61.6270
1496550095.621,25.7572,61.5507
1496550096.621,25.7358,61.4438
1496550097.620,25.7145,61.3676
1496550098.624,25.6931,61.2836
1496550099.623,25.7038,61.1844
1496550100.623,25.6824,61.1082
1496550101.622,25.6610,61.0090
1496550102.621,25.6824,60.9022
1496550103.625,25.6610,60.8259
1496550104.624,25.6503,60.7267
1496550105.624,25.6075,60.6580
1496550106.623,25.6289,60.5588
1496550107.623,25.6182,60.4825
1496550108.622,25.6075,60.3910
1496550109.626,25.6075,60.2994
1496550110.625,25.5754,60.2155
1496550111.625,25.5861,60.1316
1496550112.624,25.5647,60.0400
1496550113.624,25.5540,59.9866
1496550114.627,25.5647,59.8951
1496550115.627,25.5754,59.8646
1496550116.626,25.6610,59.9027
1496550117.626,25.8321,60.0324
1496550118.625,26.0140,60.2308
1496550119.625,26.2172,60.4978
1496550120.628,26.4204,60.8182
1496550121.628,26.6664,61.2302
1496550122.627,26.8911,61.6727
1496550123.627,27.1264,62.1610
1496550124.626,27.4152,62.6798
1496550125.630,27.6612,63.1910
1496550126.629,27.9393,63.7250
1496550127.629,28.2067,64.2820
1496550128.628,28.4848,64.7779
1496550129.628,28.7629,65.2967
1496550130.627,29.0410,65.7850
1496550131.631,29.3298,66.2427
1496550132.630,29.6186,66.6547
1496550133.629,29.8861,67.0438
1496550134.629,30.1749,67.3795
1496550135.628,30.4316,67.6923
1496550136.628,30.6990,67.9365
1496550137.631,30.9985,68.1730
1496550138.631,31.2552,68.3484
1496550139.630,31.5226,68.4858
1496550140.630,31.7793,68.5850
1496550141.629,32.0253,68.6384
1496550142.633,32.2821,68.6536
1496550143.632,32.5174,68.6460
1496550144.632,32.7527,68.5926
1496550145.631,33.0094,68.5239
1496550146.631,33.2554,68.3790
1496550147.630,33.5121,68.2416
1496550148.634,33.7368,68.0662
1496550149.633,33.9614,67.8831
1496550150.633,34.1967,67.6542
1496550151.632,34.3999,67.4177
1496550152.632,34.6353,67.1506
1496550153.635,34.8278,66.8760
1496550154.635,35.0417,66.5861
1496550155.634,35.2557,66.2961
1496550156.634,35.4589,65.9681
1496550157.633,35.6728,65.6629
1496550158.632,35.8653,65.3043
1496550159.636,36.0472,64.9534
1496550160.635,36.2504,64.6253
1496550161.635,36.4323,64.2515
1496550162.634,36.6141,63.8929
1496550163.634,36.7852,63.5267
1496550164.637,36.9778,63.1528
1496550165.637,37.1703,62.7790
1496550166.636,37.3521,62.4128
1496550167.636,37.5126,62.0161
1496550168.635,37.6837,61.6422
1496550169.639,37.8549,61.2760
1496550170.638,38.0046,60.8945
1496550171.638,38.1758,60.5207
1496550172.637,38.3469,60.1697
1496550173.637,38.4967,59.7883
1496550174.636,38.6571,59.4144
1496550175.640,38.8069,59.0330
1496550176.639,38.9673,58.7049
1496550177.639,39.0957,58.3082
1496550178.638,39.2454,57.9572
1496550179.638,39.3952,57.5986
1496550180.641,39.5449,57.2629
1496550181.641,39.6840,56.9196
1496550182.640,39.8230,56.5687
1496550183.640,39.9621,56.2253
1496550184.639,40.1332,55.8896
1496550185.643,40.2295,55.5540
1496550186.642,40.3685,55.2183
1496550187.641,40.4969,54.8826
1496550188.641,40.6359,54.5698
1496550189.640,40.7857,54.2493
1496550190.640,40.8820,53.9365
1496550191.643,41.0317,53.6313
1496550192.643,41.1708,53.3109
1496550193.642,41.2884,53.0057
1496550194.642,41.4061,52.7234
1496550195.642,41.5344,52.4183
1496550196.645,41.6307,52.1207
1496550197.644,41.7805,51.8384
1496550198.644,41.8874,51.5485
