timestamp,temp_c
1500054340.785,24.0886
1500054341.784,24.0565
1500054342.787,24.0779
1500054343.787,24.0886
1500054344.786,24.0886
1500054345.786,24.0779
1500054346.786,24.0672
1500054347.785,24.0565
1500054348.788,24.0886
1500054349.788,24.0886
1500054350.787,24.0672
1500054351.787,24.0672
1500054352.786,24.0672
1500054353.790,24.0672
1500054354.789,24.0672
1500054355.789,24.0886
1500054356.788,24.0886
1500054357.788,24.0672
1500054358.787,24.0886
1500054359.787,24.0779
1500054360.790,24.0672
1500054361.790,24.0672
1500054362.789,24.0779
1500054363.789,24.0886
1500054364.788,24.0779
1500054365.791,24.0779
1500054366.791,24.0672
1500054367.791,24.0565
1500054368.790,24.0886
1500054369.789,24.0886
1500054370.789,24.0886
1500054371.792,24.0886
1500054372.792,24.0886
1500054373.791,24.0886
1500054374.791,24.0886
1500054375.790,24.0779
1500054376.794,24.0672
1500054377.793,24.0672
1500054378.793,24.0565
1500054379.792,24.0458
1500054380.792,24.0779
1500054381.791,24.0672
1500054382.795,24.0672
1500054383.794,24.0779
1500054384.794,24.0779
1500054385.793,24.0565
1500054386.793,24.0458
1500054387.792,24.0672
1500054388.791,24.0672
1500054389.795,24.0565
1500054390.795,24.0565
1500054391.794,24.0672
1500054392.793,24.0886
1500054393.793,24.0672
1500054394.796,24.0672
1500054395.796,24.0672
1500054396.795,24.0672
1500054397.795,24.0672
1500054398.794,24.0458
1500054399.798,24.0672
1500054400.797,24.0672
1500054401.797,24.0672
1500054402.796,24.0672
1500054403.796,24.0779
1500054404.795,24.0779
1500054405.799,24.0779
1500054406.798,24.0672
1500054407.798,24.0672
1500054408.797,24.0672
1500054409.796,24.0672
1500054410.796,24.0672
1500054411.796,24.0672
1500054412.799,24.0672
1500054413.799,24.0886
1500054414.798,24.0886
1500054415.797,24.0672
1500054416.797,24.0565
1500054417.800,24.0886
1500054418.800,24.0886
1500054419.799,24.0779
1500054420.799,24.0886
1500054421.798,24.0886
1500054422.802,24.0886
1500054423.801,24.0779
1500054424.801,24.0886
1500054425.800,24.0993
1500054426.800,24.0886
1500054427.799,24.0779
1500054428.803,24.0886
1500054429.802,24.0886
1500054430.802,24.0886
1500054431.801,24.1207
1500054432.800,24.0886
1500054433.800,24.0886
1500054434.803,24.0886
1500054435.803,24.1207
1500054436.802,24.1100
1500054437.802,24.0886
1500054438.801,24.0886
1500054439.801,24.1100
1500054440.804,24.0886
1500054441.804,24.1100
1500054442.803,24.0779
1500054443.803,24.1100
1500054444.802,24.0993
1500054445.806,24.0779
1500054446.805,24.1100
1500054447.805,24.0886
1500054448.804,24.1207
1500054449.804,24.0886
1500054450.803,24.1207
1500054451.807,24.0993
1500054452.806,24.1100
1500054453.806,24.1100
1500054454.805,24.1100
1500054455.804,24.1100
1500054456.804,24.1207
1500054457.807,24.0993
1500054458.807,24.1100
1500054459.806,24.1314
1500054460.806,24.0886
1500054461.805,24.1207
1500054462.805,24.1100
1500054463.808,24.1314
1500054464.808,24.1207
1500054465.807,24.0993
1500054466.807,24.1314
1500054467.806,24.1207
1500054468.806,24.1207
1500054469.809,24.1100
1500054470.809,24.0993
1500054471.808,24.1207
1500054472.808,24.0993
1500054473.807,24.1421
1500054474.810,24.1100
1500054475.810,24.1314
1500054476.810,24.1207
1500054477.809,24.1207
1500054478.809,24.1207
1500054479.812,24.0993
1500054480.812,24.0993
1500054481.811,24.0993
1500054482.810,24.0993
1500054483.810,24.0993
1500054484.809,24.1100
1500054485.809,24.1100
1500054486.812,24.1314
1500054487.812,24.1314
1500054488.811,24.1100
1500054489.811,24.1100
1500054490.810,24.1207
1500054491.810,24.1207
1500054492.813,24.1100
1500054493.813,24.0993
1500054494.812,24.0993
1500054495.812,24.0993
1500054496.811,24.1100
1500054497.815,24.1100
1500054498.814,24.1100
1500054499.813,24.1314
1500054500.813,24.1207
1500054501.813,24.1100
1500054502.816,24.1207
1500054503.815,24.1100
1500054504.815,24.1207
1500054505.814,24.1314
1500054506.814,24.1314
1500054507.813,24.1421
1500054508.817,24.1207
1500054509.816,24.1100
1500054510.816,24.1314
1500054511.815,24.1100
1500054512.815,24.1207
1500054513.814,24.0993
1500054514.814,24.0993
1500054515.817,24.0993
1500054516.817,24.1314
1500054517.816,24.1207
1500054518.816,24.0993
1500054519.815,24.1314
1500054520.819,24.1207
1500054521.818,24.1100
1500054522.818,24.1421
1500054523.817,24.1314
1500054524.817,24.1314
1500054525.820,24.1314
1500054526.819,24.1314
1500054527.819,24.1314
1500054528.818,24.1421
1500054529.818,24.1314
1500054530.817,24.0993
1500054531.821,24.1314
1500054532.820,24.1314
1500054533.820,24.1314
1500054534.819,24.1207
1500054535.819,24.1314
1500054536.818,24.1207
1500054537.818,24.1421
1500054538.821,24.1528
1500054539.821,24.1421
1500054540.820,24.1314
1500054541.820,24.1314
1500054542.819,24.1528
1500054543.823,24.1314
1500054544.822,24.1421
1500054545.822,24.1314
1500054546.821,24.1314
1500054547.821,24.1314
1500054548.820,24.1421
1500054549.823,24.1314
1500054550.823,24.1314
1500054551.822,24.1421
1500054552.822,24.1314
1500054553.821,24.1528
1500054554.825,24.1207
1500054555.824,24.1421
1500054556.824,24.1314
1500054557.823,24.1421
1500054558.823,24.1314
1500054559.826,24.1528
1500054560.826,24.1314
1500054561.825,24.1314
1500054562.825,24.1421
1500054563.824,24.1528
1500054564.824,24.1421
1500054565.823,24.1421
1500054566.826,24.1528
1500054567.827,24.1314
1500054568.826,24.1528
1500054569.825,24.1421
1500054570.824,24.1421
1500054571.824,24.1635
1500054572.827,24.1421
1500054573.827,24.1528
1500054574.826,24.1421
1500054575.826,24.1635
1500054576.825,24.1635
1500054577.829,24.1635
1500054578.828,24.1528
1500054579.828,24.1528
1500054580.827,24.1528
1500054581.827,24.1635
1500054582.830,24.1742
1500054583.830,24.1635
1500054584.829,24.1742
1500054585.829,24.1742
1500054586.828,24.1742
1500054587.828,24.1742
1500054588.827,24.1635
1500054589.831,24.1742
1500054590.830,24.1635
1500054591.830,24.1849
1500054592.829,24.1849
1500054593.828,24.1742
1500054594.828,24.1635
1500054595.831,24.1528
1500054596.831,24.1849
1500054597.830,24.1956
1500054598.830,24.1742
1500054599.829,24.1956
1500054600.833,24.1849
1500054601.832,24.1849
1500054602.832,24.1849
1500054603.831,24.1849
1500054604.831,24.1849
1500054605.834,24.1742
1500054606.834,24.2063
1500054607.833,24.1849
1500054608.833,24.1849
1500054609.832,24.1849
1500054610.832,24.2170
1500054611.835,24.1849
1500054612.834,24.1956
1500054613.834,24.2063
1500054614.834,24.1849
1500054615.833,24.2063
1500054616.832,24.2170
1500054617.832,24.1956
1500054618.835,24.2063
1500054619.835,24.2063
1500054620.834,24.2170
1500054621.834,24.2063
1500054622.833,24.2277
1500054623.837,24.2063
1500054624.836,24.2170
1500054625.836,24.2383
1500054626.835,24.2170
1500054627.835,24.2063
1500054628.834,24.2170
1500054629.838,24.2170
1500054630.837,24.2383
1500054631.837,24.2383
1500054632.836,24.2170
1500054633.836,24.2170
1500054634.839,24.2277
1500054635.838,24.2490
