timestamp,LTC2400
1500054353.930,2498609
1500054354.065,2498595
1500054354.200,2498626
1500054354.339,2498707
1500054354.474,2498674
1500054354.610,2498672
1500054354.745,2498596
1500054354.880,2498634
1500054355.015,2498673
1500054355.150,2498637
1500054355.289,2498784
1500054355.425,2498686
1500054355.560,2498679
1500054355.695,2498719
1500054355.830,2498802
1500054355.965,2498701
1500054356.101,2498716
1500054356.236,2498735
1500054356.375,2498741
1500054356.510,2498748
1500054356.645,2498758
1500054356.780,2498738
1500054356.916,2498740
1500054357.051,2498755
1500054357.186,2498766
1500054357.325,2498850
1500054357.460,2498720
1500054357.596,2498749
1500054357.731,2498791
1500054357.866,2498791
1500054358.001,2498695
1500054358.136,2498697
1500054358.275,2498738
1500054358.410,2498745
1500054358.546,2498715
1500054358.681,2498803
1500054358.816,2498701
1500054358.951,2498760
1500054359.086,2498785
1500054359.222,2498750
1500054359.361,2498783
1500054359.496,2498729
1500054359.631,2498759
1500054359.766,2498755
1500054359.901,2498791
1500054360.037,2498739
1500054360.172,2498744
1500054360.311,2498734
1500054360.446,2498759
1500054360.581,2498702
1500054360.716,2498727
1500054360.852,2498740
1500054360.987,2498758
1500054361.122,2498677
1500054361.261,2498709
1500054361.396,2498725
1500054361.532,2498750
1500054361.667,2498731
1500054361.802,2498803
1500054361.937,2498789
1500054362.072,2498669
1500054362.207,2498741
1500054362.346,2498785
1500054362.482,2498792
1500054362.617,2498652
1500054362.752,2498789
1500054362.887,2498685
1500054363.022,2498705
1500054363.158,2498734
1500054363.297,2498676
1500054363.432,2498724
1500054363.567,2498754
1500054363.702,2498800
1500054363.837,2498742
1500054363.973,2498782
1500054364.108,2498749
1500054364.243,2498698
1500054364.382,2498781
1500054364.517,2498686
1500054364.653,2498766
1500054364.788,2498689
1500054364.923,2498709
1500054365.058,2498764
1500054365.193,2498716
1500054365.332,2498707
1500054365.468,2498646
1500054365.603,2498723
1500054365.738,2498682
1500054365.873,2498744
1500054366.008,2498685
1500054366.143,2498721
1500054366.282,2498743
1500054366.418,2498712
1500054366.553,2498713
1500054366.688,2498710
1500054366.823,2498713
1500054366.958,2498701
1500054367.094,2498672
1500054367.229,2498705
1500054367.368,2498684
1500054367.503,2498662
1500054367.638,2498691
1500054367.773,2498688
1500054367.909,2498660
1500054368.044,2498743
1500054368.179,2498728
1500054368.318,2498708
1500054368.453,2498744
1500054368.589,2498679
1500054368.724,2498678
1500054368.859,2498616
1500054368.994,2498666
1500054369.129,2498645
1500054369.268,2498644
1500054369.404,2498742
1500054369.539,2498694
1500054369.674,2498632
1500054369.809,2498638
1500054369.944,2498699
1500054370.080,2498700
1500054370.215,2498722
1500054370.353,2498657
1500054370.489,2498682
1500054370.624,2498701
1500054370.759,2498756
1500054370.895,2498670
1500054371.030,2498709
1500054371.165,2498738
1500054371.304,2498728
1500054371.439,2498676
1500054371.574,2498680
1500054371.710,2498666
1500054371.845,2498682
1500054371.980,2498660
1500054372.115,2498677
1500054372.250,2498630
1500054372.389,2498683
1500054372.525,2498755
1500054372.660,2498704
1500054372.795,2498752
1500054372.930,2498678
1500054373.065,2498660
1500054373.200,2498624
1500054373.340,2498674
1500054373.475,2498669
1500054373.610,2498681
1500054373.745,2498617
1500054373.880,2498635
1500054374.016,2498663
1500054374.151,2498653
1500054374.290,2498642
1500054374.425,2498659
1500054374.560,2498700
1500054374.695,2498685
1500054374.831,2498730
1500054374.966,2498728
1500054375.101,2498661
1500054375.236,2498694
1500054375.375,2498669
1500054375.511,2498653
1500054375.646,2498656
1500054375.781,2498717
1500054375.916,2498657
1500054376.051,2498681
1500054376.186,2498633
1500054376.325,2498707
1500054376.461,2498668
1500054376.596,2498639
1500054376.731,2498632
1500054376.866,2498667
1500054377.001,2498626
1500054377.137,2498690
1500054377.275,2498672
1500054377.411,2498662
1500054377.546,2498676
1500054377.681,2498621
1500054377.816,2498670
1500054377.951,2498640
1500054378.087,2498667
1500054378.222,2498632
1500054378.361,2498566
1500054378.496,2498724
1500054378.631,2498647
1500054378.767,2498651
1500054378.902,2498633
1500054379.037,2498648
1500054379.172,2498658
1500054379.311,2498669
1500054379.447,2498691
1500054379.582,2498658
1500054379.717,2498683
1500054379.852,2498642
1500054379.987,2498656
1500054380.122,2498671
1500054380.258,2498623
1500054380.397,2498656
1500054380.532,2498625
1500054380.667,2498675
1500054380.802,2498676
1500054380.937,2498636
1500054381.073,2498648
1500054381.208,2498632
1500054381.347,2498681
1500054381.482,2498681
1500054381.617,2498631
1500054381.753,2498669
1500054381.888,2498636
1500054382.023,2498656
1500054382.158,2498696
1500054382.297,2498600
1500054382.432,2498721
1500054382.568,2498675
1500054382.703,2498690
1500054382.838,2498585
1500054382.973,2498598
1500054383.108,2498667
1500054383.243,2498696
1500054383.382,2498579
1500054383.518,2498672
1500054383.653,2498638
1500054383.788,2498686
1500054383.923,2498617
1500054384.058,2498646
1500054384.194,2498679
1500054384.333,2498622
1500054384.468,2498598
1500054384.603,2498626
1500054384.738,2498628
1500054384.873,2498543
1500054385.009,2498734
1500054385.144,2498645
1500054385.283,2498680
1500054385.418,2498651
1500054385.553,2498655
1500054385.689,2498687
1500054385.824,2498668
1500054385.959,2498615
1500054386.094,2498661
1500054386.229,2498595
1500054386.368,2498672
1500054386.504,2498620
1500054386.639,2498597
1500054386.774,2498660
1500054386.909,2498596
1500054387.044,2498678
1500054387.179,2498629
1500054387.318,2498678
1500054387.454,2498666
1500054387.589,2498617
1500054387.724,2498723
1500054387.859,2498657
1500054387.994,2498621
1500054388.130,2498645
1500054388.265,2498670
1500054388.404,2498674
1500054388.539,2498689
1500054388.674,2498686
1500054388.810,2498602
1500054388.945,2498653
1500054389.080,2498628
1500054389.215,2498615
1500054389.354,2498574
1500054389.489,2498651
1500054389.624,2498667
1500054389.760,2498628
1500054389.895,2498605
1500054390.030,2498620
1500054390.165,2498627
1500054390.304,2498634
1500054390.440,2498655
1500054390.575,2498650
1500054390.710,2498658
1500054390.845,2498618
1500054390.980,2498666
1500054391.115,2498666
1500054391.251,2498598
1500054391.390,2498648
1500054391.525,2498655
1500054391.660,2498682
1500054391.795,2498684
1500054391.931,2498645
1500054392.066,2498659
1500054392.201,2498581
1500054392.340,2498655
1500054392.475,2498655
1500054392.610,2498626
1500054392.746,2498665
1500054392.881,2498663
1500054393.016,2498630
1500054393.151,2498609
1500054393.290,2498734
