timestamp,temp_c,humidity
1496545886.215,23.7891,75.9778
1496545887.193,23.8212,75.9626
1496545888.192,23.7998,75.9321
1496545889.192,23.7998,75.9016
1496545890.191,23.8105,75.8939
1496545891.195,23.8105,75.8710
1496545892.194,23.8105,75.8405
1496545893.194,23.8319,75.8481
1496545894.193,23.8212,75.8100
1496545895.193,23.8319,75.8253
1496545896.196,23.8319,75.8024
1496545897.196,23.8212,75.7947
1496545898.195,23.8319,75.7719
1496545899.194,23.8105,75.7871
1496545900.194,23.8319,75.7947
1496545901.193,23.8319,75.7719
1496545902.197,23.8426,75.7566
1496545903.196,23.8426,75.7719
1496545904.196,23.8319,75.7490
1496545905.195,23.8533,75.7719
1496545906.195,23.8426,75.7490
1496545907.198,23.8533,75.7337
1496545908.198,23.8533,75.7108
1496545909.197,23.8426,75.6727
1496545910.197,23.8640,75.6498
1496545911.196,23.8533,75.6040
1496545912.200,23.8426,75.5430
1496545913.199,23.8426,75.4819
1496545914.199,23.8533,75.4438
1496545915.198,23.8426,75.3751
1496545916.198,23.8640,75.3446
1496545917.197,23.8747,75.2988
1496545918.201,23.8533,75.2531
1496545919.200,23.8640,75.2531
1496545920.200,23.8640,75.2225
1496545921.199,23.8747,75.2149
1496545922.199,23.8747,75.1920
1496545923.202,23.8747,75.1920
1496545924.202,23.8747,75.1691
1496545925.201,23.8640,75.1539
1496545926.200,23.8747,75.1462
1496545927.200,23.8640,75.1005
1496545928.203,23.8854,75.1157
1496545929.203,23.8961,75.0928
1496545930.202,23.8854,75.1157
1496545931.202,23.8747,75.0699
1496545932.201,23.8854,75.0699
1496545933.201,23.8854,75.0928
1496545934.204,23.8854,75.0928
1496545935.204,23.8854,75.0623
1496545936.203,23.8640,75.0242
1496545937.203,23.8426,74.9708
1496545938.202,23.8212,74.9174
1496545939.206,23.8212,74.8258
1496545940.205,23.8105,74.7495
1496545941.205,23.8105,74.6808
1496545942.204,23.7998,74.6046
1496545943.204,23.7784,74.5435
1496545944.207,23.7677,74.4672
1496545945.207,23.7570,74.4291
1496545946.206,23.7677,74.3833
1496545947.206,23.7356,74.3146
1496545948.205,23.7463,74.2841
1496545949.205,23.7463,74.2460
1496545950.208,23.7463,74.2307
1496545951.208,23.7356,74.1697
1496545952.207,23.7356,74.1926
1496545953.206,23.7142,74.1315
1496545954.206,23.7249,74.1086
1496545955.209,23.7142,74.0705
1496545956.209,23.7035,74.0476
1496545957.208,23.7035,74.0400
1496545958.208,23.7142,74.0400
1496545959.207,23.7035,74.0095
1496545960.211,23.6928,74.0171
1496545961.210,23.6928,73.9866
1496545962.210,23.7249,73.9637
1496545963.209,23.7249,73.9561
1496545964.209,23.6928,73.9255
1496545965.208,23.7249,73.9026
1496545966.212,23.7035,73.8950
1496545967.211,23.7035,73.8569
1496545968.211,23.7035,73.8264
1496545969.210,23.7142,73.8340
1496545970.210,23.6928,73.7653
1496545971.213,23.7035,73.7424
1496545972.213,23.6928,73.7348
1496545973.212,23.6928,73.7119
1496545974.212,23.6821,73.6967
1496545975.211,23.6928,73.6738
1496545976.211,23.6928,73.6814
1496545977.214,23.7356,73.7882
1496545978.214,23.9495,74.3223
1496545979.213,23.9282,74.6427
1496545980.212,23.9282,74.9708
1496545981.212,23.9602,75.3675
1496545982.215,24.0137,75.7490
1496545983.215,24.0886,76.0999
1496545984.214,24.1207,76.3975
1496545985.214,24.1314,76.6874
1496545986.213,24.1956,76.9239
1496545987.217,24.2383,77.1985
1496545988.216,24.2704,77.4045
1496545989.216,24.3239,77.6029
1496545990.215,24.3560,77.7708
1496545991.215,24.3881,77.9233
1496545992.214,24.4095,78.1064
1496545993.218,24.4630,78.2590
1496545994.217,24.5272,78.4116
1496545995.217,24.5592,78.5795
1496545996.216,24.6020,78.7321
1496545997.216,24.6555,78.8999
1496545998.219,24.6983,79.0296
1496545999.219,24.7411,79.1669
1496546000.218,24.7732,79.3195
1496546001.218,24.8053,79.4568
1496546002.217,24.8480,79.5865
1496546003.221,24.8694,79.7315
1496546004.220,24.9336,79.8917
1496546005.220,24.9336,80.0291
1496546006.219,24.9764,80.1740
1496546007.218,25.0085,80.3342
1496546008.218,25.0299,80.4944
1496546009.221,25.0406,80.6241
1496546010.221,25.0834,80.8073
1496546011.221,25.0834,80.9598
1496546012.220,25.1155,81.0819
1496546013.219,25.1262,81.2345
1496546014.223,25.1582,81.3489
1496546015.222,25.1689,81.4481
1496546016.222,25.1796,81.5397
1496546017.221,25.2224,81.5931
1496546018.221,25.2117,81.6465
1496546019.224,25.2438,81.6999
1496546020.224,25.2438,81.7228
1496546021.223,25.2759,81.7457
1496546022.223,25.2973,81.7609
1496546023.222,25.2973,81.7304
1496546024.222,25.3294,81.7075
1496546025.225,25.3187,81.6389
1496546026.225,25.3294,81.5854
1496546027.224,25.3401,81.5473
1496546028.224,25.3829,81.4634
1496546029.223,25.3722,81.4023
1496546030.227,25.4043,81.2726
1496546031.226,25.3829,81.1887
1496546032.226,25.4150,81.0667
1496546033.225,25.3936,80.9522
1496546034.225,25.3936,80.7920
1496546035.228,25.4257,80.6547
1496546036.228,25.4257,80.5097
1496546037.227,25.4257,80.3724
1496546038.226,25.4257,80.2122
1496546039.226,25.4257,80.0825
1496546040.225,25.4257,79.9528
1496546041.229,25.4257,79.8078
1496546042.228,25.4363,79.6857
1496546043.228,25.4363,79.5331
1496546044.227,25.4257,79.4034
1496546045.227,25.4470,79.2966
1496546046.230,25.4470,79.1364
1496546047.230,25.4363,78.9915
1496546048.229,25.4257,78.8694
1496546049.229,25.4257,78.7168
1496546050.228,25.4150,78.6176
1496546051.228,25.4257,78.4650
1496546052.231,25.4257,78.3201
1496546053.231,25.4257,78.1904
1496546054.230,25.4257,78.0836
1496546055.230,25.4150,77.9996
1496546056.229,25.4363,77.9081
1496546057.233,25.4257,77.8318
1496546058.232,25.4043,77.7555
1496546059.232,25.4470,77.6868
1496546060.231,25.4363,77.6029
1496546061.231,25.4257,77.5266
1496546062.234,25.4150,77.4961
1496546063.234,25.4257,77.4351
1496546064.233,25.4257,77.3588
1496546065.233,25.4257,77.2901
1496546066.232,25.4470,77.2138
1496546067.231,25.4257,77.0688
1496546068.235,25.4577,76.9697
1496546069.234,25.4791,76.8476
1496546070.234,25.5112,76.7484
1496546071.233,25.5112,76.6569
1496546072.233,25.5540,76.6416
1496546073.236,25.5647,76.6874
1496546074.236,25.5861,76.6721
1496546075.235,25.5861,76.6187
1496546076.235,25.5647,76.4203
1496546077.234,25.5968,76.4280
1496546078.234,25.6182,76.4127
1496546079.237,25.6182,76.4432
1496546080.237,25.6396,76.5577
1496546081.236,25.6824,76.6950
1496546082.236,25.7038,76.8247
1496546083.235,25.7252,77.0002
1496546084.239,25.7252,77.1909
1496546085.238,25.7679,77.4045
1496546086.238,25.7893,77.6182
1496546087.237,25.8107,77.8394
1496546088.237,25.8214,78.0607
1496546089.240,25.8749,78.2896
1496546090.240,25.9070,78.4803
1496546091.239,25.9391,78.7015
1496546092.239,25.9712,78.9304
1496546093.238,25.9819,79.1440
1496546094.238,26.0140,79.3271
1496546095.241,26.0567,79.5179
1496546096.241,26.0781,79.7239
1496546097.240,26.1102,79.8688
1496546098.239,26.1637,79.9985
1496546099.239,26.1744,80.1130
1496546100.242,26.2172,80.1816
1496546101.242,26.2386,80.3037
1496546102.241,26.2707,80.4639
1496546103.241,26.2814,80.6241
1496546104.240,26.3135,80.7767
1496546105.244,26.3348,80.9293
1496546106.243,26.3455,81.0972
1496546107.243,26.3990,81.2421
1496546108.242,26.4097,81.3947
1496546109.242,26.4204,81.5168
1496546110.241,26.4311,81.6465
1496546111.245,26.4525,81.7533
1496546112.244,26.4739,81.8296
1496546113.244,26.5060,81.9211
1496546114.243,26.5274,82.0356
