timestamp,332B
1500564563.977,9998516.7
1500564567.323,9998508.4
1500564570.668,9998486.6
1500564574.014,9998489.4
1500564577.359,9998503.6
1500564580.704,9998494.2
1500564584.050,9998483.0
1500564587.395,9998477.2
1500564590.741,9998461.2
1500564594.086,9998468.3
1500564597.431,9998473.9
1500564600.777,9998471.1
1500564604.122,9998449.5
1500564607.467,9998457.7
1500564610.813,9998451.8
1500564614.158,9998454.4
1500564617.504,9998452.6
1500564620.849,9998458.4
1500564624.195,9998468.6
1500564627.540,9998472.4
1500564630.885,9998470.8
1500564634.231,9998483.0
1500564637.576,9998477.9
1500564640.922,9998479.0
1500564644.267,9998483.8
1500564647.612,9998477.9
1500564650.958,9998469.3
1500564654.303,9998455.1
1500564657.649,9998467.8
1500564660.994,9998476.4
1500564664.339,9998489.6
1500564667.685,9998499.2
1500564671.030,9998484.5
1500564674.376,9998482.3
1500564677.721,9998512.4
1500564681.066,9998523.6
1500564684.412,9998535.2
1500564687.757,9998526.9
1500564691.103,9998525.1
1500564694.448,9998540.8
1500564697.793,9998548.7
1500564701.138,9998545.4
1500564704.484,9998557.6
1500564707.829,9998562.6
1500564711.175,9998566.4
1500564714.520,9998569.0
1500564717.866,9998584.2
1500564721.211,9998577.3
1500564724.557,9998576.8
1500564727.902,9998586.0
1500564731.247,9998585.2
1500564734.593,9998586.2
1500564737.938,9998587.5
1500564741.283,9998579.6
1500564744.629,9998583.2
1500564747.974,9998597.4
1500564751.320,9998602.9
1500564754.665,9998595.6
1500564758.010,9998598.1
1500564761.356,9998602.9
1500564764.701,9998607.3
1500564768.047,9998601.9
1500564771.392,9998589.5
1500564774.738,9998594.6
1500564778.083,9998605.2
1500564781.428,9998610.3
1500564784.774,9998615.9
1500564788.119,9998615.6
1500564791.465,9998616.9
1500564794.810,9998616.1
1500564798.155,9998611.1
1500564801.501,9998610.0
1500564804.846,9998617.4
1500564808.192,9998609.8
1500564811.537,9998607.8
1500564814.882,9998608.8
1500564818.228,9998601.7
1500564821.573,9998602.9
1500564824.919,9998618.7
1500564828.264,9998622.5
1500564831.609,9998635.9
1500564834.955,9998635.1
1500564838.300,9998629.3
1500564841.646,9998628.8
1500564844.991,9998626.3
1500564848.336,9998617.4
1500564851.682,9998618.9
1500564855.027,9998616.4
1500564858.373,9998626.5
1500564861.718,9998625.0
1500564865.063,9998620.7
1500564868.409,9998616.1
1500564871.754,9998616.6
1500564875.100,9998614.6
1500564878.445,9998606.0
1500564881.790,9998613.3
1500564885.136,9998612.6
1500564888.481,9998602.7
1500564891.827,9998615.4
1500564895.172,9998620.4
1500564898.517,9998616.9
1500564901.863,9998619.2
1500564905.208,9998623.0
1500564908.553,9998638.7
1500564911.899,9998651.6
1500564915.244,9998647.6
1500564918.590,9998654.4
1500564921.935,9998662.3
1500564925.281,9998666.8
1500564928.626,9998679.3
1500564931.971,9998688.1
1500564935.317,9998681.0
1500564938.662,9998669.1
1500564942.008,9998672.2
1500564945.353,9998671.4
1500564948.698,9998657.0
1500564952.044,9998664.3
1500564955.389,9998644.3
1500564958.735,9998638.2
1500564962.080,9998647.6
1500564965.425,9998644.5
1500564968.771,9998633.4
1500564972.116,9998652.6
1500564975.462,9998653.2
1500564978.807,9998650.9
1500564982.153,9998656.4
1500564985.498,9998662.8
1500564988.843,9998670.4
1500564992.189,9998670.9
1500564995.534,9998673.4
1500564998.880,9998671.9
