timestamp,lt6657
1517186599.680,1249760.9
1517186603.023,1249761.4
1517186606.381,1249761.9
1517186609.739,1249760.2
1517186613.082,1249760.9
1517186616.440,1249760.9
1517186619.783,1249759.4
1517186623.142,1249757.6
1517186626.500,1249759.4
1517186629.843,1249759.9
1517186633.201,1249759.4
1517186636.544,1249760.7
1517186639.902,1249760.2
1517186643.261,1249760.2
1517186646.603,1249759.4
1517186649.962,1249760.2
1517186653.305,1249759.4
1517186656.663,1249760.4
1517186660.021,1249760.2
1517186663.364,1249759.4
1517186666.722,1249759.6
1517186670.065,1249759.4
1517186673.423,1249760.4
1517186676.782,1249759.4
1517186680.125,1249757.9
1517186683.483,1249758.4
1517186686.826,1249758.6
1517186690.184,1249759.4
1517186693.543,1249760.2
1517186696.885,1249759.6
1517186700.244,1249760.4
1517186703.587,1249758.9
1517186706.945,1249759.6
1517186710.303,1249759.4
1517186713.646,1249759.9
1517186717.004,1249760.4
1517186720.347,1249761.9
1517186723.706,1249760.7
1517186727.064,1249762.4
1517186730.407,1249761.9
1517186733.765,1249763.4
1517186737.108,1249762.9
1517186740.466,1249761.4
1517186743.825,1249761.2
1517186747.168,1249759.4
1517186750.526,1249759.6
1517186753.869,1249760.9
1517186757.227,1249761.4
1517186760.585,1249761.9
1517186763.928,1249761.7
1517186767.287,1249761.7
1517186770.629,1249760.9
1517186773.988,1249760.7
1517186777.346,1249762.4
1517186780.689,1249761.7
1517186784.047,1249761.7
1517186787.390,1249761.9
1517186790.748,1249760.7
1517186794.107,1249760.4
1517186797.450,1249762.9
1517186800.808,1249761.7
1517186804.151,1249760.2
1517186807.509,1249760.7
1517186810.867,1249759.9
1517186814.210,1249760.4
1517186817.569,1249759.6
1517186820.911,1249762.2
1517186824.270,1249764.0
1517186827.628,1249763.2
1517186830.971,1249763.4
1517186834.329,1249763.4
1517186837.672,1249762.4
1517186841.031,1249762.9
1517186844.389,1249761.7
1517186847.732,1249761.4
1517186851.090,1249762.4
1517186854.433,1249760.9
1517186857.791,1249761.7
1517186861.150,1249762.4
1517186864.492,1249760.9
1517186867.851,1249760.9
1517186871.194,1249762.2
1517186874.552,1249762.2
1517186877.910,1249762.2
1517186881.253,1249761.9
1517186884.611,1249761.9
1517186887.954,1249762.9
1517186891.313,1249761.7
1517186894.671,1249762.4
1517186898.014,1249761.7
1517186901.372,1249761.9
1517186904.715,1249761.7
1517186908.073,1249760.2
1517186911.432,1249759.6
1517186914.774,1249761.4
1517186918.133,1249761.4
1517186921.476,1249760.7
1517186924.834,1249760.2
1517186928.192,1249759.1
1517186931.535,1249759.9
1517186934.893,1249760.2
1517186938.236,1249763.2
1517186941.595,1249762.7
1517186944.953,1249763.4
1517186948.295,1249763.2
1517186951.654,1249762.9
1517186954.997,1249762.9
1517186958.355,1249761.7
1517186961.714,1249762.2
1517186965.056,1249761.9
1517186968.415,1249760.9
1517186971.757,1249762.4
1517186975.116,1249763.7
1517186978.474,1249764.0
1517186981.817,1249763.2
1517186985.175,1249763.2
1517186988.518,1249761.2
1517186991.876,1249762.4
1517186995.235,1249763.4
1517186998.577,1249763.2
1517187001.936,1249762.4
1517187005.279,1249762.2
1517187008.637,1249764.2
1517187011.995,1249762.9
1517187015.338,1249762.7
1517187018.696,1249762.9
1517187022.039,1249760.4
1517187025.397,1249761.7
1517187028.756,1249763.4
1517187032.099,1249762.7
1517187035.457,1249762.7
1517187038.800,1249763.4
1517187042.158,1249762.2
1517187045.516,1249762.9
1517187048.859,1249764.0
1517187052.217,1249762.9
1517187055.560,1249763.4
1517187058.918,1249763.4
1517187062.277,1249762.9
1517187065.620,1249763.2
1517187068.978,1249762.2
1517187072.321,1249762.2
1517187075.679,1249761.9
1517187079.038,1249761.4
1517187082.380,1249761.4
1517187085.739,1249760.2
1517187089.081,1249762.7
1517187092.440,1249761.4
1517187095.798,1249761.2
1517187099.141,1249760.7
1517187102.499,1249761.9
1517187105.842,1249761.4
1517187109.200,1249760.4
1517187112.559,1249761.7
1517187115.901,1249761.7
1517187119.260,1249761.9
1517187122.603,1249761.4
1517187125.961,1249761.4
1517187129.319,1249761.2
1517187132.662,1249760.4
1517187136.020,1249761.2
1517187139.363,1249760.9
1517187142.722,1249760.9
1517187146.080,1249761.9
1517187149.423,1249761.2
1517187152.781,1249760.9
1517187156.124,1249760.4
1517187159.482,1249761.7
1517187162.841,1249761.9
1517187166.183,1249761.9
1517187169.542,1249761.4
1517187172.885,1249761.4
1517187176.243,1249761.2
1517187179.601,1249761.2
1517187182.944,1249761.2
1517187186.302,1249761.7
1517187189.645,1249761.9
1517187193.004,1249760.9
1517187196.362,1249761.7
1517187199.705,1249761.2
1517187203.063,1249761.2
1517187206.406,1249759.9
1517187209.764,1249760.9
1517187213.122,1249762.4
1517187216.465,1249761.9
1517187219.824,1249762.2
1517187223.166,1249762.2
1517187226.525,1249762.2
1517187229.883,1249762.2
1517187233.226,1249760.7
1517187236.584,1249761.4
1517187239.927,1249761.2
1517187243.285,1249761.9
1517187246.644,1249760.9
1517187249.986,1249762.2
1517187253.345,1249761.9
1517187256.688,1249762.7
1517187260.046,1249762.2
1517187263.404,1249761.7
1517187266.747,1249761.7
1517187270.105,1249761.2
1517187273.448,1249762.2
1517187276.807,1249762.7
1517187280.165,1249762.4
1517187283.508,1249761.7
1517187286.866,1249761.4
1517187290.209,1249760.4
1517187293.567,1249761.9
1517187296.926,1249762.7
1517187300.268,1249761.9
1517187303.627,1249762.2
1517187306.969,1249761.2
1517187310.328,1249762.4
1517187313.686,1249761.2
1517187317.029,1249762.7
1517187320.387,1249761.4
1517187323.730,1249762.4
1517187327.088,1249761.4
1517187330.447,1249762.4
1517187333.789,1249762.6
1517187337.148,1249763.2
1517187340.491,1249762.7
1517187343.849,1249760.9
1517187347.207,1249761.7
1517187350.550,1249760.9
1517187353.909,1249762.7
1517187357.251,1249762.4
1517187360.609,1249762.2
1517187363.968,1249761.7
1517187367.310,1249762.2
1517187370.669,1249762.4
1517187374.012,1249761.4
1517187377.370,1249762.7
1517187380.728,1249761.9
1517187384.071,1249762.9
1517187387.429,1249762.4
1517187390.772,1249762.7
1517187394.130,1249762.7
1517187397.489,1249761.7
1517187400.831,1249761.9
1517187404.190,1249762.2
1517187407.532,1249761.7
1517187410.891,1249762.9
1517187414.249,1249760.9
1517187417.592,1249761.7
1517187420.951,1249762.7
1517187424.293,1249761.4
1517187427.652,1249761.4
1517187431.010,1249760.4
1517187434.353,1249761.7
1517187437.711,1249762.7
1517187441.054,1249762.2
1517187444.412,1249762.2
1517187447.771,1249762.7
1517187451.114,1249761.7
1517187454.472,1249762.4
1517187457.815,1249763.7
1517187461.173,1249762.7
1517187464.532,1249762.2
1517187467.874,1249761.7
1517187471.232,1249762.9
1517187474.575,1249762.9
1517187477.934,1249763.4
1517187481.292,1249761.9
1517187484.635,1249762.9
1517187487.993,1249762.4
1517187491.336,1249762.4
1517187494.694,1249764.0
1517187498.053,1249763.7
1517187501.396,1249763.4
1517187504.754,1249762.4
1517187508.097,1249762.4
1517187511.455,1249762.9
1517187514.813,1249762.2
1517187518.156,1249762.4
1517187521.515,1249762.4
1517187524.857,1249761.9
1517187528.216,1249762.9
1517187531.574,1249762.7
1517187534.917,1249763.4
1517187538.275,1249763.4
1517187541.618,1249762.9
1517187544.976,1249762.4
1517187548.335,1249761.9
1517187551.677,1249762.2
1517187555.036,1249761.4
1517187558.379,1249762.2
1517187561.738,1249761.4
1517187565.096,1249762.4
1517187568.438,1249762.9
1517187571.797,1249762.9
1517187575.140,1249761.7
1517187578.498,1249761.9
1517187581.856,1249761.4
1517187585.199,1249761.9
1517187588.558,1249762.9
1517187591.900,1249762.6
1517187595.259,1249761.9
1517187598.602,1249763.4
1517187601.960,1249764.2
1517187605.319,1249761.7
1517187608.661,1249760.9
1517187612.020,1249762.4
1517187615.362,1249762.9
1517187618.720,1249762.7
1517187622.079,1249761.9
1517187625.422,1249762.7
1517187628.780,1249762.2
1517187632.123,1249761.7
1517187635.481,1249761.2
1517187638.840,1249761.7
1517187642.182,1249761.4
1517187645.540,1249762.2
1517187648.883,1249762.4
1517187652.242,1249761.2
1517187655.600,1249761.7
1517187658.943,1249761.9
1517187662.301,1249762.2
1517187665.659,1249761.7
1517187669.002,1249761.7
1517187672.360,1249761.9
1517187675.703,1249762.2
1517187679.061,1249761.7
1517187682.420,1249761.4
1517187685.762,1249762.2
1517187689.121,1249761.7
1517187692.463,1249761.9
1517187695.822,1249762.2
1517187699.180,1249761.4
1517187702.523,1249761.7
1517187705.881,1249762.4
1517187709.224,1249761.7
1517187712.583,1249763.4
1517187715.941,1249761.9
1517187719.284,1249762.4
1517187722.642,1249762.9
1517187725.985,1249763.7
1517187729.343,1249763.2
1517187732.701,1249761.9
1517187736.045,1249761.4
1517187739.403,1249761.7
1517187742.746,1249761.4
1517187746.104,1249761.2
1517187749.462,1249761.9
1517187752.805,1249762.4
1517187756.163,1249761.9
1517187759.506,1249761.9
1517187762.864,1249762.2
1517187766.223,1249762.2
1517187769.566,1249761.9
1517187772.924,1249761.4
1517187776.267,1249764.0
1517187779.625,1249761.7
1517187782.984,1249761.9
1517187786.326,1249762.7
1517187789.685,1249762.2
1517187793.027,1249761.7
1517187796.386,1249762.9
1517187799.745,1249762.4
1517187803.087,1249762.7
1517187806.445,1249762.7
1517187809.788,1249762.4
1517187813.146,1249762.9
1517187816.505,1249762.4
1517187819.847,1249761.9
1517187823.206,1249763.7
1517187826.549,1249762.7
1517187829.907,1249762.4
1517187833.265,1249761.4
1517187836.608,1249762.2
1517187839.967,1249762.7
1517187843.309,1249761.7
1517187846.668,1249761.4
1517187850.010,1249762.7
1517187853.369,1249761.4
1517187856.727,1249761.9
1517187860.070,1249762.9
1517187863.428,1249762.2
1517187866.771,1249762.4
1517187870.129,1249762.4
1517187873.488,1249762.7
1517187876.830,1249762.4
1517187880.189,1249763.4
1517187883.532,1249762.9
1517187886.890,1249762.9
1517187890.249,1249761.9
1517187893.591,1249761.9
1517187896.950,1249762.7
1517187900.293,1249762.7
1517187903.651,1249762.2
1517187907.009,1249761.7
1517187910.352,1249759.9
1517187913.711,1249761.9
1517187917.053,1249762.7
1517187920.412,1249761.9
1517187923.770,1249761.2
1517187927.113,1249761.9
1517187930.471,1249762.4
1517187933.814,1249762.4
1517187937.172,1249761.4
1517187940.531,1249761.4
1517187943.874,1249762.4
1517187947.232,1249762.7
1517187950.574,1249762.9
1517187953.933,1249761.7
1517187957.291,1249761.7
1517187960.634,1249761.9
1517187963.992,1249761.2
1517187967.335,1249761.9
1517187970.694,1249761.7
1517187974.052,1249760.9
1517187977.395,1249762.7
1517187980.754,1249761.7
1517187984.096,1249760.7
