si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.769,-46.582,406,405.741,24.9971,-0.0029,147.00,3.2281
21.758,-46.582,406,405.758,24.9973,-0.0027,146.98,3.2390
21.726,-46.582,406,405.926,24.9992,-0.0008,145.34,3.2731
21.726,-46.582,406,406.066,25.0008,0.0008,143.91,3.2747
21.726,-46.582,406,406.041,25.0005,0.0005,144.13,3.2744
21.694,-46.582,406,406.022,25.0002,0.0002,144.31,3.3063
21.694,-46.582,406,406.050,25.0006,0.0006,143.99,3.3067
21.672,-46.582,406,405.875,24.9986,-0.0014,145.83,3.3261
21.662,-46.582,406,405.891,24.9988,-0.0012,145.73,3.3370
21.651,-46.582,406,406.053,25.0006,0.0006,144.07,3.3496
21.651,-46.582,406,405.712,24.9967,-0.0033,147.66,3.3457
21.640,-46.582,406,405.946,24.9994,-0.0006,145.35,3.3591
21.630,-46.582,406,405.961,24.9996,-0.0004,145.22,3.3700
21.597,-46.582,406,405.667,24.9962,-0.0038,148.37,3.3988
21.554,-46.582,406,405.843,24.9982,-0.0018,146.70,3.4437
21.565,-46.582,406,405.984,24.9998,-0.0002,145.30,3.4346
21.533,-46.582,406,405.595,24.9954,-0.0046,149.43,3.4624
21.490,-46.582,406,405.794,24.9977,-0.0023,147.56,3.5075
21.490,-46.582,406,405.579,24.9952,-0.0048,149.97,3.5051
21.522,-46.582,406,405.626,24.9958,-0.0042,149.72,3.4735
21.458,-46.582,406,405.568,24.9951,-0.0049,150.56,3.5371
21.469,-46.582,406,405.837,24.9981,-0.0019,147.97,3.5295
21.426,-46.582,406,405.182,24.9907,-0.0093,155.01,3.5649
21.436,-46.582,406,405.323,24.9923,-0.0077,154.01,3.5558
21.426,-46.582,406,405.484,24.9941,-0.0059,152.70,3.5684
21.415,-46.582,406,405.181,24.9907,-0.0093,156.23,3.5756
21.394,-46.582,406,405.248,24.9915,-0.0085,156.01,3.5979
21.404,-46.582,406,405.399,24.9932,-0.0068,154.86,3.5888
21.361,-46.582,406,405.084,24.9896,-0.0104,158.56,3.6282
21.361,-46.582,406,405.189,24.9908,-0.0092,157.99,3.6294
21.329,-46.582,406,405.176,24.9906,-0.0094,158.63,3.6614
