timestamp,inside_c,inside_rh,outside_c,outside_rh,set_c,err_c,duty_cycle
1522280990.14,21.624,65.316,21.104,73.529,25.000,-3.376,0.00
1522280992.18,21.623,65.316,21.072,73.514,25.000,-3.377,0.00
1522280994.22,21.629,65.333,21.083,73.483,25.000,-3.371,0.00
1522280996.26,21.624,65.326,21.093,73.521,25.000,-3.376,0.00
1522280998.30,21.625,65.326,21.083,73.544,25.000,-3.375,0.00
1522281000.34,21.624,65.333,21.083,73.567,25.000,-3.376,0.00
1522281002.38,21.620,65.337,21.104,73.605,25.000,-3.380,0.00
1522281004.42,21.627,65.348,21.115,73.636,25.000,-3.373,0.00
1522281006.46,21.621,65.355,21.083,73.659,25.000,-3.379,0.00
1522281008.50,21.625,65.361,21.115,73.643,25.000,-3.375,0.00
1522281010.54,21.619,65.376,21.126,73.659,25.000,-3.381,0.00
1522281012.58,21.620,65.383,21.115,73.659,25.000,-3.380,0.00
1522281014.62,21.621,65.404,21.104,73.666,25.000,-3.379,0.00
1522281016.66,21.619,65.413,21.115,73.681,25.000,-3.381,0.00
1522281018.70,21.620,65.420,21.147,73.788,25.000,-3.380,0.00
1522281020.74,21.617,65.434,21.158,73.826,25.000,-3.383,0.00
1522281022.78,21.615,65.442,21.169,73.865,25.000,-3.385,0.00
1522281024.82,21.618,65.442,21.190,73.826,25.000,-3.382,0.00
1522281026.86,21.614,65.454,21.190,73.803,25.000,-3.386,0.00
1522281028.90,21.621,65.472,21.190,73.773,25.000,-3.379,0.00
1522281030.94,21.619,65.479,21.201,73.765,25.000,-3.381,0.00
1522281032.98,21.613,65.502,21.201,73.742,25.000,-3.387,0.00
1522281035.02,21.612,65.526,21.201,73.720,25.000,-3.388,0.00
1522281037.06,21.618,65.549,21.201,73.712,25.000,-3.382,0.00
1522281039.10,21.609,65.565,21.201,73.727,25.000,-3.391,0.00
1522281041.14,21.615,65.587,21.211,73.712,25.000,-3.385,0.00
1522281043.18,21.613,65.602,21.254,73.735,25.000,-3.387,0.00
