timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517207677.5,24.8808330938,21.319,-46.582,406,396.241,24.8891,-0.1109,103.45,3.5706,-0.1191669062,-0.0082669062
1517207680.83,24.8760704879,21.319,-46.582,406,395.584,24.8816,-0.1184,116.26,3.5631,-0.1239295121,-0.0055295121
1517207684.2,24.8701193362,21.319,-46.582,406,395.367,24.8792,-0.1208,124.81,3.5606,-0.1298806638,-0.0090806638
1517207687.54,24.8649277599,21.329,-46.582,406,395.086,24.8760,-0.1240,134.17,3.5467,-0.1350722401,-0.0110722401
1517207690.9,24.8610140553,21.329,-46.582,406,394.693,24.8715,-0.1285,144.89,3.5423,-0.1389859447,-0.0104859447
1517207694.25,24.8586891207,21.329,-46.582,406,394.753,24.8722,-0.1278,151.03,3.5430,-0.1413108793,-0.0135108793
1517207697.59,24.8575271004,21.340,-46.582,406,394.530,24.8697,-0.1303,160.14,3.5297,-0.1424728996,-0.0121728996
1517207700.96,24.8574109707,21.329,-46.582,406,394.283,24.8669,-0.1331,169.64,3.5376,-0.1425890293,-0.0094890293
1517207704.32,24.858502709,21.329,-46.582,406,394.140,24.8652,-0.1348,185.34,3.5360,-0.141497291,-0.006697291
1517207707.65,24.8609725239,21.308,-46.582,406,394.295,24.8670,-0.1330,190.82,3.5592,-0.1390274761,-0.0060274761
1517207711.02,24.8648394309,21.319,-46.582,406,394.530,24.8697,-0.1303,195.35,3.5511,-0.1351605691,-0.0048605691
1517207714.35,24.8695202809,21.308,-46.582,406,394.899,24.8739,-0.1261,198.31,3.5661,-0.1304797191,-0.0043797191
1517207717.71,24.8738512931,21.308,-46.582,406,395.161,24.8768,-0.1232,202.20,3.5690,-0.1261487069,-0.0029487069
1517207721.07,24.8774713744,21.286,-46.582,406,395.304,24.8785,-0.1215,207.19,3.5921,-0.1225286256,-0.0010286256
