timestamp,LM399_P5
1500270004.024,7036064.5
1500270007.377,7036083.5
1500270010.729,7036087.3
1500270014.081,7036088.0
1500270017.433,7036088.0
1500270020.785,7036088.8
1500270024.137,7036089.1
1500270027.489,7036090.6
1500270030.842,7036089.1
1500270034.194,7036090.1
1500270037.545,7036089.2
1500270040.898,7036089.1
1500270044.250,7036088.8
1500270047.602,7036088.0
1500270050.954,7036088.5
1500270054.306,7036089.3
1500270057.658,7036088.3
1500270061.011,7036087.5
1500270064.363,7036088.3
1500270067.715,7036087.8
1500270071.067,7036088.3
1500270074.419,7036086.8
1500270077.771,7036087.8
1500270081.123,7036087.0
1500270084.475,7036087.5
1500270087.827,7036088.8
1500270091.180,7036086.3
1500270094.532,7036086.3
1500270097.884,7036087.8
1500270101.236,7036088.0
1500270104.588,7036090.3
1500270107.940,7036089.8
1500270111.292,7036087.5
1500270114.645,7036087.5
1500270117.997,7036086.5
1500270121.349,7036086.8
1500270124.701,7036087.8
1500270128.053,7036088.3
1500270131.405,7036087.3
1500270134.757,7036086.3
1500270138.110,7036086.0
1500270141.462,7036085.8
1500270144.814,7036087.5
1500270148.166,7036086.3
1500270151.518,7036087.0
1500270154.870,7036086.0
1500270158.222,7036087.0
1500270161.575,7036086.8
1500270164.927,7036086.0
1500270168.279,7036085.8
1500270171.631,7036086.5
1500270174.983,7036087.3
1500270178.335,7036086.8
1500270181.687,7036086.5
1500270185.039,7036086.3
1500270188.392,7036084.7
1500270191.744,7036086.3
1500270195.096,7036086.3
1500270198.448,7036084.7
1500270201.800,7036084.7
1500270205.152,7036084.5
1500270208.504,7036085.4
1500270211.856,7036085.5
1500270215.208,7036084.5
1500270218.561,7036085.8
1500270221.913,7036085.8
1500270225.265,7036084.2
1500270228.617,7036085.0
1500270231.969,7036084.5
1500270235.321,7036084.5
1500270238.673,7036085.5
1500270242.026,7036085.8
1500270245.378,7036085.5
1500270248.730,7036085.5
1500270252.082,7036084.2
1500270255.434,7036084.5
1500270258.786,7036084.7
1500270262.138,7036085.8
1500270265.490,7036084.5
1500270268.843,7036084.2
1500270272.195,7036084.7
1500270275.546,7036084.5
1500270278.899,7036083.5
1500270282.251,7036085.5
1500270285.603,7036085.0
1500270288.955,7036082.5
1500270292.307,7036083.7
1500270295.659,7036084.5
1500270299.012,7036084.7
1500270302.364,7036085.3
1500270305.716,7036086.5
1500270309.068,7036085.0
1500270312.420,7036084.2
1500270315.772,7036086.3
1500270319.124,7036086.5
1500270322.477,7036086.5
1500270325.829,7036086.8
1500270329.181,7036086.0
1500270332.533,7036087.0
1500270335.885,7036085.8
1500270339.237,7036085.5
1500270342.589,7036085.8
1500270345.941,7036087.3
1500270349.294,7036086.5
1500270352.646,7036086.8
1500270355.998,7036086.0
1500270359.350,7036087.5
1500270362.702,7036086.3
1500270366.054,7036085.8
1500270369.406,7036086.5
1500270372.758,7036084.2
1500270376.111,7036083.7
1500270379.462,7036082.7
1500270382.815,7036083.0
1500270386.167,7036083.0
1500270389.519,7036084.0
1500270392.871,7036084.0
1500270396.223,7036083.2
1500270399.575,7036084.0
1500270402.927,7036083.7
1500270406.280,7036084.2
1500270409.632,7036084.5
1500270412.984,7036082.5
1500270416.336,7036083.0
1500270419.688,7036082.0
1500270423.040,7036083.7
1500270426.392,7036083.2
1500270429.744,7036082.0
1500270433.097,7036084.5
1500270436.449,7036084.5
1500270439.801,7036083.2
1500270443.153,7036083.7
1500270446.505,7036083.0
1500270449.857,7036083.5
1500270453.209,7036084.2
1500270456.562,7036084.2
1500270459.913,7036085.3
1500270463.266,7036084.7
1500270466.618,7036083.2
1500270469.970,7036084.2
1500270473.322,7036085.0
1500270476.674,7036084.5
1500270480.026,7036083.5
1500270483.378,7036085.0
1500270486.731,7036084.7
1500270490.083,7036083.2
1500270493.435,7036085.3
1500270496.787,7036083.2
1500270500.139,7036084.7
1500270503.491,7036085.1
1500270506.843,7036084.5
1500270510.195,7036084.2
1500270513.548,7036085.5
1500270516.900,7036083.7
1500270520.252,7036083.7
1500270523.604,7036083.2
1500270526.956,7036084.5
1500270530.308,7036085.0
1500270533.660,7036083.5
1500270537.012,7036084.2
1500270540.365,7036083.7
1500270543.717,7036083.5
1500270547.069,7036083.5
1500270550.421,7036084.2
1500270553.773,7036083.7
1500270557.125,7036084.2
1500270560.477,7036084.2
1500270563.829,7036085.0
1500270567.182,7036084.2
1500270570.534,7036084.5
1500270573.941,7036084.0
1500270577.238,7036083.2
1500270580.590,7036085.0
1500270583.942,7036084.2
1500270587.294,7036085.0
1500270590.646,7036085.3
1500270593.998,7036083.7
1500270597.351,7036084.0
1500270600.703,7036084.2
1500270604.057,7036085.5
1500270607.407,7036084.2
1500270610.759,7036084.2
1500270614.111,7036084.5
1500270617.463,7036084.0
1500270620.815,7036084.7
1500270624.167,7036084.2
1500270627.520,7036084.7
1500270630.872,7036084.0
1500270634.224,7036083.5
1500270637.576,7036084.5
1500270640.928,7036083.7
1500270644.280,7036083.5
1500270647.632,7036084.0
1500270650.984,7036083.0
1500270654.337,7036082.5
1500270657.688,7036083.0
1500270661.041,7036084.0
1500270664.393,7036084.5
1500270667.745,7036082.7
1500270671.097,7036083.0
1500270674.449,7036083.5
1500270677.801,7036083.5
1500270681.154,7036083.5
1500270684.506,7036084.0
1500270687.858,7036085.0
1500270691.210,7036082.7
1500270694.562,7036084.0
1500270697.914,7036084.2
1500270701.266,7036084.7
1500270704.618,7036084.0
1500270707.971,7036084.5
1500270711.323,7036085.5
1500270714.675,7036084.0
1500270718.027,7036084.0
1500270721.379,7036084.0
1500270724.731,7036085.3
1500270728.083,7036085.0
1500270731.435,7036086.3
1500270734.788,7036086.5
1500270738.139,7036085.3
1500270741.492,7036085.8
1500270744.844,7036084.2
1500270748.196,7036084.5
1500270751.548,7036085.0
1500270754.900,7036085.5
1500270758.252,7036085.3
1500270761.604,7036084.0
1500270764.957,7036084.7
1500270768.309,7036084.2
1500270771.661,7036084.7
1500270775.013,7036084.5
1500270778.365,7036085.8
1500270781.717,7036085.8
1500270785.069,7036085.0
1500270788.422,7036085.5
1500270791.774,7036085.5
1500270795.126,7036085.8
1500270798.478,7036084.2
1500270801.830,7036085.3
1500270805.182,7036085.3
1500270808.534,7036085.5
1500270811.886,7036084.6
1500270815.239,7036085.3
1500270818.590,7036085.5
1500270821.943,7036083.7
1500270825.295,7036084.5
1500270828.647,7036084.7
1500270831.999,7036084.2
1500270835.351,7036084.5
1500270838.703,7036083.5
1500270842.055,7036084.5
1500270845.408,7036084.2
1500270848.760,7036084.5
1500270852.112,7036085.3
1500270855.464,7036085.5
1500270858.816,7036086.0
