si7021_c,si7021_h,set,input,output
23.657,57.103,408,286.896,255.00
23.668,57.065,408,286.809,255.00
23.668,57.065,408,286.785,255.00
23.668,57.049,408,286.691,255.00
23.668,57.049,408,286.891,255.00
23.657,57.057,408,286.916,255.00
23.678,57.065,408,287.045,255.00
23.657,57.057,408,287.053,255.00
23.668,57.057,408,287.398,255.00
23.668,57.072,408,287.648,255.00
23.689,57.057,408,287.324,255.00
23.689,57.049,408,287.445,255.00
23.689,57.065,408,287.730,255.00
23.678,57.049,408,287.955,255.00
23.678,57.049,408,287.631,255.00
23.668,57.049,408,287.787,255.00
23.668,57.057,408,288.203,255.00
23.678,57.065,408,288.104,255.00
23.689,57.057,408,288.291,255.00
23.700,57.049,408,288.369,255.00
23.689,57.042,408,287.955,255.00
23.678,57.057,408,288.322,255.00
23.668,57.049,408,289.062,255.00
23.678,57.049,408,288.695,255.00
23.678,57.049,408,288.539,255.00
23.668,57.042,408,289.207,255.00
23.700,57.034,408,289.564,255.00
23.689,57.042,408,289.547,255.00
23.678,57.049,408,289.721,255.00
23.678,57.049,408,289.492,255.00
23.689,57.057,408,289.668,255.00
23.689,57.049,408,290.047,255.00
23.700,57.049,408,289.330,255.00
23.689,57.057,408,290.043,255.00
23.689,57.057,408,289.779,255.00
23.689,57.042,408,290.092,255.00
23.710,57.065,408,290.084,255.00
23.710,57.049,408,290.125,255.00
23.689,57.065,408,290.926,255.00
23.689,57.065,408,291.158,255.00
23.710,57.057,408,291.223,255.00
23.700,57.057,408,291.195,255.00
23.710,57.065,408,291.252,255.00
23.710,57.057,408,291.045,255.00
23.732,57.049,408,291.547,255.00
23.710,57.072,408,291.516,255.00
23.689,57.049,408,291.852,255.00
23.700,57.065,408,292.299,255.00
23.721,57.049,408,291.984,255.00
23.721,57.049,408,292.383,255.00
23.710,57.049,408,292.477,255.00
23.732,57.049,408,292.648,255.00
23.721,57.057,408,293.113,255.00
23.710,57.049,408,292.742,255.00
23.732,57.042,408,292.742,255.00
23.721,57.034,408,293.141,255.00
23.721,57.065,408,293.113,255.00
23.710,57.057,408,293.336,255.00
23.732,57.042,408,294.117,255.00
23.710,57.057,408,293.854,255.00
23.732,57.042,408,294.074,255.00
23.732,57.057,408,293.879,255.00
23.732,57.065,408,294.010,255.00
23.732,57.049,408,294.098,255.00
23.732,57.057,408,294.559,255.00
23.732,57.057,408,294.666,255.00
23.732,57.057,408,294.783,255.00
23.743,57.057,408,294.516,255.00
23.753,57.057,408,294.496,255.00
23.732,57.049,408,294.842,255.00
23.743,57.057,408,294.680,255.00
23.764,57.057,408,295.168,255.00
23.732,57.057,408,295.516,255.00
23.732,57.042,408,295.863,255.00
23.753,57.057,408,295.451,255.00
23.764,57.072,408,295.820,255.00
23.743,57.042,408,296.402,255.00
23.764,57.057,408,296.400,255.00
23.775,57.057,408,296.391,255.00
23.753,57.057,408,297.187,255.00
23.764,57.057,408,296.479,255.00
23.753,57.065,408,296.967,255.00
23.753,57.057,408,297.221,255.00
23.764,57.065,408,297.068,255.00
23.775,57.034,408,297.354,255.00
23.753,57.042,408,297.625,255.00
23.753,57.065,408,297.520,255.00
23.775,57.042,408,298.273,255.00
23.785,57.072,408,297.834,255.00
23.785,57.057,408,298.043,255.00
23.764,57.042,408,298.070,255.00
23.764,57.034,408,298.713,255.00
23.796,57.049,408,298.695,255.00
23.785,57.042,408,298.543,255.00
23.785,57.049,408,298.803,255.00
23.775,57.042,408,298.543,255.00
23.764,57.057,408,298.695,255.00
23.796,57.049,408,298.920,255.00
23.785,57.057,408,298.475,255.00
23.775,57.042,408,299.260,255.00
23.785,57.034,408,298.861,255.00
23.785,57.042,408,299.490,255.00
23.807,57.057,408,299.547,255.00
23.775,57.057,408,299.658,255.00
23.785,57.065,408,299.631,255.00
23.785,57.034,408,299.572,255.00
23.785,57.042,408,300.062,255.00
23.796,57.026,408,300.029,255.00
23.785,57.026,408,300.121,255.00
23.807,57.049,408,300.828,255.00
23.807,57.026,408,300.922,255.00
23.796,57.026,408,301.025,255.00
23.818,57.049,408,300.699,255.00
23.807,57.049,408,300.623,255.00
23.796,57.042,408,301.031,255.00
23.828,57.042,408,301.543,255.00
23.828,57.026,408,301.746,255.00
23.818,57.042,408,301.221,255.00
23.796,57.042,408,301.674,255.00
23.828,57.042,408,301.695,255.00
23.818,57.026,408,301.957,255.00
23.818,57.019,408,302.357,255.00
23.850,57.011,408,302.221,255.00
23.839,57.019,408,302.299,255.00
23.828,57.011,408,302.584,255.00
23.828,57.026,408,302.982,255.00
23.839,57.042,408,302.510,255.00
23.828,57.011,408,303.146,255.00
23.850,57.011,408,303.379,255.00
23.828,56.988,408,303.137,255.00
23.839,57.026,408,303.582,255.00
23.839,57.011,408,303.404,255.00
23.828,56.996,408,303.652,255.00
23.850,57.011,408,303.893,255.00
23.861,56.996,408,303.668,255.00
23.839,57.004,408,303.551,255.00
23.839,57.004,408,303.992,255.00
23.839,56.996,408,304.057,255.00
23.850,56.981,408,304.191,255.00
23.850,56.988,408,304.486,255.00
23.850,56.988,408,304.703,255.00
23.850,57.004,408,304.789,255.00
23.861,56.988,408,304.850,255.00
23.850,57.004,408,305.311,255.00
23.861,57.004,408,305.445,255.00
23.861,57.004,408,305.514,255.00
23.871,56.996,408,305.578,255.00
23.871,56.988,408,305.910,255.00
23.850,57.004,408,305.674,255.00
23.861,56.973,408,305.762,255.00
23.882,56.988,408,305.902,255.00
23.871,56.988,408,306.170,255.00
23.871,56.981,408,306.010,255.00
23.861,56.973,408,305.937,255.00
23.871,56.973,408,306.373,255.00
23.861,56.981,408,306.125,255.00
23.882,56.958,408,306.703,255.00
23.882,56.950,408,306.355,255.00
23.882,56.981,408,306.699,255.00
23.893,56.973,408,307.131,255.00
23.871,56.965,408,307.467,255.00
23.882,56.950,408,306.854,255.00
23.893,56.973,408,306.992,255.00
23.882,56.950,408,307.318,255.00
23.861,56.958,408,307.658,255.00
23.882,56.950,408,307.551,255.00
23.893,56.950,408,307.549,255.00
23.903,56.973,408,308.289,255.00
23.925,56.950,408,308.562,255.00
23.925,56.935,408,308.135,255.00
23.914,56.920,408,309.084,255.00
23.903,56.950,408,309.070,255.00
23.914,56.943,408,308.619,255.00
23.914,56.935,408,309.311,255.00
23.925,56.920,408,309.256,255.00
23.925,56.920,408,309.531,255.00
23.914,56.935,408,309.459,255.00
23.903,56.927,408,310.010,255.00
23.903,56.935,408,309.490,255.00
23.925,56.904,408,310.541,255.00
23.914,56.912,408,309.605,255.00
23.936,56.920,408,309.705,255.00
23.914,56.912,408,310.187,255.00
23.914,56.920,408,310.424,255.00
23.925,56.920,408,310.273,255.00
23.936,56.897,408,310.783,255.00
23.925,56.904,408,310.754,255.00
23.936,56.904,408,310.891,255.00
23.936,56.881,408,310.916,255.00
23.925,56.897,408,310.676,255.00
23.936,56.889,408,310.734,255.00
23.936,56.904,408,311.352,255.00
23.925,56.889,408,311.549,255.00
23.946,56.889,408,311.754,255.00
23.957,56.889,408,311.916,255.00
23.957,56.889,408,312.201,255.00
23.957,56.874,408,312.230,255.00
23.946,56.874,408,312.533,255.00
23.957,56.889,408,312.537,255.00
23.957,56.874,408,312.822,255.00
23.946,56.881,408,312.324,255.00
23.968,56.866,408,312.645,255.00
23.946,56.859,408,313.543,255.00
23.946,56.859,408,313.266,255.00
23.968,56.866,408,312.984,255.00
23.968,56.866,408,313.082,255.00
23.946,56.859,408,313.252,255.00
23.968,56.859,408,313.648,255.00
23.968,56.851,408,313.891,255.00
23.979,56.859,408,313.682,255.00
23.946,56.859,408,313.770,255.00
23.968,56.859,408,314.375,255.00
23.968,56.843,408,314.055,255.00
23.979,56.836,408,314.477,255.00
23.968,56.828,408,314.852,255.00
23.979,56.836,408,315.080,255.00
23.968,56.813,408,314.979,255.00
24.000,56.843,408,315.223,255.00
23.979,56.828,408,315.365,255.00
24.000,56.820,408,315.094,255.00
23.989,56.828,408,315.324,255.00
23.989,56.805,408,315.232,255.00
23.979,56.813,408,315.088,255.00
23.989,56.820,408,315.777,255.00
23.989,56.813,408,315.902,255.00
23.979,56.813,408,315.703,255.00
24.011,56.790,408,316.596,255.00
24.011,56.805,408,315.988,255.00
24.000,56.790,408,316.412,255.00
23.989,56.805,408,316.225,255.00
24.000,56.782,408,316.293,255.00
23.989,56.798,408,316.803,255.00
23.989,56.798,408,317.121,255.00
23.989,56.775,408,316.727,255.00
