set_c,oven_c,output,ambient_c
25.000,24.109,205.00,20.740
25.000,24.122,201.20,20.686
25.000,24.277,184.06,20.697
25.000,24.538,142.76,20.686
25.000,24.812,96.41,20.707
25.000,25.050,52.93,20.718
25.000,25.214,20.95,20.707
25.000,25.309,0.00,20.686
25.000,25.318,0.00,20.697
25.000,25.249,2.94,20.697
25.000,25.166,14.77,20.675
25.000,25.079,29.02,20.697
25.000,25.001,43.07,20.686
25.000,24.969,47.86,20.707
25.000,24.955,50.87,20.686
25.000,24.966,48.79,20.697
25.000,24.976,47.36,20.686
25.000,25.002,42.14,20.697
25.000,25.040,33.73,20.697
25.000,25.060,29.26,20.697
25.000,25.063,27.92,20.686
25.000,25.063,26.59,20.686
25.000,25.061,25.64,20.686
25.000,25.054,25.93,20.675
25.000,25.035,28.96,20.686
25.000,25.015,32.39,20.686
25.000,24.997,35.66,20.686
25.000,24.995,35.50,20.675
25.000,25.001,34.19,20.675
25.000,25.016,30.60,20.686
25.000,25.029,27.68,20.664
25.000,25.041,24.53,20.654
25.000,25.041,24.16,20.675
25.000,25.035,24.73,20.675
25.000,25.020,27.17,20.664
25.000,25.010,28.68,20.697
25.000,25.000,30.52,20.664
25.000,25.001,29.81,20.686
25.000,25.003,29.40,20.675
25.000,25.012,27.21,20.664
25.000,25.019,25.63,20.686
25.000,25.026,23.70,20.664
25.000,25.024,23.90,20.675
25.000,25.022,23.81,20.675
25.000,25.011,25.93,20.686
25.000,25.004,26.97,20.686
25.000,24.996,28.47,20.664
25.000,24.998,27.88,20.675
25.000,25.000,27.39,20.697
25.000,25.010,25.20,20.686
25.000,25.016,23.88,20.675
25.000,25.021,22.43,20.675
25.000,25.018,22.95,20.686
25.000,25.014,23.35,20.664
25.000,25.005,24.91,20.697
25.000,25.002,25.35,20.664
25.000,24.998,26.22,20.686
25.000,25.000,25.57,20.675
25.000,25.002,25.13,20.686
25.000,25.008,23.72,20.664
26.000,25.010,205.00,20.686
26.000,25.028,205.00,20.675
26.000,25.159,205.00,20.675
26.000,25.391,205.00,20.654
26.000,25.644,166.72,20.664
26.000,25.889,125.01,20.675
26.000,26.102,85.09,20.664
26.000,26.257,53.39,20.664
26.000,26.339,33.42,20.664
26.000,26.364,22.64,20.664
26.000,26.309,28.49,20.664
26.000,26.245,34.94,20.654
26.000,26.167,45.71,20.654
26.000,26.102,54.89,20.654
26.000,26.038,65.53,20.664
26.000,26.024,65.65,20.675
26.000,26.021,65.39,20.664
26.000,26.028,63.20,20.654
26.000,26.035,61.01,20.664
26.000,26.061,54.36,20.675
26.000,26.084,48.21,20.664
26.000,26.102,42.78,20.675
26.000,26.104,40.68,20.675
26.000,26.097,40.08,20.654
26.000,26.074,43.23,20.664
26.000,26.053,45.69,20.664
26.000,26.037,47.59,20.654
26.000,26.033,47.04,20.654
26.000,26.032,46.40,20.664
26.000,26.035,44.98,20.654
26.000,26.038,43.53,20.664
26.000,26.045,41.17,20.686
26.000,26.046,40.25,20.697
26.000,26.048,38.54,20.675
26.000,26.044,38.51,20.697
26.000,26.042,37.96,20.675
26.000,26.035,38.48,20.697
26.000,26.033,37.93,20.697
26.000,26.031,37.67,20.675
26.000,26.030,37.03,20.664
26.000,26.029,36.60,20.664
26.000,26.029,35.98,20.664
26.000,26.028,35.51,20.664
26.000,26.028,34.95,20.675
26.000,26.026,34.67,20.675
26.000,26.025,34.25,20.686
26.000,26.022,34.28,20.664
26.000,26.021,33.98,20.675
26.000,26.018,34.27,20.664
26.000,26.016,34.07,20.686
26.000,26.012,34.61,20.664
26.000,26.013,34.10,20.664
26.000,26.011,34.21,20.664
26.000,26.013,33.53,20.664
26.000,26.012,33.48,20.675
26.000,26.013,32.88,20.664
26.000,26.011,33.24,20.664
26.000,26.012,32.62,20.654
26.000,26.009,33.08,20.664
26.000,26.009,32.75,20.675
