resistance,ppm,temp_c
9984.8536,-0.25,25.01
9984.8549,-0.12,24.997
9984.8549,-0.12,24.995
9984.8549,-0.12,24.997
9984.8549,-0.12,24.996
9984.8549,-0.12,24.993
9984.8549,-0.12,24.996
9984.8549,-0.12,25.004
9984.8549,-0.12,25.007
9984.8549,-0.12,25.004
9984.8549,-0.12,25.007
9984.8549,-0.12,25.001
9984.8549,-0.12,25.016
9984.8549,-0.12,25.005
9984.8546,-0.15,25.011
9984.8546,-0.15,25.015
9984.8546,-0.15,25.023
9984.8546,-0.15,24.999
9984.8546,-0.15,25.038
9984.8546,-0.15,24.997
9984.8546,-0.15,24.999
9984.8546,-0.15,24.99
9984.8546,-0.15,25.007
9984.8546,-0.15,24.997
9984.8546,-0.15,24.992
9984.8546,-0.15,24.988
9984.8546,-0.15,25.0
9984.8544,-0.17,24.997
9984.8544,-0.17,24.984
9984.8544,-0.17,24.974
9984.8544,-0.17,25.0
9984.8544,-0.17,24.992
9984.8544,-0.17,25.0
9984.8544,-0.17,24.996
9984.8544,-0.17,25.016
9984.8544,-0.17,24.995
9984.8544,-0.17,24.984
9984.8544,-0.17,25.005
9984.8544,-0.17,25.005
9984.8544,-0.17,25.015
9984.8544,-0.17,25.01
9984.8554,-0.07,25.012
9984.8554,-0.07,24.992
9984.8554,-0.07,25.029
9984.8554,-0.07,25.008
9984.8554,-0.07,25.004
9984.8554,-0.07,25.003
9984.8554,-0.07,25.014
9984.8554,-0.07,25.003
9984.8554,-0.07,24.997
9984.8554,-0.07,24.996
9984.8554,-0.07,24.999
9984.8554,-0.07,24.986
9984.8554,-0.07,24.996
9984.8567,0.06,24.996
9984.8567,0.06,24.992
9984.8567,0.06,24.988
9984.8567,0.06,25.014
9984.8567,0.06,25.01
9984.8567,0.06,25.01
9984.8567,0.06,24.996
9984.8567,0.06,25.014
9984.8567,0.06,24.999
9984.8567,0.06,24.993
9984.8567,0.06,25.001
9984.8567,0.06,24.996
9984.8567,0.06,24.996
9984.8567,0.06,25.001
9984.8539,-0.22,25.004
9984.8539,-0.22,24.993
9984.8539,-0.22,25.001
9984.8539,-0.22,25.004
9984.8539,-0.22,24.996
9984.8539,-0.22,24.993
9984.8539,-0.22,24.999
9984.8539,-0.22,25.004
9984.8539,-0.22,24.99
9984.8539,-0.22,24.989
9984.8539,-0.22,24.999
9984.8539,-0.22,24.995
9984.8539,-0.22,25.004
9984.8562,0.01,25.01
9984.8562,0.01,24.992
9984.8562,0.01,24.988
9984.8562,0.01,25.005
9984.8562,0.01,25.004
9984.8562,0.01,25.001
9984.8562,0.01,25.003
9984.8562,0.01,24.993
9984.8562,0.01,25.004
9984.8562,0.01,25.003
9984.8562,0.01,24.996
9984.8562,0.01,24.993
9984.8562,0.01,25.01
9984.8544,-0.17,25.015
9984.8544,-0.17,24.988
9984.8544,-0.17,25.001
9984.8544,-0.17,25.005
9984.8544,-0.17,24.996
9984.8544,-0.17,24.997
9984.8544,-0.17,25.008
9984.8544,-0.17,25.008
9984.8544,-0.17,24.995
9984.8544,-0.17,25.0
9984.8544,-0.17,25.008
9984.8544,-0.17,24.989
9984.8544,-0.17,24.967
9984.8544,-0.17,24.995
9984.8551,-0.10,25.0
9984.8551,-0.10,24.993
9984.8551,-0.10,25.001
9984.8551,-0.10,24.996
9984.8551,-0.10,24.989
9984.8551,-0.10,25.003
9984.8551,-0.10,25.007
9984.8551,-0.10,25.01
9984.8551,-0.10,25.003
9984.8551,-0.10,25.0
9984.8551,-0.10,25.004
9984.8551,-0.10,24.999
9984.8551,-0.10,25.004
9984.8567,0.06,25.007
9984.8567,0.06,25.007
9984.8567,0.06,25.001
9984.8567,0.06,25.001
9984.8567,0.06,25.003
9984.8567,0.06,25.003
9984.8567,0.06,24.993
9984.8567,0.06,25.0
9984.8567,0.06,25.0
9984.8567,0.06,25.01
9984.8567,0.06,24.985
9984.8567,0.06,25.007
9984.8567,0.06,24.997
9984.8567,0.06,24.995
9984.8579,0.18,24.989
9984.8579,0.18,24.992
9984.8579,0.18,24.993
9984.8579,0.18,24.985
9984.8579,0.18,24.98
9984.8579,0.18,25.03
9984.8579,0.18,25.001
9984.8579,0.18,25.003
9984.8579,0.18,24.997
9984.8579,0.18,25.005
9984.8579,0.18,25.008
9984.8579,0.18,25.012
9984.8579,0.18,24.993
9984.8531,-0.30,24.999
9984.8531,-0.30,25.008
9984.8531,-0.30,25.005
9984.8531,-0.30,24.997
9984.8531,-0.30,25.015
9984.8531,-0.30,25.008
9984.8531,-0.30,25.01
9984.8531,-0.30,25.001
9984.8531,-0.30,24.995
9984.8531,-0.30,25.003
9984.8531,-0.30,25.005
9984.8531,-0.30,24.989
9984.8531,-0.30,24.978
9984.8562,0.01,25.04
9984.8562,0.01,24.995
9984.8562,0.01,24.999
9984.8562,0.01,24.992
9984.8562,0.01,25.003
9984.8562,0.01,25.0
9984.8562,0.01,24.999
9984.8562,0.01,25.008
9984.8562,0.01,25.0
9984.8562,0.01,25.001
9984.8562,0.01,25.011
9984.8562,0.01,25.004
9984.8562,0.01,25.007
9984.8562,0.01,25.008
9984.8562,0.01,25.01
9984.8562,0.01,25.0
9984.8562,0.01,25.008
9984.8562,0.01,25.004
9984.8562,0.01,24.993
9984.8562,0.01,24.989
9984.8562,0.01,25.007
9984.8562,0.01,25.005
9984.8562,0.01,25.001
9984.8562,0.01,25.018
9984.8562,0.01,24.997
9984.8562,0.01,24.977
9984.8562,0.01,24.995
9984.8559,-0.02,24.997
9984.8559,-0.02,25.007
9984.8559,-0.02,24.999
9984.8559,-0.02,24.997
9984.8559,-0.02,25.0
9984.8559,-0.02,24.996
9984.8559,-0.02,25.012
9984.8559,-0.02,24.99
9984.8559,-0.02,24.993
9984.8559,-0.02,24.993
9984.8559,-0.02,25.01
9984.8559,-0.02,24.997
9984.8559,-0.02,25.01
9984.8559,-0.02,25.003
9984.8544,-0.17,25.005
9984.8544,-0.17,25.0
9984.8544,-0.17,25.001
9984.8544,-0.17,25.005
9984.8544,-0.17,25.01
9984.8544,-0.17,24.978
9984.8544,-0.17,24.986
9984.8544,-0.17,25.004
9984.8544,-0.17,25.003
9984.8544,-0.17,24.997
9984.8544,-0.17,25.004
9984.8544,-0.17,24.996
9984.8544,-0.17,25.003
9984.8554,-0.07,25.0
9984.8554,-0.07,24.997
9984.8554,-0.07,25.008
9984.8554,-0.07,25.003
9984.8554,-0.07,25.007
9984.8554,-0.07,25.01
9984.8554,-0.07,25.003
9984.8554,-0.07,25.016
9984.8554,-0.07,25.001
9984.8554,-0.07,25.003
