set_c,oven_c,output,ambient_c
25.000,24.092,205.00,21.115
25.000,24.089,205.00,21.126
25.000,24.237,205.00,21.115
25.000,24.506,99.49,21.093
25.000,24.798,0.00,21.093
25.000,25.018,0.00,21.104
25.000,25.076,0.00,21.115
25.000,25.066,0.00,21.104
25.000,25.000,41.66,21.115
25.000,24.935,65.70,21.093
25.000,24.890,75.51,21.093
25.000,24.902,51.18,21.115
25.000,24.960,13.02,21.083
25.000,24.987,14.37,21.083
25.000,24.989,23.26,21.083
25.000,24.976,33.20,21.115
25.000,24.960,41.00,21.126
25.000,24.942,48.13,21.104
25.000,24.945,40.21,21.093
25.000,24.968,24.05,21.083
25.000,24.976,26.69,21.093
25.000,24.978,29.07,21.093
25.000,24.976,30.55,21.104
25.000,24.976,30.76,21.104
25.000,24.975,31.19,21.126
25.000,24.975,30.79,21.093
25.000,24.976,30.60,21.104
25.000,24.976,30.58,21.093
25.000,24.977,30.75,21.115
25.000,24.977,30.25,21.093
25.000,24.978,30.24,21.115
25.000,24.981,28.32,21.115
25.000,24.984,27.55,21.093
25.000,24.989,24.62,21.093
25.000,24.989,27.06,21.093
25.000,24.989,27.01,21.104
25.000,24.985,29.69,21.093
25.000,24.988,26.23,21.083
25.000,24.990,26.29,21.104
25.000,24.996,22.26,21.093
25.000,24.995,25.21,21.093
25.000,24.994,25.78,21.104
25.000,24.989,29.34,21.104
25.000,24.990,26.40,21.115
25.000,24.993,25.08,21.126
25.000,25.002,19.39,21.104
25.000,25.003,21.54,21.093
25.000,25.000,24.41,21.083
25.000,24.989,31.69,21.104
25.000,24.988,28.41,21.083
25.000,24.994,23.61,21.093
25.000,25.010,13.84,21.083
25.000,25.014,17.02,21.072
25.000,25.002,26.61,21.104
25.000,24.984,35.81,21.093
25.000,24.983,30.25,21.115
25.000,24.994,21.46,21.093
25.000,25.019,7.12,21.093
25.000,25.026,11.08,21.104
25.000,25.007,27.60,21.093
26.000,24.982,205.00,21.093
26.000,24.989,205.00,21.093
26.000,25.128,205.00,21.093
26.000,25.363,189.53,21.104
26.000,25.622,88.21,21.083
26.000,25.861,9.76,21.104
26.000,26.017,0.00,21.093
26.000,26.036,26.11,21.093
26.000,25.990,66.25,21.093
26.000,25.924,97.91,21.115
26.000,25.881,106.33,21.104
26.000,25.916,65.63,21.104
26.000,25.965,42.62,21.093
26.000,26.023,18.41,21.104
26.000,26.028,35.29,21.093
26.000,26.000,58.06,21.093
26.000,25.948,85.60,21.093
26.000,25.942,71.70,21.083
26.000,25.960,56.66,21.093
26.000,26.012,25.17,21.083
26.000,26.029,31.34,21.093
26.000,26.027,39.09,21.083
26.000,26.002,56.57,21.083
26.000,25.971,69.93,21.093
26.000,25.966,62.41,21.083
26.000,26.003,34.07,21.072
26.000,26.027,29.52,21.083
26.000,26.030,36.22,21.072
26.000,26.026,40.01,21.072
26.000,26.015,46.35,21.083
26.000,26.001,52.86,21.061
26.000,26.002,46.51,21.083
26.000,26.013,38.76,21.061
26.000,26.025,34.22,21.072
26.000,26.027,37.08,21.051
26.000,26.025,38.63,21.072
26.000,26.022,40.60,21.051
26.000,26.020,40.23,21.061
26.000,26.019,40.60,21.051
26.000,26.022,37.77,21.061
26.000,26.024,36.96,21.072
26.000,26.026,36.59,21.040
26.000,26.026,37.01,21.072
26.000,26.026,36.80,21.051
26.000,26.026,36.47,21.051
26.000,26.027,35.88,21.040
26.000,26.026,36.40,21.051
26.000,26.027,35.27,21.051
26.000,26.027,35.64,21.051
26.000,26.028,34.56,21.051
26.000,26.028,35.12,21.029
26.000,26.028,34.54,21.040
26.000,26.029,34.29,21.040
26.000,26.029,33.74,21.051
26.000,26.029,33.96,21.051
26.000,26.029,33.75,21.051
26.000,26.029,33.61,21.029
26.000,26.030,33.09,21.051
26.000,26.029,33.19,21.040
26.000,26.030,32.66,21.051
