ambient_c,internal_c,setpoint,adc,pwm
22.863,22.831,231,170.198,255.00
22.831,22.810,231,170.195,255.00
22.863,22.820,231,170.190,255.00
22.874,22.820,231,170.192,255.00
22.874,22.820,231,170.189,255.00
22.874,22.820,231,170.179,255.00
22.863,22.820,231,170.173,255.00
22.863,22.831,231,170.163,255.00
22.852,22.820,231,170.164,255.00
22.863,22.831,231,170.162,255.00
22.874,22.820,231,170.161,255.00
22.874,22.831,231,170.166,255.00
22.863,22.810,231,170.162,255.00
22.863,22.842,231,170.176,255.00
22.863,22.852,231,170.169,255.00
22.852,22.831,231,170.154,255.00
22.874,22.820,231,170.154,255.00
22.874,22.831,231,170.156,255.00
22.863,22.831,231,170.152,255.00
22.842,22.820,231,170.158,255.00
22.863,22.831,231,170.146,255.00
22.874,22.810,231,170.150,255.00
22.863,22.831,231,170.148,255.00
22.863,22.810,231,170.140,255.00
22.874,22.842,231,170.141,255.00
22.874,22.831,231,170.141,255.00
22.874,22.831,231,170.136,255.00
22.874,22.831,231,170.133,255.00
22.874,22.842,231,170.127,255.00
22.842,22.842,231,170.125,255.00
22.874,22.842,231,170.123,255.00
22.885,22.831,231,170.122,255.00
22.874,22.831,231,170.121,255.00
22.874,22.842,231,170.122,255.00
22.852,22.831,231,170.122,255.00
22.874,22.831,231,170.121,255.00
22.874,22.831,231,170.114,255.00
22.874,22.831,231,170.108,255.00
22.885,22.820,231,170.110,255.00
22.863,22.831,231,170.110,255.00
22.885,22.810,231,170.099,255.00
22.874,22.852,231,170.098,255.00
22.874,22.831,231,170.097,255.00
22.895,22.831,231,170.080,255.00
22.863,22.831,231,170.076,255.00
22.906,22.842,231,170.075,255.00
22.885,22.842,231,170.070,255.00
22.885,22.842,231,170.071,255.00
22.895,22.831,231,170.075,255.00
22.874,22.831,231,170.073,255.00
22.874,22.831,231,170.076,255.00
22.895,22.831,231,170.077,255.00
22.874,22.831,231,170.081,255.00
22.895,22.820,231,170.085,255.00
22.874,22.842,231,170.081,255.00
22.874,22.842,231,170.085,255.00
22.874,22.842,231,170.074,255.00
22.885,22.831,231,170.074,255.00
22.885,22.810,231,170.076,255.00
22.895,22.831,231,170.083,255.00
22.895,22.842,231,170.084,255.00
22.895,22.831,231,170.079,255.00
22.906,22.810,231,170.079,255.00
22.895,22.831,231,170.073,255.00
