resistance,ppm,temp_c
19970.187,0.34,24.992
19970.187,0.34,25.014
19970.187,0.34,25.0
19970.187,0.34,25.001
19970.187,0.34,25.005
19970.187,0.34,25.004
19970.187,0.34,24.992
19970.184,0.19,25.007
19970.184,0.19,25.0
19970.184,0.19,25.011
19970.184,0.19,25.004
19970.184,0.19,25.004
19970.184,0.19,25.001
19970.184,0.19,25.004
19970.184,0.19,24.999
19970.184,0.19,24.988
19970.184,0.19,25.005
19970.184,0.19,24.999
19970.184,0.19,24.992
19970.184,0.19,25.007
19970.187,0.34,24.99
19970.187,0.34,25.011
19970.187,0.34,25.0
19970.187,0.34,24.993
19970.187,0.34,24.997
19970.187,0.34,24.98
19970.187,0.34,25.004
19970.187,0.34,25.008
19970.187,0.34,25.003
19970.187,0.34,24.995
19970.187,0.34,24.995
19970.187,0.34,25.003
19970.187,0.34,24.989
19970.192,0.59,24.996
19970.192,0.59,25.003
19970.192,0.59,24.988
19970.192,0.59,25.004
19970.192,0.59,24.992
19970.192,0.59,25.01
19970.192,0.59,25.004
19970.192,0.59,24.989
19970.192,0.59,25.005
19970.192,0.59,25.012
19970.192,0.59,25.008
19970.192,0.59,24.999
19970.192,0.59,25.004
19970.192,0.59,25.01
19970.189,0.44,25.003
19970.189,0.44,25.0
19970.189,0.44,25.005
19970.189,0.44,25.001
19970.189,0.44,25.005
19970.189,0.44,24.995
19970.189,0.44,25.01
19970.189,0.44,24.995
19970.189,0.44,25.004
19970.189,0.44,24.996
19970.189,0.44,24.999
19970.189,0.44,24.997
19970.189,0.44,24.986
19970.202,1.09,24.989
19970.202,1.09,24.992
19970.202,1.09,25.004
19970.202,1.09,25.001
19970.202,1.09,25.01
19970.202,1.09,25.004
19970.202,1.09,25.008
19970.202,1.09,25.01
19970.202,1.09,25.004
19970.202,1.09,25.005
19970.202,1.09,24.999
19970.202,1.09,24.996
19970.202,1.09,25.004
19970.202,1.09,25.003
19970.189,0.44,24.986
19970.189,0.44,24.986
19970.189,0.44,24.989
19970.189,0.44,25.011
19970.189,0.44,24.99
19970.189,0.44,25.0
19970.189,0.44,24.993
19970.189,0.44,25.008
19970.189,0.44,24.986
19970.189,0.44,25.014
19970.189,0.44,25.001
19970.189,0.44,25.021
19970.189,0.44,25.005
19970.176,-0.21,25.005
19970.176,-0.21,24.99
19970.176,-0.21,25.018
19970.176,-0.21,25.01
19970.176,-0.21,24.993
19970.176,-0.21,24.99
19970.176,-0.21,24.996
19970.176,-0.21,25.001
19970.176,-0.21,24.986
19970.176,-0.21,24.988
19970.176,-0.21,24.995
19970.176,-0.21,25.004
19970.176,-0.21,25.011
19970.199,0.94,24.996
19970.199,0.94,25.001
19970.199,0.94,25.001
19970.199,0.94,25.003
19970.199,0.94,24.997
19970.199,0.94,25.001
19970.199,0.94,24.99
19970.199,0.94,25.012
19970.199,0.94,24.997
19970.199,0.94,25.004
19970.199,0.94,24.995
19970.199,0.94,25.0
19970.199,0.94,25.001
19970.199,0.94,25.01
19970.176,-0.21,25.012
19970.176,-0.21,24.995
19970.176,-0.21,24.997
19970.176,-0.21,25.008
19970.176,-0.21,24.997
19970.176,-0.21,25.003
19970.176,-0.21,25.005
19970.176,-0.21,25.015
19970.176,-0.21,25.0
19970.176,-0.21,25.008
19970.176,-0.21,24.985
19970.176,-0.21,24.995
19970.176,-0.21,25.007
19970.169,-0.56,24.995
19970.169,-0.56,24.989
19970.169,-0.56,24.993
19970.169,-0.56,25.0
19970.169,-0.56,25.003
19970.169,-0.56,24.99
19970.169,-0.56,24.99
19970.169,-0.56,24.992
19970.169,-0.56,24.995
19970.169,-0.56,24.999
19970.169,-0.56,25.012
19970.169,-0.56,25.008
19970.169,-0.56,25.0
19970.169,-0.56,25.004
19970.164,-0.81,25.0
19970.164,-0.81,24.995
19970.164,-0.81,25.007
19970.164,-0.81,25.004
19970.164,-0.81,25.011
19970.164,-0.81,24.999
19970.164,-0.81,25.014
19970.164,-0.81,25.003
19970.164,-0.81,24.99
19970.164,-0.81,25.021
19970.164,-0.81,25.008
