timestamp,r,humidity,temp_c
1516423702.97,49999.718,49.695,21.083
1516423705.97,49999.680,49.740,21.115
1516423709.97,49999.690,49.763,21.115
1516423712.97,49999.710,49.756,21.126
1516423715.96,49999.695,49.748,21.094
1516423719.96,49999.698,49.756,21.104
1516423722.96,49999.713,49.733,21.062
1516423725.96,49999.710,49.748,21.062
1516423729.96,49999.720,49.740,21.051
1516423732.96,49999.708,49.756,21.040
1516423735.96,49999.700,49.756,21.040
1516423739.96,49999.710,49.779,21.019
1516423742.96,49999.705,49.763,21.029
1516423746.96,49999.708,49.771,21.008
1516423749.96,49999.708,49.779,21.008
1516423752.96,49999.720,49.801,21.008
1516423756.96,49999.695,49.809,21.008
1516423759.96,49999.713,49.824,20.976
1516423762.96,49999.698,49.832,20.976
1516423766.96,49999.687,49.855,20.976
1516423769.95,49999.687,49.862,20.976
1516423772.96,49999.713,49.885,20.965
1516423776.95,49999.713,49.908,20.944
1516423779.95,49999.700,49.923,20.933
1516423782.96,49999.708,49.946,20.933
1516423786.95,49999.703,49.939,20.933
1516423789.95,49999.713,49.962,20.922
1516423792.95,49999.710,49.969,20.901
1516423796.95,49999.710,49.992,20.912
1516423799.95,49999.700,50.007,20.912
1516423803.95,49999.672,50.023,20.912
1516423806.95,49999.690,50.030,20.901
1516423809.95,49999.685,50.061,20.890
1516423813.95,49999.723,50.053,20.880
1516423816.95,49999.710,50.076,20.880
1516423819.95,49999.698,50.076,20.880
1516423823.95,49999.710,50.099,20.880
1516423826.95,49999.705,50.114,20.869
1516423829.95,49999.710,50.122,20.869
1516423833.95,49999.718,50.122,20.869
1516423836.95,49999.715,50.129,20.837
1516423839.94,49999.695,50.129,20.848
1516423843.94,49999.698,50.137,20.848
1516423846.94,49999.705,50.152,20.848
1516423849.94,49999.687,50.160,20.848
1516423853.94,49999.713,50.183,20.837
1516423856.94,49999.685,50.183,20.837
1516423860.94,49999.692,50.190,20.848
1516423863.94,49999.710,50.198,20.826
1516423866.94,49999.690,50.213,20.848
1516423870.94,49999.700,50.229,20.826
1516423873.94,49999.708,50.229,20.837
1516423876.94,49999.708,50.244,20.805
1516423880.94,49999.708,50.252,20.837
1516423883.94,49999.713,50.252,20.826
1516423886.94,49999.708,50.259,20.826
1516423890.94,49999.700,50.282,20.815
1516423893.94,49999.700,50.290,20.805
1516423896.94,49999.695,50.282,20.805
1516423900.93,49999.698,50.297,20.805
1516423903.93,49999.700,50.297,20.805
1516423906.93,49999.708,50.297,20.805
1516423910.93,49999.708,50.305,20.815
1516423913.93,49999.690,50.320,20.805
1516423917.93,49999.675,50.313,20.805
1516423920.93,49999.687,50.320,20.805
1516423923.93,49999.690,50.343,20.794
1516423927.93,49999.718,50.328,20.794
1516423930.93,49999.700,50.328,20.826
1516423933.93,49999.695,50.343,20.794
1516423937.93,49999.703,50.358,20.805
1516423940.93,49999.700,50.343,20.815
1516423943.93,49999.692,50.351,20.794
1516423947.93,49999.703,50.358,20.805
1516423950.93,49999.687,50.358,20.794
1516423953.92,49999.692,50.374,20.773
1516423957.93,49999.695,50.374,20.794
1516423960.93,49999.692,50.381,20.794
1516423963.92,49999.700,50.374,20.773
1516423967.93,49999.705,50.389,20.773
1516423970.92,49999.698,50.381,20.794
1516423973.92,49999.692,50.404,20.773
1516423977.92,49999.705,50.412,20.794
1516423980.92,49999.713,50.396,20.783
1516423984.92,49999.718,50.412,20.794
1516423987.92,49999.708,50.412,20.773
1516423990.92,49999.698,50.412,20.783
1516423994.92,49999.687,50.435,20.773
1516423997.92,49999.687,50.427,20.773
1516424000.92,49999.703,50.435,20.783
1516424004.92,49999.703,50.412,20.773
1516424007.92,49999.695,50.427,20.773
1516424010.92,49999.698,50.412,20.773
1516424014.92,49999.695,50.412,20.773
1516424017.92,49999.687,50.412,20.783
1516424020.92,49999.685,50.435,20.773
1516424024.91,49999.695,50.442,20.773
1516424027.91,49999.687,50.442,20.773
1516424030.92,49999.705,50.442,20.773
1516424034.91,49999.677,50.442,20.783
1516424037.91,49999.682,50.435,20.773
1516424041.91,49999.687,50.450,20.783
1516424044.91,49999.700,50.465,20.762
1516424047.91,49999.680,50.442,20.773
1516424051.91,49999.672,50.442,20.773
1516424054.91,49999.695,50.458,20.762
1516424057.91,49999.682,50.473,20.773
1516424061.91,49999.682,50.450,20.773
1516424064.91,49999.690,50.465,20.773
1516424067.91,49999.687,50.450,20.762
1516424071.91,49999.680,50.465,20.773
1516424074.91,49999.685,50.473,20.773
1516424077.91,49999.680,50.465,20.762
1516424081.91,49999.682,50.480,20.751
1516424084.91,49999.700,50.480,20.741
1516424087.9,49999.682,50.488,20.762
1516424091.9,49999.682,50.465,20.773
1516424094.9,49999.675,50.473,20.773
1516424098.9,49999.675,50.473,20.751
1516424101.9,49999.680,50.473,20.762
1516424104.9,49999.698,50.473,20.751
1516424108.9,49999.685,50.458,20.773
1516424111.9,49999.680,50.473,20.762
