1517205518.94,+9.73751120E+03,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
1517205723.43,+9.67035690E+03,21.007,-46.582,406,406.917,25.0104,0.0104,166.84,4.0029
1517205726.77,+9.67079330E+03,21.007,-46.582,406,406.819,25.0093,0.0093,167.33,4.0018
1517205730.13,+9.67074370E+03,21.018,-46.582,406,406.346,25.0039,0.0039,171.58,3.9857
1517205733.47,+9.67050240E+03,21.007,-46.582,406,406.638,25.0072,0.0072,168.27,3.9997
1517205736.83,+9.67052370E+03,21.018,-46.582,406,406.602,25.0068,0.0068,168.27,3.9886
1517205740.19,+9.67089120E+03,21.040,-46.582,406,406.533,25.0061,0.0061,168.64,3.9664
1517205743.53,+9.67127870E+03,21.040,-46.582,406,406.227,25.0026,0.0026,171.57,3.9629
1517205746.89,+9.67156300E+03,21.029,-46.582,406,406.493,25.0056,0.0056,168.61,3.9767
1517205750.23,+9.67195510E+03,21.050,-46.582,406,406.602,25.0068,0.0068,167.16,3.9564
1517205753.59,+9.67266370E+03,21.040,-46.582,406,406.431,25.0049,0.0049,168.61,3.9652
1517205756.95,+9.67370790E+03,21.050,-46.582,406,406.160,25.0018,0.0018,171.22,3.9514
1517205760.29,+9.67449480E+03,21.061,-46.582,406,406.077,25.0009,0.0009,171.97,3.9398
1517205763.64,+9.67481950E+03,21.050,-46.582,406,406.109,25.0012,0.0012,171.59,3.9508
1517205766.99,+9.67480160E+03,21.050,-46.582,406,405.914,24.9990,-0.0010,173.59,3.9486
1517205770.35,+9.67452060E+03,21.050,-46.582,406,405.793,24.9976,-0.0024,174.92,3.9473
1517205773.7,+9.67429550E+03,21.072,-46.582,406,405.842,24.9982,-0.0018,174.53,3.9264
1517205777.06,+9.67449600E+03,21.061,-46.582,406,405.743,24.9971,-0.0029,175.67,3.9360
1517205780.41,+9.67520190E+03,21.083,-46.582,406,406.146,25.0017,0.0017,171.56,3.9191
1517205783.75,+9.67627770E+03,21.072,-46.582,406,406.013,25.0002,0.0002,172.87,3.9283
1517205787.11,+9.67729360E+03,21.050,-46.582,406,405.978,24.9997,-0.0002,173.31,3.9494
1517205790.47,+9.67816450E+03,21.061,-46.582,406,406.021,25.0002,0.0002,172.86,3.9391
1517205793.82,+9.67908130E+03,21.072,-46.582,406,406.193,25.0022,0.0022,171.03,3.9304
1517205797.18,+9.67985110E+03,21.083,-46.582,406,406.191,25.0022,0.0022,170.94,3.9196
1517205800.51,+9.68025830E+03,21.061,-46.582,406,406.092,25.0010,0.0010,171.87,3.9399
1517205803.87,+9.68005610E+03,21.072,-46.582,406,406.249,25.0028,0.0028,170.15,3.9310
1517205807.23,+9.67926830E+03,21.093,-46.582,406,405.896,24.9988,-0.0012,173.74,3.9055
1517205810.57,+9.67825120E+03,21.061,-46.582,406,405.675,24.9963,-0.0037,176.15,3.9352
1517205813.93,+9.67734550E+03,21.093,-46.582,406,405.789,24.9976,-0.0024,175.13,3.9043
1517205817.28,+9.67668270E+03,21.104,-46.582,406,406.032,25.0004,0.0004,172.68,3.8963
1517205820.63,+9.67642110E+03,21.115,-46.582,406,405.862,24.9984,-0.0016,174.46,3.8837
1517205823.99,+9.67630810E+03,21.104,-46.582,406,405.876,24.9986,-0.0014,174.40,3.8946
1517205827.34,+9.67608100E+03,21.093,-46.582,406,405.801,24.9977,-0.0023,175.26,3.9044
1517205830.69,+9.67570570E+03,21.104,-46.582,406,405.578,24.9952,-0.0048,177.75,3.8912
1517205834.03,+9.67506710E+03,21.125,-46.582,406,405.606,24.9955,-0.0045,177.71,3.8701
1517205837.39,+9.67429100E+03,21.104,-46.582,406,405.552,24.9949,-0.0051,178.51,3.8909
1517205840.75,+9.67383890E+03,21.104,-46.582,406,405.810,24.9978,-0.0022,176.05,3.8938
1517205844.09,+9.67367110E+03,21.115,-46.582,406,405.862,24.9984,-0.0016,175.61,3.8837
1517205847.45,+9.67337670E+03,21.115,-46.582,406,405.921,24.9991,-0.0009,175.02,3.8844
1517205850.79,+9.67294380E+03,21.115,-46.582,406,406.049,25.0006,0.0006,173.72,3.8858
1517205854.15,+9.67253970E+03,21.147,-46.582,406,406.131,25.0015,0.0015,172.82,3.8546
1517205857.51,+9.67221130E+03,21.136,-46.582,406,406.460,25.0052,0.0052,169.26,3.8690
1517205860.85,+9.67206220E+03,21.158,-46.582,406,406.287,25.0033,0.0033,170.82,3.8456
1517205864.22,+9.67218840E+03,21.168,-46.582,406,406.342,25.0039,0.0039,170.06,3.8355
1517205867.56,+9.67261500E+03,21.158,-46.582,406,406.192,25.0022,0.0022,171.44,3.8445
1517205870.91,+9.67321900E+03,21.158,-46.582,406,406.192,25.0022,0.0022,171.33,3.8445
1517205874.27,+9.67383220E+03,21.168,-46.582,406,405.897,24.9988,-0.0012,174.29,3.8305
1517205877.61,+9.67416650E+03,21.179,-46.582,406,405.922,24.9991,-0.0009,174.10,3.8200
1517205880.98,+9.67407010E+03,21.179,-46.582,406,406.036,25.0004,0.0004,172.93,3.8213
1517205884.32,+9.67368450E+03,21.168,-46.582,406,406.119,25.0014,0.0014,172.03,3.8330
1517205887.68,+9.67324210E+03,21.179,-46.582,406,406.064,25.0007,0.0007,172.54,3.8216
1517205891.03,+9.67298530E+03,21.158,-46.582,406,405.908,24.9990,-0.0010,174.15,3.8413
1517205894.38,+9.67303780E+03,21.190,-46.582,406,405.970,24.9997,-0.0003,173.56,3.8098
1517205897.73,+9.67324460E+03,21.168,-46.582,406,406.242,25.0027,0.0027,170.69,3.8344
1517205901.08,+9.67333640E+03,21.168,-46.582,406,406.456,25.0052,0.0052,168.28,3.8368
1517205904.43,+9.67337190E+03,21.179,-46.582,406,406.400,25.0045,0.0045,168.48,3.8255
1517205907.77,+9.67345450E+03,21.168,-46.582,406,406.370,25.0042,0.0042,168.56,3.8358
1517205911.13,+9.67366770E+03,21.168,-46.582,406,406.317,25.0036,0.0036,168.90,3.8352
1517205914.49,+9.67394070E+03,21.179,-46.582,406,406.275,25.0031,0.0031,169.16,3.8240
1517205917.83,+9.67431760E+03,21.179,-46.582,406,406.351,25.0040,0.0040,168.19,3.8249
1517205921.19,+9.67465650E+03,21.158,-46.582,406,406.047,25.0005,0.0005,171.20,3.8429
1517205924.54,+9.67495480E+03,21.147,-46.582,406,406.062,25.0007,0.0007,171.02,3.8538
1517205927.9,+9.67508100E+03,21.158,-46.582,406,406.376,25.0043,0.0043,167.64,3.8466
1517205931.26,+9.67517840E+03,21.179,-46.582,406,406.281,25.0032,0.0032,168.26,3.8241
1517205934.6,+9.67528660E+03,21.179,-46.582,406,406.438,25.0050,0.0050,166.44,3.8259
1517205937.96,+9.67531780E+03,21.179,-46.582,406,406.559,25.0064,0.0064,164.88,3.8273
1517205941.3,+9.67552360E+03,21.168,-46.582,406,406.293,25.0033,0.0033,167.37,3.8350
1517205944.65,+9.67609490E+03,21.158,-46.582,406,406.101,25.0011,0.0012,169.23,3.8435
1517205948.02,+9.67655470E+03,21.168,-46.582,406,406.035,25.0004,0.0004,169.87,3.8320
1517205951.36,+9.67659650E+03,21.168,-46.582,406,405.929,24.9992,-0.0008,170.97,3.8308
1517205954.72,+9.67649560E+03,21.179,-46.582,406,405.957,24.9995,-0.0005,170.72,3.8204
1517205958.06,+9.67670220E+03,21.179,-46.582,406,405.923,24.9991,-0.0009,171.11,3.8200
1517205961.42,+9.67702890E+03,21.201,-46.582,406,406.098,25.0011,0.0011,169.38,3.8006
1517205964.77,+9.67715690E+03,21.190,-46.582,406,405.900,24.9989,-0.0011,171.42,3.8090
1517205968.12,+9.67691130E+03,21.179,-46.582,406,405.818,24.9979,-0.0021,172.35,3.8188
1517205971.47,+9.67627590E+03,21.211,-46.582,406,406.050,25.0006,0.0006,170.00,3.7893
1517205974.82,+9.67539330E+03,21.179,-46.582,406,405.737,24.9970,-0.0030,173.28,3.8179
1517205978.17,+9.67449630E+03,21.201,-46.582,406,406.171,25.0019,0.0019,168.85,3.8014
1517205981.54,+9.67377620E+03,21.201,-46.582,406,406.280,25.0032,0.0032,167.58,3.8026
1517205984.87,+9.67374600E+03,21.201,-46.582,406,406.141,25.0016,0.0016,168.89,3.8011
1517205988.24,+9.67430090E+03,21.233,-46.582,406,406.006,25.0001,0.0001,170.23,3.7673
1517205991.58,+9.67492310E+03,21.201,-46.582,406,405.850,24.9983,-0.0017,171.84,3.7978
1517205994.94,+9.67553640E+03,21.211,-46.582,406,405.835,24.9981,-0.0019,172.09,3.7869
1517205998.3,+9.67645500E+03,21.211,-46.582,406,405.937,24.9993,-0.0007,171.12,3.7880
1517206001.64,+9.67748870E+03,21.201,-46.582,406,405.947,24.9994,-0.0006,171.04,3.7989
1517206005.0,+9.67811850E+03,21.211,-46.582,406,406.088,25.0010,0.0010,169.58,3.7897
1517206008.34,+9.67813840E+03,21.222,-46.582,406,406.225,25.0026,0.0026,168.07,3.7806
1517206011.69,+9.67791680E+03,21.201,-46.582,406,406.056,25.0006,0.0006,169.73,3.8001
1517206015.06,+9.67831570E+03,21.211,-46.582,406,405.827,24.9980,-0.0020,172.12,3.7868
1517206018.4,+9.67949190E+03,21.222,-46.582,406,405.724,24.9969,-0.0031,173.43,3.7749
1517206021.76,+9.68029690E+03,21.211,-46.582,406,405.732,24.9969,-0.0030,173.52,3.7857
