timestamp,temp_c
1500510692.972,24.7518
1500510693.971,24.7518
1500510694.971,24.7518
1500510695.970,24.7518
1500510696.974,24.7518
1500510697.973,24.7518
1500510698.973,24.7411
1500510699.972,24.7411
1500510700.972,24.7518
1500510701.971,24.7304
1500510702.975,24.7411
1500510703.974,24.7304
1500510704.973,24.7411
1500510705.973,24.7304
1500510706.973,24.7090
1500510707.976,24.7197
1500510708.975,24.7197
1500510709.975,24.7090
1500510710.975,24.7090
1500510711.974,24.7197
1500510712.973,24.7090
1500510713.973,24.7090
1500510714.976,24.7197
1500510715.976,24.6769
1500510716.976,24.7197
1500510717.975,24.7197
1500510718.975,24.6876
1500510719.978,24.7090
1500510720.977,24.7090
1500510721.977,24.6876
1500510722.976,24.6983
1500510723.976,24.6876
1500510724.975,24.6876
1500510725.979,24.6876
1500510726.978,24.6769
1500510727.978,24.6983
1500510728.977,24.6876
1500510729.977,24.6769
1500510730.976,24.6662
1500510731.980,24.6662
1500510732.979,24.6876
1500510733.979,24.6662
1500510734.978,24.6448
1500510735.978,24.6769
1500510736.977,24.6662
1500510737.981,24.6555
1500510738.980,24.6662
1500510739.979,24.6769
1500510740.979,24.6662
1500510741.979,24.6555
1500510742.982,24.6448
1500510743.982,24.6448
1500510744.981,24.6448
1500510745.980,24.6555
1500510746.980,24.6555
1500510747.980,24.6448
1500510748.979,24.6555
1500510749.982,24.6234
1500510750.982,24.6448
1500510751.981,24.6448
1500510752.981,24.6448
1500510753.980,24.6234
1500510754.980,24.6341
1500510755.983,24.6020
1500510756.983,24.6448
1500510757.982,24.6234
1500510758.982,24.6448
1500510759.981,24.6341
1500510760.985,24.6127
1500510761.984,24.6127
1500510762.984,24.6234
1500510763.983,24.5913
1500510764.982,24.6020
1500510765.982,24.6127
1500510766.986,24.6020
1500510767.985,24.6127
1500510768.985,24.6127
1500510769.984,24.6020
1500510770.984,24.6127
1500510771.983,24.6020
1500510772.982,24.5913
1500510773.986,24.6020
1500510774.985,24.5913
1500510775.985,24.5913
1500510776.985,24.6020
1500510777.984,24.5699
1500510778.987,24.5806
1500510779.987,24.5806
1500510780.986,24.5806
1500510781.986,24.5699
1500510782.985,24.5913
1500510783.989,24.5699
1500510784.988,24.5806
1500510785.987,24.5806
1500510786.987,24.5806
1500510787.987,24.5592
1500510788.986,24.5806
1500510789.986,24.5592
1500510790.989,24.5592
1500510791.988,24.5806
1500510792.988,24.5699
1500510793.988,24.5592
1500510794.987,24.5699
1500510795.987,24.5485
1500510796.990,24.5592
1500510797.989,24.5592
1500510798.989,24.5592
1500510799.989,24.5592
1500510800.988,24.5485
1500510801.991,24.5485
1500510802.991,24.5699
1500510803.990,24.5378
1500510804.990,24.5485
1500510805.989,24.5165
1500510806.989,24.5485
1500510807.988,24.5378
1500510808.992,24.5485
1500510809.991,24.5485
1500510810.991,24.5378
1500510811.990,24.5485
1500510812.990,24.5378
1500510813.989,24.5272
1500510814.993,24.5058
1500510815.992,24.5165
1500510816.991,24.5378
1500510817.991,24.5272
1500510818.991,24.5165
1500510819.994,24.5058
1500510820.994,24.5165
1500510821.993,24.5272
1500510822.993,24.5165
1500510823.992,24.5165
1500510824.991,24.5058
1500510825.991,24.5058
1500510826.995,24.4951
1500510827.994,24.5165
1500510828.994,24.5165
1500510829.993,24.5272
1500510830.992,24.4951
1500510831.996,24.5058
1500510832.995,24.5165
1500510833.995,24.4951
1500510834.994,24.5165
1500510835.994,24.5058
1500510836.993,24.5165
1500510837.997,24.4951
1500510838.996,24.4951
1500510839.996,24.5058
1500510840.995,24.4951
1500510841.995,24.4951
1500510842.994,24.4844
1500510843.997,24.4951
1500510844.997,24.4844
1500510845.997,24.4951
1500510846.996,24.4844
1500510847.996,24.4844
1500510848.995,24.4737
1500510849.999,24.4844
1500510850.998,24.4630
1500510851.997,24.4844
1500510852.997,24.4951
1500510853.997,24.4630
1500510855.000,24.4630
1500510855.999,24.4737
1500510856.999,24.4737
1500510857.998,24.4844
1500510858.998,24.4737
1500510859.997,24.4630
1500510860.997,24.4844
1500510862.000,24.4737
1500510863.000,24.4737
1500510863.999,24.4630
1500510864.999,24.4844
1500510865.998,24.4737
1500510866.998,24.4630
1500510868.001,24.4844
1500510869.001,24.4630
1500510870.000,24.4416
1500510870.999,24.4630
1500510871.999,24.4523
1500510873.003,24.4630
1500510874.002,24.4523
1500510875.002,24.4523
1500510876.001,24.4523
1500510877.000,24.4309
1500510878.000,24.4630
1500510879.004,24.4523
1500510880.003,24.4523
1500510881.002,24.4309
1500510882.002,24.4523
1500510883.001,24.4523
1500510884.001,24.4523
1500510885.000,24.4523
1500510886.004,24.4309
1500510887.003,24.4416
1500510888.003,24.4309
1500510889.003,24.4416
1500510890.002,24.4309
1500510891.005,24.4309
1500510892.005,24.4416
1500510893.004,24.4416
1500510894.004,24.4309
1500510895.003,24.4095
1500510896.003,24.4523
1500510897.006,24.4309
1500510898.006,24.4309
1500510899.005,24.4309
1500510900.005,24.4309
1500510901.004,24.4416
1500510902.004,24.4095
1500510903.007,24.4309
1500510904.006,24.4416
1500510905.006,24.4202
1500510906.005,24.4095
1500510907.005,24.4309
1500510908.005,24.4095
1500510909.008,24.4309
1500510910.007,24.4309
1500510911.007,24.4416
1500510912.006,24.4202
1500510913.006,24.4095
1500510914.009,24.4202
1500510915.009,24.3988
1500510916.008,24.4095
1500510917.008,24.4309
1500510918.007,24.4095
1500510919.007,24.4202
1500510920.006,24.4202
1500510921.010,24.4309
1500510922.009,24.4202
1500510923.008,24.4309
1500510924.008,24.4202
1500510925.008,24.4309
1500510926.007,24.4309
1500510927.011,24.4095
1500510928.010,24.3988
1500510929.009,24.4309
1500510930.009,24.3881
1500510931.009,24.4095
1500510932.012,24.3881
1500510933.011,24.3988
1500510934.011,24.4202
1500510935.011,24.3988
