timestamp,microvolts,temp_c,"Savitzky-Golay (151,2)"
1545282453.51,7045696.72,20.167,7045696.87332
1545282458.68,7045696.87,20.16,7045696.88887
1545282463.86,7045697.33,20.168,7045696.91565
1545282469.03,7045697.9,20.168,7045696.94387
1545282474.21,7045700.6,20.165,7045696.92105
1545282479.38,7045699.36,20.17,7045696.90607
1545282484.56,7045699.13,20.165,7045696.86872
1545282489.73,7045697.01,20.165,7045696.84417
1545282494.92,7045695.86,20.165,7045696.81215
1545282500.1,7045697.61,20.174,7045696.78509
1545282505.27,7045698.4,20.176,7045696.75203
1545282510.45,7045696.69,20.171,7045696.72547
1545282515.62,7045695.17,20.17,7045696.72794
1545282520.8,7045695.14,20.153,7045696.71861
1545282525.97,7045696.06,20.16,7045696.72466
1545282531.15,7045694.7,20.154,7045696.72714
1545282536.32,7045695.82,20.151,7045696.74913
1545282541.5,7045697.78,20.156,7045696.76499
1545282546.68,7045697.03,20.142,7045696.77619
1545282551.85,7045697.31,20.144,7045696.79079
1545282557.03,7045696.61,20.14,7045696.80127
1545282562.2,7045695.51,20.136,7045696.83367
1545282567.38,7045697.54,20.137,7045696.84965
1545282572.56,7045697.08,20.134,7045696.84503
1545282577.74,7045697.4,20.139,7045696.86814
1545282582.91,7045697.92,20.131,7045696.87442
1545282588.09,7045695.67,20.133,7045696.88667
1545282593.26,7045696.32,20.124,7045696.89525
1545282598.44,7045696.17,20.122,7045696.90238
1545282603.61,7045697.05,20.122,7045696.92009
1545282608.79,7045697.22,20.125,7045696.91885
1545282613.96,7045698.8,20.125,7045696.92116
1545282619.14,7045695.71,20.122,7045696.92534
1545282624.31,7045697.44,20.118,7045696.90744
1545282629.48,7045696.54,20.116,7045696.87868
1545282634.66,7045693.89,20.113,7045696.86603
1545282639.83,7045695.51,20.11,7045696.82887
1545282645.01,7045693.05,20.113,7045696.80703
1545282650.19,7045693.35,20.122,7045696.79652
1545282655.36,7045693.53,20.108,7045696.82562
1545282660.53,7045696.81,20.111,7045696.87116
1545282665.71,7045696.18,20.11,7045696.91516
1545282670.88,7045696.84,20.101,7045696.95858
1545282676.06,7045695.72,20.111,7045696.97376
1545282681.23,7045696.24,20.096,7045696.98147
1545282686.4,7045697.1,20.102,7045696.98493
1545282691.58,7045697.4,20.102,7045696.97974
1545282696.75,7045697.26,20.099,7045696.95874
1545282701.93,7045696.82,20.099,7045696.96511
1545282707.1,7045695.34,20.101,7045696.9994
1545282712.28,7045698.09,20.11,7045697.00558
1545282717.45,7045697.87,20.099,7045696.9816
1545282722.63,7045696.19,20.098,7045696.94408
1545282727.8,7045695.09,20.096,7045696.91751
1545282732.98,7045698.15,20.102,7045696.9103
1545282738.16,7045698.34,20.099,7045696.89711
1545282743.33,7045699.45,20.096,7045696.87244
1545282748.52,7045699.6,20.104,7045696.85805
1545282753.68,7045699.27,20.098,7045696.84034
1545282758.87,7045696.89,20.095,7045696.85953
1545282764.04,7045697.46,20.099,7045696.87376
1545282769.22,7045695.47,20.084,7045696.88854
1545282774.39,7045696.65,20.091,7045696.90744
1545282779.57,7045697.05,20.09,7045696.89668
1545282784.74,7045698.86,20.098,7045696.89598
1545282789.92,7045696.92,20.096,7045696.89514
1545282795.1,7045697.25,20.091,7045696.90121
1545282800.27,7045697.21,20.09,7045696.89206
1545282805.45,7045698.93,20.093,7045696.91906
1545282810.62,7045700.38,20.087,7045696.92408
1545282815.8,7045698.96,20.093,7045696.94939
1545282820.97,7045698.63,20.085,7045696.95745
1545282826.15,7045698.3,20.095,7045696.97993
1545282831.34,7045697.78,20.081,7045697.0134
1545282836.51,7045697.46,20.081,7045697.06224
1545282841.69,7045695.89,20.084,7045697.0669
1545282846.86,7045695.86,20.084,7045697.0641
1545282852.02,7045694.95,20.085,7045697.05131
1545282857.19,7045694.65,20.081,7045697.05971
1545282862.37,7045696.76,20.082,7045697.06045
1545282867.54,7045696.87,20.079,7045697.09182
1545282872.72,7045697.63,20.084,7045697.11028
1545282877.89,7045696.43,20.082,7045697.12322
1545282883.07,7045697.02,20.084,7045697.11967
1545282888.26,7045697.28,20.084,7045697.11522
1545282893.43,7045698.31,20.075,7045697.15247
1545282898.61,7045698.54,20.088,7045697.1889
1545282903.78,7045696.99,20.079,7045697.21036
1545282908.96,7045698.96,20.075,7045697.24234
1545282914.13,7045698.06,20.09,7045697.27196
1545282919.31,7045698.44,20.073,7045697.30216
1545282924.48,7045696.69,20.084,7045697.28786
1545282929.66,7045696.91,20.068,7045697.29608
1545282934.83,7045696.02,20.079,7045697.3411
1545282940.01,7045696.3,20.07,7045697.35405
1545282945.19,7045695.74,20.07,7045697.36774
1545282950.36,7045695.14,20.073,7045697.3461
1545282955.55,7045695.86,20.072,7045697.33075
1545282960.73,7045698.63,20.07,7045697.34479
1545282965.9,7045695.43,20.065,7045697.36856
1545282971.06,7045697.27,20.072,7045697.40182
1545282976.25,7045696.98,20.065,7045697.43549
1545282981.41,7045697.49,20.065,7045697.44322
1545282986.6,7045697.06,20.067,7045697.43558
1545282991.78,7045696.3,20.067,7045697.42693
1545282996.95,7045698.4,20.075,7045697.40855
1545283002.13,7045696.88,20.067,7045697.40249
1545283007.3,7045696.82,20.072,7045697.41146
1545283012.48,7045697.99,20.067,7045697.38075
1545283017.65,7045699.11,20.065,7045697.37058
1545283022.83,7045697.52,20.07,7045697.376
1545283028.0,7045698.65,20.072,7045697.35006
1545283033.17,7045698.73,20.075,7045697.32944
1545283038.34,7045698.24,20.084,7045697.28556
1545283043.52,7045695.54,20.075,7045697.23114
1545283048.69,7045695.51,20.079,7045697.195
1545283053.87,7045693.67,20.075,7045697.18923
1545283059.04,7045693.9,20.081,7045697.18824
1545283064.22,7045695.62,20.082,7045697.19438
1545283069.39,7045696.95,20.082,7045697.18801
1545283074.57,7045698.13,20.087,7045697.18803
1545283079.74,7045698.11,20.088,7045697.19689
