timestamp,v,temp_c
1545298756.15,7045697.57,20.534
1545298761.32,7045698.24,20.542
1545298766.5,7045697.42,20.524
1545298771.67,7045696.43,20.522
1545298776.85,7045693.78,20.519
1545298782.02,7045694.26,20.522
1545298787.19,7045694.77,20.522
1545298792.37,7045693.63,20.508
1545298797.54,7045693.76,20.517
1545298802.72,7045693.61,20.511
1545298807.89,7045694.8,20.51
1545298813.07,7045696.95,20.508
1545298818.24,7045696.13,20.504
1545298823.42,7045694.39,20.497
1545298828.6,7045694.19,20.501
1545298833.77,7045696.59,20.491
1545298838.95,7045697.34,20.488
1545298844.12,7045697.65,20.487
1545298849.31,7045696.46,20.481
1545298854.47,7045696.44,20.482
1545298859.66,7045695.32,20.473
1545298864.83,7045696.14,20.468
1545298870.01,7045695.09,20.465
1545298875.19,7045695.21,20.462
1545298880.36,7045693.73,20.461
1545298885.54,7045694.6,20.458
1545298890.72,7045694.81,20.452
1545298895.89,7045695.22,20.45
1545298901.07,7045694.07,20.448
1545298906.24,7045695.49,20.447
1545298911.41,7045696.21,20.444
1545298916.58,7045696.03,20.447
1545298921.76,7045698.14,20.433
1545298926.94,7045695.56,20.439
1545298932.11,7045694.53,20.427
1545298937.29,7045696.13,20.43
1545298942.46,7045696.47,20.429
1545298947.64,7045697.39,20.427
1545298952.81,7045698.04,20.427
1545298957.99,7045697.05,20.413
1545298963.18,7045694.32,20.409
1545298968.35,7045696.46,20.407
1545298973.53,7045696.92,20.41
1545298978.7,7045697.96,20.409
1545298983.88,7045696.97,20.401
1545298989.05,7045696.06,20.404
1545298994.21,7045695.4,20.396
1545298999.38,7045694.1,20.393
1545299004.56,7045696.09,20.392
1545299009.73,7045696.15,20.383
1545299014.92,7045694.4,20.38
1545299020.08,7045694.66,20.384
1545299025.27,7045696.71,20.378
1545299030.45,7045696.24,20.376
1545299035.62,7045696.59,20.372
1545299040.8,7045698.49,20.369
1545299045.98,7045695.7,20.364
1545299051.15,7045696.62,20.364
1545299056.33,7045694.96,20.364
1545299061.5,7045693.64,20.367
1545299066.68,7045694.41,20.355
1545299071.85,7045694.27,20.347
1545299077.03,7045694.26,20.334
1545299082.2,7045696.21,20.34
1545299087.38,7045697.96,20.335
1545299092.55,7045696.94,20.334
1545299097.74,7045697.07,20.335
1545299102.92,7045696.72,20.323
1545299108.09,7045695.56,20.317
1545299113.27,7045694.92,20.32
1545299118.45,7045693.79,20.317
1545299123.62,7045695.37,20.318
1545299128.8,7045694.96,20.315
1545299133.97,7045695.67,20.314
