volts,ppm,temp_c,ambient_c
0.99980518,-0.04,24.999,20.943
0.99980518,-0.04,24.993,20.922
0.99980518,-0.04,24.992,20.911
0.99980518,-0.04,25.0,20.9
0.99980518,-0.04,25.008,20.933
0.99980518,-0.04,25.008,20.9
0.99980518,-0.04,25.0,20.911
0.99980518,-0.04,25.004,20.922
0.99980518,-0.04,24.999,20.943
0.99980518,-0.04,24.999,20.922
0.99980518,-0.04,25.0,20.922
0.99980518,-0.04,25.005,20.922
0.99980541,0.19,25.003,20.922
0.99980541,0.19,24.997,20.922
0.99980541,0.19,25.005,20.911
0.99980541,0.19,25.004,20.89
0.99980541,0.19,25.005,20.911
0.99980541,0.19,24.997,20.922
0.99980541,0.19,25.005,20.922
0.99980541,0.19,24.996,20.911
0.99980541,0.19,25.011,20.922
0.99980541,0.19,25.004,20.922
0.99980541,0.19,25.008,20.922
0.99980541,0.19,24.997,20.9
0.99980541,0.19,24.993,20.933
0.99980541,0.19,25.004,20.922
0.99980533,0.11,25.0,20.911
0.99980533,0.11,25.004,20.911
0.99980533,0.11,25.008,20.911
0.99980533,0.11,25.004,20.9
0.99980533,0.11,25.01,20.922
0.99980533,0.11,24.997,20.911
0.99980533,0.11,25.003,20.911
0.99980533,0.11,25.003,20.911
0.99980533,0.11,25.003,20.922
0.99980533,0.11,24.993,20.911
0.99980533,0.11,24.996,20.922
0.99980533,0.11,25.0,20.922
0.99980533,0.11,25.001,20.922
0.99980546,0.24,24.99,20.911
0.99980546,0.24,24.999,20.911
0.99980546,0.24,24.999,20.911
0.99980546,0.24,25.011,20.922
0.99980546,0.24,24.996,20.89
0.99980546,0.24,25.003,20.922
0.99980546,0.24,24.993,20.9
0.99980546,0.24,24.997,20.911
0.99980546,0.24,24.997,20.922
0.99980546,0.24,25.007,20.9
0.99980546,0.24,25.001,20.922
0.99980546,0.24,25.005,20.922
0.99980546,0.24,25.004,20.911
0.99980546,0.24,25.005,20.922
0.99980541,0.19,25.008,20.933
0.99980541,0.19,25.003,20.911
0.99980541,0.19,24.996,20.922
0.99980541,0.19,24.999,20.933
0.99980541,0.19,24.997,20.933
0.99980541,0.19,24.986,20.911
0.99980541,0.19,25.005,20.911
0.99980541,0.19,24.999,20.911
0.99980541,0.19,25.0,20.943
0.99980541,0.19,24.996,20.922
0.99980541,0.19,24.999,20.933
0.99980541,0.19,25.003,20.9
0.99980541,0.19,25.001,20.933
0.99980541,0.19,25.003,20.933
0.99980541,0.19,25.003,20.954
0.99980541,0.19,25.008,20.922
0.99980541,0.19,24.997,20.911
0.99980541,0.19,25.008,20.922
0.99980541,0.19,25.003,20.922
0.99980541,0.19,25.007,20.922
0.99980541,0.19,24.999,20.922
0.99980541,0.19,25.012,20.933
0.99980541,0.19,24.999,20.922
0.99980541,0.19,24.995,20.911
0.99980541,0.19,24.999,20.943
0.99980541,0.19,25.001,20.933
0.99980543,0.21,24.988,20.922
0.99980543,0.21,25.005,20.933
0.99980543,0.21,24.996,20.933
0.99980543,0.21,25.001,20.922
0.99980543,0.21,24.997,20.922
0.99980543,0.21,24.993,20.922
0.99980543,0.21,24.993,20.933
0.99980543,0.21,24.986,20.922
0.99980543,0.21,24.995,20.943
0.99980543,0.21,24.992,20.943
0.99980543,0.21,25.003,20.922
0.99980543,0.21,24.99,20.922
0.99980543,0.21,24.988,20.933
0.99980543,0.21,25.005,20.954
0.99980546,0.24,24.988,20.911
0.99980546,0.24,25.015,20.933
0.99980546,0.24,24.995,20.933
0.99980546,0.24,25.01,20.911
0.99980546,0.24,25.004,20.922
0.99980546,0.24,25.001,20.911
0.99980546,0.24,25.008,20.922
0.99980546,0.24,25.007,20.922
0.99980546,0.24,25.01,20.922
0.99980546,0.24,25.008,20.911
0.99980546,0.24,24.995,20.922
0.99980546,0.24,24.993,20.933
0.99980546,0.24,25.001,20.911
0.99980541,0.19,24.999,20.922
0.99980541,0.19,25.004,20.9
0.99980541,0.19,24.997,20.933
0.99980541,0.19,25.007,20.922
0.99980541,0.19,25.0,20.911
0.99980541,0.19,25.005,20.89
0.99980541,0.19,25.001,20.933
0.99980541,0.19,24.999,20.922
0.99980541,0.19,24.996,20.922
0.99980541,0.19,24.997,20.922
0.99980541,0.19,25.003,20.911
0.99980541,0.19,24.993,20.922
0.99980541,0.19,24.993,20.922
0.99980541,0.19,25.0,20.933
0.99980526,0.04,24.992,20.922
0.99980526,0.04,25.003,20.922
0.99980526,0.04,24.995,20.922
0.99980526,0.04,24.992,20.911
0.99980526,0.04,25.0,20.911
0.99980526,0.04,25.005,20.911
0.99980526,0.04,24.993,20.911
0.99980526,0.04,24.999,20.911
0.99980526,0.04,24.997,20.9
0.99980526,0.04,25.004,20.922
0.99980526,0.04,24.996,20.922
0.99980526,0.04,24.999,20.911
0.99980526,0.04,25.005,20.911
0.99980533,0.11,24.997,20.911
0.99980533,0.11,25.001,20.922
0.99980533,0.11,25.001,20.911
0.99980533,0.11,25.008,20.922
0.99980533,0.11,25.0,20.922
0.99980533,0.11,24.997,20.933
0.99980533,0.11,25.003,20.9
0.99980533,0.11,25.0,20.922
0.99980533,0.11,25.01,20.911
0.99980533,0.11,25.011,20.911
0.99980533,0.11,25.001,20.9
0.99980533,0.11,25.005,20.911
0.99980533,0.11,25.003,20.89
0.99980528,0.06,25.01,20.922
0.99980528,0.06,25.0,20.922
0.99980528,0.06,24.999,20.911
0.99980528,0.06,25.001,20.89
0.99980528,0.06,25.003,20.922
0.99980528,0.06,24.996,20.89
0.99980528,0.06,25.001,20.911
0.99980528,0.06,24.989,20.911
0.99980528,0.06,24.995,20.922
0.99980528,0.06,25.004,20.9
0.99980528,0.06,25.001,20.9
0.99980528,0.06,24.992,20.9
0.99980528,0.06,24.996,20.9
0.99980528,0.06,25.003,20.9
0.99980536,0.14,24.997,20.911
0.99980536,0.14,24.993,20.9
0.99980536,0.14,25.005,20.922
0.99980536,0.14,24.99,20.922
0.99980536,0.14,25.0,20.9
0.99980536,0.14,25.001,20.89
0.99980536,0.14,25.004,20.922
0.99980536,0.14,25.003,20.922
0.99980536,0.14,25.001,20.922
0.99980536,0.14,25.0,20.89
0.99980536,0.14,25.001,20.911
0.99980536,0.14,24.988,20.9
0.99980536,0.14,25.007,20.911
0.99980536,0.14,25.008,20.9
0.99980536,0.14,25.007,20.89
0.99980536,0.14,25.005,20.9
0.99980536,0.14,25.005,20.89
0.99980536,0.14,25.001,20.9
0.99980536,0.14,25.001,20.911
0.99980536,0.14,25.001,20.9
0.99980536,0.14,24.996,20.9
0.99980536,0.14,25.0,20.911
0.99980536,0.14,25.0,20.911
0.99980536,0.14,25.0,20.911
0.99980536,0.14,25.003,20.9
0.99980536,0.14,25.0,20.9
0.99980536,0.14,25.008,20.922
0.9998051,-0.12,24.997,20.89
0.9998051,-0.12,25.001,20.922
0.9998051,-0.12,24.995,20.879
0.9998051,-0.12,24.997,20.911
0.9998051,-0.12,24.99,20.89
0.9998051,-0.12,24.995,20.911
0.9998051,-0.12,24.993,20.9
0.9998051,-0.12,25.001,20.911
0.9998051,-0.12,24.995,20.911
0.9998051,-0.12,25.007,20.922
0.9998051,-0.12,25.004,20.89
0.9998051,-0.12,25.004,20.9
0.9998051,-0.12,25.01,20.922
0.99980541,0.19,25.004,20.911
0.99980541,0.19,25.012,20.911
0.99980541,0.19,25.012,20.911
0.99980541,0.19,25.005,20.911
0.99980541,0.19,24.999,20.911
0.99980541,0.19,24.995,20.911
0.99980541,0.19,24.995,20.922
0.99980541,0.19,24.99,20.922
0.99980541,0.19,25.0,20.922
0.99980541,0.19,24.995,20.911
0.99980541,0.19,24.999,20.922
0.99980541,0.19,25.01,20.911
0.99980541,0.19,25.005,20.922
0.99980541,0.19,24.997,20.933
0.99980528,0.06,25.004,20.922
0.99980528,0.06,24.995,20.911
0.99980528,0.06,25.003,20.933
0.99980528,0.06,25.004,20.922
0.99980528,0.06,25.0,20.922
0.99980528,0.06,24.997,20.922
0.99980528,0.06,24.999,20.943
0.99980528,0.06,25.001,20.922
0.99980528,0.06,25.005,20.922
0.99980528,0.06,25.005,20.922
0.99980528,0.06,24.999,20.922
0.99980528,0.06,24.999,20.911
0.99980528,0.06,24.993,20.933
0.99980513,-0.09,24.997,20.922
0.99980513,-0.09,25.001,20.911
0.99980513,-0.09,24.999,20.9
0.99980513,-0.09,25.004,20.922
0.99980513,-0.09,24.999,20.922
0.99980513,-0.09,25.003,20.911
0.99980513,-0.09,25.0,20.911
0.99980513,-0.09,25.005,20.922
0.99980513,-0.09,25.001,20.922
0.99980513,-0.09,24.997,20.911
0.99980513,-0.09,25.001,20.922
0.99980513,-0.09,25.005,20.922
0.99980513,-0.09,25.001,20.922
0.99980523,0.01,24.995,20.933
0.99980523,0.01,24.996,20.922
0.99980523,0.01,24.995,20.922
0.99980523,0.01,25.001,20.922
0.99980523,0.01,24.996,20.922
0.99980523,0.01,24.993,20.911
0.99980523,0.01,24.993,20.911
0.99980523,0.01,24.997,20.911
0.99980523,0.01,25.001,20.922
0.99980523,0.01,24.996,20.911
0.99980523,0.01,25.008,20.933
0.99980523,0.01,25.0,20.933
0.99980523,0.01,25.005,20.922
0.99980523,0.01,24.993,20.911
0.99980513,-0.09,25.004,20.922
0.99980513,-0.09,25.0,20.933
0.99980513,-0.09,25.003,20.911
0.99980513,-0.09,24.999,20.9
0.99980513,-0.09,25.004,20.922
0.99980513,-0.09,24.989,20.911
0.99980513,-0.09,25.004,20.922
0.99980513,-0.09,24.999,20.922
0.99980513,-0.09,24.999,20.911
0.99980513,-0.09,25.0,20.911
0.99980513,-0.09,24.997,20.922
0.99980513,-0.09,24.996,20.911
0.99980513,-0.09,24.997,20.922
0.99980526,0.04,24.999,20.911
0.99980526,0.04,25.008,20.922
0.99980526,0.04,24.996,20.922
0.99980526,0.04,24.992,20.911
0.99980526,0.04,24.999,20.911
0.99980526,0.04,24.996,20.911
0.99980526,0.04,24.997,20.922
0.99980526,0.04,25.0,20.922
0.99980526,0.04,24.996,20.922
0.99980526,0.04,25.0,20.9
0.99980526,0.04,25.007,20.911
0.99980526,0.04,25.003,20.922
0.99980526,0.04,24.993,20.922
0.99980526,0.04,25.0,20.943
0.99980528,0.06,24.999,20.933
0.99980528,0.06,24.996,20.922
0.99980528,0.06,25.001,20.933
0.99980528,0.06,25.003,20.911
0.99980528,0.06,24.995,20.911
0.99980528,0.06,25.001,20.922
0.99980528,0.06,25.001,20.933
0.99980528,0.06,25.001,20.933
0.99980528,0.06,25.0,20.922
0.99980528,0.06,25.003,20.922
0.99980528,0.06,25.003,20.9
0.99980528,0.06,25.005,20.922
0.99980528,0.06,24.996,20.922
0.99980531,0.09,25.01,20.933
0.99980531,0.09,25.004,20.933
0.99980531,0.09,25.005,20.922
0.99980531,0.09,24.995,20.922
0.99980531,0.09,25.001,20.922
0.99980531,0.09,24.99,20.922
0.99980531,0.09,24.999,20.9
0.99980531,0.09,24.989,20.922
0.99980531,0.09,25.0,20.922
0.99980531,0.09,24.996,20.9
0.99980531,0.09,24.997,20.911
0.99980531,0.09,24.995,20.922
0.99980531,0.09,25.005,20.922
0.99980546,0.24,24.997,20.922
0.99980546,0.24,24.999,20.922
0.99980546,0.24,25.001,20.922
0.99980546,0.24,25.001,20.943
0.99980546,0.24,24.997,20.922
0.99980546,0.24,25.0,20.933
0.99980546,0.24,25.001,20.933
0.99980546,0.24,25.003,20.933
0.99980546,0.24,24.996,20.943
0.99980546,0.24,25.005,20.9
0.99980546,0.24,24.995,20.922
0.99980546,0.24,25.003,20.922
0.99980546,0.24,24.995,20.922
0.99980546,0.24,24.995,20.911
0.99980513,-0.09,25.005,20.922
0.99980513,-0.09,24.992,20.911
0.99980513,-0.09,24.997,20.922
0.99980513,-0.09,24.996,20.911
0.99980513,-0.09,24.995,20.943
0.99980513,-0.09,24.999,20.911
0.99980513,-0.09,24.992,20.933
0.99980513,-0.09,24.993,20.922
0.99980513,-0.09,24.996,20.933
0.99980513,-0.09,24.996,20.911
