timestamp,resistance,ppm,temp_c,ambient_c,savgol_151_2
1518019961.56,119.97817,0.82,24.999,19.517,0.017484315207
1518019962.56,119.97817,0.82,24.999,19.517,0.0084436955368
1518019963.56,119.97817,0.82,25.003,19.506,-0.00404760473015
1518019964.56,119.978,-0.6,25.002,19.495,-0.0164419943719
1518019965.56,119.978,-0.6,25.004,19.506,-0.0287445280793
1518019966.56,119.978,-0.6,25.0,19.495,-0.0385579751257
1518019967.56,119.978,-0.6,25.002,19.485,-0.0484519922019
1518019968.57,119.978,-0.6,24.997,19.485,-0.0584294552525
1518019969.57,119.978,-0.6,24.997,19.495,-0.0684932402225
1518019970.56,119.978,-0.6,24.994,19.485,-0.0508470093224
1518019971.56,119.97808,0.07,25.0,19.495,-0.033919590326
1518019972.56,119.97808,0.07,25.0,19.485,-0.0176891957725
1518019973.56,119.97808,0.07,25.006,19.495,-0.0384984169231
1518019974.56,119.97807,-0.02,25.003,19.495,-0.0597759377541
1518019975.56,119.97807,-0.02,25.005,19.463,-0.0815319547972
1518019976.57,119.97807,-0.02,24.999,19.495,-0.0757168641047
1518019977.57,119.97807,-0.02,24.999,19.485,-0.0707049027887
1518019978.57,119.97797,-0.85,24.997,19.474,-0.0664815168256
1518019979.56,119.97797,-0.85,25.0,19.474,-0.0630321521915
1518019980.56,119.97797,-0.85,25.0,19.485,-0.0735529683673
1518019981.57,119.97794,-1.1,25.004,19.474,-0.0830282043037
1518019982.57,119.97794,-1.1,25.003,19.485,-0.0914556812547
1518019983.57,119.97794,-1.1,25.005,19.463,-0.0916263642219
1518019984.57,119.97798,-0.77,25.002,19.495,-0.0912318804583
1518019985.57,119.97798,-0.77,25.003,19.474,-0.0902635149798
1518019986.57,119.97798,-0.77,24.999,19.474,-0.0799682338823
1518019987.57,119.97798,-0.77,25.0,19.485,-0.0627935010619
1518019988.57,119.97807,-0.02,24.998,19.474,-0.0451549567781
1518019989.57,119.97807,-0.02,25.001,19.463,-0.0270301163712
1518019990.57,119.97807,-0.02,24.999,19.442,-0.0433010007417
1518019991.57,119.9781,0.23,25.003,19.474,-0.0595118824453
1518019992.57,119.9781,0.23,25.001,19.463,-0.0756706921179
1518019993.57,119.9781,0.23,25.004,19.453,-0.0851735545545
1518019994.57,119.97812,0.4,25.0,19.453,-0.0945291773317
1518019995.57,119.97812,0.4,25.002,19.463,-0.103739739195
1518019996.57,119.97812,0.4,24.998,19.453,-0.103198277222
1518019997.57,119.97812,0.4,24.999,19.453,-0.0980318166647
1518019998.57,119.97824,1.4,24.997,19.485,-0.0930340346282
1518019999.57,119.97824,1.4,25.001,19.474,-0.0881940373821
1518020000.57,119.97824,1.4,25.0,19.453,-0.0915291572872
1518020001.57,119.978,-0.6,25.004,19.453,-0.0945666604791
1518020002.57,119.978,-0.6,25.001,19.463,-0.0973028866643
1518020003.57,119.978,-0.6,25.001,19.453,-0.101203234305
1518020004.57,119.978,-0.6,24.996,19.474,-0.10435561842
1518020005.57,119.978,-0.6,24.996,19.453,-0.106757860262
1518020006.57,119.978,-0.6,24.994,19.453,-0.0899582290804
1518020007.57,119.978,-0.6,24.998,19.463,-0.0753961003932
1518020008.57,119.97807,-0.02,24.998,19.463,-0.0614204901482
1518020009.57,119.97807,-0.02,25.003,19.453,-0.0480139683768
1518020010.57,119.97807,-0.02,25.003,19.442,-0.0412682393727
1518020011.57,119.97812,0.4,25.006,19.474,-0.0339637491514
1518020012.57,119.97812,0.4,25.0,19.453,-0.0260889067837
1518020013.57,119.97812,0.4,24.999,19.453,-0.0354877297379
1518020014.57,119.978,-0.6,24.992,19.474,-0.0452360235618
1518020015.57,119.978,-0.6,24.993,19.463,-0.0553374485489
1518020016.57,119.978,-0.6,24.993,19.474,-0.0657956649925
1518020017.57,119.978,-0.6,24.999,19.463,-0.077054073863
1518020018.57,119.978,-0.6,25.001,19.474,-0.0879666721571
1518020019.57,119.978,-0.6,25.006,19.474,-0.0985378173671
1518020020.57,119.978,-0.6,25.004,19.463,-0.101072631551
1518020021.57,119.97824,1.4,25.002,19.474,-0.10436630299
1518020022.57,119.97824,1.4,24.994,19.474,-0.108415955742
1518020023.57,119.97824,1.4,24.994,19.463,-0.111748548302
1518020024.58,119.97798,-0.77,24.992,19.463,-0.114679118636
1518020025.58,119.97798,-0.77,24.998,19.485,-0.117204006453
1518020026.57,119.97798,-0.77,24.999,19.485,-0.119319551457
1518020027.57,119.97798,-0.77,25.004,19.474,-0.109009559466
1518020028.57,119.97811,0.32,25.003,19.474,-0.0975028694086
1518020029.57,119.97811,0.32,25.005,19.474,-0.0847856244592
1518020030.57,119.97811,0.32,25.0,19.474,-0.0840068621787
1518020031.58,119.97821,1.15,24.999,19.474,-0.0834811830417
