si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.962,23.957,406,317.647,23.9846,-1.0040,255.00,2.0226
21.941,23.957,406,317.526,23.9832,-1.0054,255.00,2.0427
21.962,23.957,406,320.526,24.0173,-0.9713,255.00,2.0553
21.919,23.989,406,324.175,24.0588,-0.9298,255.00,2.1397
21.930,24.043,406,328.109,24.1035,-0.8851,255.00,2.1737
21.930,24.086,406,331.881,24.1464,-0.8423,255.00,2.2165
21.941,24.139,406,335.387,24.1862,-0.8024,255.00,2.2456
21.919,24.193,406,339.007,24.2274,-0.7613,255.00,2.3082
21.919,24.247,406,342.957,24.2722,-0.7164,255.00,2.3531
21.919,24.290,406,346.697,24.3147,-0.6739,255.00,2.3956
21.908,24.322,406,350.367,24.3564,-0.6322,255.00,2.4480
21.908,24.386,406,354.109,24.3990,-0.5897,255.00,2.4906
21.930,24.418,406,357.580,24.4384,-0.5502,255.00,2.5086
21.919,24.461,406,361.193,24.4795,-0.5092,255.00,2.5603
21.919,24.504,406,364.930,24.5219,-0.4667,255.00,2.6028
21.898,24.558,406,368.432,24.5617,-0.4269,255.00,2.6640
21.919,24.601,406,371.934,24.6015,-0.3871,255.00,2.6824
21.908,24.654,406,375.931,24.6469,-0.3417,255.00,2.7385
21.919,24.676,406,379.240,24.6845,-0.3041,255.00,2.7654
21.919,24.708,406,382.472,24.7213,-0.2674,255.00,2.8021
21.908,24.751,406,385.617,24.7570,-0.2316,255.00,2.8486
21.941,24.794,406,388.768,24.7928,-0.1958,255.00,2.8522
21.919,24.837,406,392.088,24.8305,-0.1581,255.00,2.9114
21.930,24.869,406,395.428,24.8685,-0.1201,255.00,2.9386
21.941,24.901,406,398.833,24.9072,-0.0814,255.00,2.9666
21.919,24.933,406,402.039,24.9436,-0.0450,255.00,3.0245
21.941,24.965,406,404.969,24.9769,-0.0117,255.00,3.0363
21.930,25.008,406,408.037,25.0118,0.0232,232.59,3.0819
21.951,25.051,406,410.852,25.0438,0.0551,199.59,3.0925
21.962,25.062,406,412.855,25.0665,0.0779,172.71,3.1045
21.962,25.083,406,414.165,25.0814,0.0928,151.44,3.1194
