timestamp,resistance,oven_c,ambient_c
1530998854.86,11860.4981,21.153126,21.807
1530998855.42,11860.8741,21.152421,21.807
1530998855.98,11860.8675,21.152433,21.807
1530998856.54,11860.9648,21.152251,21.807
1530998857.12,11860.9987,21.152187,21.805
1530998857.68,11860.9294,21.152317,21.805
1530998858.23,11860.9154,21.152343,21.805
1530998858.79,11860.8941,21.152383,21.805
1530998859.35,11860.8594,21.152448,21.805
1530998859.91,11860.8225,21.152518,21.805
1530998860.47,11860.7783,21.152601,21.807
1530998861.03,11860.7888,21.152581,21.807
1530998861.59,11860.7261,21.152699,21.807
1530998862.15,11860.7128,21.152724,21.807
1530998862.71,11860.5801,21.152973,21.807
1530998863.27,11860.5388,21.153050,21.812
1530998863.83,11860.5189,21.153087,21.812
1530998864.39,11860.4549,21.153207,21.812
1530998864.95,11860.4888,21.153144,21.812
1530998865.51,11860.3929,21.153324,21.812
1530998866.07,11860.2846,21.153527,21.812
1530998866.63,11860.2071,21.153672,21.81
1530998867.19,11860.2037,21.153679,21.81
1530998867.75,11860.1071,21.153860,21.81
1530998868.31,11860.0526,21.153962,21.81
1530998868.87,11859.9987,21.154063,21.81
1530998869.43,11859.9316,21.154189,21.814
1530998869.99,11859.8218,21.154395,21.814
1530998870.55,11859.7993,21.154438,21.814
1530998871.11,11859.7093,21.154607,21.814
1530998871.67,11859.6371,21.154742,21.814
1530998872.23,11859.5847,21.154840,21.814
1530998872.79,11859.4565,21.155081,21.811
1530998873.35,11859.4698,21.155056,21.811
1530998873.9,11859.3437,21.155293,21.811
1530998874.46,11859.242,21.155483,21.811
1530998875.02,11859.1749,21.155609,21.811
1530998875.58,11859.0039,21.155930,21.814
1530998876.14,11858.9685,21.155997,21.814
1530998876.7,11858.9788,21.155977,21.814
1530998877.26,11858.8984,21.156128,21.814
1530998877.82,11858.7642,21.156380,21.814
1530998878.38,11858.9633,21.156006,21.814
1530998878.94,11857.2955,21.159137,21.813
1530998879.5,11846.8557,21.178741,21.813
1530998880.06,11821.6156,21.226222,21.813
1530998880.62,11780.4147,21.303978,21.813
1530998881.18,11724.8818,21.409279,21.813
1530998881.74,11657.3555,21.538098,21.815
1530998882.3,11581.7029,21.683444,21.815
1530998882.86,11499.869,21.841902,21.815
1530998883.42,11414.3913,22.008808,21.815
1530998883.98,11326.9871,22.180971,21.815
1530998884.54,11239.3087,22.355218,21.815
1530998885.1,11152.2643,22.529761,21.82
1530998885.66,11067.1084,22.702042,21.82
1530998886.22,10983.9679,22.871726,21.82
1530998886.78,10903.1831,23.038026,21.82
1530998887.34,10825.3355,23.199627,21.82
1530998887.9,10750.1916,23.356892,21.824
1530998888.46,10678.1502,23.508857,21.824
1530998889.02,10609.0769,23.655675,21.824
1530998889.57,10542.7759,23.797640,21.824
1530998890.13,10479.2214,23.934694,21.824
1530998890.69,10418.2436,24.067095,21.824
1530998891.25,10359.7748,24.194890,21.825
1530998891.81,10303.9263,24.317736,21.825
1530998892.37,10250.2285,24.436577,21.825
1530998892.93,10198.7838,24.551108,21.825
1530998893.49,10149.2738,24.661961,21.825
1530998894.05,10101.6018,24.769291,21.825
1530998894.61,10055.8747,24.872791,21.825
1530998895.17,10011.805,24.973056,21.825
1530998896.26,9922.04706,25.178850,21.825
1530998896.82,9885.25987,25.263815,21.825
1530998897.38,9847.34712,25.351763,21.832
1530998897.94,9811.26088,25.435837,21.832
1530998898.5,9776.94414,25.516120,21.832
1530998899.06,9744.85331,25.591490,21.832
1530998899.62,9715.66699,25.660288,21.832
1530998900.18,9690.22015,25.720466,21.833
1530998900.74,9669.84801,25.768774,21.833
1530998901.3,9655.31324,25.803312,21.833
1530998901.86,9647.33395,25.822299,21.833
1530998902.41,9646.14093,25.825139,21.833
1530998903.01,9652.082,25.810999,21.834
1530998903.57,9663.78063,25.783185,21.834
1530998904.13,9680.48437,25.743538,21.834
1530998904.69,9700.93532,25.695104,21.834
1530998905.25,9723.68975,25.641353,21.834
1530998905.8,9747.25576,25.585838,21.834
1530998906.36,9770.12792,25.532105,21.829
1530998906.92,9790.74932,25.483784,21.829
1530998907.48,9808.087,25.443249,21.829
1530998908.04,9821.06714,25.412955,21.829
1530998908.6,9829.11353,25.394199,21.829
1530998909.16,9831.9503,25.387591,21.835
1530998909.72,9829.74649,25.392725,21.835
1530998910.28,9822.93993,25.408588,21.835
1530998910.84,9812.23909,25.433553,21.835
1530998911.4,9798.6021,25.465414,21.835
1530998911.96,9783.09474,25.501707,21.835
1530998912.52,9766.86632,25.539759,21.834
1530998913.08,9751.1552,25.576667,21.834
1530998913.64,9736.88906,25.610240,21.834
1530998914.2,9725.04105,25.638166,21.834
1530998914.76,9716.25178,25.658907,21.834
1530998915.32,9711.00921,25.671289,21.83
1530998915.88,9709.53642,25.674769,21.83
1530998916.44,9711.73277,25.669580,21.83
1530998917.0,9717.3135,25.656401,21.83
1530998917.56,9725.75038,25.636493,21.83
1530998918.12,9736.40861,25.611372,21.83
1530998918.68,9748.51,25.582888,21.826
1530998919.24,9761.12412,25.553240,21.826
1530998919.8,9773.48504,25.524231,21.826
1530998920.36,9784.83559,25.497630,21.826
1530998920.92,9794.4604,25.475101,21.826
1530998921.48,9801.87773,25.457756,21.83
1530998922.03,9806.62932,25.446654,21.83
1530998922.59,9808.64626,25.441942,21.83
1530998923.15,9807.91938,25.443640,21.83
1530998923.71,9804.66498,25.451243,21.83
1530998924.27,9799.22794,25.463951,21.83
1530998924.83,9792.06628,25.480702,21.827
1530998925.39,9783.84267,25.499955,21.827
1530998925.95,9775.12944,25.520375,21.827
1530998926.51,9766.57062,25.540453,21.827
1530998927.07,9758.74017,25.558840,21.827
1530998927.63,9752.16488,25.574293,21.83
1530998928.19,9747.26814,25.585809,21.83
1530998928.75,9744.23434,25.592947,21.83
1530998929.31,9743.24375,25.595278,21.83
1530998929.87,9744.23375,25.592948,21.83
1530998930.43,9747.0529,25.586315,21.83
1530998930.99,9751.44908,25.575976,21.821
1530998931.55,9757.05391,25.562802,21.821
1530998932.11,9763.45938,25.547756,21.821
1530998932.67,9770.23099,25.531863,21.821
1530998933.23,9776.9016,25.516220,21.821
1530998933.79,9783.05579,25.501798,21.825
1530998934.35,9788.31229,25.489489,21.825
1530998934.91,9792.40798,25.479903,21.825
1530998935.47,9795.13697,25.473518,21.825
1530998936.03,9796.41455,25.470530,21.825
1530998936.59,9796.23416,25.470952,21.825
1530998937.14,9794.71064,25.474515,21.828
1530998937.7,9792.03164,25.480783,21.828
1530998938.26,9788.43602,25.489199,21.828
1530998938.82,9784.23277,25.499041,21.828
1530998939.38,9779.75122,25.509541,21.828
1530998939.94,9775.3153,25.519939,21.829
1530998940.5,9771.24209,25.529491,21.829
1530998941.06,9767.79017,25.537591,21.829
1530998941.62,9765.16476,25.543753,21.829
1530998942.18,9763.52175,25.547610,21.829
1530998942.79,9762.91783,25.549028,21.829
1530998943.35,9763.45038,25.547778,21.829
1530998943.91,9764.93976,25.544281,21.829
1530998944.47,9767.26036,25.538834,21.829
1530998945.03,9770.22216,25.531884,21.829
1530998945.59,9773.61478,25.523926,21.829
1530998946.15,9777.18706,25.515551,21.825
1530998946.71,9780.72617,25.507256,21.825
1530998947.27,9784.01907,25.499542,21.825
1530998947.83,9786.86962,25.492866,21.825
1530998948.39,9789.12127,25.487595,21.825
1530998948.95,9790.7014,25.483896,21.833
1530998949.51,9791.56666,25.481871,21.833
1530998950.06,9791.59511,25.481805,21.833
1530998950.62,9790.99773,25.483203,21.833
1530998951.18,9789.7969,25.486013,21.833
1530998951.74,9787.81389,25.490656,21.833
1530998952.3,9785.96217,25.494991,21.827
1530998952.86,9783.89247,25.499838,21.827
1530998953.42,9781.69796,25.504979,21.827
1530998953.98,9779.62818,25.509829,21.827
1530998954.54,9777.83146,25.514040,21.827
1530998955.1,9776.43195,25.517321,21.829
1530998955.66,9775.49385,25.519520,21.829
1530998956.22,9775.07615,25.520500,21.829
1530998956.78,9775.18018,25.520256,21.829
1530998957.34,9775.7883,25.518830,21.829
1530998957.9,9776.82437,25.516401,21.829
1530998958.46,9778.21378,25.513144,21.833
1530998959.02,9779.8548,25.509298,21.833
1530998959.58,9781.64307,25.505108,21.833
1530998960.14,9783.4633,25.500844,21.833
1530998960.7,9785.20879,25.496756,21.833
1530998961.26,9786.79887,25.493032,21.834
1530998961.82,9788.20944,25.489729,21.834
1530998962.38,9789.20076,25.487409,21.834
1530998962.94,9789.79669,25.486014,21.834
1530998963.5,9790.09997,25.485304,21.834
1530998964.06,9790.05596,25.485407,21.834
1530998964.62,9789.69112,25.486261,21.827
1530998965.18,9789.11934,25.487599,21.827
1530998965.74,9788.304,25.489508,21.827
1530998966.29,9787.36016,25.491718,21.827
1530998966.85,9786.38601,25.493999,21.827
1530998967.41,9785.44401,25.496205,21.822
1530998967.97,9784.59055,25.498203,21.822
1530998968.53,9783.88865,25.499847,21.822
1530998969.09,9783.38806,25.501020,21.822
1530998969.65,9783.11868,25.501651,21.822
1530998970.21,9783.09244,25.501712,21.822
1530998970.77,9783.29871,25.501229,21.825
1530998971.33,9783.72599,25.500228,21.825
1530998971.89,9784.35456,25.498756,21.825
1530998972.45,9785.13726,25.496923,21.825
1530998973.01,9786.01696,25.494863,21.825
1530998973.57,9786.95734,25.492661,21.818
1530998974.13,9787.90377,25.490445,21.818
1530998974.69,9788.77109,25.488415,21.818
1530998975.25,9789.54801,25.486596,21.818
1530998975.81,9790.19343,25.485085,21.818
1530998976.37,9790.68271,25.483940,21.818
1530998976.93,9790.99809,25.483202,21.821
1530998977.49,9791.13352,25.482885,21.821
1530998978.05,9791.11118,25.482937,21.821
1530998978.61,9790.9431,25.483331,21.821
1530998979.17,9790.66834,25.483974,21.821
1530998979.73,9790.30696,25.484820,21.83
1530998980.29,9789.87629,25.485828,21.83
1530998980.85,9789.45217,25.486820,21.83
1530998981.41,9789.01782,25.487837,21.83
1530998981.96,9788.65076,25.488696,21.83
1530998982.56,9788.34416,25.489414,21.835
1530998983.12,9788.18603,25.489784,21.835
1530998983.68,9788.12034,25.489938,21.835
1530998984.24,9788.19129,25.489772,21.835
1530998984.79,9788.37419,25.489344,21.835
1530998985.35,9788.7038,25.488572,21.835
1530998985.91,9789.11708,25.487605,21.834
1530998986.47,9789.59147,25.486494,21.834
1530998987.03,9790.12012,25.485257,21.834
1530998987.59,9790.65908,25.483995,21.834
1530998988.15,9791.17984,25.482777,21.834
1530998988.71,9791.66971,25.481630,21.84
1530998989.27,9792.09338,25.480639,21.84
1530998989.83,9792.44194,25.479823,21.84
1530998990.39,9792.7076,25.479202,21.84
1530998990.95,9792.89073,25.478773,21.84
1530998991.51,9793.01082,25.478492,21.84
1530998992.07,9793.05321,25.478393,21.843
1530998992.63,9793.0451,25.478412,21.843
1530998993.19,9792.99423,25.478531,21.843
1530998993.75,9792.9132,25.478721,21.843
1530998994.31,9792.80225,25.478980,21.843
1530998994.87,9792.70288,25.479213,21.846
1530998995.43,9792.61095,25.479428,21.846
1530998995.99,9792.55573,25.479557,21.846
1530998996.55,9792.53865,25.479597,21.846
1530998997.11,9792.56556,25.479534,21.846
1530998997.67,9792.63729,25.479366,21.846
1530998998.23,9792.76409,25.479069,21.839
1530998998.79,9792.92753,25.478687,21.839
1530998999.35,9793.12827,25.478217,21.839
1530998999.91,9793.36997,25.477652,21.839
1530999000.46,9793.62703,25.477050,21.839
1530999001.02,9793.89744,25.476418,21.838
1530999001.58,9794.17028,25.475779,21.838
1530999002.14,9794.44268,25.475142,21.838
1530999002.7,9794.6927,25.474557,21.838
1530999003.26,9794.91983,25.474026,21.838
1530999003.82,9795.11475,25.473570,21.838
1530999004.38,9795.26698,25.473214,21.837
1530999004.94,9795.38029,25.472949,21.837
1530999005.5,9795.46094,25.472760,21.837
1530999006.06,9795.51729,25.472628,21.837
1530999006.62,9795.55135,25.472549,21.837
1530999007.18,9795.57354,25.472497,21.84
1530999007.74,9795.59123,25.472456,21.84
1530999008.3,9795.59875,25.472438,21.84
1530999008.86,9795.60999,25.472412,21.84
1530999009.42,9795.62864,25.472368,21.84
1530999009.98,9795.65215,25.472313,21.84
1530999010.54,9795.71084,25.472176,21.838
1530999011.1,9795.77792,25.472019,21.838
1530999011.66,9795.86587,25.471813,21.838
1530999012.22,9795.97869,25.471549,21.838
1530999012.78,9796.10122,25.471263,21.838
1530999013.34,9796.24165,25.470934,21.834
1530999013.9,9796.38836,25.470591,21.834
1530999014.46,9796.56263,25.470183,21.834
1530999015.02,9796.74208,25.469764,21.834
1530999015.58,9796.90987,25.469371,21.834
1530999016.13,9797.05923,25.469022,21.834
1530999016.69,9797.21205,25.468665,21.835
1530999017.25,9797.36303,25.468312,21.835
1530999017.81,9797.49823,25.467995,21.835
1530999018.37,9797.61953,25.467712,21.835
1530999018.93,9797.7231,25.467470,21.835
1530999019.49,9797.79852,25.467293,21.83
1530999020.05,9797.8617,25.467145,21.83
1530999020.61,9797.91153,25.467029,21.83
1530999021.17,9797.95713,25.466922,21.83
1530999021.73,9798.0105,25.466798,21.83
1530999022.32,9798.04471,25.466718,21.829
1530999022.88,9798.08076,25.466633,21.829
1530999023.44,9798.12484,25.466530,21.829
1530999024.0,9798.12595,25.466528,21.829
1530999024.56,9798.15473,25.466460,21.829
1530999025.12,9798.21223,25.466326,21.829
1530999025.68,9798.2732,25.466183,21.834
1530999026.24,9798.32974,25.466051,21.834
1530999026.8,9798.39911,25.465889,21.834
1530999027.36,9798.47523,25.465711,21.834
1530999027.92,9798.57387,25.465480,21.834
1530999028.48,9798.67251,25.465250,21.833
1530999029.04,9798.77933,25.465000,21.833
1530999029.6,9798.89552,25.464728,21.833
1530999030.16,9799.00374,25.464475,21.833
1530999030.72,9799.12532,25.464191,21.833
1530999031.28,9799.24534,25.463910,21.833
1530999031.84,9799.34663,25.463673,21.83
1530999032.4,9799.45176,25.463428,21.83
1530999032.96,9799.53565,25.463231,21.83
1530999033.52,9799.60733,25.463064,21.83
1530999034.08,9799.68149,25.462890,21.83
1530999034.64,9799.75684,25.462714,21.827
1530999035.19,9799.79112,25.462634,21.827
1530999035.75,9799.84198,25.462515,21.827
1530999036.31,9799.89639,25.462388,21.827
1530999036.87,9799.93435,25.462299,21.827
1530999037.43,9799.98521,25.462180,21.827
1530999037.99,9800.029,25.462078,21.834
1530999038.55,9800.07582,25.461969,21.834
1530999039.11,9800.11673,25.461873,21.834
1530999039.67,9800.14661,25.461803,21.834
1530999040.23,9800.2092,25.461657,21.834
1530999040.79,9800.27135,25.461511,21.831
1530999041.35,9800.32973,25.461375,21.831
1530999041.91,9800.38598,25.461243,21.831
1530999042.47,9800.50489,25.460965,21.831
1530999043.03,9800.53025,25.460906,21.831
1530999043.59,9800.59291,25.460760,21.831
1530999044.15,9800.67843,25.460560,21.837
1530999044.71,9800.7321,25.460434,21.837
1530999045.27,9800.7837,25.460314,21.837
1530999045.83,9800.83984,25.460182,21.837
1530999046.39,9800.9042,25.460032,21.837
1530999046.95,9800.95979,25.459902,21.832
1530999047.51,9801.02385,25.459752,21.832
1530999048.07,9801.08836,25.459602,21.832
1530999048.63,9801.1547,25.459446,21.832
1530999049.19,9801.23528,25.459258,21.832
1530999049.75,9801.32315,25.459053,21.832
1530999050.31,9801.40823,25.458854,21.84
1530999050.86,9801.49647,25.458648,21.84
1530999051.42,9801.58007,25.458452,21.84
1530999051.98,9801.67027,25.458241,21.84
1530999052.54,9801.75977,25.458032,21.84
1530999053.1,9801.85074,25.457820,21.838
1530999053.66,9801.92771,25.457640,21.838
1530999054.22,9801.98624,25.457503,21.838
