timestamp,LM399-P15-slow6-no-R7-alkaline15V
1500870241.079,6890115.0
1500870244.424,6890114.5
1500870247.769,6890115.0
1500870251.115,6890115.3
1500870254.460,6890113.5
1500870257.806,6890116.0
1500870261.151,6890114.5
1500870264.496,6890119.1
1500870267.842,6890118.6
1500870271.187,6890118.6
1500870274.533,6890118.8
1500870277.878,6890120.6
1500870281.224,6890121.6
1500870284.569,6890120.3
1500870287.914,6890120.8
1500870291.260,6890120.6
1500870294.605,6890119.6
1500870297.950,6890119.1
1500870301.296,6890120.1
1500870304.697,6890118.3
1500870307.987,6890119.3
1500870311.332,6890119.3
1500870314.677,6890120.8
1500870318.023,6890120.8
1500870321.368,6890120.6
1500870324.714,6890117.5
1500870328.059,6890113.5
1500870331.404,6890114.3
1500870334.750,6890113.0
1500870338.095,6890114.5
1500870341.441,6890113.7
1500870344.786,6890115.3
1500870348.131,6890115.8
1500870351.477,6890116.8
1500870354.822,6890115.8
1500870358.167,6890116.8
1500870361.513,6890114.3
1500870364.858,6890114.8
1500870368.204,6890115.5
1500870371.549,6890115.3
1500870374.895,6890114.3
1500870378.240,6890115.3
1500870381.585,6890114.5
1500870384.931,6890115.5
1500870388.276,6890115.3
1500870391.621,6890115.5
1500870394.967,6890115.0
1500870398.312,6890115.0
1500870401.658,6890112.7
1500870405.003,6890114.0
1500870408.349,6890115.0
1500870411.694,6890114.3
1500870415.039,6890113.7
1500870418.385,6890114.3
1500870421.730,6890115.3
1500870425.076,6890113.7
1500870428.421,6890114.8
1500870431.766,6890115.8
1500870435.112,6890114.8
1500870438.457,6890114.0
1500870441.803,6890111.7
1500870445.148,6890112.5
1500870448.493,6890112.7
1500870451.839,6890114.0
1500870455.184,6890112.7
1500870458.530,6890113.2
1500870461.875,6890112.7
1500870465.220,6890115.0
1500870468.566,6890114.3
1500870471.911,6890115.0
1500870475.257,6890113.7
1500870478.602,6890116.5
1500870481.947,6890115.0
1500870485.293,6890117.5
1500870488.638,6890117.8
1500870491.984,6890116.5
1500870495.329,6890118.1
1500870498.674,6890119.1
1500870502.020,6890119.3
1500870505.365,6890115.3
1500870508.711,6890118.6
1500870512.056,6890120.1
1500870515.401,6890120.8
1500870518.747,6890120.1
1500870522.092,6890119.6
1500870525.438,6890119.3
1500870528.783,6890116.3
1500870532.128,6890118.3
1500870535.474,6890117.3
1500870538.819,6890117.0
1500870542.164,6890118.6
1500870545.510,6890117.3
1500870548.855,6890116.5
1500870552.201,6890117.8
1500870555.546,6890117.3
1500870558.892,6890117.8
1500870562.237,6890116.8
1500870565.582,6890116.3
1500870568.928,6890116.5
1500870572.273,6890117.8
1500870575.619,6890118.3
1500870578.964,6890118.1
1500870582.309,6890118.6
1500870585.655,6890120.3
1500870589.000,6890118.8
1500870592.346,6890120.3
1500870595.691,6890119.1
1500870599.036,6890118.6
1500870602.382,6890120.3
1500870605.727,6890119.6
1500870609.073,6890121.1
1500870612.418,6890119.8
1500870615.763,6890121.1
1500870619.109,6890120.8
1500870622.454,6890120.6
1500870625.800,6890119.3
1500870629.145,6890118.6
1500870632.490,6890119.1
1500870635.836,6890119.3
1500870639.181,6890118.6
1500870642.527,6890120.8
1500870645.872,6890119.6
1500870649.217,6890119.6
1500870652.563,6890119.1
1500870655.908,6890122.1
1500870659.254,6890121.6
1500870662.599,6890122.6
1500870665.944,6890121.1
1500870669.290,6890122.4
1500870672.635,6890120.1
1500870675.981,6890118.3
1500870679.326,6890117.3
1500870682.671,6890115.3
1500870686.017,6890114.5
1500870689.362,6890116.3
1500870692.707,6890115.0
1500870696.053,6890115.8
1500870699.398,6890114.3
1500870702.744,6890114.5
1500870706.089,6890114.5
1500870709.435,6890113.7
