resistance,ppm,temp_c
9984.8564,-0.06,25.01
9984.8564,-0.06,25.011
9984.8564,-0.06,24.999
9984.8564,-0.06,25.004
9984.8564,-0.06,25.0
9984.8595,0.25,24.997
9984.8595,0.25,24.997
9984.8595,0.25,25.001
9984.8595,0.25,24.997
9984.8595,0.25,24.996
9984.8595,0.25,25.014
9984.8595,0.25,25.018
9984.8595,0.25,25.001
9984.8595,0.25,24.997
9984.8595,0.25,24.993
9984.8595,0.25,24.986
9984.8595,0.25,25.001
9984.8595,0.25,24.986
9984.8595,0.25,24.99
9984.8589,0.19,24.985
9984.8589,0.19,24.992
9984.8589,0.19,24.992
9984.8589,0.19,24.996
9984.8589,0.19,24.992
9984.8589,0.19,24.99
9984.8589,0.19,25.011
9984.8589,0.19,25.001
9984.8589,0.19,25.0
9984.8589,0.19,25.007
9984.8589,0.19,25.0
9984.8589,0.19,25.014
9984.8589,0.19,25.005
9984.8572,0.02,25.007
9984.8572,0.02,25.018
9984.8572,0.02,24.995
9984.8572,0.02,24.999
9984.8572,0.02,25.007
9984.8572,0.02,25.003
9984.8572,0.02,25.004
9984.8572,0.02,24.993
9984.8572,0.02,24.984
9984.8572,0.02,25.001
9984.8572,0.02,24.98
9984.8572,0.02,24.99
9984.8572,0.02,24.986
9984.8572,0.02,25.007
9984.8579,0.09,25.0
9984.8579,0.09,24.986
9984.8579,0.09,24.988
9984.8579,0.09,24.988
9984.8579,0.09,24.981
9984.8579,0.09,25.005
9984.8579,0.09,24.999
9984.8579,0.09,25.008
9984.8579,0.09,25.012
9984.8579,0.09,25.008
9984.8579,0.09,25.005
9984.8579,0.09,25.01
9984.8579,0.09,25.005
9984.8582,0.12,25.005
9984.8582,0.12,24.988
9984.8582,0.12,25.004
9984.8582,0.12,24.99
9984.8582,0.12,24.999
9984.8582,0.12,25.007
9984.8582,0.12,25.005
9984.8582,0.12,25.007
9984.8582,0.12,25.012
9984.8582,0.12,25.004
9984.8582,0.12,24.997
9984.8582,0.12,24.992
9984.8582,0.12,25.004
9984.8557,-0.13,24.99
9984.8557,-0.13,24.999
9984.8557,-0.13,24.999
9984.8557,-0.13,25.004
9984.8557,-0.13,24.993
9984.8557,-0.13,24.997
9984.8557,-0.13,24.996
9984.8557,-0.13,25.008
9984.8557,-0.13,25.014
9984.8557,-0.13,25.005
9984.8557,-0.13,24.988
9984.8557,-0.13,24.985
9984.8557,-0.13,25.004
9984.8557,-0.13,24.989
9984.8554,-0.16,24.992
9984.8554,-0.16,25.003
9984.8554,-0.16,24.995
9984.8554,-0.16,24.996
9984.8554,-0.16,25.005
9984.8554,-0.16,25.001
9984.8554,-0.16,25.0
9984.8554,-0.16,24.982
9984.8554,-0.16,25.001
9984.8554,-0.16,24.984
9984.8554,-0.16,25.011
9984.8554,-0.16,24.995
9984.8554,-0.16,24.988
9984.8567,-0.03,25.014
9984.8567,-0.03,25.0
9984.8567,-0.03,24.996
9984.8567,-0.03,25.007
9984.8567,-0.03,25.0
9984.8567,-0.03,25.012
9984.8567,-0.03,24.993
9984.8567,-0.03,25.005
9984.8567,-0.03,24.999
9984.8567,-0.03,25.01
9984.8567,-0.03,25.005
9984.8567,-0.03,25.005
9984.8567,-0.03,25.007
