timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521530631.86,23.582,60.376,25.000,-1.418,0.000
1521530632.27,23.571,60.338,25.000,-1.429,0.000
1521530632.67,23.550,60.338,25.000,-1.450,0.000
1521530633.08,23.560,60.353,25.000,-1.440,0.000
1521530633.49,23.571,60.338,25.000,-1.429,0.000
1521530633.90,23.560,60.345,25.000,-1.440,0.000
1521530634.31,23.571,60.345,25.000,-1.429,0.000
1521530634.71,23.560,60.353,25.000,-1.440,0.000
1521530635.12,23.571,60.345,25.000,-1.429,0.000
1521530635.53,23.560,60.338,25.000,-1.440,0.000
1521530635.94,23.571,60.338,25.000,-1.429,0.000
1521530636.35,23.560,60.338,25.000,-1.440,0.000
1521530636.75,23.550,60.345,25.000,-1.450,0.000
1521530637.16,23.582,60.338,25.000,-1.418,0.000
1521530637.57,23.571,60.338,25.000,-1.429,0.000
1521530637.98,23.560,60.345,25.000,-1.440,0.000
1521530638.38,23.571,60.322,25.000,-1.429,0.000
1521530638.79,23.550,60.338,25.000,-1.450,0.000
1521530639.20,23.560,60.338,25.000,-1.440,0.000
1521530639.61,23.571,60.345,25.000,-1.429,0.000
1521530640.02,23.528,60.338,25.000,-1.472,0.000
1521530640.42,23.571,60.338,25.000,-1.429,0.000
1521530640.83,23.560,60.345,25.000,-1.440,0.000
1521530641.24,23.550,60.338,25.000,-1.450,0.000
1521530641.65,23.560,60.345,25.000,-1.440,0.000
1521530642.06,23.550,60.315,25.000,-1.450,0.000
1521530642.46,23.571,60.338,25.000,-1.429,0.000
1521530642.87,23.571,60.315,25.000,-1.429,0.000
1521530643.28,23.550,60.353,25.000,-1.450,0.000
1521530643.69,23.550,60.338,25.000,-1.450,0.000
1521530644.10,23.560,60.330,25.000,-1.440,0.000
1521530644.50,23.560,60.338,25.000,-1.440,0.000
1521530644.91,23.571,60.345,25.000,-1.429,0.000
1521530645.32,23.550,60.315,25.000,-1.450,0.000
1521530645.73,23.571,60.330,25.000,-1.429,0.000
1521530646.13,23.560,60.315,25.000,-1.440,0.000
1521530646.54,23.550,60.330,25.000,-1.450,0.000
1521530646.95,23.560,60.322,25.000,-1.440,0.000
1521530647.36,23.550,60.322,25.000,-1.450,0.000
1521530647.77,23.550,60.315,25.000,-1.450,0.000
1521530648.18,23.550,60.315,25.000,-1.450,0.000
1521530648.58,23.560,60.299,25.000,-1.440,0.000
1521530648.99,23.571,60.299,25.000,-1.429,0.000
1521530649.40,23.571,60.315,25.000,-1.429,0.000
1521530649.81,23.571,60.299,25.000,-1.429,0.000
1521530650.21,23.550,60.315,25.000,-1.450,0.000
1521530650.62,23.560,60.299,25.000,-1.440,0.000
1521530651.03,23.571,60.299,25.000,-1.429,0.000
1521530651.44,23.560,60.292,25.000,-1.440,0.000
1521530651.85,23.550,60.284,25.000,-1.450,0.000
1521530652.25,23.550,60.284,25.000,-1.450,0.000
1521530652.66,23.560,60.299,25.000,-1.440,0.000
1521530653.07,23.571,60.284,25.000,-1.429,0.000
1521530653.48,23.560,60.284,25.000,-1.440,0.000
1521530653.89,23.571,60.292,25.000,-1.429,0.000
1521530654.29,23.560,60.277,25.000,-1.440,0.000
1521530654.70,23.571,60.284,25.000,-1.429,0.000
1521530655.11,23.560,60.299,25.000,-1.440,0.000
1521530655.52,23.571,60.284,25.000,-1.429,0.000
1521530655.93,23.560,60.284,25.000,-1.440,0.000
1521530656.33,23.560,60.284,25.000,-1.440,0.000
1521530656.74,23.592,60.299,25.000,-1.408,0.000
1521530657.15,23.571,60.269,25.000,-1.429,0.000
1521530657.56,23.571,60.284,25.000,-1.429,0.000
1521530657.97,23.571,60.261,25.000,-1.429,0.000
1521530658.37,23.571,60.277,25.000,-1.429,0.000
1521530658.78,23.592,60.277,25.000,-1.408,0.000
1521530659.19,23.550,60.269,25.000,-1.450,0.000
1521530659.60,23.560,60.269,25.000,-1.440,0.000
1521530660.00,23.571,60.277,25.000,-1.429,0.000
1521530660.41,23.560,60.246,25.000,-1.440,0.000
1521530660.82,23.571,60.269,25.000,-1.429,0.000
1521530661.23,23.571,60.269,25.000,-1.429,0.000
1521530661.64,23.571,60.284,25.000,-1.429,0.000
1521530662.04,23.592,60.261,25.000,-1.408,0.000
1521530662.45,23.571,60.269,25.000,-1.429,0.000
1521530662.86,23.571,60.254,25.000,-1.429,0.000
1521530663.27,23.571,60.246,25.000,-1.429,0.000
1521530663.68,23.571,60.254,25.000,-1.429,0.000
1521530664.08,23.571,60.261,25.000,-1.429,0.000
1521530664.49,23.571,60.269,25.000,-1.429,0.000
1521530664.90,23.571,60.246,25.000,-1.429,0.000
1521530665.31,23.560,60.277,25.000,-1.440,0.000
1521530665.72,23.582,60.269,25.000,-1.418,0.000
1521530666.12,23.560,60.261,25.000,-1.440,0.000
1521530666.53,23.560,60.261,25.000,-1.440,0.000
1521530666.94,23.571,60.277,25.000,-1.429,0.000
1521530667.35,23.571,60.277,25.000,-1.429,0.000
1521530667.76,23.571,60.269,25.000,-1.429,0.000
1521530668.16,23.550,60.261,25.000,-1.450,0.000
1521530668.57,23.592,60.277,25.000,-1.408,0.000
1521530668.98,23.571,60.269,25.000,-1.429,0.000
1521530669.39,23.571,60.277,25.000,-1.429,0.000
1521530669.80,23.571,60.261,25.000,-1.429,0.000
1521530670.20,23.571,60.269,25.000,-1.429,0.000
1521530670.61,23.582,60.254,25.000,-1.418,0.000
1521530671.02,23.560,60.261,25.000,-1.440,0.000
1521530671.43,23.571,60.261,25.000,-1.429,0.000
1521530671.83,23.571,60.269,25.000,-1.429,0.000
1521530672.24,23.582,60.269,25.000,-1.418,0.000
1521530672.65,23.592,60.277,25.000,-1.408,0.000
1521530673.06,23.571,60.277,25.000,-1.429,0.000
1521530673.47,23.571,60.261,25.000,-1.429,0.000
1521530673.87,23.571,60.277,25.000,-1.429,0.000
1521530674.28,23.560,60.284,25.000,-1.440,0.000
1521530674.69,23.592,60.292,25.000,-1.408,0.000
1521530675.10,23.571,60.269,25.000,-1.429,0.000
1521530675.51,23.571,60.299,25.000,-1.429,0.000
1521530675.91,23.582,60.284,25.000,-1.418,0.000
1521530676.32,23.571,60.299,25.000,-1.429,0.000
1521530676.73,23.571,60.299,25.000,-1.429,0.000
1521530677.14,23.560,60.292,25.000,-1.440,0.000
1521530677.55,23.560,60.299,25.000,-1.440,0.000
1521530677.95,23.571,60.292,25.000,-1.429,0.000
1521530678.36,23.571,60.299,25.000,-1.429,0.000
1521530678.77,23.571,60.315,25.000,-1.429,0.000
1521530679.18,23.571,60.299,25.000,-1.429,0.000
1521530679.58,23.571,60.284,25.000,-1.429,0.000
1521530679.99,23.582,60.299,25.000,-1.418,0.000
1521530680.40,23.582,60.299,25.000,-1.418,0.000
1521530680.81,23.582,60.299,25.000,-1.418,0.000
1521530681.22,23.592,60.307,25.000,-1.408,0.000
1521530681.62,23.571,60.284,25.000,-1.429,0.000
1521530682.03,23.582,60.315,25.000,-1.418,0.000
1521530682.44,23.571,60.299,25.000,-1.429,0.000
1521530682.85,23.560,60.299,25.000,-1.440,0.000
1521530683.26,23.582,60.292,25.000,-1.418,0.000
1521530683.66,23.571,60.284,25.000,-1.429,0.000
1521530684.07,23.592,60.299,25.000,-1.408,0.000
1521530684.48,23.582,60.269,25.000,-1.418,0.000
1521530684.89,23.592,60.299,25.000,-1.408,0.000
1521530685.30,23.571,60.284,25.000,-1.429,0.000
1521530685.70,23.571,60.269,25.000,-1.429,0.000
1521530686.11,23.560,60.277,25.000,-1.440,0.000
1521530686.52,23.592,60.284,25.000,-1.408,0.000
1521530686.93,23.582,60.261,25.000,-1.418,0.000
1521530687.34,23.582,60.269,25.000,-1.418,0.000
1521530687.74,23.582,60.277,25.000,-1.418,0.000
1521530688.15,23.582,60.277,25.000,-1.418,0.000
1521530688.56,23.571,60.277,25.000,-1.429,0.000
1521530688.97,23.571,60.284,25.000,-1.429,0.000
1521530689.38,23.571,60.269,25.000,-1.429,0.000
1521530689.78,23.571,60.269,25.000,-1.429,0.000
1521530690.19,23.582,60.284,25.000,-1.418,0.000
1521530690.60,23.571,60.277,25.000,-1.429,0.000
1521530691.01,23.592,60.277,25.000,-1.408,0.000
1521530691.41,23.571,60.269,25.000,-1.429,0.000
1521530691.82,23.582,60.269,25.000,-1.418,0.000
1521530692.23,23.560,60.261,25.000,-1.440,0.000
1521530692.64,23.571,60.277,25.000,-1.429,0.000
1521530693.05,23.592,60.277,25.000,-1.408,0.000
1521530693.45,23.582,60.269,25.000,-1.418,0.000
1521530693.86,23.592,60.284,25.000,-1.408,0.000
1521530694.27,23.571,60.277,25.000,-1.429,0.000
1521530694.68,23.582,60.284,25.000,-1.418,0.000
1521530695.09,23.571,60.277,25.000,-1.429,0.000
1521530695.49,23.582,60.284,25.000,-1.418,0.000
1521530695.90,23.603,60.299,25.000,-1.397,0.000
1521530696.31,23.592,60.292,25.000,-1.408,0.000
1521530696.72,23.582,60.284,25.000,-1.418,0.000
1521530697.13,23.592,60.284,25.000,-1.408,0.000
1521530697.53,23.592,60.277,25.000,-1.408,0.000
1521530697.94,23.592,60.277,25.000,-1.408,0.000
1521530698.35,23.571,60.277,25.000,-1.429,0.000
1521530698.76,23.603,60.299,25.000,-1.397,0.000
1521530699.16,23.592,60.277,25.000,-1.408,0.000
1521530699.57,23.571,60.292,25.000,-1.429,0.000
1521530699.98,23.592,60.284,25.000,-1.408,0.000
1521530700.39,23.582,60.284,25.000,-1.418,0.000
1521530700.80,23.582,60.277,25.000,-1.418,0.000
1521530701.20,23.571,60.277,25.000,-1.429,0.000
1521530701.61,23.592,60.269,25.000,-1.408,0.000
1521530702.02,23.592,60.269,25.000,-1.408,0.000
1521530702.43,23.582,60.284,25.000,-1.418,0.000
1521530702.84,23.582,60.254,25.000,-1.418,0.000
1521530703.24,23.603,60.284,25.000,-1.397,0.000
1521530703.65,23.582,60.277,25.000,-1.418,0.000
1521530704.06,23.603,60.292,25.000,-1.397,0.000
1521530704.47,23.592,60.277,25.000,-1.408,0.000
1521530704.88,23.592,60.284,25.000,-1.408,0.000
1521530705.28,23.603,60.284,25.000,-1.397,0.000
1521530705.69,23.592,60.261,25.000,-1.408,0.000
1521530706.10,23.603,60.299,25.000,-1.397,0.000
1521530706.51,23.582,60.269,25.000,-1.418,0.000
1521530706.92,23.603,60.299,25.000,-1.397,0.000
1521530707.32,23.603,60.292,25.000,-1.397,0.000
1521530707.73,23.571,60.277,25.000,-1.429,0.000
1521530708.14,23.603,60.284,25.000,-1.397,0.000
1521530708.55,23.603,60.292,25.000,-1.397,0.000
1521530708.96,23.571,60.277,25.000,-1.429,0.000
1521530709.36,23.603,60.284,25.000,-1.397,0.000
1521530709.77,23.603,60.299,25.000,-1.397,0.000
1521530710.18,23.614,60.299,25.000,-1.386,0.000
1521530710.59,23.603,60.284,25.000,-1.397,0.000
1521530711.00,23.603,60.284,25.000,-1.397,0.000
1521530711.40,23.603,60.284,25.000,-1.397,0.000
1521530711.81,23.592,60.299,25.000,-1.408,0.000
1521530712.22,23.582,60.269,25.000,-1.418,0.000
1521530712.63,23.603,60.277,25.000,-1.397,0.000
1521530713.03,23.603,60.307,25.000,-1.397,0.000
1521530713.44,23.592,60.299,25.000,-1.408,0.000
1521530713.85,23.603,60.330,25.000,-1.397,0.000
1521530714.26,23.603,60.299,25.000,-1.397,0.000
1521530714.67,23.592,60.299,25.000,-1.408,0.000
1521530715.07,23.592,60.299,25.000,-1.408,0.000
1521530715.48,23.603,60.299,25.000,-1.397,0.000
1521530715.89,23.603,60.299,25.000,-1.397,0.000
1521530716.30,23.592,60.299,25.000,-1.408,0.000
1521530716.71,23.592,60.284,25.000,-1.408,0.000
1521530717.11,23.592,60.284,25.000,-1.408,0.000
1521530717.52,23.592,60.277,25.000,-1.408,0.000
1521530717.93,23.603,60.284,25.000,-1.397,0.000
1521530718.34,23.582,60.269,25.000,-1.418,0.000
1521530718.75,23.582,60.284,25.000,-1.418,0.000
1521530719.15,23.614,60.284,25.000,-1.386,0.000
1521530719.56,23.603,60.284,25.000,-1.397,0.000
1521530719.97,23.603,60.284,25.000,-1.397,0.000
1521530720.38,23.603,60.284,25.000,-1.397,0.000
1521530720.79,23.582,60.261,25.000,-1.418,0.000
1521530721.19,23.592,60.261,25.000,-1.408,0.000
1521530721.60,23.603,60.254,25.000,-1.397,0.000
1521530722.01,23.603,60.269,25.000,-1.397,0.000
1521530722.42,23.625,60.254,25.000,-1.375,0.000
1521530722.83,23.592,60.269,25.000,-1.408,0.000
1521530723.23,23.603,60.284,25.000,-1.397,0.000
1521530723.64,23.603,60.269,25.000,-1.397,0.000
1521530724.05,23.592,60.246,25.000,-1.408,0.000
1521530724.46,23.635,60.284,25.000,-1.365,0.000
1521530724.86,23.603,60.277,25.000,-1.397,0.000
1521530725.28,23.614,60.284,25.000,-1.386,0.000
1521530725.68,23.592,60.269,25.000,-1.408,0.000
1521530726.09,23.603,60.269,25.000,-1.397,0.000
1521530726.50,23.592,60.277,25.000,-1.408,0.000
1521530726.91,23.592,60.269,25.000,-1.408,0.000
1521530727.31,23.625,60.277,25.000,-1.375,0.000
1521530727.72,23.592,60.269,25.000,-1.408,0.000
1521530728.13,23.582,60.269,25.000,-1.418,0.000
1521530728.54,23.592,60.284,25.000,-1.408,0.000
1521530728.95,23.603,60.284,25.000,-1.397,0.000
1521530729.35,23.614,60.277,25.000,-1.386,0.000
1521530729.76,23.603,60.284,25.000,-1.397,0.000
1521530730.17,23.603,60.284,25.000,-1.397,0.000
1521530730.57,23.603,60.284,25.000,-1.397,0.000
1521530730.99,23.603,60.284,25.000,-1.397,0.000
1521530731.39,23.614,60.269,25.000,-1.386,0.000
1521530731.80,23.603,60.284,25.000,-1.397,0.000
1521530732.21,23.614,60.299,25.000,-1.386,0.000
1521530732.61,23.614,60.299,25.000,-1.386,0.000
1521530733.03,23.603,60.292,25.000,-1.397,0.000
1521530733.43,23.614,60.284,25.000,-1.386,0.000
1521530733.84,23.614,60.299,25.000,-1.386,0.000
1521530734.25,23.592,60.299,25.000,-1.408,0.000
1521530734.66,23.603,60.299,25.000,-1.397,0.000
1521530735.07,23.603,60.307,25.000,-1.397,0.000
1521530735.47,23.614,60.322,25.000,-1.386,0.000
1521530735.88,23.614,60.315,25.000,-1.386,0.000
1521530736.29,23.625,60.315,25.000,-1.375,0.000
1521530736.69,23.625,60.322,25.000,-1.375,0.000
1521530737.11,23.603,60.338,25.000,-1.397,0.000
1521530737.51,23.614,60.345,25.000,-1.386,0.000
1521530737.92,23.614,60.322,25.000,-1.386,0.000
1521530738.33,23.614,60.330,25.000,-1.386,0.000
1521530738.74,23.635,60.353,25.000,-1.365,0.000
1521530739.14,23.625,60.338,25.000,-1.375,0.000
1521530739.55,23.625,60.360,25.000,-1.375,0.000
1521530739.96,23.635,60.353,25.000,-1.365,0.000
1521530740.37,23.614,60.376,25.000,-1.386,0.000
1521530740.77,23.635,60.391,25.000,-1.365,0.000
1521530741.19,23.635,60.391,25.000,-1.365,0.000
1521530741.59,23.635,60.406,25.000,-1.365,0.000
1521530742.00,23.614,60.414,25.000,-1.386,0.000
1521530742.41,23.625,60.414,25.000,-1.375,0.000
1521530742.82,23.614,60.452,25.000,-1.386,0.000
1521530743.22,23.646,60.422,25.000,-1.354,0.000
1521530743.63,23.635,60.437,25.000,-1.365,0.000
1521530744.04,23.635,60.452,25.000,-1.365,0.000
1521530744.44,23.646,60.460,25.000,-1.354,0.000
1521530744.86,23.646,60.452,25.000,-1.354,0.000
1521530745.26,23.625,60.475,25.000,-1.375,0.000
1521530745.67,23.646,60.483,25.000,-1.354,0.000
1521530746.08,23.635,60.490,25.000,-1.365,0.000
1521530746.49,23.635,60.483,25.000,-1.365,0.000
1521530746.90,23.668,60.490,25.000,-1.332,0.000
1521530747.30,23.625,60.498,25.000,-1.375,0.000
1521530747.71,23.635,60.521,25.000,-1.365,0.000
1521530748.12,23.646,60.521,25.000,-1.354,0.000
1521530748.53,23.657,60.505,25.000,-1.343,0.000
1521530748.93,23.635,60.521,25.000,-1.365,0.000
1521530749.34,23.646,60.521,25.000,-1.354,0.000
1521530749.75,23.657,60.521,25.000,-1.343,0.000
1521530750.16,23.646,60.521,25.000,-1.354,0.000
1521530750.57,23.657,60.544,25.000,-1.343,0.000
1521530750.98,23.657,60.521,25.000,-1.343,0.000
1521530751.38,23.657,60.544,25.000,-1.343,0.000
1521530751.79,23.657,60.551,25.000,-1.343,0.000
1521530752.20,23.646,60.544,25.000,-1.354,0.000
1521530752.61,23.635,60.574,25.000,-1.365,0.000
1521530753.02,23.668,60.559,25.000,-1.332,0.000
1521530753.42,23.646,60.559,25.000,-1.354,0.000
