resistance,temp_c
10000.394,26.157
10000.396,25.996
10000.401,25.934
10000.401,25.989
10000.401,25.982
10000.403,25.994
10000.406,25.99
10000.405,26.001
10000.403,25.992
10000.406,25.987
10000.406,25.99
10000.406,26.008
10000.404,26.001
10000.403,26.003
10000.406,26.015
10000.405,26.001
10000.405,25.989
10000.406,26.334
10000.399,27.22
10000.407,26.962
10000.41,26.959
10000.415,27.008
10000.415,27.007
10000.414,27.013
10000.419,27.012
10000.418,27.012
10000.417,27.009
10000.419,27.019
10000.418,27.023
10000.42,27.022
10000.419,27.019
10000.42,27.008
10000.419,27.02
10000.419,27.023
10000.42,27.023
10000.416,27.571
10000.414,28.202
10000.42,27.941
10000.425,27.994
10000.426,28.01
10000.427,28.022
10000.43,28.024
10000.43,28.032
10000.431,28.014
10000.431,28.043
10000.431,28.031
10000.433,28.011
10000.432,28.042
10000.433,28.031
10000.433,28.019
10000.431,28.024
10000.432,28.028
10000.431,28.012
10000.434,27.928
10000.434,27.738
10000.433,27.539
10000.432,27.409
10000.431,27.312
10000.429,27.227
10000.427,27.158
10000.426,27.1
10000.425,27.054
10000.424,26.989
10000.423,26.944
10000.42,26.897
10000.418,26.847
10000.418,26.792
10000.417,26.743
10000.416,26.709
10000.416,26.665
10000.414,26.63
10000.413,26.626
