resistance,temp_c
10000.368,26.17
10000.372,26.272
10000.389,25.82
10000.391,25.974
10000.396,25.941
10000.397,25.996
10000.403,26.034
10000.405,26.037
10000.407,26.037
10000.406,26.025
10000.408,26.063
10000.409,25.981
10000.409,26.041
10000.407,26.048
10000.408,26.033
10000.41,26.062
10000.41,26.049
10000.409,26.059
10000.402,27.201
10000.409,27.02
10000.415,26.977
10000.414,27.065
10000.416,27.027
10000.416,27.04
10000.42,27.032
10000.42,27.041
10000.419,27.045
10000.42,27.037
10000.419,27.066
10000.419,27.036
10000.42,27.033
10000.422,27.037
10000.42,27.057
10000.421,27.026
10000.419,27.036
10000.42,27.126
10000.413,28.204
10000.42,28.001
10000.425,27.98
10000.428,28.014
10000.428,28.017
10000.429,28.022
10000.43,28.033
10000.429,28.019
10000.43,28.026
10000.43,28.032
10000.432,28.031
10000.433,28.04
10000.434,28.038
10000.433,28.038
10000.431,28.043
10000.431,28.024
10000.431,28.032
10000.43,27.997
10000.434,27.793
10000.433,27.595
10000.432,27.436
10000.43,27.347
10000.427,27.25
10000.426,27.18
10000.425,27.098
10000.424,27.061
10000.422,26.99
10000.422,26.951
10000.42,26.901
10000.419,26.844
10000.419,26.799
10000.418,26.753
10000.418,26.72
10000.415,26.676
10000.414,26.62
10000.416,26.617
10000.414,26.617
10000.415,26.617
10000.413,26.617
10000.412,26.617
10000.412,26.617
10000.412,26.617
10000.41,26.617
10000.41,26.617
