timestamp,LM399_PL7
1500234461.121,7151950.4
1500234464.473,7151950.2
1500234467.825,7151949.9
1500234471.177,7151950.7
1500234474.529,7151952.2
1500234477.882,7151954.2
1500234481.234,7151952.4
1500234484.586,7151952.4
1500234487.938,7151953.4
1500234491.290,7151953.4
1500234494.642,7151954.2
1500234497.994,7151954.2
1500234501.346,7151953.2
1500234504.698,7151954.0
1500234508.050,7151954.2
1500234511.402,7151954.0
1500234514.754,7151955.2
1500234518.106,7151954.7
1500234521.459,7151955.7
1500234524.810,7151955.5
1500234528.163,7151956.2
1500234531.515,7151957.0
1500234534.867,7151957.0
1500234538.219,7151958.0
1500234541.571,7151958.3
1500234544.923,7151957.0
1500234548.275,7151956.2
1500234551.627,7151958.3
1500234554.979,7151960.3
1500234558.331,7151958.0
1500234561.684,7151957.0
1500234565.036,7151957.0
1500234568.388,7151956.2
1500234571.740,7151958.5
1500234575.092,7151960.0
1500234578.444,7151959.5
1500234581.796,7151960.3
1500234585.148,7151959.8
1500234588.500,7151960.0
1500234591.852,7151959.5
1500234595.204,7151957.5
1500234598.556,7151956.0
1500234601.909,7151956.7
1500234605.261,7151958.3
1500234608.613,7151958.5
1500234611.965,7151958.0
1500234615.317,7151959.5
1500234618.669,7151957.8
1500234622.021,7151957.3
1500234625.373,7151957.5
1500234628.725,7151957.8
1500234632.077,7151956.7
1500234635.429,7151956.7
1500234638.781,7151955.0
1500234642.134,7151956.0
1500234645.486,7151956.0
1500234648.838,7151954.2
1500234652.190,7151956.5
1500234655.542,7151956.2
1500234658.894,7151957.8
1500234662.246,7151958.8
1500234665.598,7151958.8
1500234668.950,7151960.0
1500234672.302,7151959.5
1500234675.655,7151960.5
1500234679.007,7151959.5
1500234682.359,7151960.0
1500234685.711,7151959.8
1500234689.063,7151959.5
1500234692.415,7151960.0
1500234695.767,7151956.2
1500234699.119,7151956.5
1500234702.471,7151956.7
1500234705.823,7151956.5
1500234709.175,7151957.0
1500234712.527,7151957.8
1500234715.880,7151958.8
1500234719.232,7151958.4
1500234722.584,7151958.8
1500234725.936,7151959.8
1500234729.288,7151959.5
1500234732.640,7151958.5
1500234735.992,7151959.9
1500234739.344,7151960.0
1500234742.696,7151960.8
1500234746.048,7151960.3
1500234749.400,7151959.8
1500234752.753,7151960.0
1500234756.104,7151960.3
1500234759.457,7151956.5
1500234762.809,7151959.3
1500234766.161,7151960.8
1500234769.513,7151961.1
1500234772.865,7151960.8
1500234776.217,7151958.5
1500234779.569,7151959.0
1500234782.921,7151958.8
1500234786.273,7151960.8
1500234789.625,7151959.8
1500234792.978,7151958.0
1500234796.330,7151958.8
1500234799.682,7151958.0
1500234803.034,7151959.8
1500234806.386,7151960.0
1500234809.738,7151960.5
1500234813.090,7151961.1
1500234816.442,7151960.8
1500234819.794,7151961.3
1500234823.146,7151960.8
1500234826.498,7151961.1
1500234829.850,7151961.6
1500234833.203,7151960.2
1500234836.555,7151960.5
1500234839.907,7151961.3
1500234843.259,7151959.8
1500234846.611,7151960.5
1500234849.963,7151961.1
1500234853.315,7151962.8
1500234856.667,7151961.6
1500234860.019,7151960.8
1500234863.371,7151959.5
1500234866.723,7151960.4
1500234870.075,7151959.8
1500234873.427,7151960.5
1500234876.780,7151958.0
1500234880.132,7151957.8
1500234883.484,7151957.5
1500234886.836,7151957.1
1500234890.188,7151958.0
1500234893.540,7151956.7
1500234896.892,7151959.3
1500234900.244,7151956.7
1500234903.596,7151958.3
1500234906.948,7151958.5
1500234910.301,7151961.6
