timestamp,run5
1519746887.119,17526.954
1519746890.465,17527.402
1519746893.810,17527.317
1519746897.155,17527.443
1519746900.501,17527.975
1519746903.846,17527.803
1519746907.192,17526.888
1519746910.537,17526.662
1519746913.883,17527.549
1519746917.227,17527.415
1519746920.573,17526.459
1519746923.919,17525.955
1519746927.264,17526.877
1519746930.609,17526.653
1519746933.955,17525.586
1519746937.301,17525.923
1519746940.645,17525.959
1519746943.991,17526.540
1519746947.337,17526.647
1519746950.682,17526.469
1519746954.028,17527.362
1519746957.373,17527.668
1519746960.718,17527.146
1519746964.064,17527.217
1519746967.409,17527.818
1519746970.754,17526.966
1519746974.100,17527.701
1519746977.446,17528.469
1519746980.791,17527.564
1519746984.136,17528.112
1519746987.482,17528.849
1519746990.827,17527.255
1519746994.172,17527.402
1519746997.518,17527.093
1519747000.863,17526.763
1519747004.209,17525.423
1519747007.554,17526.956
1519747010.899,17526.586
1519747014.245,17526.538
1519747017.590,17527.554
1519747020.935,17525.165
1519747024.281,17526.009
1519747027.626,17527.349
1519747030.971,17527.192
1519747034.317,17526.751
1519747037.662,17527.151
1519747041.008,17526.928
1519747044.354,17526.936
1519747047.698,17526.396
1519747051.044,17526.796
1519747054.390,17526.049
1519747057.735,17525.755
1519747061.081,17525.760
1519747064.425,17525.533
1519747067.771,17526.283
1519747071.117,17525.486
1519747074.462,17525.107
1519747077.807,17524.409
1519747081.153,17524.615
1519747084.499,17525.243
1519747087.844,17525.009
1519747091.190,17524.353
1519747094.535,17524.438
1519747097.880,17523.968
1519747101.225,17524.800
1519747104.571,17524.818
1519747107.917,17524.238
1519747111.262,17523.800
1519747114.607,17524.618
1519747117.953,17526.779
1519747121.298,17525.513
1519747124.643,17524.700
1519747127.989,17524.283
1519747131.334,17524.788
1519747134.679,17525.502
1519747138.025,17525.320
1519747141.371,17524.447
1519747144.716,17523.897
1519747148.062,17523.921
1519747151.406,17522.798
1519747154.752,17523.131
1519747158.097,17523.812
1519747161.443,17521.922
1519747164.788,17521.063
1519747168.134,17521.697
1519747171.479,17522.126
1519747174.825,17521.698
1519747178.170,17522.134
1519747181.515,17521.552
1519747185.091,17521.579
1519747188.206,17521.575
1519747191.552,17521.017
1519747194.897,17519.994
1519747198.242,17519.629
1519747201.587,17519.735
1519747204.933,17520.914
1519747208.278,17520.405
1519747211.624,17520.547
1519747214.969,17521.604
1519747218.367,17522.678
1519747221.660,17523.403
1519747225.005,17523.882
1519747228.351,17525.112
1519747231.696,17524.056
1519747235.042,17522.699
1519747238.388,17522.432
1519747241.733,17521.010
1519747245.078,17521.029
1519747248.424,17520.797
1519747251.769,17521.045
1519747255.114,17520.781
1519747258.460,17521.589
1519747261.805,17522.104
1519747265.151,17522.183
1519747268.496,17521.997
1519747271.842,17522.130
1519747275.187,17522.528
1519747278.533,17521.548
1519747281.878,17521.257
1519747285.223,17521.312
1519747288.569,17520.784
1519747291.914,17520.699
1519747295.260,17519.674
1519747298.605,17520.163
1519747301.950,17520.949
1519747305.296,17519.859
1519747308.641,17519.707
1519747311.987,17521.015
1519747315.332,17520.298
1519747318.677,17521.351
1519747322.022,17522.361
1519747325.368,17521.256
1519747328.713,17521.431
1519747332.059,17520.498
1519747335.404,17519.852
1519747338.749,17519.550
1519747342.095,17519.444
1519747345.441,17520.384
1519747348.785,17521.517
1519747352.131,17521.078
1519747355.477,17521.747
1519747358.823,17521.456
1519747362.167,17520.516
1519747365.513,17520.614
1519747368.859,17520.309
1519747372.203,17520.461
1519747375.549,17520.974
1519747378.894,17520.417
1519747382.240,17521.456
1519747385.586,17521.493
1519747388.931,17521.518
1519747392.276,17520.997
1519747395.621,17520.490
1519747398.967,17521.742
1519747402.312,17521.926
1519747405.657,17521.935
1519747409.004,17521.725
1519747412.349,17522.143
1519747415.694,17521.958
1519747419.039,17522.642
1519747422.385,17522.589
1519747425.730,17521.948
1519747429.076,17522.067
1519747432.421,17522.578
1519747435.767,17523.532
1519747439.112,17523.163
1519747442.457,17522.698
1519747445.802,17522.708
1519747449.148,17522.749
1519747452.494,17522.759
1519747455.839,17522.289
1519747459.184,17522.442
1519747462.530,17521.867
1519747465.875,17521.271
1519747469.221,17521.997
1519747472.567,17521.590
1519747475.911,17520.445
1519747479.257,17518.639
1519747482.602,17518.766
1519747485.948,17518.627
1519747489.293,17519.476
1519747492.639,17518.229
1519747495.984,17518.379
1519747499.329,17517.847
1519747502.675,17519.005
1519747506.020,17518.539
1519747509.366,17519.360
1519747512.711,17519.307
1519747516.056,17519.722
1519747519.402,17521.830
1519747522.747,17523.395
1519747526.093,17522.939
1519747529.438,17522.703
1519747532.784,17522.788
1519747536.128,17523.243
1519747539.474,17523.520
1519747542.820,17524.119
1519747546.165,17523.482
1519747549.510,17521.887
1519747552.856,17524.124
1519747556.201,17522.868
1519747559.547,17521.076
1519747562.892,17523.892
1519747566.238,17524.103
1519747569.583,17525.424
1519747572.928,17523.347
1519747576.274,17524.665
1519747579.620,17524.899
1519747582.965,17524.032
1519747586.310,17526.066
1519747589.656,17525.027
1519747593.001,17526.862
1519747596.347,17526.782
1519747599.692,17525.141
1519747603.037,17526.130
1519747606.382,17525.248
1519747609.728,17526.338
1519747613.073,17525.889
1519747616.419,17526.009
1519747619.764,17526.495
1519747623.110,17525.377
1519747626.455,17525.358
1519747629.800,17526.220
1519747633.146,17525.202
1519747636.491,17525.952
1519747639.837,17525.425
1519747643.182,17525.682
1519747646.527,17525.927
1519747649.873,17525.240
1519747653.219,17523.975
1519747656.564,17524.914
1519747659.910,17524.530
1519747663.254,17525.078
1519747666.600,17525.447
1519747669.946,17524.192
1519747673.291,17523.512
1519747676.637,17523.133
1519747679.981,17522.295
1519747683.327,17523.537
1519747686.672,17523.335
1519747690.018,17524.291
1519747693.363,17524.566
1519747696.709,17524.331
1519747700.054,17524.304
1519747703.399,17525.372
1519747706.745,17524.874
1519747710.090,17524.713
1519747713.436,17524.728
1519747716.781,17526.668
1519747720.127,17529.359
1519747723.472,17527.303
