resistance,ppm,temp_c
0.99980751,0.06,25.0
0.99980751,0.06,24.997
0.99980751,0.06,24.996
0.99980751,0.06,24.996
0.99980751,0.06,24.995
0.99980751,0.06,25.001
0.99980751,0.06,24.996
0.99980751,0.06,25.001
0.99980751,0.06,24.999
0.99980751,0.06,25.001
0.99980751,0.06,24.992
0.99980751,0.06,25.0
0.99980751,0.06,25.007
0.99980751,0.06,25.001
0.99980751,0.06,25.003
0.99980751,0.06,24.996
0.99980751,0.06,25.01
0.99980751,0.06,25.004
0.99980751,0.06,24.999
0.99980751,0.06,25.005
0.99980751,0.06,25.005
0.99980751,0.06,25.004
0.99980751,0.06,25.003
0.99980751,0.06,25.005
0.99980751,0.06,24.995
0.99980751,0.06,24.992
0.99980751,0.06,24.999
0.99980761,0.16,24.993
0.99980761,0.16,24.996
0.99980761,0.16,25.005
0.99980761,0.16,24.993
0.99980761,0.16,24.997
0.99980761,0.16,24.992
0.99980761,0.16,24.997
0.99980761,0.16,25.004
0.99980761,0.16,25.001
0.99980761,0.16,25.004
0.99980761,0.16,25.003
0.99980761,0.16,24.997
0.99980761,0.16,24.997
0.99980751,0.06,24.999
0.99980751,0.06,25.004
0.99980751,0.06,24.996
0.99980751,0.06,24.995
0.99980751,0.06,25.0
0.99980751,0.06,24.992
0.99980751,0.06,24.999
0.99980751,0.06,24.995
0.99980751,0.06,24.989
0.99980751,0.06,24.999
0.99980751,0.06,25.0
0.99980751,0.06,24.996
0.99980751,0.06,24.999
0.99980751,0.06,25.001
0.99980739,-0.06,25.0
0.99980739,-0.06,25.003
0.99980739,-0.06,25.0
0.99980739,-0.06,25.004
0.99980739,-0.06,24.996
0.99980739,-0.06,25.0
0.99980739,-0.06,24.995
0.99980739,-0.06,25.01
0.99980739,-0.06,24.989
0.99980739,-0.06,24.997
0.99980739,-0.06,24.989
0.99980739,-0.06,24.992
0.99980739,-0.06,25.0
0.99980756,0.11,25.0
0.99980756,0.11,25.001
0.99980756,0.11,25.0
0.99980756,0.11,25.003
0.99980756,0.11,25.001
0.99980756,0.11,24.997
0.99980756,0.11,25.011
0.99980756,0.11,24.999
0.99980756,0.11,25.001
0.99980756,0.11,24.999
0.99980756,0.11,25.003
0.99980756,0.11,24.997
0.99980756,0.11,25.001
0.99980756,0.11,25.0
0.99980756,0.11,24.996
0.99980756,0.11,25.0
0.99980756,0.11,24.997
0.99980756,0.11,24.999
0.99980756,0.11,24.995
0.99980756,0.11,24.996
0.99980756,0.11,24.99
0.99980756,0.11,24.996
0.99980756,0.11,25.001
0.99980756,0.11,24.996
0.99980756,0.11,25.003
0.99980756,0.11,24.993
0.99980756,0.11,24.995
0.99980746,0.01,25.005
0.99980746,0.01,24.997
0.99980746,0.01,24.997
0.99980746,0.01,25.0
0.99980746,0.01,24.999
0.99980746,0.01,24.999
0.99980746,0.01,24.995
0.99980746,0.01,25.003
0.99980746,0.01,25.0
0.99980746,0.01,24.997
0.99980746,0.01,25.0
0.99980746,0.01,24.997
0.99980746,0.01,24.996
0.99980749,0.04,25.007
0.99980749,0.04,24.996
0.99980749,0.04,25.011
0.99980749,0.04,24.99
0.99980749,0.04,24.997
0.99980749,0.04,25.005
0.99980749,0.04,25.005
0.99980749,0.04,25.004
0.99980749,0.04,25.01
0.99980749,0.04,25.0
0.99980749,0.04,25.01
0.99980749,0.04,25.0
0.99980749,0.04,25.003
0.99980749,0.04,24.992
0.99980759,0.14,24.997
0.99980759,0.14,24.995
0.99980759,0.14,24.996
0.99980759,0.14,24.999
0.99980759,0.14,25.004
0.99980759,0.14,24.997
0.99980759,0.14,24.996
0.99980759,0.14,24.997
0.99980759,0.14,24.996
0.99980759,0.14,25.01
0.99980759,0.14,25.0
0.99980759,0.14,24.997
0.99980759,0.14,24.997
0.99980751,0.06,25.007
0.99980751,0.06,25.005
0.99980751,0.06,25.003
0.99980751,0.06,25.001
0.99980751,0.06,24.999
0.99980751,0.06,25.003
0.99980751,0.06,24.999
0.99980751,0.06,24.997
0.99980751,0.06,24.999
0.99980751,0.06,25.004
0.99980751,0.06,25.0
0.99980751,0.06,25.007
0.99980751,0.06,24.997
0.99980736,-0.09,25.003
0.99980736,-0.09,24.995
0.99980736,-0.09,24.996
0.99980736,-0.09,24.996
0.99980736,-0.09,25.004
0.99980736,-0.09,25.004
0.99980736,-0.09,25.005
0.99980736,-0.09,25.0
0.99980736,-0.09,25.005
0.99980736,-0.09,24.993
0.99980736,-0.09,25.005
0.99980736,-0.09,25.003
0.99980736,-0.09,25.004
0.99980736,-0.09,25.003
0.99980766,0.21,24.992
0.99980766,0.21,25.001
0.99980766,0.21,25.003
0.99980766,0.21,25.001
0.99980766,0.21,25.001
0.99980766,0.21,25.001
0.99980766,0.21,24.997
0.99980766,0.21,24.993
0.99980766,0.21,25.005
0.99980766,0.21,24.997
0.99980766,0.21,24.997
0.99980766,0.21,24.996
0.99980766,0.21,24.993
0.99980749,0.04,24.997
0.99980749,0.04,25.004
0.99980749,0.04,24.997
0.99980749,0.04,25.003
0.99980749,0.04,25.0
0.99980749,0.04,25.001
0.99980749,0.04,24.999
0.99980749,0.04,25.0
0.99980749,0.04,24.997
0.99980749,0.04,25.004
0.99980749,0.04,25.001
0.99980749,0.04,25.0
0.99980749,0.04,24.996
0.99980749,0.04,25.003
0.99980744,-0.01,25.004
0.99980744,-0.01,25.005
0.99980744,-0.01,24.993
0.99980744,-0.01,24.995
0.99980744,-0.01,24.993
0.99980744,-0.01,24.997
0.99980744,-0.01,24.993
0.99980744,-0.01,24.988
0.99980744,-0.01,24.992
0.99980744,-0.01,24.996
0.99980744,-0.01,24.999
0.99980744,-0.01,25.003
0.99980744,-0.01,24.993
0.99980749,0.04,24.997
0.99980749,0.04,25.003
0.99980749,0.04,25.003
0.99980749,0.04,25.003
0.99980749,0.04,25.007
0.99980749,0.04,24.997
0.99980749,0.04,25.008
0.99980749,0.04,24.996
0.99980749,0.04,25.008
0.99980749,0.04,24.992
0.99980749,0.04,25.012
0.99980749,0.04,25.001
0.99980749,0.04,25.005
0.99980733,-0.12,24.999
0.99980733,-0.12,25.001
0.99980733,-0.12,25.0
0.99980733,-0.12,25.004
0.99980733,-0.12,24.997
0.99980733,-0.12,25.001
0.99980733,-0.12,25.0
0.99980733,-0.12,24.999
0.99980733,-0.12,24.999
0.99980733,-0.12,25.001
0.99980733,-0.12,25.0
0.99980733,-0.12,25.0
0.99980733,-0.12,24.992
0.99980733,-0.12,25.0
0.99980746,0.01,25.003
0.99980746,0.01,24.993
0.99980746,0.01,24.997
0.99980746,0.01,24.996
0.99980746,0.01,25.007
0.99980746,0.01,25.001
0.99980746,0.01,24.996
0.99980746,0.01,24.999
0.99980746,0.01,25.0
0.99980746,0.01,25.003
0.99980746,0.01,25.0
0.99980746,0.01,25.001
0.99980746,0.01,24.99
0.99980736,-0.09,25.004
0.99980736,-0.09,24.996
0.99980736,-0.09,24.996
0.99980736,-0.09,25.0
0.99980736,-0.09,24.993
0.99980736,-0.09,24.993
0.99980736,-0.09,24.999
0.99980736,-0.09,25.003
0.99980736,-0.09,25.001
0.99980736,-0.09,25.005
0.99980736,-0.09,25.003
0.99980736,-0.09,25.001
0.99980736,-0.09,25.001
0.99980736,-0.09,24.993
0.99980749,0.04,24.999
0.99980749,0.04,25.0
0.99980749,0.04,25.0
0.99980749,0.04,25.001
0.99980749,0.04,25.0
0.99980749,0.04,25.0
0.99980749,0.04,24.999
0.99980749,0.04,25.0
0.99980749,0.04,24.997
0.99980749,0.04,25.001
0.99980749,0.04,25.004
0.99980749,0.04,25.0
0.99980749,0.04,24.995
0.99980756,0.11,24.993
0.99980756,0.11,24.997
0.99980756,0.11,24.999
0.99980756,0.11,24.999
0.99980756,0.11,24.999
0.99980756,0.11,24.997
0.99980756,0.11,25.001
0.99980756,0.11,24.999
0.99980756,0.11,25.0
0.99980756,0.11,25.001
0.99980756,0.11,25.007
0.99980756,0.11,24.997
0.99980756,0.11,25.0
0.99980756,0.11,24.997
0.99980756,0.11,25.004
0.99980756,0.11,25.001
0.99980756,0.11,24.999
0.99980756,0.11,25.0
0.99980756,0.11,24.999
0.99980756,0.11,25.004
0.99980756,0.11,24.999
0.99980756,0.11,25.001
0.99980756,0.11,24.995
0.99980756,0.11,25.001
0.99980756,0.11,25.003
0.99980756,0.11,24.993
0.99980756,0.11,24.993
0.99980746,0.01,25.004
0.99980746,0.01,24.993
0.99980746,0.01,25.01
0.99980746,0.01,24.997
0.99980746,0.01,25.007
0.99980746,0.01,25.001
0.99980746,0.01,25.001
0.99980746,0.01,24.999
0.99980746,0.01,25.0
0.99980746,0.01,25.001
0.99980746,0.01,25.0
0.99980746,0.01,25.004
0.99980746,0.01,24.997
0.99980741,-0.04,25.003
0.99980741,-0.04,24.999
0.99980741,-0.04,25.0
0.99980741,-0.04,25.0
0.99980741,-0.04,24.999
0.99980741,-0.04,25.005
0.99980741,-0.04,25.004
0.99980741,-0.04,25.003
0.99980741,-0.04,25.0
0.99980741,-0.04,24.995
0.99980741,-0.04,25.003
0.99980741,-0.04,24.999
0.99980741,-0.04,24.996
0.99980741,-0.04,24.997
0.99980751,0.06,24.995
0.99980751,0.06,24.999
0.99980751,0.06,25.0
0.99980751,0.06,25.003
0.99980751,0.06,24.996
0.99980751,0.06,24.995
0.99980751,0.06,24.999
0.99980751,0.06,24.985
0.99980751,0.06,24.99
0.99980751,0.06,24.992
0.99980751,0.06,25.001
0.99980751,0.06,25.0
0.99980751,0.06,24.989
0.99980728,-0.17,25.003
0.99980728,-0.17,24.996
0.99980728,-0.17,25.007
0.99980728,-0.17,25.005
0.99980728,-0.17,24.997
0.99980728,-0.17,25.0
0.99980728,-0.17,25.004
0.99980728,-0.17,24.999
0.99980728,-0.17,25.007
0.99980728,-0.17,25.0
0.99980728,-0.17,25.003
0.99980728,-0.17,25.005
0.99980728,-0.17,24.996
0.99980728,-0.17,24.993
0.99980706,-0.39,24.996
0.99980706,-0.39,24.999
0.99980706,-0.39,25.004
0.99980706,-0.39,25.001
0.99980706,-0.39,25.005
0.99980706,-0.39,25.0
0.99980706,-0.39,25.0
0.99980706,-0.39,24.997
0.99980706,-0.39,25.008
0.99980706,-0.39,25.004
0.99980706,-0.39,25.003
0.99980706,-0.39,25.007
0.99980706,-0.39,24.999
0.99980726,-0.19,24.995
0.99980726,-0.19,25.003
0.99980726,-0.19,25.005
0.99980726,-0.19,24.997
0.99980726,-0.19,25.001
0.99980726,-0.19,25.001
0.99980726,-0.19,24.992
0.99980726,-0.19,24.995
0.99980726,-0.19,25.0
0.99980726,-0.19,25.0
0.99980726,-0.19,24.999
0.99980726,-0.19,25.0
0.99980726,-0.19,24.99
0.99980744,-0.01,25.0
0.99980744,-0.01,24.992
0.99980744,-0.01,24.999
0.99980744,-0.01,24.995
0.99980744,-0.01,24.997
0.99980744,-0.01,25.001
0.99980744,-0.01,24.996
0.99980744,-0.01,24.997
0.99980744,-0.01,24.999
0.99980744,-0.01,25.003
0.99980744,-0.01,24.999
0.99980744,-0.01,24.995
0.99980744,-0.01,25.003
0.99980744,-0.01,25.0
0.99980741,-0.04,25.004
0.99980741,-0.04,25.004
0.99980741,-0.04,25.01
0.99980741,-0.04,24.999
0.99980741,-0.04,25.0
0.99980741,-0.04,25.001
0.99980741,-0.04,24.997
0.99980741,-0.04,25.0
0.99980741,-0.04,24.997
0.99980741,-0.04,25.001
0.99980741,-0.04,25.0
0.99980741,-0.04,25.001
0.99980741,-0.04,24.997
0.99980746,0.01,24.997
0.99980746,0.01,25.001
0.99980746,0.01,24.995
0.99980746,0.01,25.0
0.99980746,0.01,25.0
0.99980746,0.01,24.997
0.99980746,0.01,24.996
0.99980746,0.01,24.996
0.99980746,0.01,24.996
0.99980746,0.01,25.005
0.99980746,0.01,25.007
0.99980746,0.01,25.0
0.99980746,0.01,25.008
0.99980746,0.01,25.008
0.99980731,-0.14,25.007
0.99980731,-0.14,25.001
0.99980731,-0.14,24.999
0.99980731,-0.14,25.005
0.99980731,-0.14,24.997
0.99980731,-0.14,24.997
0.99980731,-0.14,24.999
0.99980731,-0.14,24.993
0.99980731,-0.14,25.0
0.99980731,-0.14,25.004
0.99980731,-0.14,24.999
0.99980731,-0.14,24.995
0.99980731,-0.14,25.0
0.99980733,-0.12,25.003
0.99980733,-0.12,25.005
0.99980733,-0.12,24.995
0.99980733,-0.12,25.001
0.99980733,-0.12,24.996
0.99980733,-0.12,25.0
0.99980733,-0.12,24.99
0.99980733,-0.12,25.004
0.99980733,-0.12,24.995
0.99980733,-0.12,25.014
0.99980733,-0.12,25.005
0.99980733,-0.12,24.996
0.99980733,-0.12,24.986
0.99980736,-0.09,25.004
0.99980736,-0.09,25.007
0.99980736,-0.09,25.001
0.99980736,-0.09,24.999
0.99980736,-0.09,25.004
0.99980736,-0.09,25.011
0.99980736,-0.09,24.999
0.99980736,-0.09,24.996
0.99980736,-0.09,24.995
0.99980736,-0.09,25.004
0.99980736,-0.09,25.003
0.99980736,-0.09,25.005
0.99980736,-0.09,25.007
0.99980736,-0.09,25.0
0.99980744,-0.01,25.012
0.99980744,-0.01,25.003
0.99980744,-0.01,25.001
0.99980744,-0.01,25.008
0.99980744,-0.01,24.997
0.99980744,-0.01,24.99
0.99980744,-0.01,25.005
0.99980744,-0.01,25.008
0.99980744,-0.01,24.996
0.99980744,-0.01,24.995
0.99980744,-0.01,25.005
0.99980744,-0.01,24.999
0.99980744,-0.01,25.005
0.99980718,-0.27,24.999
0.99980718,-0.27,24.993
0.99980718,-0.27,25.0
0.99980718,-0.27,24.999
0.99980718,-0.27,24.996
0.99980718,-0.27,24.996
0.99980718,-0.27,24.999
0.99980718,-0.27,24.999
0.99980718,-0.27,24.997
0.99980718,-0.27,25.0
0.99980718,-0.27,25.0
0.99980718,-0.27,24.989
0.99980718,-0.27,24.997
0.99980718,-0.27,24.996
0.99980713,-0.32,25.004
0.99980713,-0.32,25.001
0.99980713,-0.32,24.999
0.99980713,-0.32,24.995
0.99980713,-0.32,25.005
0.99980713,-0.32,25.007
0.99980713,-0.32,24.997
0.99980713,-0.32,24.997
0.99980713,-0.32,24.993
0.99980713,-0.32,25.015
0.99980713,-0.32,25.005
0.99980713,-0.32,25.007
0.99980713,-0.32,25.003
0.99980713,-0.32,24.997
0.99980713,-0.32,24.99
0.99980713,-0.32,24.99
0.99980713,-0.32,25.003
0.99980713,-0.32,25.001
0.99980713,-0.32,24.997
0.99980713,-0.32,25.0
0.99980713,-0.32,25.004
0.99980713,-0.32,25.034
0.99980713,-0.32,25.071
0.99980713,-0.32,25.134
0.99980713,-0.32,25.221
0.99980713,-0.32,25.304
0.99980711,-0.34,25.409
0.99980711,-0.34,25.495
0.99980711,-0.34,25.602
0.99980711,-0.34,25.687
0.99980711,-0.34,25.774
0.99980711,-0.34,25.851
0.99980711,-0.34,25.929
0.99980711,-0.34,25.978
0.99980711,-0.34,26.044
0.99980711,-0.34,26.077
0.99980711,-0.34,26.112
0.99980711,-0.34,26.139
0.99980711,-0.34,26.152
0.99980711,-0.34,26.147
0.99980746,0.01,26.143
0.99980746,0.01,26.139
0.99980746,0.01,26.136
0.99980746,0.01,26.122
0.99980746,0.01,26.106
0.99980746,0.01,26.089
0.99980746,0.01,26.07
0.99980746,0.01,26.048
0.99980746,0.01,26.03
0.99980746,0.01,26.015
0.99980746,0.01,25.997
0.99980746,0.01,25.98
0.99980746,0.01,25.968
0.99980741,-0.04,25.954
0.99980741,-0.04,25.95
0.99980741,-0.04,25.953
0.99980741,-0.04,25.951
0.99980741,-0.04,25.94
0.99980741,-0.04,25.942
0.99980741,-0.04,25.95
0.99980741,-0.04,25.95
0.99980741,-0.04,25.953
0.99980741,-0.04,25.966
0.99980741,-0.04,25.962
0.99980741,-0.04,25.975
0.99980741,-0.04,25.986
0.99980741,-0.04,25.986
0.99980746,0.01,26.002
0.99980746,0.01,26.005
0.99980746,0.01,26.009
0.99980746,0.01,26.009
0.99980746,0.01,26.009
0.99980746,0.01,26.008
0.99980746,0.01,26.009
0.99980746,0.01,26.02
0.99980746,0.01,26.017
0.99980746,0.01,26.026
0.99980746,0.01,26.024
0.99980746,0.01,26.013
0.99980746,0.01,26.015
0.99980761,0.16,26.023
0.99980761,0.16,26.016
0.99980761,0.16,26.019
0.99980761,0.16,26.024
0.99980761,0.16,26.016
0.99980761,0.16,26.005
0.99980761,0.16,26.015
0.99980761,0.16,26.015
0.99980761,0.16,26.009
0.99980761,0.16,26.013
0.99980761,0.16,26.006
0.99980761,0.16,26.008
0.99980761,0.16,26.016
0.99980733,-0.12,26.016
0.99980733,-0.12,26.011
0.99980733,-0.12,26.012
0.99980733,-0.12,26.016
0.99980733,-0.12,26.013
0.99980733,-0.12,26.008
0.99980733,-0.12,26.008
0.99980733,-0.12,26.019
0.99980733,-0.12,26.017
0.99980733,-0.12,26.023
0.99980733,-0.12,26.015
0.99980733,-0.12,26.017
0.99980733,-0.12,26.024
0.99980733,-0.12,26.022
0.99980744,-0.01,26.019
0.99980744,-0.01,26.028
0.99980744,-0.01,26.026
0.99980744,-0.01,26.024
0.99980744,-0.01,26.023
0.99980744,-0.01,26.027
0.99980744,-0.01,26.024
0.99980744,-0.01,26.028
0.99980744,-0.01,26.02
0.99980744,-0.01,26.028
0.99980744,-0.01,26.02
0.99980744,-0.01,26.022
0.99980744,-0.01,26.012
0.99980761,0.16,26.02
0.99980761,0.16,26.015
0.99980761,0.16,26.023
0.99980761,0.16,26.011
0.99980761,0.16,26.019
0.99980761,0.16,26.017
0.99980761,0.16,26.022
0.99980761,0.16,26.023
0.99980761,0.16,26.03
0.99980761,0.16,26.026
0.99980761,0.16,26.026
0.99980761,0.16,26.024
0.99980761,0.16,26.033
0.99980761,0.16,26.027
0.99980746,0.01,26.037
0.99980746,0.01,26.028
0.99980746,0.01,26.026
0.99980746,0.01,26.027
0.99980746,0.01,26.03
0.99980746,0.01,26.026
0.99980746,0.01,26.03
0.99980746,0.01,26.028
0.99980746,0.01,26.027
0.99980746,0.01,26.028
0.99980746,0.01,26.03
0.99980746,0.01,26.024
0.99980746,0.01,26.031
0.99980764,0.19,26.026
0.99980764,0.19,26.023
0.99980764,0.19,26.023
0.99980764,0.19,26.031
0.99980764,0.19,26.022
0.99980764,0.19,26.027
0.99980764,0.19,26.023
0.99980764,0.19,26.028
0.99980764,0.19,26.033
0.99980764,0.19,26.026
0.99980764,0.19,26.027
0.99980764,0.19,26.026
0.99980764,0.19,26.031
0.99980756,0.11,26.03
0.99980756,0.11,26.03
0.99980756,0.11,26.033
0.99980756,0.11,26.031
0.99980756,0.11,26.03
0.99980756,0.11,26.028
0.99980756,0.11,26.028
0.99980756,0.11,26.026
0.99980756,0.11,26.027
0.99980756,0.11,26.026
0.99980756,0.11,26.03
0.99980756,0.11,26.028
0.99980756,0.11,26.027
0.99980756,0.11,26.027
0.99980741,-0.04,26.024
0.99980741,-0.04,26.031
0.99980741,-0.04,26.027
0.99980741,-0.04,26.023
0.99980741,-0.04,26.035
0.99980741,-0.04,26.034
0.99980741,-0.04,26.034
0.99980741,-0.04,26.022
0.99980741,-0.04,26.027
0.99980741,-0.04,26.033
0.99980741,-0.04,26.03
0.99980741,-0.04,26.031
0.99980741,-0.04,26.027
0.99980746,0.01,26.026
0.99980746,0.01,26.023
0.99980746,0.01,26.028
0.99980746,0.01,26.022
0.99980746,0.01,26.028
0.99980746,0.01,26.015
0.99980746,0.01,26.026
0.99980746,0.01,26.028
0.99980746,0.01,26.026
0.99980746,0.01,26.028
0.99980746,0.01,26.019
0.99980746,0.01,26.027
0.99980746,0.01,26.02
0.99980746,0.01,26.026
0.99980741,-0.04,26.028
0.99980741,-0.04,26.023
0.99980741,-0.04,26.022
0.99980741,-0.04,26.03
0.99980741,-0.04,26.016
0.99980741,-0.04,26.033
0.99980741,-0.04,26.027
0.99980741,-0.04,26.035
0.99980741,-0.04,26.023
0.99980741,-0.04,26.03
0.99980741,-0.04,26.009
0.99980741,-0.04,26.028
0.99980741,-0.04,26.026
0.99980751,0.06,26.024
0.99980751,0.06,26.028
0.99980751,0.06,26.033
0.99980751,0.06,26.031
0.99980751,0.06,26.02
0.99980751,0.06,26.024
0.99980751,0.06,26.02
0.99980751,0.06,26.027
0.99980751,0.06,26.024
0.99980751,0.06,26.016
0.99980751,0.06,26.019
0.99980751,0.06,26.016
0.99980751,0.06,26.019
0.99980756,0.11,26.016
0.99980756,0.11,26.019
0.99980756,0.11,26.008
0.99980756,0.11,26.019
0.99980756,0.11,26.019
0.99980756,0.11,26.02
0.99980756,0.11,26.022
0.99980756,0.11,26.026
0.99980756,0.11,26.02
0.99980756,0.11,26.03
0.99980756,0.11,26.028
0.99980756,0.11,26.026
0.99980756,0.11,26.024
0.99980756,0.11,26.023
0.99980761,0.16,26.016
0.99980761,0.16,26.026
0.99980761,0.16,26.022
0.99980761,0.16,26.013
0.99980761,0.16,26.024
0.99980761,0.16,26.016
0.99980761,0.16,26.031
0.99980761,0.16,26.028
0.99980761,0.16,26.026
0.99980761,0.16,26.026
0.99980761,0.16,26.02
0.99980761,0.16,26.023
0.99980761,0.16,26.016
0.99980756,0.11,26.013
0.99980756,0.11,26.035
0.99980756,0.11,26.016
0.99980756,0.11,26.017
0.99980756,0.11,26.024
0.99980756,0.11,26.016
0.99980756,0.11,26.017
0.99980756,0.11,25.998
0.99980756,0.11,26.017
0.99980756,0.11,26.004
0.99980756,0.11,26.015
