timestamp,svrt-reseat
1512782823.858,10000218.0
1512782827.209,10000225.0
1512782830.562,10000226.0
1512782833.914,10000231.0
1512782837.266,10000245.0
1512782840.618,10000229.0
1512782843.970,10000220.0
1512782847.323,10000234.0
1512782850.674,10000223.0
1512782854.026,10000229.0
1512782857.379,10000225.0
1512782860.730,10000233.0
1512782864.083,10000232.0
1512782867.434,10000237.0
1512782870.786,10000241.0
1512782874.139,10000242.0
1512782877.490,10000249.0
1512782880.843,10000241.0
1512782884.195,10000241.0
1512782887.547,10000249.0
1512782890.899,10000236.0
1512782894.251,10000250.0
1512782897.603,10000265.0
1512782900.956,10000261.0
1512782904.307,10000270.0
1512782907.660,10000265.0
1512782911.011,10000270.0
1512782914.364,10000203.0
1512782917.715,10000246.0
1512782921.068,10000191.0
1512782924.420,10000194.0
1512782927.771,10000261.0
1512782931.124,10000194.0
1512782934.476,10000231.0
1512782937.828,10000257.0
1512782941.180,10000271.0
1512782944.532,10000250.0
1512782947.884,10000249.0
1512782951.236,10000274.0
1512782954.588,10000262.0
1512782957.940,10000258.0
1512782961.292,10000205.0
1512782964.645,10000207.0
1512782967.996,10000211.0
1512782971.348,10000190.0
1512782974.701,10000198.0
1512782978.052,10000227.0
1512782981.405,10000266.0
1512782984.756,10000234.0
1512782988.109,10000220.0
1512782991.461,10000230.0
1512782994.813,10000217.0
1512782998.165,10000230.0
1512783001.517,10000242.0
1512783004.869,10000220.0
1512783008.221,10000203.0
1512783011.573,10000199.0
1512783014.925,10000215.0
1512783018.278,10000241.0
1512783021.632,10000238.0
1512783024.981,10000227.0
1512783028.334,10000233.0
1512783031.685,10000225.0
1512783035.038,10000215.0
1512783038.389,10000229.0
1512783041.742,10000204.0
1512783045.093,10000195.0
1512783048.446,10000219.0
1512783051.798,10000216.0
1512783055.150,10000184.0
1512783058.502,10000222.0
1512783061.854,10000226.0
1512783065.206,10000229.0
1512783068.559,10000222.0
1512783071.910,10000229.0
1512783075.262,10000236.0
1512783078.614,10000222.0
1512783081.966,10000232.0
1512783085.319,10000235.0
1512783088.670,10000235.0
1512783092.023,10000231.0
1512783095.374,10000235.0
1512783098.727,10000236.0
1512783102.079,10000233.0
1512783105.431,10000250.0
1512783108.783,10000257.0
1512783112.135,10000260.0
1512783115.487,10000242.0
1512783118.839,10000248.0
1512783122.191,10000243.0
1512783125.543,10000231.0
1512783128.895,10000241.0
1512783132.248,10000236.0
1512783135.599,10000231.0
1512783138.952,10000237.0
1512783142.303,10000235.0
1512783145.656,10000233.0
1512783149.007,10000241.0
1512783152.360,10000234.0
1512783155.712,10000244.0
1512783159.064,10000222.0
1512783162.416,10000226.0
1512783165.767,10000229.0
1512783169.120,10000222.0
1512783172.472,10000231.0
1512783175.824,10000229.0
1512783179.176,10000198.0
1512783182.529,10000225.0
1512783185.880,10000223.0
1512783189.233,10000228.0
1512783192.584,10000227.0
1512783195.936,10000220.0
1512783199.288,10000221.0
1512783202.641,10000220.0
1512783205.992,10000181.0
1512783209.345,10000100.0
1512783212.697,10000179.0
1512783216.049,10000175.0
1512783219.401,10000171.0
1512783222.752,10000215.0
1512783226.105,10000232.0
1512783229.457,10000217.0
1512783232.809,10000219.0
1512783236.161,10000229.0
1512783239.513,10000223.0
1512783242.866,10000228.0
1512783246.217,10000231.0
1512783249.569,10000226.0
1512783252.922,10000235.0
1512783256.273,10000232.0
1512783259.626,10000234.0
1512783262.977,10000234.0
1512783266.330,10000236.0
1512783269.682,10000234.0
1512783273.034,10000196.0
1512783276.385,10000232.0
1512783279.738,10000226.0
1512783283.090,10000183.0
1512783286.442,10000229.0
1512783289.794,10000226.0
1512783293.147,10000238.0
1512783296.498,10000233.0
1512783299.850,10000225.0
1512783303.202,10000232.0
1512783306.554,10000224.0
1512783309.906,10000204.0
1512783313.258,10000216.0
1512783316.610,10000196.0
1512783319.963,10000210.0
1512783323.314,10000213.0
1512783326.667,10000215.0
1512783330.019,10000225.0
1512783333.371,10000198.0
1512783336.723,10000224.0
1512783340.075,10000201.0
1512783343.427,10000234.0
1512783346.779,10000211.0
1512783350.131,10000136.0
1512783353.483,10000191.0
1512783356.835,10000202.0
1512783360.188,10000191.0
1512783363.539,10000221.0
1512783366.891,10000227.0
1512783370.244,10000228.0
1512783373.595,10000211.0
1512783376.948,10000213.0
1512783380.299,10000215.0
1512783383.652,10000244.0
1512783387.004,10000245.0
1512783390.356,10000235.0
1512783393.708,10000230.0
1512783397.060,10000224.0
1512783400.412,10000137.0
1512783403.765,10000181.0
1512783407.116,10000126.0
1512783410.468,10000230.0
1512783413.820,10000230.0
1512783417.172,10000228.0
1512783420.525,10000173.0
1512783423.876,10000222.0
1512783427.229,10000217.0
1512783430.580,10000203.0
1512783433.933,10000231.0
1512783437.285,10000193.0
1512783440.637,10000196.0
1512783443.989,10000220.0
1512783447.341,10000224.0
1512783450.693,10000205.0
1512783454.045,10000226.0
1512783457.397,10000275.0
1512783460.749,10000264.0
1512783464.102,10000278.0
1512783467.453,10000193.0
1512783470.805,10000220.0
1512783474.157,10000253.0
1512783477.509,10000212.0
1512783480.861,10000205.0
1512783484.214,10000216.0
1512783487.565,10000199.0
1512783490.918,10000198.0
1512783494.270,10000172.0
1512783497.622,10000123.0
1512783500.974,10000132.0
1512783504.326,10000163.0
1512783507.678,10000133.0
1512783511.031,10000178.0
1512783514.382,10000184.0
1512783517.734,10000156.0
1512783521.086,10000183.0
1512783524.438,10000209.0
1512783527.791,10000191.0
1512783531.142,10000204.0
1512783534.495,10000178.0
1512783537.847,10000185.0
1512783541.199,10000244.0
1512783544.551,10000237.0
1512783547.902,10000253.0
1512783551.255,10000209.0
1512783554.607,10000207.0
1512783557.959,10000206.0
1512783561.311,10000241.0
1512783564.663,10000230.0
1512783568.015,10000227.0
1512783571.368,10000169.0
1512783574.719,10000167.0
1512783578.072,10000140.0
