set_c,oven_c,output,ambient_c
25.000,24.103,205.00,20.815
25.000,24.101,205.00,20.815
25.000,24.246,154.30,20.793
25.000,24.509,82.12,20.804
25.000,24.766,42.44,20.825
25.000,24.949,32.36,20.782
25.000,25.049,36.90,20.815
25.000,25.068,55.58,20.815
25.000,25.072,57.64,20.804
25.000,25.085,50.67,20.804
25.000,25.112,38.86,20.782
25.000,25.138,31.50,20.815
25.000,25.141,34.28,20.782
25.000,25.133,36.01,20.804
25.000,25.111,41.75,20.804
25.000,25.096,40.16,20.804
25.000,25.087,38.23,20.782
25.000,25.089,32.14,20.793
25.000,25.088,31.44,20.793
25.000,25.085,30.57,20.815
25.000,25.073,33.97,20.815
25.000,25.068,31.23,20.815
25.000,25.065,29.74,20.815
25.000,25.064,27.80,20.815
25.000,25.062,26.78,20.825
25.000,25.060,26.21,20.815
25.000,25.051,28.38,20.815
25.000,25.041,29.51,20.836
25.000,25.030,31.26,20.793
25.000,25.028,28.52,20.793
25.000,25.027,27.48,20.815
25.000,25.031,24.65,20.793
25.000,25.030,25.90,20.815
25.000,25.027,26.27,20.825
25.000,25.017,29.84,20.804
25.000,25.016,27.05,20.815
25.000,25.015,26.63,20.815
25.000,25.020,23.60,20.815
25.000,25.020,24.46,20.815
25.000,25.019,24.54,20.815
25.000,25.012,27.57,20.815
25.000,25.011,25.37,20.815
25.000,25.009,26.20,20.825
25.000,25.014,22.80,20.825
25.000,25.015,23.45,20.825
25.000,25.017,22.34,20.825
25.000,25.012,25.26,20.815
25.000,25.010,24.17,20.815
25.000,25.007,24.86,20.825
25.000,25.012,21.77,20.825
25.000,25.012,22.49,20.815
25.000,25.012,22.55,20.836
25.000,25.005,25.77,20.825
25.000,25.006,23.02,20.836
25.000,25.004,23.89,20.847
25.000,25.009,21.22,20.815
25.000,25.007,22.85,20.836
25.000,25.008,22.08,20.825
25.000,25.004,24.27,20.825
25.000,25.005,22.40,20.804
26.000,25.003,205.00,20.825
26.000,25.022,205.00,20.815
26.000,25.156,202.25,20.815
26.000,25.390,144.26,20.825
26.000,25.640,102.28,20.836
26.000,25.848,80.28,20.836
26.000,25.994,71.88,20.825
26.000,26.085,69.93,20.825
26.000,26.120,76.48,20.815
26.000,26.141,73.82,20.815
26.000,26.163,65.86,20.815
26.000,26.185,57.69,20.825
26.000,26.191,56.77,20.815
26.000,26.189,55.38,20.825
26.000,26.172,58.62,20.804
26.000,26.157,57.56,20.836
26.000,26.142,56.67,20.825
26.000,26.137,52.08,20.804
26.000,26.131,50.19,20.836
26.000,26.127,47.33,20.815
26.000,26.121,46.47,20.804
26.000,26.118,43.50,20.836
26.000,26.114,41.65,20.804
26.000,26.108,40.89,20.815
26.000,26.091,45.42,20.815
26.000,26.072,47.77,20.804
26.000,26.056,48.06,20.825
26.000,26.055,42.97,20.815
26.000,26.057,40.62,20.815
26.000,26.061,37.86,20.825
26.000,26.054,40.95,20.836
26.000,26.047,41.08,20.804
26.000,26.039,42.09,20.804
26.000,26.037,39.72,20.804
26.000,26.037,38.67,20.804
26.000,26.037,37.23,20.815
26.000,26.035,37.76,20.804
26.000,26.034,36.92,20.804
26.000,26.032,36.77,20.804
26.000,26.031,35.79,20.815
26.000,26.030,35.60,20.793
26.000,26.029,34.88,20.804
26.000,26.028,34.53,20.804
26.000,26.028,33.72,20.793
26.000,26.026,34.08,20.793
26.000,26.025,33.32,20.804
26.000,26.022,33.63,20.782
26.000,26.021,32.99,20.782
26.000,26.018,33.75,20.772
26.000,26.017,33.21,20.793
26.000,26.012,34.54,20.772
26.000,26.013,32.67,20.793
26.000,26.011,33.24,20.793
26.000,26.014,31.39,20.793
26.000,26.012,32.94,20.793
26.000,26.012,31.56,20.815
26.000,26.009,33.38,20.804
26.000,26.008,32.36,20.804
26.000,26.006,33.08,20.804
26.000,26.008,31.15,20.772
