resistance,ppm,temp_c,ambient_c
69999.756,0.11,25.007,20.825
69999.756,0.11,25.0,20.815
69999.756,0.11,24.997,20.836
69999.756,0.11,25.001,20.815
69999.756,0.11,24.999,20.825
69999.756,0.11,25.003,20.836
69999.756,0.11,25.0,20.815
69999.756,0.11,25.0,20.825
69999.756,0.11,25.004,20.815
69999.759,0.15,25.001,20.825
69999.759,0.15,25.001,20.836
69999.759,0.15,25.0,20.825
69999.759,0.15,25.007,20.825
69999.759,0.15,24.995,20.825
69999.759,0.15,24.995,20.825
69999.759,0.15,24.996,20.825
69999.759,0.15,24.997,20.836
69999.759,0.15,24.996,20.836
69999.759,0.15,25.005,20.836
69999.759,0.15,24.99,20.836
69999.759,0.15,24.999,20.836
69999.759,0.15,25.003,20.847
69999.736,-0.18,25.008,20.836
69999.736,-0.18,25.0,20.847
69999.736,-0.18,25.001,20.847
69999.736,-0.18,25.007,20.836
69999.736,-0.18,25.005,20.825
69999.736,-0.18,25.004,20.836
69999.736,-0.18,25.01,20.825
69999.736,-0.18,24.995,20.836
69999.736,-0.18,24.999,20.836
69999.736,-0.18,24.997,20.825
69999.736,-0.18,25.0,20.825
69999.736,-0.18,24.993,20.836
69999.736,-0.18,24.999,20.825
69999.736,-0.18,24.993,20.825
69999.741,-0.11,24.996,20.836
69999.741,-0.11,24.992,20.815
69999.741,-0.11,24.993,20.836
69999.741,-0.11,25.0,20.836
69999.741,-0.11,25.001,20.825
69999.741,-0.11,24.992,20.825
69999.741,-0.11,24.999,20.836
69999.741,-0.11,24.993,20.825
69999.741,-0.11,24.997,20.836
69999.741,-0.11,24.996,20.836
69999.741,-0.11,25.007,20.836
69999.741,-0.11,25.003,20.836
69999.741,-0.11,25.003,20.836
69999.744,-0.07,25.003,20.836
69999.744,-0.07,25.003,20.847
69999.744,-0.07,25.004,20.836
69999.744,-0.07,24.993,20.836
69999.744,-0.07,25.0,20.836
69999.744,-0.07,25.001,20.836
69999.744,-0.07,25.01,20.836
69999.744,-0.07,25.012,20.836
69999.744,-0.07,24.997,20.847
69999.744,-0.07,25.001,20.836
69999.744,-0.07,24.99,20.847
69999.744,-0.07,25.001,20.825
69999.744,-0.07,24.986,20.868
69999.744,-0.07,24.999,20.836
69999.756,0.11,24.99,20.825
69999.756,0.11,24.996,20.858
69999.756,0.11,24.99,20.858
69999.756,0.11,24.993,20.836
69999.756,0.11,24.996,20.836
69999.756,0.11,25.004,20.836
69999.756,0.11,25.0,20.836
69999.756,0.11,25.007,20.847
69999.756,0.11,25.001,20.836
69999.756,0.11,25.011,20.858
69999.756,0.11,24.997,20.836
69999.756,0.11,25.003,20.847
69999.756,0.11,24.995,20.836
69999.764,0.22,25.011,20.836
69999.764,0.22,25.0,20.868
69999.764,0.22,25.005,20.836
69999.764,0.22,25.001,20.825
69999.764,0.22,25.016,20.847
69999.764,0.22,25.008,20.836
69999.764,0.22,25.008,20.836
69999.764,0.22,25.0,20.815
69999.764,0.22,25.004,20.836
69999.764,0.22,25.015,20.836
69999.764,0.22,25.004,20.847
69999.764,0.22,24.996,20.858
69999.764,0.22,25.005,20.836
69999.761,0.18,25.005,20.858
69999.761,0.18,25.0,20.858
69999.761,0.18,24.995,20.858
69999.761,0.18,24.996,20.836
69999.761,0.18,24.989,20.836
69999.761,0.18,24.986,20.836
69999.761,0.18,24.996,20.847
69999.761,0.18,24.999,20.825
69999.761,0.18,24.996,20.847
69999.761,0.18,25.001,20.847
69999.761,0.18,24.993,20.836
69999.761,0.18,25.005,20.836
69999.761,0.18,24.997,20.847
69999.761,0.18,25.004,20.836
69999.733,-0.22,24.995,20.825
69999.733,-0.22,24.995,20.858
69999.733,-0.22,25.001,20.847
69999.733,-0.22,25.005,20.847
69999.733,-0.22,25.008,20.847
69999.733,-0.22,25.008,20.847
69999.733,-0.22,25.001,20.847
69999.733,-0.22,25.005,20.825
69999.733,-0.22,25.01,20.836
69999.733,-0.22,25.014,20.836
69999.733,-0.22,25.01,20.836
69999.733,-0.22,25.004,20.847
69999.733,-0.22,25.007,20.836
69999.741,-0.11,25.001,20.858
69999.741,-0.11,24.997,20.836
69999.741,-0.11,25.007,20.836
69999.741,-0.11,25.0,20.836
69999.741,-0.11,24.988,20.825
69999.741,-0.11,24.996,20.825
69999.741,-0.11,24.993,20.858
69999.741,-0.11,24.992,20.836
69999.741,-0.11,24.996,20.825
69999.741,-0.11,24.997,20.836
69999.741,-0.11,25.003,20.847
69999.741,-0.11,24.997,20.836
69999.741,-0.11,25.001,20.836
69999.741,-0.11,24.995,20.847
69999.744,-0.07,24.997,20.825
69999.744,-0.07,24.999,20.836
69999.744,-0.07,24.999,20.847
69999.744,-0.07,24.993,20.847
69999.744,-0.07,25.005,20.825
69999.744,-0.07,24.997,20.847
69999.744,-0.07,25.003,20.836
69999.744,-0.07,25.0,20.825
69999.744,-0.07,25.005,20.847
69999.744,-0.07,24.992,20.825
69999.744,-0.07,24.999,20.836
69999.744,-0.07,24.992,20.836
69999.744,-0.07,25.001,20.847
69999.756,0.11,25.007,20.836
69999.756,0.11,25.003,20.858
69999.756,0.11,24.999,20.836
69999.756,0.11,25.005,20.825
69999.756,0.11,25.004,20.836
69999.756,0.11,24.993,20.847
69999.756,0.11,24.996,20.836
69999.756,0.11,25.001,20.858
69999.756,0.11,24.996,20.847
69999.756,0.11,25.004,20.847
69999.756,0.11,24.996,20.847
69999.756,0.11,24.996,20.858
69999.756,0.11,24.995,20.858
69999.751,0.03,24.99,20.836
69999.751,0.03,24.995,20.858
69999.751,0.03,25.007,20.858
69999.751,0.03,24.995,20.847
69999.751,0.03,24.999,20.847
69999.751,0.03,25.005,20.868
69999.751,0.03,24.996,20.836
69999.751,0.03,24.995,20.825
69999.751,0.03,25.0,20.836
69999.751,0.03,25.001,20.858
69999.751,0.03,25.007,20.868
69999.751,0.03,25.003,20.836
69999.751,0.03,24.999,20.858
69999.751,0.03,25.007,20.836
69999.744,-0.07,24.997,20.858
69999.744,-0.07,24.989,20.836
69999.744,-0.07,25.001,20.847
69999.744,-0.07,25.001,20.836
69999.744,-0.07,25.0,20.836
69999.744,-0.07,25.001,20.847
69999.744,-0.07,24.999,20.858
69999.744,-0.07,24.997,20.847
69999.744,-0.07,25.0,20.836
69999.744,-0.07,25.005,20.847
69999.744,-0.07,25.0,20.836
69999.744,-0.07,25.003,20.847
69999.744,-0.07,24.996,20.858
69999.766,0.25,24.993,20.858
69999.766,0.25,24.995,20.858
69999.766,0.25,25.0,20.858
69999.766,0.25,24.999,20.858
69999.766,0.25,25.007,20.847
69999.766,0.25,24.999,20.858
69999.766,0.25,25.0,20.868
69999.766,0.25,25.003,20.858
69999.766,0.25,25.001,20.858
69999.766,0.25,25.003,20.868
69999.766,0.25,24.996,20.879
69999.766,0.25,25.001,20.868
69999.766,0.25,24.999,20.868
69999.766,0.25,25.0,20.868
69999.761,0.18,24.995,20.868
69999.761,0.18,25.001,20.868
69999.761,0.18,24.997,20.868
69999.761,0.18,24.996,20.868
69999.761,0.18,24.995,20.868
69999.761,0.18,25.001,20.868
69999.761,0.18,24.989,20.868
69999.761,0.18,24.997,20.879
69999.761,0.18,24.995,20.868
69999.761,0.18,24.992,20.879
69999.761,0.18,25.0,20.868
69999.761,0.18,25.001,20.858
69999.761,0.18,25.001,20.89
69999.733,-0.22,25.0,20.868
69999.733,-0.22,24.995,20.868
69999.733,-0.22,25.011,20.868
69999.733,-0.22,25.008,20.879
69999.733,-0.22,25.004,20.879
69999.733,-0.22,25.008,20.868
69999.733,-0.22,24.996,20.868
69999.733,-0.22,24.996,20.89
69999.733,-0.22,25.001,20.879
69999.733,-0.22,24.995,20.868
69999.733,-0.22,25.01,20.858
69999.733,-0.22,24.997,20.868
69999.733,-0.22,25.004,20.868
69999.771,0.32,24.993,20.868
69999.771,0.32,25.005,20.868
69999.771,0.32,25.003,20.879
69999.771,0.32,25.001,20.868
69999.771,0.32,24.992,20.879
69999.771,0.32,24.996,20.868
69999.771,0.32,25.004,20.89
69999.771,0.32,24.997,20.868
69999.771,0.32,24.996,20.879
69999.771,0.32,24.999,20.879
69999.771,0.32,25.004,20.868
69999.771,0.32,24.997,20.89
69999.771,0.32,25.0,20.89
69999.771,0.32,25.01,20.868
69999.749,0.01,24.995,20.879
69999.749,0.01,24.996,20.9
69999.749,0.01,24.997,20.89
69999.749,0.01,24.996,20.868
69999.749,0.01,25.004,20.89
69999.749,0.01,25.0,20.89
69999.749,0.01,24.993,20.9
69999.749,0.01,25.003,20.879
69999.749,0.01,24.996,20.879
69999.749,0.01,24.999,20.89
69999.749,0.01,24.996,20.9
69999.749,0.01,24.997,20.879
69999.749,0.01,24.992,20.879
69999.741,-0.11,25.001,20.89
69999.741,-0.11,24.997,20.879
69999.741,-0.11,25.007,20.868
69999.741,-0.11,25.001,20.89
69999.741,-0.11,25.005,20.9
69999.741,-0.11,25.003,20.868
69999.741,-0.11,25.005,20.868
69999.741,-0.11,24.992,20.89
69999.741,-0.11,25.001,20.879
69999.741,-0.11,24.993,20.89
69999.741,-0.11,24.995,20.911
69999.741,-0.11,24.993,20.911
69999.741,-0.11,25.004,20.911
69999.741,-0.11,24.995,20.911
69999.759,0.15,25.004,20.9
69999.759,0.15,25.005,20.911
69999.759,0.15,25.004,20.9
69999.759,0.15,25.004,20.89
69999.759,0.15,25.011,20.911
69999.759,0.15,25.0,20.9
69999.759,0.15,25.004,20.911
69999.759,0.15,25.004,20.911
69999.759,0.15,25.003,20.9
69999.759,0.15,25.003,20.89
69999.759,0.15,25.0,20.922
69999.759,0.15,25.001,20.922
69999.759,0.15,24.997,20.89
69999.744,-0.07,24.993,20.89
69999.744,-0.07,24.989,20.9
69999.744,-0.07,24.988,20.9
69999.744,-0.07,24.992,20.922
69999.744,-0.07,24.996,20.933
69999.744,-0.07,24.993,20.933
69999.744,-0.07,24.997,20.9
69999.744,-0.07,24.997,20.922
69999.744,-0.07,24.995,20.922
69999.744,-0.07,24.996,20.911
69999.744,-0.07,24.996,20.9
69999.744,-0.07,25.01,20.9
69999.744,-0.07,25.0,20.9
69999.744,-0.07,25.001,20.922
69999.744,-0.07,25.003,20.922
69999.744,-0.07,25.012,20.9
69999.744,-0.07,25.011,20.922
69999.744,-0.07,25.011,20.933
69999.744,-0.07,24.997,20.922
69999.744,-0.07,24.997,20.922
69999.744,-0.07,24.997,20.922
69999.744,-0.07,25.0,20.922
69999.744,-0.07,25.005,20.911
69999.744,-0.07,25.004,20.922
69999.744,-0.07,25.001,20.911
69999.744,-0.07,25.011,20.922
69999.744,-0.07,24.997,20.922
69999.761,0.18,25.001,20.933
69999.761,0.18,25.003,20.943
69999.761,0.18,25.003,20.943
69999.761,0.18,25.0,20.922
69999.761,0.18,24.997,20.943
69999.761,0.18,24.999,20.933
69999.761,0.18,25.0,20.911
69999.761,0.18,25.001,20.922
69999.761,0.18,24.999,20.933
69999.761,0.18,25.001,20.933
69999.761,0.18,24.996,20.933
69999.761,0.18,24.995,20.933
69999.761,0.18,25.004,20.933
69999.764,0.22,24.99,20.933
69999.764,0.22,25.0,20.943
69999.764,0.22,24.988,20.933
69999.764,0.22,24.996,20.954
69999.764,0.22,25.0,20.943
69999.764,0.22,25.007,20.933
69999.764,0.22,25.0,20.933
69999.764,0.22,25.005,20.933
69999.764,0.22,24.997,20.954
69999.764,0.22,24.996,20.933
69999.764,0.22,24.999,20.933
69999.764,0.22,24.999,20.943
69999.764,0.22,24.996,20.933
69999.764,0.22,25.005,20.933
69999.769,0.29,25.003,20.943
69999.769,0.29,24.999,20.933
69999.769,0.29,24.997,20.933
69999.769,0.29,25.007,20.922
69999.769,0.29,24.999,20.943
69999.769,0.29,25.005,20.922
69999.769,0.29,24.99,20.954
69999.769,0.29,24.993,20.933
69999.769,0.29,24.99,20.943
69999.769,0.29,24.997,20.943
69999.769,0.29,25.001,20.933
69999.769,0.29,25.005,20.933
69999.769,0.29,25.01,20.943
69999.774,0.36,25.0,20.922
69999.774,0.36,25.0,20.954
69999.774,0.36,25.008,20.954
69999.774,0.36,25.003,20.922
69999.774,0.36,25.0,20.965
69999.774,0.36,24.996,20.943
69999.774,0.36,25.0,20.933
69999.774,0.36,24.993,20.965
69999.774,0.36,24.993,20.943
69999.774,0.36,24.993,20.954
69999.774,0.36,24.989,20.943
69999.774,0.36,25.001,20.943
69999.774,0.36,24.99,20.954
69999.749,0.01,24.995,20.933
69999.749,0.01,25.005,20.943
69999.749,0.01,24.999,20.965
69999.749,0.01,25.004,20.943
69999.749,0.01,25.0,20.943
69999.749,0.01,25.007,20.976
69999.749,0.01,25.007,20.954
69999.749,0.01,25.001,20.954
69999.749,0.01,25.004,20.933
69999.749,0.01,25.008,20.965
69999.749,0.01,25.005,20.965
69999.749,0.01,24.997,20.954
69999.749,0.01,24.997,20.943
69999.749,0.01,25.007,20.954
69999.726,-0.32,25.001,20.954
69999.726,-0.32,25.001,20.965
69999.726,-0.32,25.0,20.943
69999.726,-0.32,25.0,20.954
69999.726,-0.32,24.989,20.965
69999.726,-0.32,24.992,20.965
69999.726,-0.32,24.996,20.965
69999.726,-0.32,24.992,20.986
69999.726,-0.32,24.995,20.976
69999.726,-0.32,24.99,20.954
69999.726,-0.32,24.997,20.976
69999.726,-0.32,25.003,20.965
69999.726,-0.32,25.001,20.965
69999.736,-0.18,25.004,20.976
69999.736,-0.18,25.008,20.965
69999.736,-0.18,25.008,20.986
69999.736,-0.18,25.001,20.954
69999.736,-0.18,25.015,20.965
69999.736,-0.18,25.001,20.976
69999.736,-0.18,25.007,20.965
69999.736,-0.18,25.005,20.976
69999.736,-0.18,25.008,20.976
69999.736,-0.18,24.997,20.965
69999.736,-0.18,25.01,20.965
69999.736,-0.18,25.014,20.965
69999.736,-0.18,25.001,20.976
69999.736,-0.18,24.996,20.976
69999.746,-0.04,24.999,20.965
69999.746,-0.04,24.996,20.986
69999.746,-0.04,24.995,20.986
69999.746,-0.04,25.005,20.976
69999.746,-0.04,24.995,20.986
69999.746,-0.04,25.0,20.986
69999.746,-0.04,24.997,20.986
69999.746,-0.04,24.99,20.986
69999.746,-0.04,24.997,20.986
69999.746,-0.04,25.003,20.986
69999.746,-0.04,24.995,20.986
69999.746,-0.04,24.995,20.976
69999.746,-0.04,24.997,20.976
69999.744,-0.07,25.0,20.986
69999.744,-0.07,25.005,20.997
69999.744,-0.07,25.007,20.986
69999.744,-0.07,25.003,21.008
69999.744,-0.07,25.012,20.986
69999.744,-0.07,25.005,21.018
69999.744,-0.07,24.995,20.997
69999.744,-0.07,24.995,20.997
69999.744,-0.07,25.005,20.986
69999.744,-0.07,25.007,21.008
69999.744,-0.07,24.999,20.997
69999.744,-0.07,25.005,20.997
69999.744,-0.07,25.003,21.008
69999.736,-0.18,25.003,20.986
69999.736,-0.18,25.003,20.986
69999.736,-0.18,25.008,21.008
69999.736,-0.18,24.995,20.986
69999.736,-0.18,24.999,20.997
69999.736,-0.18,24.996,20.997
69999.736,-0.18,24.995,20.986
69999.736,-0.18,24.993,20.997
69999.736,-0.18,24.99,21.008
69999.736,-0.18,24.99,20.986
69999.736,-0.18,24.996,20.976
69999.736,-0.18,25.0,20.997
69999.736,-0.18,24.989,20.997
69999.736,-0.18,24.992,20.986
69999.744,-0.07,24.997,21.008
69999.744,-0.07,24.996,20.986
69999.744,-0.07,24.999,21.008
69999.744,-0.07,25.008,21.008
69999.744,-0.07,25.001,20.997
69999.744,-0.07,25.0,20.997
69999.744,-0.07,25.003,20.997
69999.744,-0.07,24.992,20.997
69999.744,-0.07,24.999,21.018
69999.744,-0.07,25.005,20.986
69999.744,-0.07,25.007,21.008
69999.744,-0.07,25.0,20.997
69999.744,-0.07,25.008,21.008
69999.749,0.01,24.997,21.008
69999.749,0.01,24.997,21.008
69999.749,0.01,24.993,20.997
69999.749,0.01,24.992,20.997
69999.749,0.01,24.999,21.008
69999.749,0.01,25.011,20.976
69999.749,0.01,25.0,20.997
69999.749,0.01,25.008,20.997
69999.749,0.01,24.996,20.997
69999.749,0.01,24.99,21.008
69999.749,0.01,25.0,21.008
69999.749,0.01,24.999,21.018
69999.749,0.01,25.001,21.008
69999.749,0.01,25.01,21.018
69999.723,-0.37,24.997,20.997
69999.723,-0.37,25.001,21.008
69999.723,-0.37,24.997,21.008
69999.723,-0.37,24.996,21.018
69999.723,-0.37,25.001,21.008
69999.723,-0.37,25.007,21.008
69999.723,-0.37,25.003,21.008
69999.723,-0.37,25.004,21.018
69999.723,-0.37,25.001,21.04
69999.723,-0.37,25.003,21.008
69999.723,-0.37,24.996,21.008
69999.723,-0.37,24.999,21.008
69999.723,-0.37,24.996,21.018
69999.744,-0.07,24.999,21.018
69999.744,-0.07,25.003,21.018
69999.744,-0.07,25.004,21.029
69999.744,-0.07,24.999,21.018
69999.744,-0.07,25.003,21.018
69999.744,-0.07,25.003,21.04
69999.744,-0.07,25.0,21.029
69999.744,-0.07,24.995,21.029
69999.744,-0.07,25.0,21.029
69999.744,-0.07,24.996,21.04
69999.744,-0.07,24.997,21.018
69999.744,-0.07,24.997,21.018
69999.744,-0.07,24.993,21.051
69999.744,-0.07,25.003,21.018
69999.756,0.11,24.995,21.051
69999.756,0.11,24.997,21.04
