timestamp,ambient_c,ambient_rh
1521264358.26,22.055,71.488
1521264359.87,22.052,71.482
1521264361.48,22.053,71.489
1521264363.09,22.057,71.493
1521264364.70,22.063,71.481
1521264366.31,22.060,71.482
1521264367.92,22.063,71.484
1521264369.53,22.063,71.480
1521264371.14,22.057,71.474
1521264372.75,22.053,71.475
1521264374.36,22.064,71.479
1521264375.97,22.059,71.479
1521264377.58,22.068,71.472
1521264379.19,22.065,71.475
1521264380.80,22.061,71.467
1521264382.41,22.053,71.465
1521264384.03,22.063,71.468
1521264385.64,22.068,71.469
1521264387.25,22.061,71.467
1521264388.86,22.064,71.468
1521264390.47,22.061,71.467
1521264392.07,22.071,71.470
1521264393.69,22.064,71.476
1521264395.30,22.065,71.473
1521264396.91,22.063,71.470
1521264398.52,22.061,71.469
1521264400.13,22.069,71.474
1521264401.74,22.065,71.475
1521264403.35,22.073,71.475
1521264404.96,22.065,71.474
1521264406.57,22.057,71.470
1521264408.18,22.060,71.475
1521264409.79,22.068,71.478
1521264411.41,22.072,71.477
1521264413.02,22.065,71.466
1521264414.63,22.069,71.479
1521264416.24,22.068,71.477
1521264417.85,22.071,71.483
1521264419.46,22.074,71.475
1521264421.07,22.071,71.475
1521264422.68,22.069,71.473
1521264424.29,22.069,71.472
1521264425.90,22.072,71.477
1521264427.51,22.072,71.471
1521264429.12,22.075,71.472
1521264430.73,22.076,71.476
1521264432.34,22.072,71.472
1521264433.95,22.074,71.473
1521264435.56,22.080,71.470
1521264437.18,22.075,71.466
1521264438.79,22.071,71.472
1521264440.40,22.072,71.474
1521264442.01,22.068,71.480
1521264443.62,22.078,71.487
1521264445.23,22.078,71.476
1521264446.84,22.075,71.485
1521264448.45,22.076,71.479
1521264450.06,22.080,71.479
1521264451.67,22.075,71.482
1521264453.28,22.083,71.484
1521264454.89,22.075,71.488
1521264456.50,22.076,71.488
1521264458.11,22.082,71.488
1521264459.72,22.084,71.491
1521264461.33,22.079,71.500
1521264462.95,22.083,71.497
1521264464.56,22.075,71.499
1521264466.17,22.082,71.502
1521264467.78,22.083,71.516
1521264469.39,22.083,71.511
1521264471.00,22.080,71.516
1521264472.61,22.086,71.515
1521264474.22,22.083,71.519
1521264475.83,22.080,71.518
1521264477.44,22.078,71.527
1521264479.05,22.087,71.523
1521264480.66,22.084,71.530
1521264482.27,22.088,71.534
1521264483.88,22.080,71.535
1521264485.49,22.083,71.536
1521264487.10,22.082,71.547
1521264488.72,22.082,71.546
1521264490.33,22.084,71.553
1521264491.94,22.090,71.553
1521264493.55,22.088,71.552
1521264495.16,22.088,71.554
1521264496.77,22.080,71.559
1521264498.38,22.083,71.566
1521264499.99,22.091,71.562
1521264501.60,22.083,71.563
1521264503.21,22.090,71.569
1521264504.82,22.091,71.564
1521264506.43,22.083,71.571
1521264508.04,22.092,71.570
1521264509.65,22.090,71.577
1521264511.26,22.094,71.581
1521264512.87,22.091,71.589
1521264514.49,22.095,71.591
1521264516.10,22.095,71.603
1521264517.71,22.090,71.602
1521264519.32,22.088,71.603
1521264520.93,22.090,71.603
1521264522.54,22.090,71.609
1521264524.15,22.098,71.617
1521264525.76,22.091,71.621
1521264527.37,22.095,71.625
1521264528.98,22.092,71.621
1521264530.59,22.090,71.636
1521264532.20,22.096,71.638
1521264533.81,22.091,71.637
1521264535.42,22.098,71.646
1521264537.03,22.100,71.647
1521264538.64,22.092,71.650
1521264540.26,22.094,71.661
1521264541.87,22.095,71.667
1521264543.48,22.095,71.667
1521264545.09,22.095,71.665
1521264546.70,22.092,71.671
1521264548.31,22.106,71.672
1521264549.92,22.095,71.673
1521264551.53,22.096,71.676
1521264553.14,22.096,71.679
1521264554.75,22.098,71.681
1521264556.36,22.103,71.682
1521264557.97,22.100,71.690
1521264559.58,22.098,71.693
1521264561.19,22.095,71.693
1521264562.80,22.102,71.699
1521264564.41,22.102,71.700
1521264566.03,22.103,71.698
1521264567.64,22.106,71.706
1521264569.25,22.103,71.707
1521264570.86,22.102,71.706
1521264572.47,22.108,71.711
1521264574.08,22.104,71.706
1521264575.69,22.100,71.698
1521264577.30,22.104,71.707
1521264578.91,22.099,71.703
1521264580.52,22.099,71.707
1521264582.13,22.114,71.703
1521264583.74,22.107,71.711
1521264585.35,22.104,71.712
1521264586.96,22.104,71.710
1521264588.57,22.104,71.718
1521264590.18,22.100,71.721
1521264591.80,22.107,71.720
1521264593.41,22.103,71.718
1521264595.02,22.108,71.727
1521264596.63,22.104,71.725
1521264598.24,22.107,71.729
1521264599.85,22.107,71.724
1521264601.46,22.104,71.736
1521264603.07,22.115,71.733
1521264604.68,22.111,71.742
1521264606.29,22.116,71.744
1521264607.90,22.112,71.747
1521264609.51,22.110,71.753
1521264611.12,22.104,71.747
1521264612.73,22.106,71.754
1521264614.34,22.111,71.762
1521264615.95,22.112,71.760
1521264617.57,22.111,71.764
1521264619.18,22.114,71.765
1521264620.79,22.108,71.771
1521264622.40,22.110,71.773
1521264624.01,22.111,71.781
1521264625.62,22.106,71.783
1521264627.23,22.112,71.786
1521264628.84,22.112,71.793
1521264630.45,22.118,71.791
1521264632.06,22.120,71.797
1521264633.67,22.108,71.800
1521264635.28,22.116,71.806
1521264636.89,22.118,71.806
1521264638.50,22.115,71.808
1521264640.11,22.123,71.811
1521264641.72,22.110,71.814
1521264643.33,22.118,71.819
1521264644.95,22.115,71.810
1521264646.56,22.115,71.823
1521264648.17,22.119,71.826
1521264649.78,22.123,71.823
1521264651.39,22.124,71.821
1521264653.00,22.115,71.828
1521264654.61,22.119,71.812
1521264656.22,22.112,71.822
1521264657.83,22.116,71.826
1521264659.44,22.119,71.829
1521264661.05,22.119,71.823
1521264662.66,22.120,71.820
1521264664.27,22.114,71.830
1521264665.88,22.118,71.818
1521264667.49,22.124,71.827
1521264669.10,22.124,71.826
1521264670.72,22.118,71.832
1521264672.33,22.124,71.831
1521264673.94,22.122,71.831
1521264675.55,22.124,71.832
1521264677.16,22.119,71.837
1521264678.77,22.122,71.844
1521264680.38,22.130,71.839
1521264681.99,22.127,71.835
1521264683.60,22.123,71.842
1521264685.21,22.131,71.848
1521264686.82,22.123,71.839
1521264688.43,22.126,71.840
1521264690.04,22.123,71.847
1521264691.65,22.120,71.851
1521264693.26,22.127,71.848
1521264694.87,22.123,71.851
1521264696.49,22.124,71.853
1521264698.10,22.128,71.849
1521264699.71,22.128,71.852
1521264701.32,22.131,71.859
1521264702.93,22.134,71.849
1521264704.54,22.131,71.864
1521264706.15,22.135,71.864
1521264707.76,22.124,71.863
1521264709.37,22.132,71.867
1521264710.98,22.124,71.862
1521264712.59,22.134,71.868
1521264714.20,22.131,71.868
1521264715.81,22.132,71.867
1521264717.42,22.135,71.862
1521264719.03,22.135,71.870
1521264720.64,22.137,71.863
1521264722.26,22.135,71.866
1521264723.87,22.135,71.872
1521264725.48,22.139,71.867
1521264727.09,22.137,71.882
1521264728.70,22.130,71.876
1521264730.31,22.138,71.873
