si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.898,23.560,407,279.193,23.5477,-1.4523,255.00,1.6500
21.865,23.528,407,279.184,23.5475,-1.4525,255.00,1.6820
21.865,23.550,407,280.558,23.5632,-1.4368,255.00,1.6977
21.887,23.560,407,283.043,23.5914,-1.4086,255.00,1.7044
21.887,23.603,407,285.339,23.6175,-1.3825,255.00,1.7305
21.887,23.603,407,287.952,23.6472,-1.3528,255.00,1.7602
21.876,23.635,407,290.426,23.6753,-1.3247,255.00,1.7991
21.855,23.689,407,292.756,23.7018,-1.2982,255.00,1.8470
21.898,23.732,407,295.171,23.7292,-1.2708,255.00,1.8315
21.876,23.743,407,297.900,23.7602,-1.2398,255.00,1.8840
21.887,23.764,407,300.217,23.7866,-1.2134,255.00,1.8996
21.876,23.818,407,302.430,23.8117,-1.1883,255.00,1.9355
21.876,23.828,407,304.860,23.8393,-1.1607,255.00,1.9631
21.898,23.861,407,307.261,23.8666,-1.1334,255.00,1.9689
21.898,23.903,407,309.572,23.8929,-1.1071,255.00,1.9952
21.876,23.957,407,312.108,23.9217,-1.0783,255.00,2.0455
21.887,23.957,407,314.898,23.9534,-1.0466,255.00,2.0664
21.898,23.979,407,317.413,23.9820,-1.0180,255.00,2.0843
21.908,24.011,407,320.038,24.0118,-0.9882,255.00,2.1034
21.898,24.054,407,322.147,24.0358,-0.9642,255.00,2.1381
21.898,24.075,407,324.670,24.0644,-0.9356,255.00,2.1668
21.919,24.107,407,327.176,24.0929,-0.9071,255.00,2.1738
21.908,24.139,407,329.613,24.1206,-0.8794,255.00,2.2122
21.887,24.150,407,332.148,24.1494,-0.8506,255.00,2.2625
21.908,24.182,407,334.237,24.1731,-0.8269,255.00,2.2647
21.908,24.225,407,336.593,24.1999,-0.8001,255.00,2.2915
21.898,24.236,407,338.846,24.2255,-0.7745,255.00,2.3278
21.898,24.247,407,340.963,24.2496,-0.7504,255.00,2.3519
21.887,24.300,407,343.327,24.2764,-0.7236,255.00,2.3895
21.898,24.300,407,345.392,24.2999,-0.7001,255.00,2.4022
21.898,24.332,407,347.753,24.3267,-0.6733,255.00,2.4291
21.876,24.365,407,349.892,24.3510,-0.6490,255.00,2.4748
21.887,24.375,407,352.093,24.3761,-0.6239,255.00,2.4891
21.898,24.408,407,354.506,24.4035,-0.5965,255.00,2.5058
21.887,24.429,407,356.439,24.4254,-0.5746,255.00,2.5385
21.876,24.461,407,358.598,24.4500,-0.5500,255.00,2.5737
21.876,24.483,407,360.813,24.4751,-0.5249,255.00,2.5989
21.887,24.515,407,362.929,24.4992,-0.5008,255.00,2.6122
21.887,24.515,407,364.937,24.5220,-0.4780,255.00,2.6351
21.876,24.568,407,366.769,24.5428,-0.4572,255.00,2.6666
21.865,24.568,407,368.788,24.5658,-0.4342,255.00,2.7003
21.865,24.601,407,370.716,24.5877,-0.4123,255.00,2.7222
