set_c,oven_c,output,ambient_c
25.000,22.894,205.00,20.954
25.000,22.900,205.00,20.911
25.000,23.053,205.00,20.943
25.000,23.327,205.00,20.954
25.000,23.634,205.00,20.933
25.000,23.938,205.00,20.922
25.000,24.222,180.53,20.954
25.000,24.484,145.09,20.943
25.000,24.705,129.04,20.922
25.000,24.874,129.30,20.933
25.000,24.994,135.93,20.922
25.000,25.087,132.21,20.922
25.000,25.166,122.90,20.943
25.000,25.242,104.94,20.933
25.000,25.308,91.67,20.933
25.000,25.340,98.14,20.943
25.000,25.364,89.94,20.933
25.000,25.386,78.01,20.933
25.000,25.396,74.52,20.943
25.000,25.396,71.23,20.922
25.000,25.383,72.69,20.933
25.000,25.366,69.41,20.922
25.000,25.348,65.50,20.922
25.000,25.338,55.17,20.933
25.000,25.329,48.56,20.922
25.000,25.323,39.89,20.933
25.000,25.298,49.25,20.922
25.000,25.251,64.89,20.933
25.000,25.234,45.20,20.922
25.000,25.230,33.03,20.922
25.000,25.219,34.29,20.911
25.000,25.186,48.85,20.943
25.000,25.154,50.77,20.922
25.000,25.149,32.37,20.911
25.000,25.148,26.81,20.922
25.000,25.141,28.07,20.933
25.000,25.108,46.72,20.922
25.000,25.075,51.47,20.933
25.000,25.067,36.98,20.922
25.000,25.074,25.23,20.922
25.000,25.078,23.90,20.922
25.000,25.070,31.16,20.911
25.000,25.063,30.49,20.911
25.000,25.056,29.95,20.922
25.000,25.044,34.47,20.911
25.000,25.033,35.27,20.900
25.000,25.027,32.81,20.922
25.000,25.032,24.10,20.911
25.000,25.035,24.85,20.879
25.000,25.029,29.72,20.911
25.000,25.013,38.99,20.911
25.000,25.007,33.87,20.911
25.000,25.013,25.39,20.900
25.000,25.029,15.66,20.890
25.000,25.028,25.46,20.890
25.000,25.009,38.86,20.900
25.000,24.992,41.46,20.890
25.000,24.999,26.20,20.911
25.000,25.023,10.95,20.890
25.000,25.041,10.60,20.900
26.000,25.017,205.00,20.900
26.000,24.996,205.00,20.879
26.000,25.117,184.07,20.879
26.000,25.337,101.39,20.911
26.000,25.569,61.77,20.879
26.000,25.739,72.63,20.911
26.000,25.827,108.64,20.890
26.000,25.868,131.85,20.900
26.000,25.934,106.55,20.900
26.000,26.020,79.23,20.900
26.000,26.102,64.30,20.922
26.000,26.148,73.04,20.890
26.000,26.177,74.47,20.879
26.000,26.191,75.95,20.879
26.000,26.198,74.24,20.890
26.000,26.204,68.39,20.890
26.000,26.208,64.75,20.890
26.000,26.215,56.79,20.890
26.000,26.217,54.45,20.868
26.000,26.214,53.31,20.868
26.000,26.207,51.59,20.890
26.000,26.204,45.84,20.879
26.000,26.196,45.41,20.890
26.000,26.177,50.81,20.879
26.000,26.146,60.71,20.868
26.000,26.133,49.75,20.868
26.000,26.129,41.64,20.879
26.000,26.132,34.75,20.879
26.000,26.122,40.49,20.890
26.000,26.116,37.20,20.879
26.000,26.105,39.70,20.890
26.000,26.085,46.34,20.879
26.000,26.061,52.29,20.879
26.000,26.057,39.28,20.879
26.000,26.064,30.84,20.879
26.000,26.069,29.16,20.890
26.000,26.051,44.29,20.890
26.000,26.035,46.22,20.890
26.000,26.030,38.93,20.890
26.000,26.032,34.63,20.890
26.000,26.032,34.43,20.900
26.000,26.032,34.36,20.890
26.000,26.030,34.87,20.879
26.000,26.029,33.83,20.900
26.000,26.026,34.50,20.900
26.000,26.025,33.89,20.890
26.000,26.022,34.83,20.890
26.000,26.020,33.98,20.890
26.000,26.015,35.85,20.879
26.000,26.015,33.06,20.879
26.000,26.012,34.85,20.890
26.000,26.014,31.52,20.879
26.000,26.013,33.48,20.900
26.000,26.013,32.24,20.890
26.000,26.008,35.40,20.900
26.000,26.009,32.14,20.879
26.000,26.009,32.34,20.879
26.000,26.011,30.66,20.890
26.000,26.009,32.75,20.890
26.000,26.007,33.07,20.890
