timestamp,temp_c,humidity
1496984530.112,23.9068,69.5615
1496984531.115,23.8961,69.5386
1496984532.115,23.8747,69.4929
1496984533.114,23.8854,69.4929
1496984534.114,23.8961,69.5005
1496984535.113,23.8854,69.4700
1496984536.117,23.8961,69.4547
1496984537.116,23.8533,69.4242
1496984538.116,23.8426,69.4242
1496984539.115,23.8426,69.3860
1496984540.115,23.8105,69.3479
1496984541.114,23.8105,69.3098
1496984542.118,23.7677,69.2792
1496984543.117,23.7677,69.2640
1496984544.117,23.7570,69.2792
1496984545.116,23.6928,69.2487
1496984546.116,23.7035,69.2411
1496984547.115,23.6928,69.2487
1496984548.119,23.6928,69.2563
1496984549.118,23.7249,69.2716
1496984550.117,23.7142,69.3174
1496984551.117,23.7570,69.3708
1496984552.117,23.7356,69.4166
1496984553.120,23.7463,69.4395
1496984554.119,23.7677,69.5081
1496984555.119,23.7463,69.5615
1496984556.118,23.7570,69.5997
1496984557.118,23.7463,69.6454
1496984558.117,23.7677,69.6760
1496984559.121,23.7677,69.7065
1496984560.120,23.7677,69.7217
1496984561.120,23.7784,69.7370
1496984562.119,23.7677,69.7751
1496984563.119,23.7784,69.7828
1496984564.122,23.7891,69.8286
1496984565.122,23.7891,69.8514
1496984566.121,23.7891,69.8667
1496984567.121,23.7784,69.9125
1496984568.120,23.7998,69.9201
1496984569.120,23.7891,69.9354
1496984570.123,23.8212,69.9506
1496984571.123,23.8105,69.9735
1496984572.122,23.8212,69.9964
1496984573.122,23.8105,69.9964
1496984574.121,23.8105,70.0193
1496984575.125,23.8319,70.0345
1496984576.124,23.8319,70.0574
1496984577.124,23.8105,70.0727
1496984578.123,23.8212,70.0727
1496984579.123,23.8212,70.0880
1496984580.126,23.8105,70.0803
1496984581.126,23.8212,70.0956
1496984582.125,23.8212,70.1032
1496984583.124,23.8426,70.1108
1496984584.124,23.8319,70.1185
1496984585.123,23.8212,70.1337
1496984586.127,23.8105,70.1490
1496984587.126,23.8105,70.1414
1496984588.126,23.8212,70.1642
1496984589.125,23.8212,70.1719
1496984590.125,23.8319,70.1642
1496984591.128,23.8319,70.1719
1496984592.128,23.7998,70.1261
1496984593.127,23.8212,70.1261
1496984594.127,23.8212,70.1490
1496984595.126,23.8212,70.1261
1496984596.130,23.8212,70.1566
1496984597.129,23.8212,70.1642
1496984598.129,23.8212,70.1795
1496984599.128,23.8319,70.1719
1496984600.128,23.8319,70.1948
1496984601.127,23.8212,70.1871
1496984602.131,23.8319,70.1871
1496984603.130,23.8212,70.1871
1496984604.130,23.9282,70.4160
1496984605.129,24.1421,70.9958
1496984606.129,24.2063,71.1332
1496984607.132,24.2170,71.2781
1496984608.132,24.2704,71.3544
1496984609.131,24.3774,71.3621
1496984610.130,24.4309,71.2934
1496984611.130,24.4951,71.1713
1496984612.133,24.5165,71.0187
1496984613.133,24.5806,70.8433
1496984614.132,24.6234,70.6678
1496984615.132,24.6448,70.4236
1496984616.131,24.6983,70.2329
1496984617.131,24.7625,70.0269
1496984618.134,24.7946,69.7980
1496984619.134,24.9122,69.6378
1496984620.133,25.0834,69.4166
1496984621.133,25.1048,69.2258
1496984622.132,25.1048,68.9741
1496984623.136,25.1262,68.7604
1496984624.135,25.1155,68.5392
1496984625.135,25.1155,68.3332
