resistance,temp_c
10000.359,25.968
10000.365,26.359
10000.381,25.803
10000.394,25.997
10000.395,26.033
10000.401,26.014
10000.402,26.042
10000.404,26.041
10000.406,26.047
10000.407,26.056
10000.408,26.064
10000.411,26.044
10000.411,26.059
10000.411,26.055
10000.412,26.048
10000.412,26.056
10000.411,26.051
10000.412,26.052
10000.411,26.051
10000.411,26.04
10000.411,26.041
10000.411,26.042
10000.413,26.049
10000.411,26.038
10000.409,26.034
10000.411,26.016
10000.411,26.036
10000.405,27.165
10000.409,27.083
10000.415,26.955
10000.416,27.044
10000.415,27.018
10000.419,27.027
10000.418,27.036
10000.419,27.013
10000.42,27.043
10000.42,27.037
10000.421,27.023
10000.421,27.029
10000.42,27.048
10000.421,27.02
10000.421,27.033
10000.42,27.029
10000.421,27.027
10000.42,27.026
10000.419,27.022
10000.419,27.011
10000.421,27.019
10000.42,27.023
10000.421,27.022
10000.42,27.013
10000.422,27.015
10000.419,27.009
10000.417,27.176
10000.415,28.187
10000.422,27.982
10000.425,27.975
10000.426,28.012
10000.428,28.015
10000.428,28.011
10000.43,28.022
10000.432,28.017
10000.432,28.018
10000.433,28.01
10000.431,28.032
10000.43,28.015
10000.431,28.026
10000.433,28.017
10000.433,28.033
10000.434,28.036
10000.434,28.019
10000.432,28.022
10000.433,28.021
10000.431,28.019
10000.434,28.018
10000.431,28.028
10000.432,28.014
10000.433,28.024
10000.432,28.01
10000.433,28.011
10000.43,28.333
10000.425,29.203
10000.433,28.94
10000.436,28.984
10000.439,29.018
10000.44,29.003
10000.441,29.014
10000.441,29.021
10000.441,29.022
10000.443,29.025
10000.443,29.02
10000.443,29.024
10000.446,29.025
10000.444,29.035
10000.444,29.034
10000.445,29.022
10000.445,29.036
10000.442,29.015
10000.444,29.017
10000.445,29.014
10000.445,29.014
10000.445,29.027
10000.443,29.005
10000.442,29.014
10000.445,29.011
10000.446,29.015
10000.445,29.02
10000.446,29.53
10000.438,30.169
10000.447,29.937
10000.448,29.975
10000.452,30.016
10000.452,30.007
10000.453,29.999
10000.454,30.012
10000.456,30.037
10000.455,30.027
10000.455,30.022
10000.458,30.027
10000.456,30.006
10000.457,30.015
10000.457,30.03
10000.456,30.033
10000.456,30.013
10000.459,30.025
10000.457,30.015
10000.457,30.039
10000.456,30.029
10000.457,30.023
10000.457,30.032
10000.457,30.02
10000.457,30.023
10000.456,30.02
10000.455,30.005
10000.456,29.885
10000.457,29.632
10000.456,29.422
10000.454,29.256
10000.451,29.134
10000.451,29.028
10000.45,28.945
10000.446,28.867
10000.446,28.781
10000.445,28.706
10000.442,28.646
10000.441,28.574
10000.439,28.526
10000.438,28.465
10000.439,28.392
10000.437,28.331
10000.438,28.28
10000.435,28.221
10000.437,28.168
10000.435,28.122
10000.433,28.063
10000.433,28.01
10000.431,27.952
10000.429,27.882
10000.428,27.849
10000.429,27.786
10000.428,27.766
10000.427,27.701
10000.427,27.646
10000.426,27.604
10000.427,27.554
10000.425,27.506
10000.424,27.465
10000.423,27.419
10000.421,27.355
10000.422,27.319
10000.422,27.279
10000.422,27.236
10000.421,27.194
10000.422,27.163
10000.418,27.12
10000.418,27.079
10000.42,27.026
10000.42,26.987
10000.418,26.948
10000.418,26.898
10000.418,26.868
10000.416,26.818
10000.416,26.77
10000.415,26.741
10000.414,26.699
10000.413,26.667
10000.415,26.615
10000.414,26.584
10000.414,26.548
10000.413,26.518
10000.412,26.479
10000.411,26.443
10000.412,26.399
10000.411,26.387
10000.412,26.34
10000.411,26.303
10000.411,26.285
10000.41,26.243
10000.41,26.198
10000.41,26.186
10000.41,26.148
10000.407,26.095
10000.408,26.089
10000.407,26.056
10000.408,26.018
10000.406,25.982
10000.407,25.981
10000.406,25.99
10000.406,25.981
10000.406,25.986
10000.406,25.982
10000.406,25.989
10000.406,25.985
10000.406,25.982
10000.406,25.989
10000.405,25.981
10000.405,25.985
10000.404,25.986
10000.406,25.994
10000.405,25.978
10000.406,26.003
10000.405,25.986
10000.406,25.989
10000.406,26.0
10000.407,26.004
10000.405,25.993
10000.406,26.0
10000.405,25.987
10000.407,25.997
10000.407,25.997
10000.407,26.003
10000.407,26.003
10000.406,25.989
10000.409,26.015
10000.405,25.987
10000.406,26.012
10000.406,25.987
10000.406,25.983
10000.408,25.998
10000.405,25.989
10000.405,25.996
10000.407,25.992
10000.407,25.998
10000.406,25.998
10000.407,26.005
10000.407,26.004
10000.409,25.996
10000.406,26.004
10000.407,25.997
10000.407,25.997
10000.407,26.005
10000.408,25.992
10000.406,25.993
10000.408,25.996
10000.408,25.993
10000.408,25.997
10000.408,25.998
10000.408,26.004
10000.407,26.003
10000.407,25.994
10000.408,26.008
10000.409,26.003
10000.41,26.003
10000.408,25.989
10000.407,26.004
10000.408,25.993
10000.408,26.008
10000.407,26.016
10000.408,25.996
