set_c,oven_c,output,ambient_c
25.000,23.707,205.00,20.643
25.000,23.713,205.00,20.654
25.000,23.866,205.00,20.632
25.000,24.138,205.00,20.643
25.000,24.439,198.76,20.632
25.000,24.733,151.33,20.643
25.000,25.003,103.77,20.632
25.000,25.219,63.06,20.632
25.000,25.359,34.95,20.632
25.000,25.415,21.38,20.632
25.000,25.413,16.50,20.632
25.000,25.355,23.25,20.622
25.000,25.276,32.78,20.632
25.000,25.199,42.22,20.622
25.000,25.139,48.67,20.632
25.000,25.086,56.06,20.632
25.000,25.066,55.78,20.643
25.000,25.065,53.00,20.643
25.000,25.070,50.12,20.632
25.000,25.087,44.16,20.632
25.000,25.103,38.86,20.654
25.000,25.116,34.18,20.632
25.000,25.111,33.71,20.643
25.000,25.098,34.59,20.664
25.000,25.076,37.55,20.654
25.000,25.067,36.69,20.664
25.000,25.063,35.39,20.643
25.000,25.063,33.95,20.664
25.000,25.061,32.95,20.632
25.000,25.060,31.66,20.664
25.000,25.055,31.63,20.654
25.000,25.052,30.91,20.664
25.000,25.044,31.77,20.664
25.000,25.038,31.81,20.654
25.000,25.030,32.67,20.643
25.000,25.029,31.79,20.654
25.000,25.027,31.56,20.664
25.000,25.031,29.55,20.654
25.000,25.031,29.30,20.664
25.000,25.035,27.44,20.664
25.000,25.032,27.85,20.654
25.000,25.030,27.27,20.654
25.000,25.023,28.37,20.664
25.000,25.022,27.85,20.643
25.000,25.016,28.75,20.664
25.000,25.017,27.80,20.632
25.000,25.015,28.06,20.654
25.000,25.017,26.84,20.654
25.000,25.016,26.94,20.632
25.000,25.019,25.81,20.664
25.000,25.015,26.58,20.654
25.000,25.014,26.20,20.654
25.000,25.009,27.30,20.654
25.000,25.011,26.05,20.654
25.000,25.011,25.95,20.654
25.000,25.016,24.48,20.654
25.000,25.014,24.98,20.654
25.000,25.014,24.37,20.643
25.000,25.009,25.49,20.632
25.000,25.009,24.99,20.654
26.000,25.005,205.00,20.654
26.000,25.022,205.00,20.643
26.000,25.153,205.00,20.654
26.000,25.384,200.15,20.643
26.000,25.637,160.72,20.632
26.000,25.878,120.42,20.664
26.000,26.085,83.50,20.654
26.000,26.234,55.48,20.654
26.000,26.304,41.56,20.654
26.000,26.322,34.66,20.664
26.000,26.294,36.43,20.664
26.000,26.242,42.23,20.654
26.000,26.187,48.03,20.632
26.000,26.123,57.63,20.654
26.000,26.092,58.83,20.654
26.000,26.060,63.27,20.643
26.000,26.046,63.46,20.664
26.000,26.053,59.48,20.664
26.000,26.065,55.38,20.654
26.000,26.086,49.17,20.664
26.000,26.095,46.16,20.664
26.000,26.098,43.64,20.664
26.000,26.090,44.15,20.664
26.000,26.077,45.06,20.654
26.000,26.059,47.37,20.654
26.000,26.048,47.55,20.654
26.000,26.041,47.75,20.664
26.000,26.043,45.86,20.664
26.000,26.042,45.05,20.654
26.000,26.046,43.05,20.664
26.000,26.045,42.58,20.675
26.000,26.048,40.66,20.675
26.000,26.045,40.71,20.664
26.000,26.043,39.93,20.664
26.000,26.037,40.35,20.675
26.000,26.035,39.70,20.664
26.000,26.032,39.55,20.664
26.000,26.032,38.66,20.654
26.000,26.031,38.35,20.664
26.000,26.031,37.54,20.697
26.000,26.030,37.03,20.664
26.000,26.029,36.43,20.664
26.000,26.029,35.89,20.664
26.000,26.028,35.30,20.654
26.000,26.027,34.94,20.643
26.000,26.027,34.44,20.654
26.000,26.025,34.36,20.654
26.000,26.023,34.10,20.654
26.000,26.020,34.31,20.664
26.000,26.017,34.32,20.664
26.000,26.013,34.98,20.664
26.000,26.012,34.50,20.664
26.000,26.009,35.01,20.664
26.000,26.010,34.32,20.654
26.000,26.009,34.51,20.643
26.000,26.012,33.34,20.664
26.000,26.010,33.88,20.686
26.000,26.013,32.81,20.643
26.000,26.010,33.55,20.654
26.000,26.010,32.99,20.664
