set_c,oven_c,output,ambient_c
25.000,24.193,205.00,20.729
25.000,24.199,183.88,20.718
25.000,24.347,170.29,20.718
25.000,24.596,132.97,20.707
25.000,24.851,89.41,20.718
25.000,25.074,47.34,20.707
25.000,25.224,15.49,20.718
25.000,25.311,0.00,20.707
25.000,25.310,0.00,20.718
25.000,25.243,0.00,20.697
25.000,25.160,5.76,20.697
25.000,25.074,19.83,20.718
25.000,24.989,35.70,20.718
25.000,24.942,45.23,20.718
25.000,24.902,54.72,20.718
25.000,24.909,55.06,20.729
25.000,24.948,48.81,20.697
25.000,24.979,43.67,20.718
25.000,25.022,35.25,20.718
25.000,25.059,27.18,20.697
25.000,25.064,25.03,20.707
25.000,25.065,23.45,20.718
25.000,25.063,22.37,20.718
25.000,25.058,22.02,20.697
25.000,25.037,25.22,20.718
25.000,25.011,29.69,20.707
25.000,24.988,34.12,20.707
25.000,24.984,35.21,20.707
25.000,24.986,35.01,20.707
25.000,25.001,32.02,20.707
25.000,25.020,28.08,20.718
25.000,25.040,23.52,20.707
25.000,25.048,21.13,20.697
25.000,25.047,20.25,20.697
25.000,25.034,22.10,20.718
25.000,25.016,25.01,20.718
25.000,24.996,28.66,20.707
25.000,24.988,30.29,20.697
25.000,24.986,31.02,20.707
25.000,24.996,29.15,20.707
25.000,25.007,26.89,20.697
25.000,25.023,23.36,20.707
25.000,25.029,21.84,20.697
25.000,25.031,20.80,20.697
25.000,25.019,22.54,20.718
25.000,25.008,24.38,20.718
25.000,24.994,27.15,20.697
25.000,24.991,27.90,20.697
25.000,24.990,28.25,20.718
25.000,24.997,26.85,20.697
25.000,25.005,25.32,20.707
25.000,25.016,22.86,20.707
25.000,25.019,21.98,20.697
25.000,25.022,21.00,20.697
25.000,25.013,22.52,20.686
25.000,25.004,24.01,20.697
25.000,24.994,25.94,20.697
25.000,24.993,26.13,20.697
25.000,24.993,26.47,20.686
25.000,25.000,24.96,20.697
26.000,25.006,205.00,20.697
26.000,25.028,205.00,20.686
26.000,25.161,205.00,20.697
26.000,25.395,205.00,20.697
26.000,25.650,171.98,20.697
26.000,25.896,129.69,20.686
26.000,26.115,87.72,20.697
26.000,26.274,53.11,20.697
26.000,26.367,28.57,20.686
26.000,26.382,17.98,20.686
26.000,26.340,18.28,20.697
26.000,26.263,26.63,20.718
26.000,26.168,40.16,20.675
26.000,26.087,52.83,20.697
26.000,26.024,63.45,20.675
26.000,25.992,69.21,20.686
26.000,25.980,71.60,20.675
26.000,26.006,66.48,20.664
26.000,26.027,62.17,20.675
26.000,26.048,57.17,20.654
26.000,26.083,48.90,20.664
26.000,26.107,42.19,20.664
26.000,26.111,39.10,20.664
26.000,26.108,37.25,20.675
26.000,26.090,38.66,20.664
26.000,26.063,42.26,20.675
26.000,26.036,46.31,20.664
26.000,26.030,46.40,20.675
26.000,26.029,46.02,20.675
26.000,26.029,45.26,20.664
26.000,26.030,44.48,20.675
26.000,26.032,43.31,20.675
26.000,26.034,42.28,20.675
26.000,26.038,40.57,20.664
26.000,26.038,39.81,20.686
26.000,26.040,38.53,20.664
26.000,26.037,38.31,20.686
26.000,26.035,37.79,20.686
26.000,26.032,37.54,20.675
26.000,26.032,36.92,20.675
26.000,26.030,36.60,20.675
26.000,26.029,36.02,20.664
26.000,26.028,35.60,20.675
26.000,26.028,35.05,20.675
26.000,26.026,34.68,20.675
26.000,26.026,34.17,20.664
26.000,26.023,34.13,20.664
26.000,26.022,33.77,20.654
26.000,26.019,33.92,20.675
26.000,26.018,33.79,20.664
26.000,26.013,34.36,20.664
26.000,26.012,34.18,20.654
26.000,26.009,34.64,20.675
26.000,26.012,33.82,20.675
26.000,26.011,33.82,20.664
26.000,26.014,32.92,20.675
26.000,26.011,33.08,20.664
26.000,26.013,32.59,20.654
26.000,26.011,32.74,20.675
26.000,26.012,32.23,20.664
