set_c,oven_c,output,ambient_c
25.000,23.415,205.00,21.126
25.000,23.431,205.00,21.104
25.000,23.591,205.00,21.093
25.000,23.868,205.00,21.093
25.000,24.174,205.00,21.093
25.000,24.478,100.07,21.093
25.000,24.753,10.28,21.093
25.000,24.943,0.00,21.104
25.000,24.978,16.04,21.115
25.000,24.941,56.96,21.115
25.000,24.866,98.14,21.115
25.000,24.814,109.45,21.115
25.000,24.837,74.25,21.115
25.000,24.899,36.81,21.115
25.000,24.966,11.29,21.115
25.000,24.976,27.97,21.093
25.000,24.940,58.33,21.115
25.000,24.890,82.12,21.104
25.000,24.882,70.22,21.104
25.000,24.896,57.64,21.126
25.000,24.945,26.56,21.115
25.000,24.975,22.34,21.126
25.000,24.975,33.60,21.115
25.000,24.957,47.29,21.104
25.000,24.917,69.90,21.104
25.000,24.910,60.85,21.126
25.000,24.940,36.18,21.115
25.000,24.974,22.24,21.115
25.000,24.978,32.12,21.126
25.000,24.977,34.65,21.126
25.000,24.971,38.36,21.104
25.000,24.963,42.25,21.083
25.000,24.958,43.32,21.104
25.000,24.965,36.22,21.104
25.000,24.972,34.03,21.136
25.000,24.975,33.88,21.115
25.000,24.976,34.60,21.115
25.000,24.976,34.79,21.104
25.000,24.977,34.89,21.126
25.000,24.977,34.51,21.126
25.000,24.978,34.53,21.115
25.000,24.980,33.21,21.115
25.000,24.982,32.60,21.126
25.000,24.988,29.03,21.115
25.000,24.990,29.38,21.126
25.000,24.993,27.94,21.115
25.000,24.990,31.90,21.126
25.000,24.989,31.31,21.126
25.000,24.987,32.37,21.126
25.000,24.991,28.17,21.115
25.000,24.996,26.47,21.126
25.000,25.003,23.04,21.115
25.000,25.000,28.27,21.147
25.000,24.995,30.40,21.104
25.000,24.989,32.98,21.126
25.000,24.994,27.00,21.126
25.000,25.003,22.78,21.104
25.000,25.011,19.73,21.104
25.000,25.006,26.78,21.104
25.000,24.995,32.51,21.126
26.000,24.986,205.00,21.126
26.000,25.010,205.00,21.083
26.000,25.148,205.00,21.126
26.000,25.380,177.97,21.104
26.000,25.632,79.86,21.104
26.000,25.857,8.40,21.104
26.000,25.999,0.00,21.115
26.000,26.022,21.64,21.136
26.000,25.944,87.13,21.126
26.000,25.864,116.99,21.126
26.000,25.850,98.84,21.126
26.000,25.890,65.04,21.115
26.000,25.952,34.40,21.104
26.000,26.011,13.79,21.115
26.000,26.009,36.85,21.115
26.000,25.952,77.80,21.115
26.000,25.919,81.33,21.115
26.000,25.916,71.40,21.093
26.000,25.940,53.46,21.126
26.000,25.975,36.75,21.115
26.000,26.007,26.08,21.115
26.000,26.005,39.07,21.126
26.000,25.964,68.12,21.115
26.000,25.944,68.58,21.115
26.000,25.946,59.68,21.104
26.000,25.978,37.35,21.115
26.000,26.015,21.80,21.104
26.000,26.023,29.25,21.104
26.000,25.995,52.46,21.115
26.000,25.956,71.40,21.093
26.000,25.948,62.53,21.093
26.000,25.978,38.42,21.115
26.000,26.021,17.77,21.115
26.000,26.029,27.14,21.104
26.000,26.020,36.62,21.115
26.000,25.986,58.28,21.126
26.000,25.959,66.01,21.104
26.000,25.971,46.81,21.104
26.000,26.012,21.60,21.104
26.000,26.030,23.79,21.126
26.000,26.029,30.77,21.126
26.000,26.017,38.65,21.104
26.000,25.987,56.85,21.126
26.000,25.975,54.33,21.104
26.000,25.995,35.52,21.104
26.000,26.024,21.63,21.104
26.000,26.029,28.18,21.104
26.000,26.027,31.44,21.104
26.000,26.016,39.14,21.093
26.000,26.001,45.94,21.093
26.000,25.995,44.64,21.115
26.000,26.009,32.08,21.104
26.000,26.023,27.46,21.115
26.000,26.028,28.49,21.115
26.000,26.025,32.44,21.104
26.000,26.019,35.95,21.093
26.000,26.009,40.85,21.093
26.000,26.008,37.97,21.104
26.000,26.013,33.38,21.093
26.000,26.022,29.33,21.104
