temp_c,ppm,resistance
25.004,0.07,9984.5966
24.993,0.07,9984.5966
25.0,0.07,9984.5966
25.007,0.07,9984.5966
24.995,0.07,9984.5966
25.007,0.07,9984.5966
25.016,-0.03,9984.5956
25.001,-0.03,9984.5956
25.007,-0.03,9984.5956
25.007,-0.03,9984.5956
25.004,-0.03,9984.5956
25.014,-0.03,9984.5956
25.004,-0.03,9984.5956
25.008,-0.03,9984.5956
25.005,-0.03,9984.5956
25.0,-0.03,9984.5956
24.995,-0.03,9984.5956
24.992,-0.03,9984.5956
24.986,-0.03,9984.5956
24.993,-0.18,9984.5941
24.988,-0.18,9984.5941
25.0,-0.18,9984.5941
24.99,-0.18,9984.5941
24.995,-0.18,9984.5941
25.003,-0.18,9984.5941
24.996,-0.18,9984.5941
25.008,-0.18,9984.5941
24.988,-0.18,9984.5941
25.019,-0.18,9984.5941
25.012,-0.18,9984.5941
25.021,-0.18,9984.5941
24.999,-0.18,9984.5941
25.011,0.10,9984.5969
24.999,0.10,9984.5969
24.99,0.10,9984.5969
25.004,0.10,9984.5969
25.003,0.10,9984.5969
24.996,0.10,9984.5969
25.005,0.10,9984.5969
24.999,0.10,9984.5969
25.0,0.10,9984.5969
25.016,0.10,9984.5969
24.997,0.10,9984.5969
25.005,0.10,9984.5969
25.003,0.10,9984.5969
24.995,0.10,9984.5969
25.008,0.05,9984.5964
24.995,0.05,9984.5964
24.988,0.05,9984.5964
24.981,0.05,9984.5964
24.999,0.05,9984.5964
24.996,0.05,9984.5964
25.01,0.05,9984.5964
25.008,0.05,9984.5964
25.001,0.05,9984.5964
24.999,0.05,9984.5964
24.996,0.05,9984.5964
25.0,0.05,9984.5964
24.996,0.05,9984.5964
24.992,0.05,9984.5964
25.0,0.05,9984.5964
24.996,0.05,9984.5964
25.007,0.05,9984.5964
24.992,0.05,9984.5964
25.012,0.05,9984.5964
25.01,0.05,9984.5964
25.007,0.05,9984.5964
25.016,0.05,9984.5964
25.004,0.05,9984.5964
25.007,0.05,9984.5964
25.008,0.05,9984.5964
25.005,0.05,9984.5964
24.997,0.05,9984.5964
25.003,0.05,9984.5964
24.999,0.05,9984.5964
24.999,0.05,9984.5964
24.997,0.05,9984.5964
25.01,0.05,9984.5964
24.986,0.05,9984.5964
25.005,0.05,9984.5964
24.995,0.05,9984.5964
25.003,0.05,9984.5964
24.988,0.05,9984.5964
24.993,0.05,9984.5964
24.999,0.05,9984.5964
24.992,0.05,9984.5964
24.984,-0.03,9984.5956
25.0,-0.03,9984.5956
24.995,-0.03,9984.5956
25.005,-0.03,9984.5956
24.988,-0.03,9984.5956
24.984,-0.03,9984.5956
25.001,-0.03,9984.5956
24.999,-0.03,9984.5956
24.999,-0.03,9984.5956
25.012,-0.03,9984.5956
25.005,-0.03,9984.5956
25.001,-0.03,9984.5956
24.984,-0.03,9984.5956
25.007,0.20,9984.5979
25.001,0.20,9984.5979
25.016,0.20,9984.5979
24.992,0.20,9984.5979
24.997,0.20,9984.5979
25.014,0.20,9984.5979
25.014,0.20,9984.5979
25.005,0.20,9984.5979
24.985,0.20,9984.5979
24.99,0.20,9984.5979
24.982,0.20,9984.5979
24.988,0.20,9984.5979
25.004,0.20,9984.5979
25.003,0.20,9984.5979
24.997,-0.13,9984.5946
25.004,-0.13,9984.5946
25.005,-0.13,9984.5946
25.003,-0.13,9984.5946
25.0,-0.13,9984.5946
24.997,-0.13,9984.5946
24.997,-0.13,9984.5946
24.986,-0.13,9984.5946
24.992,-0.13,9984.5946
25.0,-0.13,9984.5946
25.0,-0.13,9984.5946
24.989,-0.13,9984.5946
25.005,-0.13,9984.5946
25.012,0.07,9984.5966
24.999,0.07,9984.5966
25.0,0.07,9984.5966
24.993,0.07,9984.5966
25.003,0.07,9984.5966
25.0,0.07,9984.5966
25.004,0.07,9984.5966
25.001,0.07,9984.5966
24.99,0.07,9984.5966
24.993,0.07,9984.5966
24.996,0.07,9984.5966
24.993,0.07,9984.5966
25.003,0.07,9984.5966
25.011,0.07,9984.5966
25.004,-0.16,9984.5943
25.001,-0.16,9984.5943
24.999,-0.16,9984.5943
25.004,-0.16,9984.5943
25.004,-0.16,9984.5943
24.995,-0.16,9984.5943
24.99,-0.16,9984.5943
24.999,-0.16,9984.5943
25.012,-0.16,9984.5943
25.0,-0.16,9984.5943
24.997,-0.16,9984.5943
25.003,-0.16,9984.5943
24.99,-0.16,9984.5943
25.0,0.07,9984.5966
24.99,0.07,9984.5966
24.996,0.07,9984.5966
24.992,0.07,9984.5966
25.008,0.07,9984.5966
24.988,0.07,9984.5966
24.996,0.07,9984.5966
24.999,0.07,9984.5966
25.018,0.07,9984.5966
25.01,0.07,9984.5966
25.001,0.07,9984.5966
25.003,0.07,9984.5966
25.012,0.07,9984.5966
24.999,0.07,9984.5966
25.001,0.02,9984.5961
24.989,0.02,9984.5961
24.989,0.02,9984.5961
24.985,0.02,9984.5961
24.996,0.02,9984.5961
24.992,0.02,9984.5961
24.99,0.02,9984.5961
25.005,0.02,9984.5961
25.004,0.02,9984.5961
25.0,0.02,9984.5961
25.011,0.02,9984.5961
25.016,0.02,9984.5961
24.997,0.02,9984.5961
24.996,0.25,9984.5984
25.016,0.25,9984.5984
25.019,0.25,9984.5984
25.004,0.25,9984.5984
25.005,0.25,9984.5984
25.01,0.25,9984.5984
24.997,0.25,9984.5984
25.004,0.25,9984.5984
24.997,0.25,9984.5984
25.011,0.25,9984.5984
24.996,0.25,9984.5984
24.999,0.25,9984.5984
24.995,0.25,9984.5984
24.999,0.06,9984.5965
24.997,0.06,9984.5965
25.001,0.06,9984.5965
25.014,0.06,9984.5965
24.992,0.06,9984.5965
25.01,0.06,9984.5965
24.99,0.06,9984.5965
25.004,0.06,9984.5965
25.001,0.06,9984.5965
24.992,0.06,9984.5965
25.003,0.06,9984.5965
24.985,0.06,9984.5965
24.992,0.06,9984.5965
24.997,0.06,9984.5965
25.005,0.12,9984.5971
24.984,0.12,9984.5971
25.005,0.12,9984.5971
24.997,0.12,9984.5971
25.008,0.12,9984.5971
25.001,0.12,9984.5971
25.007,0.12,9984.5971
25.014,0.12,9984.5971
24.996,0.12,9984.5971
25.012,0.12,9984.5971
25.007,0.12,9984.5971
24.995,0.12,9984.5971
24.999,0.12,9984.5971
24.996,0.10,9984.5969
24.996,0.10,9984.5969
25.004,0.10,9984.5969
25.005,0.10,9984.5969
25.005,0.10,9984.5969
24.999,0.10,9984.5969
24.999,0.10,9984.5969
24.996,0.10,9984.5969
24.996,0.10,9984.5969
25.011,0.10,9984.5969
25.001,0.10,9984.5969
25.01,0.10,9984.5969
25.0,0.10,9984.5969
25.011,0.10,9984.5969
25.001,-0.01,9984.5958
24.992,-0.01,9984.5958
24.997,-0.01,9984.5958
25.008,-0.01,9984.5958
24.984,-0.01,9984.5958
25.016,-0.01,9984.5958
25.001,-0.01,9984.5958
25.005,-0.01,9984.5958
25.008,-0.01,9984.5958
24.997,-0.01,9984.5958
24.996,-0.01,9984.5958
25.012,-0.01,9984.5958
24.993,-0.01,9984.5958
25.003,-0.11,9984.5948
24.992,-0.11,9984.5948
25.011,-0.11,9984.5948
24.992,-0.11,9984.5948
25.008,-0.11,9984.5948
24.997,-0.11,9984.5948
24.993,-0.11,9984.5948
24.995,-0.11,9984.5948
24.999,-0.11,9984.5948
25.003,-0.11,9984.5948
25.01,-0.11,9984.5948
25.001,-0.11,9984.5948
25.015,-0.11,9984.5948
25.004,0.15,9984.5974
25.005,0.15,9984.5974
25.004,0.15,9984.5974
25.007,0.15,9984.5974
25.005,0.15,9984.5974
25.007,0.15,9984.5974
25.004,0.15,9984.5974
25.001,0.15,9984.5974
24.986,0.15,9984.5974
24.993,0.15,9984.5974
24.996,0.15,9984.5974
25.004,0.15,9984.5974
25.001,0.15,9984.5974
25.0,0.15,9984.5974
25.0,-0.01,9984.5958
25.004,-0.01,9984.5958
24.999,-0.01,9984.5958
24.993,-0.01,9984.5958
25.005,-0.01,9984.5958
25.001,-0.01,9984.5958
24.989,-0.01,9984.5958
24.996,-0.01,9984.5958
25.008,-0.01,9984.5958
24.996,-0.01,9984.5958
25.003,-0.01,9984.5958
25.007,-0.01,9984.5958
24.995,-0.01,9984.5958
25.003,0.02,9984.5961
24.997,0.02,9984.5961
25.003,0.02,9984.5961
24.99,0.02,9984.5961
25.008,0.02,9984.5961
25.001,0.02,9984.5961
24.997,0.02,9984.5961
24.992,0.02,9984.5961
24.995,0.02,9984.5961
24.99,0.02,9984.5961
25.0,0.02,9984.5961
24.99,0.02,9984.5961
24.996,0.02,9984.5961
25.005,0.02,9984.5961
25.008,-0.16,9984.5943
25.015,-0.16,9984.5943
25.01,-0.16,9984.5943
25.004,-0.16,9984.5943
25.004,-0.16,9984.5943
24.995,-0.16,9984.5943
25.005,-0.16,9984.5943
24.992,-0.16,9984.5943
25.001,-0.16,9984.5943
25.018,-0.16,9984.5943
24.999,-0.16,9984.5943
24.995,-0.16,9984.5943
24.996,-0.16,9984.5943
24.993,-0.06,9984.5953
24.988,-0.06,9984.5953
25.001,-0.06,9984.5953
25.004,-0.06,9984.5953
25.005,-0.06,9984.5953
24.997,-0.06,9984.5953
24.985,-0.06,9984.5953
24.999,-0.06,9984.5953
25.005,-0.06,9984.5953
24.996,-0.06,9984.5953
25.01,-0.06,9984.5953
25.011,-0.06,9984.5953
24.995,-0.06,9984.5953
25.018,0.20,9984.5979
25.005,0.20,9984.5979
24.997,0.20,9984.5979
25.01,0.20,9984.5979
25.007,0.20,9984.5979
24.997,0.20,9984.5979
25.001,0.20,9984.5979
24.992,0.20,9984.5979
25.01,0.20,9984.5979
25.008,0.20,9984.5979
24.984,0.20,9984.5979
24.992,0.20,9984.5979
24.997,0.20,9984.5979
25.004,0.20,9984.5979
24.997,-0.06,9984.5953
24.995,-0.06,9984.5953
24.985,-0.06,9984.5953
24.99,-0.06,9984.5953
24.993,-0.06,9984.5953
25.0,-0.06,9984.5953
25.001,-0.06,9984.5953
24.992,-0.06,9984.5953
24.999,-0.06,9984.5953
25.004,-0.06,9984.5953
25.011,-0.06,9984.5953
25.007,-0.06,9984.5953
25.008,-0.06,9984.5953
25.007,0.10,9984.5969
25.004,0.10,9984.5969
25.005,0.10,9984.5969
25.01,0.10,9984.5969
24.995,0.10,9984.5969
24.999,0.10,9984.5969
25.01,0.10,9984.5969
25.004,0.10,9984.5969
24.999,0.10,9984.5969
25.004,0.10,9984.5969
25.003,0.10,9984.5969
24.992,0.10,9984.5969
25.005,0.10,9984.5969
24.996,0.10,9984.5969
24.99,0.05,9984.5964
24.997,0.05,9984.5964
25.0,0.05,9984.5964
24.995,0.05,9984.5964
25.007,0.05,9984.5964
25.0,0.05,9984.5964
