Timestamp,Resistance,PPM,Oven (C),Ambient (C),"Savitzky-Golay (151,2)"
1518421382.23,12500.5,-0.85,25.003,19.066,0.193428265657
1518421383.23,12500.5,-0.85,25.001,19.056,0.206866074222
1518421384.23,12500.513,0.19,25.004,19.066,0.218984085567
1518421385.23,12500.513,0.19,25.003,19.077,0.22978927168
1518421386.23,12500.513,0.19,25.004,19.066,0.201863115485
1518421387.23,12500.505,-0.45,25.0,19.066,0.174078490635
1518421388.23,12500.505,-0.45,25.001,19.066,0.146408903577
1518421389.23,12500.505,-0.45,24.997,19.077,0.14045761511
1518421390.23,12500.518,0.59,25.0,19.077,0.133324574774
1518421391.23,12500.518,0.59,24.998,19.077,0.125002810582
1518421392.23,12500.518,0.59,25.002,19.077,0.107029305878
1518421393.23,12500.518,0.59,25.0,19.088,0.103209144807
1518421394.23,12500.508,-0.21,25.003,19.077,0.0997030717705
1518421395.24,12500.508,-0.21,25.001,19.088,0.0965089951711
1518421396.23,12500.508,-0.21,25.002,19.077,0.0881384270674
1518421397.23,12500.516,0.43,25.0,19.077,0.0802287073326
1518421398.23,12500.516,0.43,25.002,19.088,0.0727728639792
1518421399.23,12500.516,0.43,24.999,19.088,0.0617623528366
1518421400.23,12500.511,0.03,25.0,19.088,0.0511356496019
1518421401.23,12500.511,0.03,24.998,19.099,0.0408822962938
1518421402.24,12500.511,0.03,25.001,19.099,0.0463664616031
1518421403.24,12500.511,0.03,25.0,19.131,0.0618420426529
1518421404.24,12500.518,0.59,25.002,19.099,0.0773280816838
1518421405.23,12500.518,0.59,25.0,19.077,0.0928371282733
1518421406.23,12500.518,0.59,25.002,19.088,0.093860267428
1518421407.24,12500.513,0.19,24.999,19.088,0.0944978556782
1518421408.24,12500.513,0.19,25.001,19.077,0.0947498930236
1518421409.24,12500.513,0.19,24.999,19.099,0.0860759040271
1518421410.24,12500.511,0.03,25.001,19.088,0.0790082609336
1518421411.24,12500.511,0.03,25.0,19.099,0.0735385973582
1518421412.24,12500.511,0.03,25.003,19.077,0.0888768302557
1518421413.24,12500.511,0.03,25.001,19.077,0.0831421614381
1518421414.23,12500.523,0.99,25.002,19.077,0.0763125419954
1518421415.24,12500.523,0.99,24.999,19.099,0.0683789083437
1518421416.24,12500.523,0.99,25.001,19.088,0.0763177709859
1518421417.24,12500.516,0.43,24.998,19.088,0.0837281569813
1518421418.24,12500.516,0.43,25.0,19.099,0.0906156439197
1518421419.24,12500.516,0.43,24.998,19.077,0.103504129595
1518421420.24,12500.513,0.19,25.002,19.099,0.116202280014
1518421421.24,12500.513,0.19,25.0,19.077,0.128721250356
1518421422.24,12500.513,0.19,25.003,19.088,0.141072195801
1518421423.24,12500.513,0.19,25.0,19.099,0.131563032431
1518421424.24,12500.505,-0.45,25.002,19.077,0.121415583612
1518421425.24,12500.505,-0.45,24.999,19.088,0.110622180158
1518421426.24,12500.505,-0.45,25.0,19.099,0.0907191082131
1518421427.24,12500.511,0.03,24.996,19.066,0.0707260976305
1518421428.24,12500.511,0.03,24.998,19.077,0.0506278100378
1518421429.24,12500.511,0.03,24.996,19.088,0.0380117896308
1518421430.24,12500.511,0.03,25.0,19.077,0.0261609448437
1518421431.24,12500.503,-0.61,25.0,19.077,0.0150662120931
1518421432.24,12500.503,-0.61,25.003,19.066,0.00471852779514
1518421433.24,12500.503,-0.61,25.001,19.077,0.021424455466
1518421434.24,12500.508,-0.21,25.002,19.088,0.039040227496
1518421435.24,12500.508,-0.21,25.0,19.077,0.0575797878599
1518421436.24,12500.508,-0.21,25.001,19.077,0.0584287667687
1518421437.24,12500.512,0.11,24.997,19.066,0.0595290858243
1518421438.24,12500.512,0.11,24.999,19.099,0.0608786534304
1518421439.24,12500.512,0.11,24.997,19.077,0.0663190346586
1518421440.24,12500.512,0.11,25.001,19.066,0.0717447747133
1518421441.24,12500.518,0.59,25.0,19.066,0.0771572679919
1518421442.24,12500.518,0.59,25.003,19.056,0.0825579088918
1518421443.24,12500.518,0.59,25.001,19.077,0.0788812313227
1518421444.24,12500.5,-0.85,25.003,19.066,0.0761346168762
1518421445.24,12500.5,-0.85,25.0,19.066,0.074311093565
1518421446.24,12500.5,-0.85,25.002,19.099,0.0820494418489
1518421447.24,12500.516,0.43,25.0,19.077,0.0889155945058
1518421448.24,12500.516,0.43,25.001,19.077,0.0949109459331
1518421449.24,12500.516,0.43,24.998,19.066,0.0984994278613
1518421450.24,12500.516,0.43,25.001,19.077,0.107894738677
1518421451.24,12500.503,-0.61,24.999,19.056,0.116952605301
1518421452.24,12500.503,-0.61,25.003,19.077,0.125678605324
1518421453.24,12500.503,-0.61,25.001,19.066,0.133572777527
