volts,ppm,temp_c,ambient_c
1.0001426,-3.76,25.005,21.372
1.0001426,-3.76,24.996,21.372
1.0001426,-3.76,25.001,21.362
1.0001426,-3.76,25.004,21.383
1.0001426,-3.76,25.005,21.372
1.0001426,-3.76,25.003,21.383
1.0001426,-3.76,24.996,21.362
1.0001433,-3.06,25.004,21.362
1.0001433,-3.06,25.001,21.383
1.0001433,-3.06,25.005,21.372
1.0001433,-3.06,25.0,21.362
1.0001433,-3.06,24.997,21.362
1.0001433,-3.06,25.005,21.362
1.0001433,-3.06,25.005,21.372
1.0001433,-3.06,25.005,21.362
1.0001433,-3.06,25.003,21.383
1.0001433,-3.06,24.995,21.362
1.0001433,-3.06,25.003,21.383
1.0001433,-3.06,25.0,21.362
1.0001433,-3.06,24.995,21.372
1.000143,-3.36,24.997,21.362
1.000143,-3.36,25.0,21.383
1.000143,-3.36,25.004,21.351
1.000143,-3.36,25.001,21.383
1.000143,-3.36,25.005,21.362
1.000143,-3.36,25.0,21.383
1.000143,-3.36,24.999,21.362
1.000143,-3.36,24.999,21.362
1.000143,-3.36,24.995,21.351
1.000143,-3.36,24.995,21.362
1.000143,-3.36,24.997,21.362
1.000143,-3.36,24.999,21.372
1.000143,-3.36,24.997,21.362
1.000143,-3.36,24.999,21.383
1.0001437,-2.66,24.993,21.362
1.0001437,-2.66,24.995,21.362
1.0001437,-2.66,24.996,21.362
1.0001437,-2.66,25.0,21.383
1.0001437,-2.66,24.995,21.34
1.0001437,-2.66,24.996,21.372
1.0001437,-2.66,25.001,21.362
1.0001437,-2.66,25.0,21.362
1.0001437,-2.66,25.001,21.351
1.0001437,-2.66,24.996,21.372
1.0001437,-2.66,25.005,21.362
1.0001437,-2.66,24.993,21.372
1.0001437,-2.66,24.999,21.372
1.0001454,-0.96,25.005,21.372
1.0001454,-0.96,25.004,21.34
1.0001454,-0.96,24.999,21.372
1.0001454,-0.96,25.003,21.372
1.0001454,-0.96,25.003,21.362
1.0001454,-0.96,25.01,21.383
1.0001454,-0.96,25.007,21.362
1.0001454,-0.96,24.997,21.351
1.0001454,-0.96,25.0,21.351
1.0001454,-0.96,24.997,21.372
1.0001454,-0.96,24.997,21.362
1.0001454,-0.96,25.001,21.372
1.0001454,-0.96,24.996,21.362
1.0001433,-3.06,25.0,21.351
1.0001433,-3.06,24.996,21.351
