timestamp,svrt
1512781222.856,10000179.0
1512781226.208,10000247.0
1512781229.560,10000204.0
1512781232.913,10000165.0
1512781236.264,10000207.0
1512781239.616,10000182.0
1512781242.969,10000189.0
1512781246.320,10000267.0
1512781249.673,10000303.0
1512781253.025,10000295.0
1512781256.377,10000294.0
1512781259.729,10000292.0
1512781263.081,10000290.0
1512781266.433,10000305.0
1512781269.785,10000291.0
1512781273.137,10000290.0
1512781276.489,10000289.0
1512781279.842,10000290.0
1512781283.193,10000296.0
1512781286.546,10000293.0
1512781289.897,10000303.0
1512781293.249,10000323.0
1512781296.602,10000320.0
1512781299.953,10000300.0
1512781303.306,10000314.0
1512781306.657,10000309.0
1512781310.010,10000319.0
1512781313.361,10000301.0
1512781316.714,10000265.0
1512781320.065,10000297.0
1512781323.418,10000301.0
1512781326.770,10000303.0
1512781330.122,10000272.0
1512781333.474,10000299.0
1512781336.827,10000294.0
1512781340.178,10000290.0
1512781343.531,10000284.0
1512781346.882,10000270.0
1512781350.235,10000275.0
1512781353.586,10000280.0
1512781356.938,10000265.0
1512781360.291,10000261.0
1512781363.642,10000284.0
1512781366.995,10000274.0
1512781370.347,10000213.0
1512781373.698,10000194.0
1512781377.051,10000170.0
1512781380.403,10000206.0
1512781383.755,10000220.0
1512781387.107,10000249.0
1512781390.460,10000196.0
1512781393.811,10000236.0
1512781397.163,10000241.0
1512781400.515,10000250.0
1512781403.867,10000300.0
1512781407.220,10000305.0
1512781410.571,10000305.0
1512781413.924,10000287.0
1512781417.276,10000277.0
1512781420.627,10000275.0
1512781423.980,10000261.0
1512781427.331,10000175.0
1512781430.684,10000222.0
1512781434.036,10000285.0
1512781437.388,10000300.0
1512781440.740,10000327.0
1512781444.092,10000306.0
1512781447.444,10000282.0
1512781450.797,10000279.0
1512781454.148,10000276.0
1512781457.501,10000280.0
1512781460.852,10000293.0
1512781464.204,10000292.0
1512781467.557,10000292.0
1512781470.908,10000298.0
1512781474.261,10000291.0
1512781477.612,10000289.0
1512781480.965,10000286.0
1512781484.317,10000293.0
1512781487.668,10000278.0
1512781491.021,10000288.0
1512781494.373,10000287.0
1512781497.725,10000288.0
1512781501.077,10000275.0
1512781504.429,10000287.0
1512781507.781,10000308.0
1512781511.134,10000278.0
1512781514.485,10000307.0
1512781517.838,10000324.0
1512781521.189,10000291.0
1512781524.542,10000294.0
1512781527.894,10000284.0
1512781531.245,10000279.0
1512781534.598,10000288.0
1512781537.950,10000307.0
1512781541.302,10000314.0
1512781544.654,10000291.0
1512781548.060,10000283.0
1512781551.358,10000276.0
1512781554.710,10000274.0
1512781558.062,10000275.0
1512781561.414,10000242.0
1512781564.766,10000237.0
1512781568.119,10000242.0
1512781571.470,10000237.0
1512781574.822,10000227.0
1512781578.174,10000244.0
1512781581.526,10000242.0
1512781584.879,10000221.0
1512781588.230,10000213.0
1512781591.583,10000223.0
1512781594.934,10000235.0
1512781598.287,10000181.0
1512781601.639,10000211.0
1512781604.991,10000272.0
1512781608.343,10000303.0
1512781611.695,10000254.0
1512781615.047,10000267.0
1512781618.399,10000255.0
1512781621.751,10000247.0
1512781625.103,10000180.0
1512781628.455,10000226.0
1512781631.808,10000203.0
1512781635.159,10000187.0
1512781638.512,10000193.0
1512781641.863,10000184.0
1512781645.216,10000192.0
1512781648.568,10000219.0
1512781651.920,10000190.0
1512781655.272,10000236.0
1512781658.623,10000238.0
1512781661.976,10000238.0
1512781665.328,10000272.0
1512781668.680,10000169.0
1512781672.032,10000168.0
1512781675.384,10000168.0
1512781678.737,10000156.0
1512781682.088,10000135.0
1512781685.440,10000159.0
1512781688.793,10000239.0
1512781692.144,10000260.0
1512781695.497,10000267.0
1512781698.848,10000263.0
1512781702.201,10000271.0
1512781705.553,10000276.0
1512781708.905,10000290.0
1512781712.257,10000311.0
1512781715.608,10000307.0
1512781718.961,10000306.0
1512781722.313,10000309.0
1512781725.665,10000285.0
1512781729.017,10000291.0
1512781732.370,10000309.0
1512781735.721,10000281.0
1512781739.073,10000317.0
1512781742.425,10000298.0
1512781745.777,10000289.0
1512781749.130,10000288.0
1512781752.481,10000268.0
1512781755.834,10000271.0
1512781759.185,10000280.0
1512781762.538,10000285.0
1512781765.890,10000279.0
1512781769.242,10000287.0
1512781772.594,10000283.0
1512781775.946,10000277.0
1512781779.298,10000283.0
1512781782.650,10000277.0
1512781786.002,10000285.0
1512781789.354,10000266.0
1512781792.706,10000279.0
1512781796.058,10000290.0
1512781799.410,10000290.0
1512781802.762,10000274.0
1512781806.115,10000279.0
1512781809.466,10000269.0
1512781812.819,10000281.0
1512781816.171,10000275.0
1512781819.523,10000278.0
1512781822.875,10000294.0
1512781826.226,10000274.0
1512781829.579,10000268.0
1512781832.931,10000276.0
1512781836.283,10000278.0
1512781839.635,10000286.0
1512781842.987,10000280.0
1512781846.339,10000286.0
1512781849.692,10000286.0
1512781853.043,10000267.0
1512781856.396,10000268.0
1512781859.748,10000261.0
1512781863.099,10000265.0
1512781866.452,10000258.0
1512781869.803,10000268.0
1512781873.156,10000262.0
1512781876.508,10000267.0
1512781879.859,10000273.0
1512781883.212,10000294.0
1512781886.564,10000296.0
1512781889.916,10000262.0
1512781893.268,10000252.0
1512781896.620,10000255.0
1512781899.972,10000259.0
1512781903.324,10000259.0
1512781906.676,10000266.0
1512781910.028,10000281.0
1512781913.380,10000283.0
1512781916.733,10000284.0
1512781920.084,10000294.0
1512781923.437,10000284.0
1512781926.788,10000282.0
1512781930.141,10000303.0
1512781933.493,10000291.0
1512781936.844,10000287.0
1512781940.197,10000298.0
1512781943.549,10000302.0
1512781946.901,10000302.0
1512781950.253,10000326.0
1512781953.605,10000318.0
1512781956.957,10000298.0
1512781960.309,10000291.0
1512781963.661,10000290.0
1512781967.013,10000279.0
1512781970.366,10000244.0
1512781973.717,10000259.0
1512781977.069,10000270.0
1512781980.422,10000265.0
1512781983.773,10000247.0
1512781987.126,10000256.0
1512781990.477,10000253.0
1512781993.830,10000250.0
1512781997.182,10000226.0
1512782000.534,10000255.0
1512782003.886,10000262.0
1512782007.238,10000258.0
1512782010.590,10000262.0
1512782013.942,10000262.0
1512782017.294,10000263.0
1512782020.646,10000233.0
1512782023.998,10000264.0
1512782027.350,10000292.0
1512782030.702,10000278.0
1512782034.055,10000277.0
1512782037.406,10000303.0
1512782040.758,10000290.0
1512782044.111,10000268.0
1512782047.462,10000203.0
1512782050.815,10000219.0
1512782054.167,10000226.0
1512782057.519,10000220.0
1512782060.871,10000274.0
1512782064.223,10000208.0
1512782067.575,10000185.0
1512782070.927,10000207.0
1512782074.279,10000159.0
1512782077.632,10000233.0
1512782080.983,10000248.0
1512782084.336,10000233.0
1512782087.687,10000233.0
1512782091.039,10000265.0
1512782094.392,10000295.0
1512782097.743,10000225.0
1512782101.096,10000233.0
1512782104.448,10000269.0
1512782107.799,10000237.0
1512782111.152,10000187.0
1512782114.504,10000246.0
1512782117.856,10000274.0
1512782121.208,10000276.0
1512782124.560,10000264.0
1512782127.912,10000203.0
1512782131.265,10000235.0
1512782134.616,10000258.0
1512782137.969,10000250.0
1512782141.320,10000253.0
1512782144.672,10000173.0
1512782148.025,10000245.0
1512782151.377,10000217.0
1512782154.728,10000246.0
1512782158.081,10000258.0
1512782161.433,10000303.0
1512782164.785,10000258.0
1512782168.137,10000216.0
1512782171.489,10000247.0
1512782174.841,10000258.0
1512782178.193,10000259.0
1512782181.545,10000208.0
1512782184.897,10000249.0
1512782188.250,10000310.0
1512782191.601,10000261.0
1512782194.954,10000261.0
1512782198.305,10000296.0
1512782201.658,10000294.0
1512782205.010,10000277.0
1512782208.361,10000219.0
1512782211.714,10000298.0
1512782215.066,10000302.0
1512782218.418,10000302.0
1512782221.770,10000300.0
1512782225.122,10000290.0
1512782228.474,10000279.0
1512782231.826,10000222.0
1512782235.178,10000224.0
1512782238.530,10000201.0
1512782241.882,10000240.0
1512782245.234,10000266.0
1512782248.587,10000301.0
1512782251.938,10000296.0
1512782255.291,10000299.0
1512782258.642,10000289.0
1512782261.994,10000306.0
1512782265.347,10000315.0
1512782268.724,10000319.0
1512782272.050,10000206.0
1512782275.403,10000196.0
1512782278.755,10000239.0
1512782282.107,10000203.0
1512782285.459,10000273.0
1512782288.811,10000280.0
1512782292.163,10000281.0
1512782295.515,10000257.0
1512782298.867,10000201.0
