timestamp,ambient_c,ambient_rh
1521100468.70,21.863,62.081
1521100470.31,21.858,62.079
1521100471.92,21.875,62.080
1521100473.53,21.863,62.077
1521100475.14,21.863,62.069
1521100476.75,21.870,62.070
1521100478.36,21.863,62.067
1521100479.97,21.867,62.073
1521100481.59,21.864,62.069
1521100483.20,21.868,62.068
1521100484.81,21.871,62.065
1521100486.42,21.867,62.058
1521100488.03,21.866,62.065
1521100489.64,21.868,62.051
1521100491.25,21.874,62.052
1521100492.86,21.867,62.043
1521100494.47,21.858,62.050
1521100496.08,21.867,62.052
1521100497.69,21.866,62.045
1521100499.30,21.868,62.048
1521100500.91,21.868,62.042
1521100502.52,21.856,62.044
1521100504.13,21.871,62.040
1521100505.75,21.866,62.043
1521100507.36,21.868,62.040
1521100508.97,21.866,62.043
1521100510.58,21.871,62.036
1521100512.19,21.874,62.036
1521100513.80,21.867,62.032
1521100515.41,21.871,62.032
1521100517.02,21.863,62.034
1521100518.63,21.874,62.027
1521100520.24,21.868,62.023
1521100521.85,21.871,62.027
1521100523.46,21.872,62.025
1521100525.07,21.872,62.027
1521100526.68,21.872,62.027
1521100528.29,21.859,62.026
1521100529.90,21.868,62.020
1521100531.52,21.871,62.015
1521100533.13,21.864,62.021
1521100534.74,21.862,62.022
1521100536.35,21.862,62.023
1521100537.96,21.860,62.021
1521100539.57,21.870,62.015
1521100541.18,21.870,62.020
1521100542.79,21.872,62.015
1521100544.40,21.871,62.021
1521100546.01,21.867,62.021
1521100547.62,21.863,62.023
1521100549.23,21.867,62.024
1521100550.84,21.871,62.018
1521100552.45,21.872,62.023
1521100554.06,21.859,62.016
1521100555.67,21.874,62.024
1521100557.29,21.875,62.027
1521100558.90,21.871,62.014
1521100560.51,21.860,62.016
1521100562.12,21.871,62.011
1521100563.73,21.874,62.024
1521100565.34,21.872,62.017
1521100566.95,21.875,62.016
1521100568.56,21.876,62.022
1521100570.17,21.870,62.015
1521100571.78,21.872,62.012
1521100573.39,21.875,62.012
1521100575.00,21.874,62.013
1521100576.61,21.878,62.015
1521100578.22,21.872,62.020
1521100579.83,21.875,62.017
1521100581.44,21.863,62.024
1521100583.06,21.874,62.019
1521100584.67,21.870,62.023
1521100586.28,21.872,62.020
1521100587.89,21.868,62.025
1521100589.50,21.872,62.017
1521100591.11,21.875,62.013
1521100592.72,21.862,62.010
1521100594.33,21.875,62.015
1521100595.94,21.868,62.014
1521100597.55,21.868,62.007
1521100599.16,21.878,62.007
1521100600.77,21.870,62.006
1521100602.38,21.874,62.010
1521100603.99,21.874,62.011
1521100605.60,21.875,62.010
