set_c,oven_c,output,ambient_c
25.000,23.330,205.00,20.976
25.000,23.347,205.00,20.965
25.000,23.507,205.00,20.943
25.000,23.781,205.00,20.965
25.000,24.086,205.00,20.954
25.000,24.387,205.00,20.954
25.000,24.667,115.74,20.965
25.000,24.922,22.83,20.954
25.000,25.095,0.00,20.954
25.000,25.149,0.00,20.954
25.000,25.077,0.00,20.943
25.000,24.974,11.79,20.954
25.000,24.853,56.63,20.943
25.000,24.749,94.41,20.965
25.000,24.705,109.19,20.933
25.000,24.717,103.41,20.954
25.000,24.788,76.05,20.922
25.000,24.876,43.40,20.943
25.000,24.950,16.68,20.943
25.000,24.976,8.16,20.933
25.000,24.960,15.08,20.933
25.000,24.893,40.70,20.943
25.000,24.828,64.63,20.933
25.000,24.800,73.94,20.933
25.000,24.801,73.01,20.933
25.000,24.834,60.13,20.933
25.000,24.887,40.24,20.933
25.000,24.933,23.42,20.922
25.000,24.965,12.16,20.933
25.000,24.955,16.68,20.933
25.000,24.901,37.58,20.900
25.000,24.876,45.94,20.922
25.000,24.842,58.54,20.911
25.000,24.844,57.29,20.922
25.000,24.873,45.77,20.933
25.000,24.896,37.48,20.922
25.000,24.928,25.62,20.911
25.000,24.956,15.42,20.933
25.000,24.948,19.09,20.922
25.000,24.913,32.52,20.911
25.000,24.889,41.18,20.922
25.000,24.883,43.00,20.900
25.000,24.883,42.88,20.922
25.000,24.889,40.50,20.922
25.000,24.900,36.33,20.900
25.000,24.929,25.18,20.911
25.000,24.950,17.75,20.911
25.000,24.954,16.66,20.911
25.000,24.927,27.35,20.900
25.000,24.897,38.47,20.900
25.000,24.888,41.12,20.900
25.000,24.889,40.46,20.911
25.000,24.897,37.70,20.922
25.000,24.928,25.65,20.911
25.000,24.955,15.71,20.900
25.000,24.965,12.52,20.890
25.000,24.946,20.11,20.922
25.000,24.910,33.86,20.900
25.000,24.891,40.55,20.890
25.000,24.889,40.58,20.890
26.000,24.895,205.00,20.890
26.000,24.937,205.00,20.890
26.000,25.080,205.00,20.890
26.000,25.310,205.00,20.890
26.000,25.560,154.54,20.890
26.000,25.799,67.61,20.900
26.000,25.993,0.00,20.879
26.000,26.104,0.00,20.868
26.000,26.071,0.00,20.900
26.000,25.981,9.00,20.879
26.000,25.861,53.22,20.879
26.000,25.758,90.51,20.879
26.000,25.688,114.96,20.911
26.000,25.698,109.62,20.890
26.000,25.763,84.74,20.858
26.000,25.846,54.15,20.879
26.000,25.923,26.30,20.868
26.000,25.946,19.28,20.890
26.000,25.942,21.29,20.900
26.000,25.906,34.91,20.900
26.000,25.850,55.95,20.911
26.000,25.805,72.07,20.890
26.000,25.782,79.65,20.900
26.000,25.811,68.00,20.900
26.000,25.851,53.08,20.900
26.000,25.898,35.97,20.879
26.000,25.934,23.16,20.890
26.000,25.938,22.55,20.890
26.000,25.912,32.73,20.922
26.000,25.863,51.04,20.911
26.000,25.847,56.03,20.922
26.000,25.842,57.53,20.890
26.000,25.849,54.79,20.900
26.000,25.861,50.29,20.900
26.000,25.891,38.85,20.911
26.000,25.926,26.25,20.900
26.000,25.932,24.37,20.900
26.000,25.921,28.82,20.911
26.000,25.881,44.09,20.900
26.000,25.857,52.50,20.911
26.000,25.853,53.41,20.922
26.000,25.860,50.67,20.900
26.000,25.887,40.65,20.890
26.000,25.924,26.59,20.879
26.000,25.937,22.68,20.911
26.000,25.935,23.57,20.900
26.000,25.911,33.07,20.890
26.000,25.874,46.73,20.890
26.000,25.856,52.74,20.900
26.000,25.859,51.22,20.879
26.000,25.881,42.74,20.922
26.000,25.923,27.01,20.890
26.000,25.939,21.86,20.900
26.000,25.940,21.58,20.890
26.000,25.933,24.36,20.922
26.000,25.905,35.29,20.879
26.000,25.869,48.46,20.900
26.000,25.860,51.06,20.879
26.000,25.873,45.79,20.900
26.000,25.913,30.71,20.911
